prompt_tokens,completion_tokens,total_tokens
929,112,1041
927,112,1039
941,143,1084
932,202,1134
949,173,1122
258,167,425
301,182,483
256,181,437
351,280,631
339,243,582
489,353,842
462,454,916
474,420,894
578,394,972
757,358,1115
668,323,991
721,396,1117
558,750,1308
700,444,1144
1073,485,1558
943,110,1053
953,173,1126
938,187,1125
929,188,1117
270,162,432
944,198,1142
343,220,563
342,256,598
334,220,554
359,268,627
471,348,819
515,345,860
539,417,956
560,433,993
578,418,996
665,464,1129
648,469,1117
745,418,1163
744,487,1231
736,482,1218
943,157,1100
931,144,1075
949,187,1136
947,184,1131
928,112,1040
353,302,655
257,161,418
292,246,538
317,222,539
348,302,650
531,399,930
543,500,1043
455,381,836
617,638,1255
615,511,1126
716,372,1088
683,291,974
805,473,1278
832,396,1228
961,667,1628
958,110,1068
921,173,1094
927,142,1069
285,151,436
337,216,553
311,227,538
923,126,1049
286,257,543
266,154,420
514,408,922
550,513,1063
529,566,1095
475,433,908
703,330,1033
814,443,1257
443,396,839
887,462,1349
765,467,1232
693,349,1042
950,157,1107
937,143,1080
949,140,1089
950,187,1137
929,123,1052
297,204,501
306,206,512
324,218,542
269,201,470
354,286,640
534,442,976
602,388,990
507,619,1126
496,395,891
521,574,1095
712,252,964
766,434,1200
930,507,1437
897,609,1506
698,414,1112
930,143,1073
936,140,1076
938,143,1081
929,173,1102
942,182,1124
293,212,505
298,181,479
319,218,537
341,303,644
290,181,471
514,534,1048
513,367,880
477,334,811
485,604,1089
611,565,1176
638,384,1022
844,590,1434
916,440,1356
670,290,960
881,529,1410
933,110,1043
929,131,1060
938,157,1095
937,173,1110
947,143,1090
260,158,418
277,174,451
307,219,526
312,249,561
327,263,590
457,372,829
566,383,949
469,385,854
553,391,944
679,384,1063
694,457,1151
703,381,1084
688,538,1226
532,413,945
734,455,1189
944,120,1064
958,157,1115
944,151,1095
927,173,1100
943,173,1116
281,199,480
312,199,511
333,194,527
317,230,547
503,423,926
509,443,952
332,229,561
523,457,980
509,612,1121
553,394,947
740,321,1061
761,451,1212
758,332,1090
930,576,1506
726,501,1227
935,173,1108
950,163,1113
922,112,1034
939,143,1082
951,202,1153
251,180,431
299,179,478
325,247,572
370,271,641
468,361,829
330,227,557
548,450,998
484,402,886
588,528,1116
657,342,999
759,429,1188
715,334,1049
543,499,1042
853,377,1230
823,521,1344
934,112,1046
947,143,1090
937,110,1047
945,173,1118
263,147,410
307,206,513
264,167,431
927,110,1037
335,232,567
254,150,404
447,356,803
470,361,831
519,433,952
543,408,951
443,405,848
664,376,1040
754,492,1246
672,399,1071
727,613,1340
706,437,1143
938,116,1054
937,110,1047
928,112,1040
953,143,1096
945,188,1133
264,163,427
313,187,500
257,168,425
271,199,470
350,232,582
466,332,798
462,429,891
506,426,932
503,532,1035
731,272,1003
643,431,1074
543,638,1181
753,483,1236
