prompt_tokens,completion_tokens,total_tokens
1014,148,1162
1239,164,1403
1233,179,1412
985,193,1178
1237,172,1409
379,272,651
629,295,924
626,280,906
395,313,708
620,267,887
641,474,1115
883,606,1489
653,606,1259
872,665,1537
861,779,1640
869,461,1330
972,313,1285
1399,444,1843
1283,871,2154
1220,987,2207
1239,162,1401
1014,166,1180
1233,189,1422
1237,172,1409
397,232,629
618,261,879
395,298,693
639,319,958
626,289,915
601,445,1046
855,530,1385
907,759,1666
638,807,1445
840,434,1274
1373,6,1379
1150,525,1675
881,552,1433
1173,562,1735
1170,733,1903
1014,148,1162
1237,162,1399
1239,168,1407
985,191,1176
1233,198,1431
379,234,613
624,272,896
393,283,676
616,279,895
648,326,974
603,515,1118
866,514,1380
871,695,1566
910,396,1306
914,796,1710
1134,477,1611
1410,6,1416
623,865,1488
1313,393,1706
1231,497,1728
1014,148,1162
1237,172,1409
1233,180,1413
985,192,1177
1239,164,1403
379,212,591
394,255,649
630,282,912
620,268,888
626,304,930
581,475,1056
595,522,1117
862,557,1419
1014,151,1165
1239,164,1403
1233,177,1410
1237,160,1397
985,153,1138
382,224,606
620,268,888
614,253,867
627,340,967
355,227,582
593,451,1044
862,629,1491
928,561,1489
567,633,1200
846,550,1396
845,533,1378
999,701,1700
1249,803,2052
859,585,1444
1151,824,1975
981,748,1729
1337,907,2244
1175,1097,2272
1356,907,2263
1625,1210,2835
963,150,1113
1045,148,1193
1045,168,1213
967,170,1137
1018,191,1209
330,237,567
410,260,670
354,247,601
430,255,685
426,288,714
555,419,974
569,480,1049
660,674,1334
661,577,1238
655,440,1095
763,659,1422
828,758,1586
976,786,1762
1100,875,1975
866,429,1295
917,703,1620
1020,830,1850
769,474,1243
1215,973,2188
1099,873,1972
1057,159,1216
1019,183,1202
1003,173,1176
996,182,1178
1035,209,1244
393,261,654
395,270,665
433,301,734
419,304,723
461,344,805
713,472,1185
619,518,1137
678,486,1164
621,572,1193
734,465,1199
910,686,1596
949,695,1644
881,520,1401
886,482,1368
850,552,1402
796,514,1310
1038,755,1793
986,757,1743
902,757,1659
1055,839,1894
1240,164,1404
935,148,1083
1072,193,1265
1060,144,1204
1061,172,1233
421,210,631
621,269,890
300,276,576
482,305,787
450,252,702
625,568,1193
566,525,1091
1009,6,1015
361,20,381
864,611,1475
668,583,1251
732,578,1310
841,803,1644
1025,967,1992
1232,566,1798
1031,892,1923
1033,893,1926
1101,598,1699
1323,1055,2378
1260,983,2243
1040,142,1182
1045,144,1189
968,150,1118
1026,155,1181
1005,162,1167
398,207,605
335,233,568
406,255,661
384,276,660
399,259,658
556,492,1048
588,518,1106
655,533,1188
636,598,1234
654,495,1149
925,456,1381
841,686,1527
916,404,1320
959,825,1784
739,451,1190
984,993,1977
777,506,1283
949,784,1733
1293,471,1764
1165,910,2075
1032,167,1199
1052,167,1219
1267,172,1439
1035,172,1207
416,245,661
424,247,671
436,276,712
1028,197,1225
632,347,979
442,292,734
656,302,958
683,592,1275
760,371,1131
637,424,1061
675,558,1233
924,484,1408
840,580,1420
698,392,1090
1025,842,1867
967,739,1706
1132,727,1859
911,594,1505
1189,933,2122
1062,808,1870
1289,824,2113
1007,167,1174
1057,196,1253
1397,199,1596
1396,199,1595
1392,215,1607
391,286,677
470,288,758
812,288,1100
824,317,1141
813,310,1123
1039,472,1511
648,613,1261
700,604,1304
1064,616,1680
1062,414,1476
1249,723,1972
1389,674,2063
1001,456,1457
1042,513,1555
1192,596,1788
758,498,1256
1414,692,2106
1362,717,2079
865,571,1436
1288,663,1951
1053,144,1197
1266,172,1438
996,162,1158
1014,178,1192
1034,198,1232
414,233,647
449,288,737
409,336,745
375,340,715
655,327,982
677,453,1130
641,571,1212
691,465,1156
705,582,1287
948,614,1562
868,443,1311
842,682,1524
772,443,1215
1005,874,1879
977,763,1740
973,338,1311
1261,899,2160
1072,804,1876
1222,929,2151
1460,1002,2462
1084,147,1231
1062,155,1217
1027,158,1185
1240,167,1407
1056,199,1255
448,243,691
402,277,679
624,268,892
472,346,818
434,243,677
659,562,1221
682,593,1275
660,496,1156
863,622,1485
1243,494,1737
757,551,1308
1058,706,1764
939,697,1636
970,806,1776
988,437,1425
1029,545,1574
1128,602,1730
788,468,1256
1085,756,1841
1054,768,1822
1019,165,1184
993,171,1164
1036,183,1219
1262,181,1443
1069,191,1260
436,282,718
401,287,688
381,326,707
660,321,981
477,319,796
673,543,1216
938,522,1460
661,568,1229
743,543,1286
674,556,1230
968,753,1721
1165,753,1918
960,816,1776
