prompt_tokens,completion_tokens,total_tokens
944,107,1051
952,112,1064
942,117,1059
928,101,1029
948,130,1078
268,169,437
246,168,414
276,177,453
281,184,465
295,194,489
468,283,751
491,271,762
451,318,769
497,344,841
474,478,952
608,250,858
627,285,912
673,363,1036
489,302,791
508,328,836
801,493,1294
604,259,863
606,404,1010
506,314,820
730,540,1270
950,116,1066
929,117,1046
956,131,1087
948,137,1085
263,150,413
945,131,1076
304,194,498
283,218,501
302,236,538
293,197,490
434,298,732
523,298,821
539,457,996
505,549,1054
608,331,939
629,315,944
555,176,731
886,251,1137
786,346,1132
497,413,910
560,366,926
502,282,784
589,395,984
739,507,1246
747,565,1312
948,112,1060
943,116,1059
947,117,1064
932,107,1039
935,116,1051
277,163,440
276,175,451
281,173,454
256,180,436
268,226,494
473,271,744
466,360,826
467,323,790
516,345,861
475,398,873
595,241,836
689,306,995
661,281,942
636,336,972
479,279,758
726,494,1220
549,350,899
511,318,829
563,372,935
736,555,1291
944,101,1045
941,106,1047
932,116,1048
932,112,1044
940,117,1057
262,132,394
264,158,422
261,159,420
265,188,453
274,196,470
454,306,760
431,365,796
475,420,895
446,481,927
491,531,1022
690,402,1092
628,566,1194
794,421,1215
641,428,1069
733,398,1131
852,473,1325
648,487,1135
802,581,1383
625,455,1080
708,524,1232
921,117,1038
942,117,1059
932,117,1049
933,117,1050
950,112,1062
266,160,426
255,191,446
276,205,481
267,185,452
279,180,459
467,348,815
447,272,719
473,328,801
502,369,871
485,380,865
650,295,945
585,417,1002
711,275,986
642,435,1077
692,481,1173
511,323,834
520,302,822
644,430,1074
663,503,1166
718,535,1253
937,107,1044
952,116,1068
935,116,1051
933,116,1049
943,132,1075
266,187,453
292,169,461
268,208,476
261,225,486
285,197,482
467,316,783
517,311,828
504,337,841
475,457,932
498,550,1048
640,323,963
629,355,984
771,262,1033
670,331,1001
561,367,928
587,411,998
490,297,787
578,381,959
866,4096,4962
4327,4096,8423
950,116,1066
950,117,1067
944,117,1061
947,116,1063
278,182,460
283,184,467
284,190,474
270,202,472
280,196,476
489,286,775
494,282,776
481,346,827
498,360,858
495,388,883
600,290,890
617,385,1002
719,390,1109
688,409,1097
671,446,1117
522,295,817
630,398,1028
635,441,1076
651,466,1117
685,510,1195
954,112,1066
950,117,1067
933,100,1033
932,117,1049
284,159,443
250,159,409
283,179,462
266,168,434
261,193,454
447,287,734
455,368,823
464,411,875
488,321,809
492,473,965
601,218,819
681,367,1048
656,332,988
742,499,1241
446,267,713
581,394,975
798,656,1454
594,417,1011
744,558,1302
895,692,1587
931,100,1031
932,102,1034
951,107,1058
944,117,1061
930,131,1061
248,144,392
251,157,408
275,164,439
278,171,449
278,215,493
430,265,695
470,309,779
470,388,858
444,287,731
500,396,896
577,304,881
720,245,965
634,332,966
600,297,897
530,343,873
707,420,1127
491,261,752
524,344,868
571,396,967
645,463,1108
929,116,1045
932,116,1048
947,117,1064
943,117,1060
945,122,1067
265,164,429
277,172,449
281,176,457
262,172,434
284,197,481
497,273,770
470,309,779
451,377,828
478,361,839
456,406,862
599,277,876
633,438,1071
690,386,1076
689,423,1112
716,379,1095
517,308,825
676,462,1138
613,440,1053
665,465,1130
603,407,1010
946,102,1048
928,101,1029
959,117,1076
934,117,1051
923,117,1040
265,173,438
293,188,481
257,185,442
268,187,455
246,140,386
474,291,765
463,419,882
423,387,810
476,446,922
502,401,903
618,299,917
741,378,1119
540,340,880
761,487,1248
723,422,1145
632,409,1041
696,421,1117
716,547,1263
640,476,1116
644,475,1119
950,107,1057
932,117,1049
948,116,1064
929,117,1046
274,163,437
281,164,445
263,185,448
266,207,473
265,216,481
467,314,781
494,340,834
512,470,982
469,339,808
643,260,903
468,399,867
653,400,1053
503,299,802
649,326,975
792,440,1232
730,548,1278
627,460,1087
550,377,927
676,495,1171
793,615,1408
937,117,1054
935,116,1051
933,116,1049
944,117,1061
932,116,1048
268,172,440
278,173,451
271,206,477
265,187,452
266,166,432
462,364,826
498,273,771
472,452,924
454,367,821
474,507,981
680,329,1009
591,247,838
681,338,1019
777,422,1199
479,289,768
559,375,934
820,455,1275
566,385,951
661,474,1135
682,487,1169
944,107,1051
947,117,1064
938,117,1055
932,132,1064
267,172,439
281,184,465
272,211,483
268,200,468
281,187,468
461,270,731
486,329,815
499,377,876
504,497,1001
474,423,897
