prompt_tokens,completion_tokens,total_tokens
930,157,1087
867,164,1031
890,157,1047
868,145,1013
304,261,565
546,515,1061
230,213,443
827,759,1586
264,249,513
436,421,857
879,157,1036
494,457,951
253,235,488
671,552,1223
469,474,943
729,640,1369
715,661,1376
735,579,1314
248,191,439
825,739,1564
413,494,907
984,751,1735
753,661,1414
743,485,1228
648,546,1194
885,157,1042
874,157,1031
870,157,1027
890,157,1047
259,227,486
248,231,479
874,177,1051
460,365,825
244,212,456
437,363,800
621,463,1084
632,589,1221
467,471,938
615,398,1013
264,238,502
450,524,974
738,487,1225
483,510,993
667,568,1235
563,432,995
782,788,1570
973,876,1849
780,466,1246
636,533,1169
922,181,1103
898,190,1088
945,214,1159
872,171,1043
320,263,583
305,279,584
260,201,461
532,462,994
428,407,835
661,518,1179
742,735,1477
376,263,639
686,530,1216
929,896,1825
563,575,1138
902,157,1059
902,636,1538
276,255,531
876,697,1573
512,519,1031
540,453,993
757,608,1365
825,616,1441
803,613,1416
810,813,1623
872,156,1028
876,157,1033
910,190,1100
869,156,1025
872,190,1062
245,225,470
250,246,496
242,229,471
317,265,582
279,255,534
477,440,917
530,411,941
452,543,995
482,481,963
453,635,1088
703,626,1329
797,652,1449
735,648,1383
886,806,1692
698,634,1332
832,704,1536
820,696,1516
816,747,1563
970,897,1867
805,712,1517
870,157,1027
872,175,1047
873,142,1015
901,157,1058
244,211,455
275,270,545
436,438,874
526,583,1109
690,535,1225
866,646,1512
232,209,441
701,641,1342
876,157,1033
250,229,479
842,863,1705
460,388,848
264,228,492
646,492,1138
437,370,807
455,599,1054
625,526,1151
853,821,1674
695,659,1354
663,616,1279
989,911,1900
875,157,1032
956,157,1113
869,164,1033
872,157,1029
872,171,1043
250,192,442
246,211,457
249,242,491
330,259,589
472,384,856
570,588,1158
438,659,1097
641,471,1112
913,539,1452
926,752,1678
641,577,1218
416,694,1110
707,601,1308
945,365,1310
260,235,495
529,429,958
462,486,948
740,727,1467
895,818,1713
1003,819,1822
876,157,1033
883,175,1058
870,145,1015
918,190,1108
250,217,467
232,212,444
275,271,546
325,257,582
437,371,808
448,404,852
509,440,949
530,519,1049
705,580,1285
819,795,1614
868,171,1039
623,556,1179
662,579,1241
759,687,1446
1009,871,1880
750,699,1449
721,680,1401
256,265,521
488,432,920
682,677,1359
840,808,1648
869,145,1014
892,157,1049
905,157,1062
873,157,1030
231,211,442
247,203,450
266,231,497
279,250,529
435,418,853
478,443,921
510,410,920
669,468,1137
717,742,1459
632,432,1064
697,868,1565
929,757,1686
1068,1121,2189
886,157,1043
260,232,492
431,462,893
473,365,838
717,491,1208
633,507,1140
660,562,1222
689,610,1299
869,157,1026
870,157,1027
884,157,1041
872,157,1029
914,157,1071
244,206,450
246,208,454
258,240,498
243,268,511
288,244,532
435,418,853
479,408,887
492,524,1016
513,493,1006
774,308,1082
672,569,1241
431,538,969
674,686,1360
473,375,848
789,881,1670
790,439,1229
737,642,1379
865,762,1627
605,496,1101
1090,1116,2206
870,116,986
878,157,1035
948,157,1105
876,157,1033
203,148,351
252,222,474
250,215,465
322,244,566
373,348,721
455,422,877
547,540,1087
600,361,961
446,747,1193
526,417,943
875,157,1032
682,614,1296
249,226,475
870,1220,2090
456,465,921
787,706,1493
1005,629,1634
722,676,1398
800,697,1497
1463,1261,2724
846,805,1651
878,157,1035
958,157,1115
872,159,1031
873,157,1030
870,111,981
252,215,467
332,232,564
248,234,482
247,220,467
198,185,383
448,374,822
461,339,800
410,373,783
