prompt_tokens,completion_tokens,total_tokens
921,152,1073
184,139,323
334,687,1021
879,6,885
921,136,1057
168,119,287
314,692,1006
884,306,1190
921,152,1073
184,161,345
356,634,990
826,303,1129
921,195,1116
227,242,469
437,707,1144
899,179,1078
921,152,1073
184,128,312
323,566,889
758,228,986
921,152,1073
184,155,339
350,734,1084
926,309,1235
921,152,1073
184,158,342
353,588,941
780,273,1053
921,136,1057
168,121,289
316,636,952
828,348,1176
921,152,1073
184,162,346
357,716,1073
908,6,914
921,152,1073
184,160,344
355,588,943
780,406,1186
921,136,1057
168,123,291
318,653,971
845,464,1309
921,152,1073
184,164,348
359,685,1044
877,6,883
965,152,1117
228,139,367
378,597,975
833,154,987
965,152,1117
228,156,384
395,718,1113
954,349,1303
965,152,1117
228,139,367
378,618,996
854,271,1125
965,152,1117
228,148,376
387,603,990
839,313,1152
965,136,1101
212,124,336
363,679,1042
915,352,1267
965,136,1101
212,118,330
357,454,811
690,169,859
965,136,1101
212,121,333
360,527,887
763,96,859
965,152,1117
228,196,424
435,685,1120
921,373,1294
965,136,1101
212,120,332
359,419,778
655,248,903
965,152,1117
228,143,371
382,754,1136
990,121,1111
965,152,1117
228,182,410
421,682,1103
918,312,1230
965,136,1101
212,129,341
368,580,948
816,568,1384
965,152,1117
228,143,371
382,786,1168
1022,430,1452
965,169,1134
245,159,404
398,680,1078
916,6,922
965,136,1101
212,118,330
357,560,917
796,260,1056
965,152,1117
228,195,423
434,916,1350
1152,520,1672
965,152,1117
228,141,369
380,611,991
847,112,959
965,152,1117
228,166,394
405,828,1233
1064,466,1530
965,152,1117
228,148,376
387,630,1017
866,6,872
965,152,1117
228,179,407
418,786,1204
1022,628,1650
965,152,1117
228,134,362
373,702,1075
938,6,944
965,152,1117
228,166,394
405,826,1231
1062,354,1416
965,152,1117
228,126,354
365,648,1013
884,350,1234
965,152,1117
228,184,412
423,759,1182
995,516,1511
965,184,1149
260,222,482
461,705,1166
941,285,1226
965,152,1117
228,138,366
377,542,919
778,122,900
965,152,1117
228,152,380
391,783,1174
1019,351,1370
965,186,1151
262,174,436
413,790,1203
1026,570,1596
965,136,1101
212,122,334
361,465,826
701,558,1259
965,136,1101
212,132,344
371,519,890
755,272,1027
965,152,1117
228,194,422
433,750,1183
986,735,1721
965,152,1117
228,152,380
391,722,1113
958,6,964
965,136,1101
212,119,331
358,647,1005
883,357,1240
965,151,1116
227,200,427
439,793,1232
1029,500,1529
965,136,1101
212,128,340
367,792,1159
1028,6,1034
965,152,1117
228,140,368
379,744,1123
980,535,1515
965,152,1117
228,143,371
382,624,1006
860,284,1144
965,136,1101
212,122,334
361,514,875
750,6,756
965,152,1117
228,155,383
394,681,1075
917,318,1235
965,152,1117
228,142,370
381,556,937
792,227,1019
965,185,1150
261,224,485
463,603,1066
839,291,1130
965,152,1117
228,192,420
431,855,1286
1091,381,1472
965,152,1117
228,139,367
378,804,1182
1040,144,1184
965,136,1101
212,130,342
369,581,950
817,294,1111
965,169,1134
245,161,406
400,641,1041
877,268,1145
965,136,1101
212,117,329
356,557,913
793,248,1041
965,152,1117
228,152,380
391,583,974
819,6,825
965,152,1117
228,194,422
433,739,1172
975,329,1304
965,136,1101
212,121,333
360,561,921
797,182,979
965,152,1117
228,204,432
443,708,1151
944,398,1342
965,152,1117
228,183,411
422,587,1009
823,310,1133
965,136,1101
212,124,336
363,491,854
727,241,968
965,136,1101
212,121,333
360,671,1031
907,6,913
965,152,1117
228,136,364
375,610,985
846,322,1168
965,152,1117
228,139,367
378,737,1115
973,317,1290
965,136,1101
212,118,330
357,550,907
786,226,1012
965,136,1101
212,125,337
364,565,929
801,353,1154
965,152,1117
228,159,387
398,694,1092
930,305,1235
965,136,1101
212,130,342
369,507,876
743,223,966
965,151,1116
227,207,434
446,757,1203
993,354,1347
965,152,1117
228,155,383
394,651,1045
887,6,893
965,136,1101
212,125,337
364,844,1208
1080,6,1086
965,152,1117
228,138,366
377,548,925
784,266,1050
965,151,1116
227,177,404
416,746,1162
982,691,1673
965,213,1178
289,254,543
493,903,1396
1139,454,1593
965,185,1150
261,210,471
449,641,1090
877,6,883
965,136,1101
212,124,336
363,690,1053
926,345,1271
965,152,1117
228,182,410
421,591,1012
827,279,1106
965,152,1117
228,132,360
371,691,1062
927,311,1238
965,152,1117
228,145,373
384,615,999
851,230,1081
965,152,1117
228,148,376
387,587,974
823,332,1155
965,152,1117
228,208,436
447,685,1132
921,301,1222
965,152,1117
228,138,366
377,523,900
759,358,1117
965,151,1116
227,200,427
439,627,1066
863,6,869
965,152,1117
228,196,424
435,693,1128
929,313,1242
965,152,1117
228,144,372
383,639,1022
875,108,983
965,152,1117
228,186,414
425,657,1082
893,266,1159
965,152,1117
228,171,399
410,740,1150
976,331,1307
965,152,1117
228,145,373
384,586,970
822,284,1106
965,152,1117
228,168,396
407,638,1045
874,6,880
965,152,1117
228,171,399
410,408,818
644,324,968
965,152,1117
228,149,377
388,669,1057
905,309,1214
965,136,1101
212,121,333
360,572,932
808,233,1041
965,152,1117
228,184,412
423,705,1128
941,6,947
965,114,1079
190,112,302
351,559,910
795,6,801
965,152,1117
228,171,399
410,907,1317
1143,478,1621
965,152,1117
228,149,377
388,628,1016
864,279,1143
965,152,1117
228,161,389
400,672,1072
908,6,914
965,136,1101
212,120,332
359,590,949
826,309,1135
965,152,1117
228,153,381
392,632,1024
868,343,1211
965,152,1117
228,159,387
398,611,1009
848,6,854
965,136,1101
212,119,331
358,751,1109
987,106,1093
965,152,1117
228,144,372
383,628,1011
864,290,1154
965,152,1117
228,146,374
385,607,992
843,292,1135
965,152,1117
228,137,365
376,809,1185
1045,424,1469
965,152,1117
228,179,407
418,752,1170
988,6,994
965,152,1117
228,156,384
395,660,1055
896,6,902
965,152,1117
228,156,384
395,350,745
586,254,840
965,152,1117
228,143,371
382,676,1058
912,337,1249
965,152,1117
228,195,423
434,675,1109
911,267,1178
965,152,1117
228,162,390
401,676,1077
912,6,918
965,152,1117
228,155,383
394,571,965
807,256,1063
965,152,1117
228,141,369
380,553,933
789,281,1070
965,152,1117
228,203,431
442,640,1082
876,265,1141
965,152,1117
228,163,391
402,600,1002
836,275,1111
965,152,1117
228,152,380
391,718,1109
954,348,1302
965,152,1117
228,157,385
396,690,1086
926,324,1250
965,169,1134
245,160,405
399,743,1142
979,320,1299
965,152,1117
228,180,408
419,775,1194
1011,391,1402
965,152,1117
228,146,374
385,734,1119
970,340,1310
965,169,1134
245,172,417
411,728,1139
964,349,1313
965,136,1101
212,121,333
360,559,919
795,375,1170
965,152,1117
228,193,421
432,554,986
790,6,796
965,152,1117
228,152,380
391,721,1112
957,403,1360
965,152,1117
228,140,368
379,590,969
826,343,1169
965,136,1101
212,130,342
369,650,1019
886,6,892
965,136,1101
212,126,338
365,649,1014
885,336,1221
965,152,1117
228,141,369
380,601,981
837,6,843
965,136,1101
212,141,353
380,628,1008
864,450,1314
965,152,1117
228,146,374
385,597,982
833,6,839
965,152,1117
228,202,430
441,658,1099
894,144,1038
965,152,1117
228,151,379
390,667,1057
903,6,909
965,152,1117
228,159,387
398,654,1052
890,318,1208
965,152,1117
228,155,383
394,705,1099
941,342,1283
965,152,1117
228,194,422
433,549,982
785,6,791
965,152,1117
228,143,371
382,648,1030
884,323,1207
965,136,1101
212,122,334
361,577,938
813,310,1123
965,136,1101
212,129,341
368,675,1043
911,321,1232
965,152,1117
228,144,372
383,640,1023
876,6,882
965,152,1117
228,164,392
403,568,971
804,6,810
965,152,1117
228,193,421
432,916,1348
1152,626,1778
965,152,1117
228,138,366
377,548,925
784,267,1051
965,185,1150
261,195,456
434,574,1008
810,247,1057
965,136,1101
212,133,345
372,730,1102
966,265,1231
965,136,1101
212,126,338
365,505,870
741,123,864
965,114,1079
190,112,302
351,622,973
858,6,864
965,136,1101
212,118,330
357,518,875
754,273,1027
965,152,1117
228,198,426
437,634,1071
870,319,1189
965,136,1101
212,141,353
380,570,950
806,277,1083
965,152,1117
228,152,380
391,557,948
793,276,1069
965,152,1117
228,152,380
391,621,1012
857,290,1147
965,152,1117
228,159,387
398,517,915
753,221,974
965,169,1134
245,221,466
460,656,1116
892,308,1200
965,136,1101
212,124,336
363,458,821
694,183,877
965,114,1079
190,107,297
346,574,920
810,196,1006
965,136,1101
212,126,338
365,528,893
764,244,1008
965,152,1117
228,141,369
380,687,1067
923,306,1229
965,136,1101
212,140,352
379,611,990
847,308,1155
965,186,1151
262,195,457
434,824,1258
1060,535,1595
965,136,1101
212,120,332
359,518,877
754,306,1060
965,136,1101
212,121,333
360,729,1089
965,315,1280
965,136,1101
212,126,338
365,526,891
762,292,1054
965,136,1101
212,122,334
361,516,877
752,371,1123
965,136,1101
212,127,339
366,562,928
798,188,986
965,185,1150
261,221,482
460,579,1039
815,6,821
965,136,1101
212,125,337
364,593,957
829,6,835
965,136,1101
212,121,333
360,530,890
766,255,1021
965,152,1117
228,153,381
392,712,1104
948,6,954
965,136,1101
212,125,337
364,634,998
870,303,1173
965,152,1117
228,150,378
389,688,1077
924,441,1365
965,136,1101
212,131,343
370,620,990
856,386,1242
965,136,1101
212,119,331
358,746,1104
982,171,1153
965,152,1117
228,154,382
393,689,1082
925,528,1453
965,136,1101
212,132,344
371,594,965
830,114,944
965,152,1117
228,138,366
377,871,1248
1107,502,1609
965,114,1079
190,110,300
349,511,860
747,246,993
965,136,1101
212,124,336
363,704,1067
940,344,1284
965,152,1117
228,164,392
403,653,1056
889,436,1325
965,114,1079
190,115,305
354,566,920
802,443,1245
965,152,1117
228,147,375
386,643,1029
879,383,1262
965,185,1150
261,159,420
398,602,1000
838,6,844
965,152,1117
228,154,382
393,772,1165
1008,467,1475
965,152,1117
228,143,371
382,821,1203
1057,394,1451
965,151,1116
227,155,382
394,842,1236
1078,478,1556
965,152,1117
228,148,376
387,576,963
812,316,1128
965,152,1117
228,140,368
379,669,1048
905,295,1200
965,152,1117
228,191,419
430,1078,1508
1314,561,1875
965,152,1117
228,138,366
377,603,980
839,120,959
965,152,1117
228,187,415
426,582,1008
818,6,824
965,136,1101
212,121,333
360,537,897
773,237,1010
965,152,1117
228,172,400
411,627,1038
863,341,1204
965,95,1060
171,147,318
386,468,854
704,85,789
965,136,1101
212,125,337
364,495,859
731,229,960
965,152,1117
228,156,384
395,665,1060
901,317,1218
965,136,1101
212,121,333
360,744,1104
980,105,1085
965,152,1117
228,159,387
398,581,979
817,270,1087
965,152,1117
228,143,371
382,647,1029
883,290,1173
965,136,1101
212,134,346
373,587,960
823,262,1085
965,136,1101
212,127,339
366,960,1326
1196,190,1386
965,136,1101
212,133,345
372,634,1006
870,409,1279
965,79,1044
155,82,237
321,493,814
729,310,1039
965,152,1117
228,161,389
400,665,1065
901,6,907
965,152,1117
228,141,369
380,642,1022
878,342,1220
965,136,1101
212,134,346
373,566,939
802,227,1029
965,152,1117
228,194,422
433,633,1066
869,203,1072
965,152,1117
228,163,391
402,877,1279
1113,396,1509
965,136,1101
212,134,346
373,646,1019
882,295,1177
965,136,1101
212,121,333
360,558,918
794,235,1029
965,136,1101
212,125,337
364,606,970
842,315,1157
965,114,1079
190,111,301
350,553,903
789,6,795
965,114,1079
190,107,297
346,461,807
697,280,977
965,152,1117
228,149,377
388,688,1076
924,275,1199
965,136,1101
212,121,333
360,729,1089
965,108,1073
965,152,1117
228,131,359
370,820,1190
1056,375,1431
965,136,1101
212,125,337
364,669,1033
905,305,1210
965,152,1117
228,143,371
382,665,1047
901,303,1204
965,152,1117
228,146,374
385,686,1071
922,344,1266
965,136,1101
212,122,334
361,564,925
800,158,958
965,152,1117
228,160,388
399,697,1096
933,352,1285
965,114,1079
190,115,305
354,667,1021
903,317,1220
965,112,1077
188,97,285
336,550,886
786,76,862
965,136,1101
212,126,338
365,564,929
800,246,1046
965,152,1117
228,199,427
438,833,1271
1069,216,1285
965,136,1101
212,129,341
368,589,957
825,344,1169
965,152,1117
228,138,366
377,595,972
831,241,1072
965,152,1117
228,167,395
406,608,1014
844,239,1083
965,152,1117
228,178,406
417,721,1138
957,172,1129
965,152,1117
228,158,386
397,662,1059
898,109,1007
965,136,1101
212,126,338
365,584,949
820,275,1095
965,136,1101
212,121,333
360,614,974
850,324,1174
965,152,1117
228,148,376
387,751,1138
987,374,1361
965,169,1134
