prompt_tokens,completion_tokens,total_tokens
1097,230,1327
438,250,688
621,624,1245
992,477,1469
1382,181,1563
674,321,995
977,608,1585
1261,473,1734
1385,199,1584
695,323,1018
982,678,1660
1334,411,1745
1366,202,1568
679,281,960
921,819,1740
1456,752,2208
1129,173,1302
413,201,614
604,784,1388
1184,736,1920
1130,190,1320
431,439,870
843,1015,1858
1416,508,1924
1080,204,1284
395,259,654
613,721,1334
1072,625,1697
1097,181,1278
389,235,624
606,710,1316
1078,697,1775
1170,166,1336
447,186,633
630,921,1551
1362,556,1918
1168,218,1386
497,285,782
727,574,1301
1013,533,1546
1129,195,1324
435,224,659
627,642,1269
1042,659,1701
1143,195,1338
449,414,863
831,586,1417
1000,404,1404
1107,185,1292
403,189,592
570,627,1197
1005,544,1549
1180,186,1366
477,229,706
683,785,1468
1236,726,1962
1153,195,1348
459,276,735
703,837,1540
1261,799,2060
1199,200,1399
510,483,993
956,690,1646
1160,462,1622
1183,194,1377
488,248,736
705,532,1237
986,517,1503
1182,213,1395
506,267,773
723,650,1373
1103,633,1736
1387,234,1621
732,409,1141
1070,788,1858
1446,822,2268
1049,199,1248
359,274,633
597,1188,1785
1508,590,2098
1128,205,1333
444,227,671
629,665,1294
1064,562,1626
1171,200,1371
482,263,745
708,713,1421
1155,555,1710
1143,170,1313
424,253,677
670,776,1446
1190,456,1646
1083,198,1281
392,291,683
648,781,1429
1135,565,1700
1159,196,1355
466,498,964
931,576,1507
1006,384,1390
1151,172,1323
434,248,682
673,476,1149
898,463,1361
1145,198,1343
454,476,930
895,808,1703
1224,499,1723
1175,200,1375
486,459,945
908,870,1778
1316,431,1747
1418,242,1660
771,337,1108
1029,750,1779
1439,441,1880
1153,195,1348
459,345,804
772,893,1665
1317,894,2211
1556,214,1770
881,286,1167
1116,766,1882
1593,785,2378
1561,230,1791
902,329,1231
1164,752,1916
1584,805,2389
1120,218,1338
449,438,887
832,851,1683
1242,838,2080
1563,230,1793
904,338,1242
1175,721,1896
1555,497,2052
1177,185,1362
473,345,818
796,738,1534
1186,737,1923
1170,230,1400
511,277,788
721,715,1436
1156,511,1667
1147,213,1360
471,355,826
776,671,1447
1089,575,1664
1416,203,1619
730,348,1078
1038,949,1987
1636,1028,2664
1160,173,1333
444,184,628
618,612,1230
1043,490,1533
1111,195,1306
417,414,831
799,876,1675
1258,649,1907
1151,198,1349
460,251,711
676,735,1411
1157,1175,2332
1183,186,1369
480,259,739
716,879,1595
1333,905,2238
1213,165,1378
489,234,723
721,768,1489
1252,517,1769
1179,206,1385
496,392,888
845,680,1525
1130,624,1754
1388,212,1600
711,360,1071
1022,718,1740
1377,497,1874
1162,200,1362
473,462,935
898,661,1559
1094,517,1611
1194,200,1394
505,226,731
694,556,1250
1021,442,1463
1411,202,1613
724,346,1070
1031,650,1681
1332,447,1779
1144,170,1314
425,232,657
650,755,1405
1170,737,1907
1105,162,1267
378,228,606
607,633,1240
1009,557,1566
1146,196,1342
453,249,702
669,614,1283
1031,513,1544
1558,226,1784
895,282,1177
1114,732,1846
1561,622,2183
1214,193,1407
518,267,785
755,611,1366
1096,483,1579
1090,188,1278
389,193,582
557,618,1175
979,558,1537
1188,200,1388
499,233,732
695,514,1209
973,385,1358
1227,212,1439
550,270,820
771,800,1571
1298,864,2162
1144,183,1327
438,286,724
704,781,1485
1196,574,1770
1139,193,1332
443,201,644
614,866,1480
1276,869,2145
1138,213,1351
462,238,700
650,524,1174
933,400,1333
1149,208,1357
468,340,808
763,757,1520
1177,643,1820
1187,200,1387
498,274,772
735,674,1409
1132,590,1722
1175,143,1318
429,169,598
618,608,1226
1054,382,1436
1171,218,1389
500,269,769
714,688,1402
1130,521,1651
1140,211,1351
462,263,725
677,594,1271
1005,402,1407
1166,159,1325
436,322,758
762,534,1296
971,526,1497
1089,206,1295
406,237,643
600,498,1098
858,369,1227
1104,188,1292
403,251,654
629,720,1349
1095,639,1734
1164,181,1345
456,233,689
671,667,1338
1102,650,1752
1129,173,1302
413,220,633
623,629,1252
1029,565,1594
1200,167,1367
478,223,701
697,562,1259
1033,327,1360
1183,181,1364
475,286,761
743,811,1554
1265,507,1772
1149,212,1361
472,290,762
713,654,1367
1074,577,1651
1089,172,1261
372,224,596
587,565,1152
925,201,1126
1164,188,1352
463,385,848
823,960,1783
1395,983,2378
1518,265,1783
894,387,1281
1179,436,1615
1225,387,1612
1381,242,1623
734,368,1102
1023,685,1708
1337,473,1810
1211,216,1427
538,236,774
721,485,1206
967,379,1346
1158,143,1301
412,199,611
631,584,1215
1013,393,1406
1214,163,1377
488,236,724
724,630,1354
1115,658,1773
1183,165,1348
459,310,769
767,538,1305
992,405,1397
1150,141,1291
402,187,589
611,653,1264
1074,431,1505
1521,229,1750
861,360,1221
1155,846,2001
1638,865,2503
1236,198,1434
545,253,798
763,659,1422
1166,421,1587
1094,160,1254
365,239,604
607,818,1425
1183,571,1754
1090,196,1286
397,292,689
656,592,1248
953,483,1436
1140,198,1338
449,489,938
903,802,1705
1213,616,1829
1132,195,1327
438,244,682
650,972,1622
1375,610,1985
1180,238,1418
529,320,849
774,760,1534
