prompt_tokens,completion_tokens,total_tokens
1075,123,1198
309,150,459
499,389,888
735,438,1173
1101,147,1248
359,153,512
528,486,1014
858,388,1246
1092,111,1203
314,128,442
494,681,1175
1044,344,1388
1097,108,1205
316,120,436
491,695,1186
1063,351,1414
1093,113,1206
317,307,624
674,602,1276
966,338,1304
1106,147,1253
364,250,614
630,605,1235
982,376,1358
1098,96,1194
305,149,454
521,667,1188
1036,462,1498
1078,131,1209
320,166,486
518,668,1186
1017,1005,2022
1099,131,1230
341,244,585
617,506,1123
876,527,1403
1093,128,1221
332,172,504
539,757,1296
1121,503,1624
1102,164,1266
377,195,572
571,475,1046
848,491,1339
1092,114,1206
317,133,450
499,781,1280
1144,356,1500
1080,130,1210
321,141,462
495,750,1245
1101,613,1714
1099,113,1212
323,285,608
658,629,1287
999,308,1307
1081,112,1193
304,131,435
486,662,1148
1014,346,1360
1093,109,1202
313,231,544
598,588,1186
952,346,1298
1086,180,1266
377,176,553
536,489,1025
846,307,1153
1091,114,1205
316,121,437
486,872,1358
1234,821,2055
1080,57,1137
248,60,308
414,758,1172
1109,405,1514
1074,90,1164
275,110,385
458,346,804
691,304,995
1078,111,1189
300,158,458
510,625,1135
974,352,1326
1093,96,1189
300,113,413
480,872,1352
1236,780,2016
1064,108,1172
283,149,432
487,659,1146
994,209,1203
1079,113,1192
303,123,426
476,623,1099
973,488,1461
1099,169,1268
379,160,539
533,704,1237
1074,382,1456
1086,108,1194
305,124,429
484,716,1200
1073,335,1408
1089,142,1231
342,141,483
504,780,1284
1140,490,1630
1080,130,1210
321,187,508
541,564,1105
915,470,1385
1081,112,1193
304,100,404
455,710,1165
1062,433,1495
1102,112,1214
325,134,459
510,410,920
783,398,1181
1097,113,1210
321,314,635
685,551,1236
919,410,1329
1097,92,1189
300,82,382
453,683,1136
1051,674,1725
1099,144,1243
354,205,559
578,714,1292
1084,410,1494
1084,112,1196
307,102,409
460,657,1117
1012,320,1332
1093,169,1262
373,212,585
579,689,1268
1053,392,1445
1078,153,1231
342,168,510
520,788,1308
1137,364,1501
1095,114,1209
320,111,431
480,354,834
720,704,1424
1103,95,1198
309,163,472
540,480,1020
854,430,1284
1104,131,1235
346,293,639
671,580,1251
955,719,1674
1080,57,1137
248,59,307
413,553,966
904,185,1089
1094,93,1187
298,202,500
570,707,1277
1072,372,1444
1102,78,1180
291,160,451
536,471,1007
844,245,1089
1071,135,1206
317,171,488
516,624,1140
966,852,1818
1076,114,1190
301,130,431
480,584,1064
931,432,1363
1074,112,1186
297,145,442
493,656,1149
1001,273,1274
1091,135,1226
337,159,496
524,293,817
655,230,885
1098,128,1226
337,133,470
505,811,1316
1180,484,1664
1075,131,1206
317,175,492
524,1035,1559
1381,484,1865
1097,148,1245
356,244,600
615,665,1280
1033,287,1320
1071,109,1180
291,120,411
465,327,792
669,305,974
1095,147,1242
353,153,506
522,714,1236
1080,308,1388
1081,148,1229
340,237,577
592,682,1274
1034,635,1669
1108,128,1236
347,155,502
537,273,810
652,286,938
1066,112,1178
289,119,408
459,671,1130
1008,337,1345
1075,95,1170
281,138,419
487,454,941
800,385,1185
1089,128,1217
328,165,493
528,461,989
821,268,1089
1075,145,1220
331,146,477
495,447,942
793,410,1203
1098,128,1226
337,166,503
538,683,1221
1052,358,1410
1100,79,1179
290,115,405
489,366,855
737,708,1445
1079,128,1207
318,142,460
495,468,963
818,448,1266
1081,57,1138
249,79,328
434,495,929
847,400,1247
1084,96,1180
291,100,391
458,798,1256
1153,456,1609
1080,128,1208
319,164,483
518,1017,1535
1368,501,1869
1087,79,1166
277,89,366
450,592,1042
950,275,1225
1094,145,1239
350,165,515
533,724,1257
1089,447,1536
1081,79,1160
271,86,357
441,513,954
865,247,1112
1097,147,1244
355,167,522
538,710,1248
1078,485,1563
1084,112,1196
307,119,426
477,417,894
772,402,1174
1074,121,1195
306,131,437
479,608,1087
953,358,1311
1094,145,1239
350,176,526
544,502,1046
867,284,1151
1089,57,1146
257,83,340
446,573,1019
933,261,1194
1086,125,1211
322,150,472
510,463,973
820,414,1234
1094,108,1202
313,152,465
520,704,1224
1069,276,1345
1082,128,1210
321,167,488
523,508,1031
861,428,1289
1085,95,1180
291,123,414
482,571,1053
927,206,1133
1083,91,1174
285,123,408
480,648,1128
1002,342,1344
1110,95,1205
316,180,496
564,629,1193
1010,283,1293
1085,136,1221
332,146,478
505,545,1050
901,426,1327
1083,128,1211
322,143,465
500,395,895
749,296,1045
1068,165,1233
344,162,506
504,614,1118
953,464,1417
1081,113,1194
305,128,433
483,257,740
609,381,990
1076,134,1210
321,147,468
497,379,876
726,368,1094
1080,114,1194
305,146,451
500,448,948
799,298,1097
1094,114,1208
319,166,485
534,247,781
612,292,904
1103,113,1216
327,225,552
602,610,1212
984,319,1303
1077,113,1190
301,149,450
500,665,1165
1013,411,1424
1088,112,1200
311,131,442
493,500,993
859,269,1128
1099,96,1195
306,135,441
508,539,1047
909,405,1314
1094,169,1263
374,207,581
575,486,1061
851,471,1322
1091,109,1200
311,177,488
542,477,1019
839,359,1198
1085,108,1193
304,131,435
490,676,1166
1032,610,1642
1092,96,1188
299,136,435
502,533,1035
896,367,1263
1080,112,1192
303,119,422
473,623,1096
974,260,1234
1089,96,1185
296,111,407
474,766,1240
1126,333,1459
1084,128,1212
323,124,447
482,521,1003
876,302,1178
1099,109,1208
319,140,459
513,750,1263
1120,393,1513
1098,131,1229
340,197,537
569,307,876
676,395,1071
1078,131,1209
320,152,472
504,490,994
839,592,1431
1098,128,1226
337,132,469
504,535,1039
904,500,1404
1080,79,1159
270,82,352
436,603,1039
954,357,1311
1097,129,1226
337,250,587
621,625,1246
993,325,1318
1096,169,1265
376,180,556
550,893,1443
1260,394,1654
1092,146,1238
349,168,517
534,365,899
728,394,1122
1090,147,1237
348,178,526
542,601,1143
962,465,1427
1092,79,1171
282,91,373
457,588,1045
951,323,1274
1098,147,1245
356,197,553
569,411,980
780,392,1172
1092,128,1220
331,157,488
523,680,1203
1043,453,1496
1079,128,1207
318,183,501
536,510,1046
860,267,1127
1083,130,1213
324,157,481
514,634,1148
988,526,1514
1085,128,1213
324,121,445
480,393,873
749,212,961
1086,115,1201
312,161,473
521,688,1209
1045,416,1461
1064,92,1156
267,74,341
412,670,1082
1005,444,1449
1085,148,1233
344,238,582
597,784,1381
1140,431,1571
1084,112,1196
307,143,450
501,549,1050
904,317,1221
1079,112,1191
302,160,462
513,657,1170
1007,298,1305
1095,142,1237
348,164,512
533,398,931
764,406,1170
1087,113,1200
311,141,452
502,512,1014
870,317,1187
1092,113,1205
316,156,472
522,646,1168
1009,458,1467
1108,131,1239
350,169,519
551,366,917
745,320,1065
1095,111,1206
317,166,483
535,538,1073
904,488,1392
1090,93,1183
294,122,416
486,601,1087
962,554,1516
1105,147,1252
363,195,558
574,417,991
793,393,1186
1089,129,1218
329,173,502
536,424,960
784,396,1180
1083,128,1211
322,142,464
499,294,793
648,295,943
1076,93,1169
280,94,374
444,507,951
854,454,1308
1082,112,1194
305,98,403
454,338,792
691,414,1105
1088,112,1200
311,125,436
487,235,722
