prompt_tokens,completion_tokens,total_tokens
1036,171,1207
318,264,582
574,990,1564
1297,373,1670
1033,213,1246
357,253,610
560,761,1321
1065,360,1425
1034,174,1208
319,274,593
582,785,1367
1090,455,1545
1037,199,1236
347,387,734
698,634,1332
942,497,1439
1035,227,1262
373,288,661
597,564,1161
870,396,1266
1031,176,1207
318,291,609
596,721,1317
1023,413,1436
1037,150,1187
298,241,539
552,730,1282
1038,371,1409
1032,150,1182
293,268,561
574,618,1192
921,376,1297
1033,167,1200
311,186,497
493,666,1159
970,406,1376
1038,200,1238
349,316,665
628,625,1253
934,402,1336
1036,176,1212
323,238,561
548,707,1255
1014,374,1388
1035,172,1207
318,223,541
532,577,1109
883,377,1260
1039,150,1189
300,255,555
568,555,1123
865,371,1236
1048,202,1250
361,257,618
579,982,1561
1301,629,1930
1035,174,1209
320,253,573
562,862,1424
1168,428,1596
1038,178,1216
327,272,599
584,878,1462
1187,410,1597
1034,177,1211
322,292,614
600,691,1291
996,362,1358
1036,186,1222
333,227,560
537,1124,1661
1431,550,1981
1040,171,1211
322,293,615
607,1059,1666
1370,421,1791
1042,178,1220
331,255,586
571,944,1515
1257,409,1666
1038,150,1188
299,237,536
549,687,1236
996,346,1342
1040,212,1252
363,355,718
669,899,1568
1210,454,1664
1031,172,1203
314,288,602
593,761,1354
1063,399,1462
1035,178,1213
324,279,603
588,723,1311
1029,440,1469
1036,167,1203
314,188,502
498,941,1439
1248,397,1645
1033,171,1204
315,260,575
567,638,1205
942,508,1450
1038,137,1175
286,199,485
511,695,1206
1004,250,1254
1031,150,1181
292,272,564
577,550,1127
852,357,1209
1036,176,1212
323,312,635
622,996,1618
1303,429,1732
1036,207,1243
354,330,684
640,959,1599
1266,400,1666
1034,169,1203
314,185,499
493,673,1166
978,520,1498
1033,167,1200
311,200,511
507,948,1455
1252,642,1894
1030,184,1214
325,306,631
610,755,1365
1056,363,1419
1037,178,1215
326,294,620
605,577,1182
885,485,1370
1031,199,1230
341,350,691
655,603,1258
905,329,1234
1031,167,1198
309,217,526
522,893,1415
1195,395,1590
1050,150,1200
311,268,579
592,1149,1741
1470,523,1993
1034,178,1212
323,276,599
584,994,1578
1299,363,1662
1050,150,1200
