prompt_tokens,completion_tokens,total_tokens
978,169,1147
258,193,451
445,463,908
711,290,1001
979,130,1109
220,150,370
403,689,1092
939,376,1315
1041,136,1177
288,160,448
475,829,1304
1141,975,2116
990,114,1104
215,114,329
378,793,1171
1054,495,1549
1001,114,1115
226,130,356
405,787,1192
1059,655,1714
996,114,1110
221,109,330
379,750,1129
1017,824,1841
981,114,1095
206,111,317
366,774,1140
1026,330,1356
985,79,1064
175,84,259
343,835,1178
1091,525,1616
985,114,1099
210,126,336
385,887,1272
1143,487,1630
1001,95,1096
207,119,326
394,771,1165
1043,970,2013
1013,136,1149
260,148,408
435,970,1405
1254,1190,2444
983,114,1097
208,127,335
384,724,1108
978,332,1310
1033,114,1147
258,147,405
454,922,1376
1226,891,2117
1056,153,1209
320,203,523
533,1060,1593
1387,1247,2634
1009,114,1123
234,127,361
410,940,1350
1220,1259,2479
983,79,1062
173,73,246
330,647,977
901,352,1253
983,114,1097
208,112,320
369,841,1210
1095,519,1614
980,152,1132
243,177,420
431,539,970
790,281,1071
987,114,1101
212,124,336
385,810,1195
1068,396,1464
1021,136,1157
268,162,430
457,918,1375
1210,747,1957
983,114,1097
208,125,333
382,894,1276
1148,494,1642
981,79,1060
171,78,249
333,595,928
847,179,1026
1012,136,1148
259,138,397
424,909,1333
1192,984,2176
987,114,1101
212,112,324
373,685,1058
943,296,1239
984,114,1098
209,112,321
370,695,1065
950,317,1267
983,114,1097
208,109,317
366,648,1014
902,254,1156
980,130,1110
221,168,389
422,927,1349
1178,391,1569
986,114,1100
211,113,324
373,839,1212
1096,412,1508
1067,169,1236
347,181,528
522,719,1241
1058,2258,3316
983,114,1097
208,114,322
371,736,1107
990,341,1331
1029,114,1143
254,139,393
442,831,1273
1131,1276,2407
981,95,1076
187,134,321
389,648,1037
900,471,1371
994,136,1130
241,148,389
416,781,1197
1046,483,1529
987,114,1101
212,115,327
376,737,1113
995,463,1458
979,114,1093
204,110,314
363,512,875
762,457,1219
1003,79,1082
193,100,293
377,861,1238
1135,820,1955
980,79,1059
170,104,274
358,748,1106
999,315,1314
997,95,1092
203,142,345
413,755,1168
1023,1646,2669
984,169,1153
264,219,483
477,637,1114
892,363,1255
1016,136,1152
263,162,425
452,803,1255
1090,1077,2167
983,95,1078
189,148,337
405,953,1358
1207,596,1803
1025,136,1161
272,176,448
475,876,1351
1172,1645,2817
979,152,1131
242,172,414
425,705,1130
955,386,1341
981,114,1095
206,106,312
361,676,1037
928,332,1260
995,114,1109
220,121,341
390,852,1242
1118,658,1776
981,95,1076
187,123,310
378,767,1145
1019,716,1735
986,152,1138
249,163,412
423,965,1388
1222,718,1940
1059,114,1173
284,144,428
477,892,1369
1222,976,2198
989,136,1125
236,152,388
415,948,1363
1208,517,1725
987,136,1123
234,138,372
399,718,1117
976,417,1393
983,114,1097
208,143,351
400,734,1134
988,441,1429
989,114,1103
214,108,322
371,692,1063
952,473,1425
981,114,1095
206,107,313
362,642,1004
894,494,1388
984,114,1098
209,107,316
365,715,1080
970,310,1280
