prompt_tokens,completion_tokens,total_tokens
1038,169,1207
318,155,473
467,657,1124
966,562,1528
1031,202,1233
344,197,541
502,740,1242
1042,598,1640
1094,169,1263
374,178,552
546,850,1396
1215,745,1960
1121,168,1289
400,155,555
550,1313,1863
1705,670,2375
1105,202,1307
418,185,603
564,719,1283
1095,837,1932
1043,185,1228
339,166,505
483,754,1237
1068,812,1880
1101,151,1252
363,143,506
518,992,1510
1364,671,2035
1107,185,1292
403,236,639
617,759,1376
1137,730,1867
1075,214,1289
400,183,583
532,787,1319
1133,702,1835
1086,126,1212
323,140,463
500,699,1199
1056,700,1756
1099,126,1225
336,146,482
519,660,1179
1030,625,1655
1070,152,1222
333,165,498
509,918,1427
1259,1100,2359
1113,152,1265
376,179,555
566,610,1176
994,576,1570
1079,152,1231
342,161,503
514,771,1285
1121,678,1799
1143,185,1328
439,178,617
595,861,1456
1275,1029,2304
1145,165,1310
421,190,611
609,783,1392
1199,1056,2255
1069,108,1177
288,106,394
449,672,1121
1012,617,1629
1077,169,1246
357,172,529
523,840,1363
1188,798,1986
1073,202,1275
386,203,589
550,599,1149
943,597,1540
1097,169,1266
377,163,540
534,1114,1648
1482,656,2138
1156,130,1286
397,126,523
556,535,1091
962,550,1512
1070,181,1251
362,170,532
514,985,1499
1326,595,1921
1094,181,1275
386,180,566
548,1131,1679
1496,970,2466
1119,169,1288
399,183,582
576,515,1091
905,577,1482
1130,118,1248
359,172,531
576,660,1236
1061,926,1987
1072,196,1268
379,214,593
560,536,1096
879,527,1406
1074,197,1271
382,196,578
544,735,1279
1080,429,1509
1094,169,1263
374,169,543
537,844,1381
1209,919,2128
1168,152,1320
431,196,627
638,713,1351
1152,744,1896
1083,202,1285
396,190,586
547,879,1426
1233,839,2072
1115,185,1300
411,180,591
569,1063,1632
1449,1245,2694
1071,202,1273
384,197,581
542,998,1540
1340,735,2075
1162,202,1364
475,255,730
691,816,1507
1249,970,2219
1067,202,1269
380,188,568
529,959,1488
1297,710,2007
1125,165,1290
401,195,596
594,1027,1621
1423,1006,2429
1076,185,1261
372,191,563
541,799,1340
1146,851,1997
1106,148,1254
365,138,503
518,873,1391
1250,1399,2649
1100,153,1253
364,205,569
579,751,1330
1122,910,2032
1072,202,1274
385,191,576
537,738,1275
1081,930,2011
1107,126,1233
344,126,470
507,962,1469
1340,946,2286
1116,169,1285
396,167,563
557,1171,1728
1558,1042,2600
1088,169,1257
368,165,533
527,671,1198
1030,665,1695
1082,202,1284
395,187,582
543,919,1462
1272,1186,2458
1148,130,1278
389,143,532
565,1027,1592
1446,899,2345
1132,152,1284
395,131,526
537,1135,1672
1538,727,2265
1054,169,1223
334,166,500
494,715,1209
1040,608,1648
1073,214,1287
398,205,603
552,658,1210
1002,756,1758
1056,169,1225
336,148,484
478,599,1077
926,596,1522
1043,202,1245
356,192,548
509,550,1059
864,489,1353
1067,185,1252
363,169,532
510,610,1120
948,811,1759
1056,180,1236
347,186,533
516,518,1034
845,832,1677
1042,202,1244
355,183,538
499,741,1240
1054,684,1738
1048,202,1250
361,187,548
509,730,1239
1049,401,1450
1135,169,1304
415,163,578
572,889,1461
1295,767,2062
1084,169,1253
364,165,529
523,810,1333
1165,819,1984
1087,126,1213
324,136,460
497,733,1230
1091,759,1850
1055,152,1207
318,182,500
511,774,1285
1100,665,1765
1081,163,1244
355,154,509
509,828,1337
1180,704,1884
1167,169,1336
447,173,620
614,1063,1677
1087,185,1272
383,167,550
528,946,1474
1304,527,1831
1055,169,1224
335,169,504
498,908,1406
1234,1150,2384
1081,197,1278
389,178,567
533,826,1359
1178,669,1847
1167,185,1352
463,245,708
686,882,1568
1320,1154,2474
1101,185,1286
397,169,566
544,824,1368
1196,909,2105
1127,126,1253
364,129,493
530,752,1282
1150,732,1882
1034,169,1203
314,165,479
473,740,1213
1045,679,1724
1103,169,1272
383,175,558
552,876,1428
1250,1240,2490
1102,151,1253
364,154,518
530,806,1336
1179,717,1896
1079,196,1275
386,191,577
544,875,1419
1225,931,2156
1110,169,1279
390,145,535
529,868,1397
1249,713,1962
1112,169,1281
392,177,569
563,819,1382
1202,774,1976
1070,169,1239
350,174,524
518,697,1215
1038,846,1884
1128,169,1297
408,163,571
565,1078,1643
1477,1161,2638
1109,169,1278
389,180,569
563,882,1445
1262,1073,2335
1058,169,1227
338,161,499
493,744,1237
1073,842,1915
1080,202,1282
393,172,565
526,597,1123
948,556,1504
1083,169,1252
363,167,530
524,707,1231
1061,554,1615
1068,151,1219
330,134,464
476,798,1274
1137,908,2045
1117,181,1298
409,182,591
573,1182,1755
1570,787,2357
1143,152,1295
406,159,565
576,1119,1695
1533,961,2494
1124,181,1305
416,183,599
581,1077,1658
1472,906,2378
1090,165,1255
366,168,534
532,667,1199
1028,765,1793
1067,147,1214
325,154,479
495,761,1256
1099,704,1803
1088,163,1251
362,168,530
530,957,1487
1316,761,2077
1091,169,1260
371,169,540
534,692,1226
1054,576,1630
1164,185,1349
460,238,698
676,846,1522
1281,937,2218
1093,151,1244
355,141,496
508,777,1285
1141,917,2058
