prompt_tokens,completion_tokens,total_tokens
1170,187,1357
468,213,681
657,1532,2189
1973,909,2882
1092,165,1257
368,168,536
534,933,1467
1296,727,2023
1099,204,1303
414,223,637
596,735,1331
1105,718,1823
1053,130,1183
294,170,464
497,787,1284
1111,367,1478
1126,187,1313
424,219,643
619,762,1381
1159,632,1791
1142,165,1307
418,205,623
621,1015,1636
1428,1030,2458
1078,187,1265
376,199,575
551,1035,1586
1384,461,1845
1155,187,1342
453,207,660
636,1456,2092
1883,892,2775
1098,147,1245
356,171,527
543,1235,1778
1604,605,2209
1105,187,1292
403,207,610
586,1161,1747
1537,727,2264
1157,186,1343
454,205,659
636,1575,2211
2003,984,2987
1099,187,1286
397,222,619
595,1259,1854
1629,818,2447
1119,165,1284
395,178,573
571,691,1262
1081,545,1626
1115,165,1280
391,195,586
584,887,1471
1273,639,1912
1110,204,1314
425,228,653
612,662,1274
1043,605,1648
1115,187,1302
413,211,624
600,933,1533
1319,645,1964
1144,187,1331
442,214,656
632,621,1253
1036,1185,2221
1209,165,1374
485,174,659
657,720,1377
1200,984,2184
1126,187,1313
424,215,639
615,1132,1747
1529,806,2335
1131,187,1318
429,212,641
617,1394,2011
1796,1011,2807
1118,204,1322
433,245,678
637,798,1435
1187,1047,2234
1183,187,1370
481,216,697
673,693,1366
1147,965,2112
1131,187,1318
429,188,617
593,1389,1982
1791,1130,2921
1179,169,1348
459,186,645
639,1512,2151
1962,947,2909
1183,130,1313
424,155,579
612,1289,1901
1743,863,2606
1118,187,1305
416,196,612
588,1245,1833
1634,967,2601
1079,187,1266
377,207,584
560,748,1308
1098,502,1600
1131,204,1335
446,214,660
619,1223,1842
1625,658,2283
1131,187,1318
429,208,637
613,1173,1786
1575,731,2306
1098,204,1302
413,225,638
597,1044,1641
1413,669,2082
1118,169,1287
398,193,591
585,1079,1664
1468,590,2058
1117,187,1304
415,212,627
603,1312,1915
1118,187,1305
416,210,626
602,929,1531
1318,440,1758
1117,187,1304
415,204,619
595,759,1354
1147,617,1764
1113,187,1300
411,211,622
598,1227,1825
1611,998,2609
1119,187,1306
417,223,640
616,955,1571
1345,1065,2410
1130,187,1317
428,207,635
611,815,1426
1216,694,1910
1102,187,1289
400,217,617
593,1154,1747
1527,588,2115
1157,169,1326
437,213,650
644,1319,1963
1747,1268,3015
1079,170,1249
360,274,634
627,780,1407
1130,580,1710
1102,187,1289
400,220,620
596,1373,1969
1746,733,2479
1052,187,1239
350,232,582
558,913,1471
1236,324,1560
1144,187,1331
442,212,654
630,1134,1764
1549,403,1952
1105,204,1309
420,220,640
599,855,1454
1231,847,2078
1100,187,1287
398,208,606
582,987,1569
1358,844,2202
1053,204,1257
368,231,599
558,1032,1590
1356,513,1869
1079,186,1265
376,199,575
552,788,1340
1138,643,1781
1115,187,1302
413,218,631
607,1511,2118
1897,703,2600
1119,165,1284
395,177,572
570,1419,1989
1809,789,2598
1092,130,1222
333,170,503
536,1051,1587
1414,1185,2599
1144,187,1331
442,198,640
616,963,1579
1378,469,1847
1144,187,1331
442,205,647
623,1461,2084
1876,870,2746
1180,169,1349
460,168,628
622,1265,1887
1716,1246,2962
1144,165,1309
420,174,594
592,769,1361
1184,727,1911
1131,187,1318
429,204,633
609,1178,1787
1580,874,2454
1131,187,1318
429,200,629
605,1502,2107
1904,895,2799
1131,152,1283
394,178,572
583,1273,1856
1675,860,2535
1053,187,1240
351,220,571
547,704,1251
1028,446,1474
1092,187,1279
390,213,603
579,1208,1787
1571,456,2027
1144,187,1331
442,213,655
631,1515,2146
1930,1094,3024
1118,187,1305
416,210,626
602,839,1441
1228,709,1937
1113,165,1278
389,177,566
564,571,1135
955,662,1617
1131,187,1318
429,205,634
610,1480,2090
1882,908,2790
1103,187,1290
401,222,623
599,1219,1818
1593,740,2333
1099,187,1286
397,234,631
607,1034,1641
1404,622,2026
1118,187,1305
416,219,635
611,1278,1889
1667,1128,2795
1079,187,1266
377,210,587
563,780,1343
1130,572,1702
1119,187,1306
417,214,631
607,881,1488
1271,680,1951
1111,187,1298
409,221,630
606,760,1366
1142,691,1833
1117,204,1321
432,230,662
621,1091,1712
1479,593,2072
1053,147,1200
311,168,479
495,729,1224
1053,454,1507
1102,187,1289
400,209,609
585,996,1581
1369,609,1978
1091,187,1278
389,193,582
558,832,1390
1194,470,1664
1119,165,1284
395,176,571
569,1210,1779
1600,704,2304
1100,204,1304
415,233,648
607,1100,1707
1471,716,2187
1053,147,1200
311,186,497
513,831,1344
1155,346,1501
1053,187,1240
351,230,581
557,680,1237
1004,395,1399
1053,204,1257
368,230,598
557,682,1239
1006,468,1474
1101,187,1288
399,219,618
594,811,1405
1183,566,1749
1105,187,1292
403,205,608
584,742,1326
1118,996,2114
1101,187,1288
399,200,599
575,984,1559
1356,995,2351
1053,204,1257
368,232,600
559,815,1374
1139,379,1518
1111,187,1298
409,208,617
593,1155,1748
1537,746,2283
1183,130,1313
424,170,594
627,1710,2337
2164,1668,3832
1131,186,1317
428,208,636
613,915,1528
1317,656,1973
1079,187,1266
377,197,574
550,1225,1775
1575,593,2168
1086,187,1273
384,194,578
554,1254,1808
1611,559,2170
1052,169,1221
332,178,510
504,996,1500
1319,439,1758
1102,187,1289
400,194,594
570,1164,1734
1537,727,2264
1100,187,1287
398,207,605
581,1108,1689
1479,610,2089
1170,165,1335
446,171,617
615,656,1271
1097,1139,2236
1118,151,1269
380,168,548
560,866,1426
1255,814,2069
1128,187,1315
426,204,630
606,1360,1966
1759,634,2393
1144,187,1331
442,210,652
628,1319,1947
1734,1301,3035
1077,165,1242
353,197,550
548,1113,1661
1461,728,2189
1100,187,1287
398,211,609
585,605,1190
976,674,1650
1131,187,1318
429,205,634
610,890,1500
1292,736,2028
1119,130,1249
360,163,523
556,1292,1848
1682,777,2459
1144,170,1314
425,307,732
725,1085,1810
1500,898,2398
1105,187,1292
403,212,615
591,944,1535
1320,529,1849
1100,169,1269
380,173,553
547,746,1293
1117,489,1606
1144,169,1313
424,185,609
603,911,1514
1326,487,1813
1144,165,1309
420,186,606
604,1075,1679
1490,761,2251
1077,187,1264
375,205,580
556,1046,1602
1394,647,2041
1129,187,1316
427,204,631
607,499,1106
899,875,1774
1157,204,1361
472,214,686
645,1571,2216
1999,1023,3022
1114,187,1301
412,241,653
629,834,1463
1219,712,1931
1179,169,1348
459,192,651
645,1547,2192
1997,955,2952
1092,170,1262
373,258,631
624,947,1571
1310,939,2249
1053,147,1200
311,189,500
516,1135,1651
1459,473,1932
1144,165,1309
420,176,596
594,1321,1915
1736,692,2428
1119,187,1306
417,222,639
615,827,1442
1217,662,1879
1115,187,1302
413,226,639
615,976,1591
1362,844,2206
1100,187,1287
398,216,614
590,838,1428
1209,519,1728
1131,130,1261
372,181,553
586,1243,1829
1645,744,2389
1156,187,1343
454,211,665
641,959,1600
1386,620,2006
1099,187,1286
397,225,622
598,1505,2103
1875,878,2753
1092,170,1262
373,219,592
585,1151,1736
1514,835,2349
1078,165,1243
354,195,549
547,1130,1677
1479,600,2079
1196,186,1382
493,215,708
685,1186,1871
1653,1001,2654
1115,165,1280
391,188,579
577,1353,1930
1739,860,2599
1053,187,1240
351,211,562
538,1030,1568
1354,464,1818
1126,187,1313
424,216,640
616,1028,1644
1425,790,2215
1144,165,1309
420,168,588
586,713,1299
1128,1065,2193
1131,187,1318
429,203,632
608,840,1448
1242,852,2094
1052,204,1256
367,223,590
549,944,1493
1267,488,1755
1117,165,1282
393,178,571
569,759,1328
1147,592,1739
1170,187,1357
468,201,669
645,1508,2153
1949,1048,2997
1170,204,1374
485,214,699
658,757,1415
1198,737,1935
1092,187,1279
390,195,585
561,796,1357
1159,635,1794
1115,165,1280
391,179,570
568,915,1483
1301,971,2272
1177,187,1364
475,203,678
654,1520,2174
1969,1869,3838
1128,187,1315
426,206,632
608,1215,1823
1614,751,2365
1222,186,1408
519,213,732
709,1065,1774
1558,785,2343
1053,204,1257
368,228,596
555,713,1268
1037,277,1314
1092,130,1222
333,163,496
529,770,1299
1133,494,1627
1100,187,1287
398,208,606
582,1261,1843
1632,851,2483
1100,187,1287
