prompt_tokens,completion_tokens,total_tokens
993,187,1180
291,220,511
487,641,1128
905,359,1264
991,165,1156
267,193,460
458,911,1369
1173,317,1490
991,187,1178
289,219,508
484,755,1239
1017,259,1276
989,165,1154
265,194,459
457,1020,1477
1280,640,1920
993,187,1180
291,218,509
485,720,1205
984,322,1306
989,165,1154
265,176,441
439,709,1148
969,257,1226
993,165,1158
269,181,450
448,624,1072
888,242,1130
995,165,1160
271,174,445
443,992,1435
1258,257,1515
1001,165,1166
277,171,448
446,895,1341
1167,237,1404
987,165,1152
263,177,440
438,546,984
804,453,1257
993,165,1158
269,199,468
466,860,1326
1124,349,1473
991,165,1156
267,178,445
443,669,1112
931,328,1259
1005,187,1192
303,199,502
478,963,1441
1239,391,1630
985,165,1150
261,195,456
454,574,1028
830,209,1039
983,187,1170
281,216,497
473,776,1249
1030,425,1455
987,187,1174
285,213,498
474,1036,1510
1294,515,1809
987,169,1156
267,203,470
464,749,1213
1007,448,1455
991,165,1156
267,188,455
453,632,1085
894,543,1437
999,165,1164
275,192,467
465,582,1047
852,423,1275
997,165,1162
273,182,455
453,864,1317
1132,281,1413
995,165,1160
271,171,442
440,720,1160
986,367,1353
997,165,1162
273,167,440
438,569,1007
837,425,1262
989,165,1154
265,188,453
451,884,1335
1144,360,1504
987,165,1152
263,181,444
442,937,1379
1195,382,1577
991,165,1156
267,191,458
456,668,1124
930,520,1450
993,187,1180
291,205,496
472,809,1281
1073,276,1349
987,187,1174
285,219,504
480,692,1172
950,580,1530
995,165,1160
271,181,452
450,663,1113
929,429,1358
993,165,1158
269,195,464
462,626,1088
890,466,1356
999,165,1164
275,201,476
474,1096,1570
1366,540,1906
989,165,1154
265,188,453
451,701,1152
961,254,1215
999,165,1164
275,197,472
470,751,1221
1021,488,1509
985,165,1150
261,183,444
442,708,1150
964,215,1179
995,165,1160
271,194,465
463,670,1133
936,600,1536
999,165,1164
275,209,484
482,741,1223
1011,461,1472
999,165,1164
275,180,455
453,1020,1473
1290,531,1821
999,165,1164
275,185,460
458,831,1289
1101,300,1401
991,165,1156
267,184,451
449,909,1358
1171,371,1542
993,187,1180
291,215,506
483,706,1189
970,417,1387
983,165,1148
259,179,438
436,586,1022
840,342,1182
995,165,1160
271,204,475
473,641,1114
907,481,1388
995,165,1160
271,182,453
451,632,1083
898,312,1210
985,187,1172
283,213,496
472,642,1114
898,387,1285
993,165,1158
269,203,472
470,702,1172
966,261,1227
995,187,1182
293,203,496
472,595,1067
861,660,1521
993,165,1158
269,176,445
443,995,1438
1259,616,1875
991,187,1178
289,217,506
482,695,1177
957,434,1391
1001,165,1166
277,197,474
472,713,1185
985,519,1504
991,187,1178
289,201,490
466,768,1234
1030,648,1678
993,165,1158
269,181,450
448,815,1263
1079,499,1578
993,165,1158
269,180,449
447,949,1396
1213,285,1498
985,187,1172
283,195,478
454,649,1103
905,353,1258
989,165,1154
265,194,459
457,1016,1473
1276,533,1809
1005,187,1192
303,219,522
498,664,1162
940,633,1573
993,165,1158
269,191,460
458,619,1077
883,531,1414
1005,187,1192
303,203,506
482,705,1187
981,519,1500
997,187,1184
295,215,510
486,774,1260
1042,405,1447
1003,204,1207
318,238,556
515,935,1450
1209,230,1439
997,165,1162
273,177,450
448,664,1112
932,543,1475
999,165,1164
275,210,485
483,589,1072
859,228,1087
995,165,1160
271,183,454
452,657,1109
923,321,1244
995,165,1160
271,182,453
451,628,1079
894,460,1354
987,165,1152
263,188,451
449,860,1309
1118,403,1521
987,200,1187
298,213,511
474,730,1204
988,283,1271
997,165,1162
273,170,443
441,964,1405
