prompt_tokens,completion_tokens,total_tokens
1109,135,1244
355,153,508
536,746,1282
1126,227,1353
1123,153,1276
387,159,546
556,452,1008
846,412,1258
1115,169,1284
395,185,580
574,560,1134
946,385,1331
1127,152,1279
390,228,618
629,702,1331
1100,370,1470
1125,169,1294
405,196,601
595,545,1140
941,434,1375
1127,153,1280
391,209,600
610,692,1302
1090,301,1391
1096,185,1281
392,235,627
605,540,1145
907,535,1442
1066,187,1253
364,213,577
553,507,1060
844,501,1345
1117,169,1286
397,193,590
584,482,1066
870,463,1333
1124,173,1297
408,252,660
650,628,1278
1023,771,1794
1126,185,1311
422,196,618
596,495,1091
892,409,1301
1119,185,1304
415,180,595
573,742,1315
1132,514,1646
1125,169,1294
405,190,595
589,541,1130
937,451,1388
1066,185,1251
362,222,584
562,796,1358
1133,594,1727
1116,169,1285
396,193,589
583,562,1145
949,506,1455
1119,169,1288
399,184,583
577,487,1064
877,377,1254
1128,136,1264
375,149,524
551,656,1207
1055,509,1564
1119,134,1253
364,149,513
542,406,948
796,318,1114
1061,185,1246
357,247,604
582,791,1373
1123,747,1870
1062,169,1231
342,201,543
537,423,960
756,287,1043
1132,152,1284
395,167,562
573,835,1408
1238,452,1690
1112,185,1297
408,239,647
625,928,1553
1311,494,1805
1063,153,1216
327,191,518
528,602,1130
936,665,1601
1108,185,1293
404,242,646
624,679,1303
1058,659,1717
1123,169,1292
403,192,595
589,722,1311
1116,415,1531
1120,185,1305
416,198,614
592,674,1266
1065,334,1399
1067,169,1236
347,188,535
529,710,1239
1048,307,1355
1085,153,1238
349,183,532
542,636,1178
992,589,1581
1067,185,1252
363,252,615
593,645,1238
983,412,1395
1061,185,1246
357,231,588
566,707,1273
1039,401,1440
1117,169,1286
397,190,587
581,771,1352
1159,333,1492
1119,169,1288
399,202,601
595,662,1257
1052,356,1408
1081,153,1234
345,187,532
542,568,1110
920,233,1153
1125,169,1294
405,182,587
581,718,1299
1114,435,1549
1086,153,1239
350,179,529
539,893,1432
1250,829,2079
1125,169,1294
405,199,604
598,567,1165
963,630,1593
1113,169,1282
393,199,592
586,458,1044
842,457,1299
1123,169,1292
403,189,592
586,530,1116
924,548,1472
1065,163,1228
339,182,521
521,623,1144
959,352,1311
1129,136,1265
376,156,532
559,571,1130
971,571,1542
1113,185,1298
409,276,685
663,861,1524
1245,647,1892
1066,163,1229
340,215,555
555,514,1069
851,457,1308
1119,152,1271
382,176,558
569,671,1240
1061,628,1689
1122,136,1258
369,167,536
563,552,1115
945,427,1372
1121,185,1306
417,239,656
634,567,1201
959,399,1358
1114,169,1283
394,189,583
577,618,1195
1003,521,1524
1132,169,1301
412,208,620
614,636,1250
1039,504,1543
1116,153,1269
380,153,533
543,572,1115
959,362,1321
1112,169,1281
392,191,583
577,529,1106
912,381,1293
1113,185,1298
409,208,617
595,554,1149
938,647,1585
1123,152,1275
386,196,582
593,682,1275
1076,360,1436
1127,153,1280
391,191,582
592,506,1098
904,522,1426
1123,185,1308
419,200,619
597,517,1114
911,613,1524
1124,153,1277
388,195,583
593,500,1093
895,511,1406
1115,152,1267
378,168,546
557,577,1134
963,517,1480
1113,169,1282
393,184,577
571,949,1520
1333,262,1595
1064,153,1217
328,160,488
498,556,1054
891,286,1177
1125,169,1294
405,200,605
599,607,1206
1003,498,1501
1113,136,1249
360,166,526
553,486,1039
870,462,1332
1122,185,1307
418,260,678
656,698,1354
1091,701,1792
1117,169,1286
397,206,603
597,915,1512
1303,458,1761
1102,169,1271
382,205,587
581,827,1408
1200,363,1563
1125,169,1294
405,178,583
577,468,1045
864,390,1254
1109,189,1298
409,236,645
619,549,1168
929,588,1517
1117,169,1286
397,186,583
577,540,1117
928,369,1297
1125,169,1294
405,188,593
587,518,1105
914,313,1227
1109,185,1294
405,227,632
610,948,1558
1328,504,1832
1131,185,1316
427,206,633
611,565,1176
967,624,1591
1102,185,1287
398,254,652
630,731,1361
1104,419,1523
1120,152,1272
383,158,541
552,857,1409
1248,432,1680
1115,153,1268
379,183,562
572,524,1096
910,381,1291
1126,153,1279
390,211,601
611,652,1263
1049,389,1438
1064,185,1249
360,237,597
575,676,1251
1011,426,1437
1103,185,1288
399,233,632
610,891,1501
1265,383,1648
1134,169,1303
414,187,601
595,469,1064
874,358,1232
1134,169,1303
414,177,591
585,826,1411
1231,771,2002
1131,169,1300
411,202,613
607,809,1416
1211,417,1628
1109,185,1294
405,241,646
624,544,1168
924,510,1434
1081,135,1216
327,164,491
519,685,1204
1037,361,1398
1127,169,1296
407,208,615
609,529,1138
927,332,1259
1127,153,1280
391,176,567
577,498,1075
896,319,1215
1123,169,1292
403,195,598
592,498,1090
892,472,1364
1132,152,1284
395,154,549
560,766,1326
1169,421,1590
1067,185,1252
363,245,608
586,699,1285
1037,325,1362
1121,136,1257
368,140,508
535,702,1237
1094,650,1744
1114,185,1299
410,191,601
579,618,1197
1003,577,1580
1107,185,1292
403,225,628
606,854,1460
1232,424,1656
1113,169,1282
393,196,589
583,615,1198
999,328,1327
1124,185,1309
420,193,613
591,647,1238
1042,622,1664
1123,169,1292
403,194,597
591,472,1063
866,466,1332
1125,153,1278
389,169,558
568,632,1200
1028,587,1615
1117,189,1306
417,218,635
609,570,1179
958,461,1419
1065,169,1234
345,191,536
530,489,1019
825,313,1138
1066,130,1196
307,156,463
496,436,932
773,353,1126
1127,153,1280
391,182,573
583,473,1056
871,396,1267
1117,152,1269
380,170,550
561,743,1304
1131,277,1408
1108,169,1277
388,188,576
570,539,1109
918,503,1421
1119,185,1304
415,222,637
615,553,1168
943,489,1432
1109,169,1278
389,195,584
578,486,1064
866,357,1223
1117,169,1286
397,190,587
581,562,1143
950,560,1510
1064,153,1217
328,187,515
525,553,1078
888,488,1376
1132,136,1268
379,151,530
557,560,1117
963,364,1327
1067,169,1236
347,200,547
541,554,1095
892,214,1106
1134,153,1287
398,156,554
564,571,1135
976,534,1510
1113,152,1265
376,174,550
561,665,1226
1049,401,1450
1127,181,1308
419,233,652
634,808,1442
1206,388,1594
1123,136,1259
370,164,534
561,630,1191
1024,547,1571
1124,153,1277
388,182,570
580,545,1125
940,620,1560
1129,169,1298
409,215,624
618,758,1376
1158,578,1736
1125,169,1294
405,207,612
606,418,1024
814,544,1358
1125,169,1294
405,202,607
601,559,1160
955,530,1485
1124,169,1293
404,227,631
625,745,1370
1140,329,1469
1113,130,1243
354,147,501
534,1017,1551
1401,533,1934
1123,131,1254
365,242,607
639,663,1302
1057,394,1451
1122,185,1307
418,234,652
630,694,1324
1087,210,1297
1110,169,1279
390,174,564
558,578,1136
959,559,1518
1124,185,1309
420,214,634
612,584,1196
979,547,1526
1127,169,1296
407,192,599
593,600,1193
998,434,1432
1125,153,1278
389,184,573
583,737,1320
1133,454,1587
1068,153,1221
332,189,521
531,453,984
792,316,1108
1123,169,1292
403,195,598
592,443,1035
837,441,1278
1066,187,1253
364,193,557
533,466,999
803,327,1130
1110,185,1295
406,186,592
570,600,1170
981,499,1480
1084,169,1253
364,208,572
566,823,1389
1178,420,1598
1065,181,1246
357,231,588
570,703,1273
1039,493,1532
1126,136,1262
373,174,547
574,370,944
767,415,1182
1064,169,1233
344,196,540
534,456,990
791,334,1125
1123,152,1275
386,198,584
595,597,1192
991,520,1511
1125,169,1294
405,185,590
584,457,1041
853,470,1323
1112,185,1297
408,190,598
576,675,1251
1058,741,1799
1127,153,1280
391,166,557
567,461,1028
859,457,1316
1127,169,1296
407,190,597
591,549,1140
