prompt_tokens,completion_tokens,total_tokens
1093,153,1246
357,190,547
557,659,1216
1023,240,1263
1181,185,1366
477,240,717
695,787,1482
1239,560,1799
1183,152,1335
446,188,634
645,589,1234
1043,406,1449
1181,153,1334
445,157,602
612,603,1215
1055,517,1572
1178,136,1314
425,214,639
666,742,1408
1191,644,1835
1127,153,1280
391,175,566
576,669,1245
1067,294,1361
1094,173,1267
378,191,569
559,781,1340
1146,423,1569
1177,185,1362
473,229,702
680,887,1567
1335,402,1737
1157,185,1342
453,282,735
713,875,1588
1303,491,1794
1161,187,1348
459,228,687
663,783,1446
1215,383,1598
1185,169,1354
465,224,689
683,545,1228
1001,335,1336
1179,136,1315
426,168,594
621,671,1292
1121,672,1793
1094,136,1230
341,139,480
507,794,1301
1159,354,1513
1182,136,1318
429,159,588
615,457,1072
910,469,1379
1184,173,1357
468,201,669
659,826,1485
1281,391,1672
1177,136,1313
424,166,590
617,549,1166
997,453,1450
1185,153,1338
449,196,645
655,924,1579
1380,497,1877
1169,169,1338
449,189,638
632,1035,1667
1475,478,1953
1175,153,1328
439,187,626
636,628,1264
1074,626,1700
1177,136,1313
424,161,585
612,570,1182
1018,470,1488
1184,136,1320
431,143,574
601,440,1041
895,452,1347
1179,169,1348
459,194,653
647,717,1364
1167,480,1647
1184,153,1337
448,183,631
641,577,1218
1032,519,1551
1183,153,1336
447,219,666
676,622,1298
1076,547,1623
1173,169,1342
453,188,641
635,622,1257
1066,497,1563
1186,152,1338
449,183,632
643,532,1175
989,371,1360
1181,136,1317
428,167,595
622,537,1159
989,636,1625
1093,169,1262
373,192,565
559,629,1188
993,437,1430
1171,185,1356
467,249,716
694,455,1149
897,565,1462
1181,136,1317
428,197,625
652,542,1194
994,538,1532
1159,185,1344
455,232,687
665,945,1610
1375,1128,2503
1100,151,1251
362,174,536
548,512,1060
883,497,1380
1096,153,1249
360,160,520
530,459,989
826,464,1290
1090,181,1271
382,218,600
582,497,1079
858,580,1438
1178,136,1314
425,161,586
613,759,1372
1208,863,2071
1183,136,1319
430,194,624
651,580,1231
1034,454,1488
1184,163,1347
458,217,675
675,595,1270
1050,850,1900
1185,171,1356
467,197,664
656,803,1459
1259,331,1590
1151,185,1336
447,234,681
659,707,1366
1129,426,1555
1132,153,1285
396,178,574
584,683,1267
1086,440,1526
1186,153,1339
450,229,679
689,666,1355
1123,809,1932
1163,153,1316
427,186,613
623,491,1114
925,382,1307
1169,185,1354
465,218,683
661,493,1154
933,497,1430
1166,152,1318
429,188,617
628,728,1356
1165,711,1876
1149,185,1334
445,223,668
646,554,1200
974,413,1387
1165,152,1317
428,178,606
617,721,1338
1157,651,1808
1095,153,1248
359,170,529
539,602,1141
968,522,1490
1179,169,1348
459,212,671
665,595,1260
1045,352,1397
1094,136,1230
341,140,481
508,734,1242
1099,366,1465
1172,185,1357
468,195,663
641,559,1200
1002,755,1757
1188,152,1340
451,217,668
679,681,1360
1140,465,1605
1093,169,1262
373,210,583
577,503,1080
867,362,1229
1121,153,1274
385,172,557
567,539,1106
931,412,1343
1173,169,1342
453,253,706
700,822,1522
1266,464,1730
1096,169,1265
376,251,627
621,448,1069
815,461,1276
1168,153,1321
432,172,604
614,567,1181
1006,410,1416
1171,173,1344
455,226,681
671,742,1413
1184,845,2029
1184,136,1320
431,226,657
684,508,1192
963,521,1484
1185,169,1354
465,195,660
654,481,1135
937,544,1481
1183,185,1368
479,231,710
688,682,1370
1136,751,1887
1121,153,1274
385,183,568
578,814,1392
1206,434,1640
1183,153,1336
447,214,661
671,487,1158
941,488,1429
1165,185,1350
461,221,682
660,561,1221
997,483,1480
1178,185,1363
474,270,744
722,718,1440
1167,434,1601
1100,151,1251
362,173,535
547,762,1309
1133,322,1455
1187,136,1323
434,174,608
635,830,1465
1288,673,1961
1093,169,1262
373,208,581
575,745,1320
1109,326,1435
1095,153,1248
359,164,523
533,758,1291
1124,403,1527
1170,185,1355
466,226,692
670,633,1303
1074,614,1688
1179,185,1364
475,250,725
703,721,1424
1171,499,1670
1190,136,1326
437,180,617
644,698,1342
1159,371,1530
1175,136,1311
422,180,602
629,403,1032
849,311,1160
1154,185,1339
450,243,693
671,652,1323
1077,493,1570
1173,185,1358
469,200,669
647,1111,1758
1555,1216,2771
1160,187,1347
458,202,660
636,586,1222
1017,615,1632
1190,153,1343
454,182,636
646,588,1234
1049,427,1476
1179,169,1348
459,192,651
645,611,1256
1061,532,1593
1161,169,1330
441,187,628
622,506,1128
938,368,1306
1190,165,1355
466,184,650
648,409,1057
870,442,1312
1165,187,1352
463,239,702
678,663,1341
1099,456,1555
1097,173,1270
381,175,556
546,504,1050
872,507,1379
1193,153,1346
457,176,633
643,654,1297
1118,333,1451
1186,153,1339
450,157,607
617,389,1006
846,622,1468
1164,153,1317
428,183,611
621,345,966
780,333,1113
1095,163,1258
369,193,562
562,609,1171
975,408,1383
1174,185,1359
470,234,704
682,588,1270
1033,401,1434
1181,114,1295
406,141,547
596,856,1452
1308,415,1723
1159,185,1344
455,217,672
650,490,1140
920,587,1507
1173,169,1342
453,186,639
633,865,1498
1309,516,1825
1154,185,1339
450,291,741
719,558,1277
983,610,1593
1095,169,1264
375,182,557
551,522,1073
888,323,1211
1173,169,1342
453,200,653
647,696,1343
1140,634,1774
1165,169,1334
445,189,634
628,749,1377
1185,599,1784
1183,152,1335
446,178,624
635,539,1174
993,513,1506
1097,153,1250
361,197,558
568,889,1457
1257,425,1682
1172,185,1357
468,208,676
654,613,1267
1056,574,1630
1199,169,1368
479,208,687
681,593,1274
1063,650,1713
1093,152,1245
356,219,575
586,450,1036
814,410,1224
1093,153,1246
357,179,536
546,578,1124
942,475,1417
1170,153,1323
434,178,612
622,474,1096
915,327,1242
1159,169,1328
439,195,634
628,487,1115
917,546,1463
1175,153,1328
439,175,614
624,440,1064
886,601,1487
1183,136,1319
430,216,646
673,727,1400
1181,425,1606
1173,169,1342
453,203,656
650,547,1197
991,541,1532
1187,152,1339
450,184,634
645,788,1433
1246,594,1840
1183,114,1297
408,177,585
634,803,1437
1257,412,1669
1181,114,1295
406,239,645
694,839,1533
1291,389,1680
1181,152,1333
444,200,644
655,490,1145
942,466,1408
1095,153,1248
359,162,521
531,621,1152
987,502,1489
1181,185,1366
477,245,722
700,814,1514
1266,539,1805
1184,130,1314
425,153,578
611,564,1175
1019,535,1554
1181,153,1334
445,181,626
636,510,1146
962,322,1284
1127,153,1280
391,172,563
573,433,1006
831,339,1170
1179,152,1331
442,190,632
643,493,1136
943,450,1393
1183,153,1336
447,210,657
667,652,1319
1106,474,1580
1177,147,1324
435,180,615
631,696,1327
1144,637,1781
1180,114,1294
405,137,542
591,581,1172
1032,540,1572
1187,153,1340
451,186,637
647,778,1425
1236,373,1609
1181,135,1316
