prompt_tokens,completion_tokens,total_tokens
1075,136,1211
322,150,472
499,529,1028
875,466,1341
1068,153,1221
332,163,495
505,590,1095
929,394,1323
1063,169,1232
343,192,535
529,545,1074
879,499,1378
1065,169,1234
345,183,528
522,442,964
778,435,1213
1061,169,1230
341,182,523
517,507,1024
839,470,1309
1069,153,1222
333,172,505
515,815,1330
1155,332,1487
1057,185,1242
353,191,544
522,421,943
749,392,1141
1035,185,1220
331,198,529
507,413,920
719,274,993
1069,153,1222
333,175,508
518,447,965
787,474,1261
1058,169,1227
338,176,514
508,642,1150
971,485,1456
1065,136,1201
312,153,465
492,418,910
754,270,1024
1065,185,1250
361,175,536
514,609,1123
945,460,1405
1077,169,1246
357,177,534
528,540,1068
888,525,1413
1064,169,1233
344,183,527
521,592,1113
927,309,1236
1073,169,1242
353,203,556
550,737,1287
1081,672,1753
1070,167,1237
348,183,531
527,728,1255
1069,500,1569
1067,185,1252
363,210,573
551,569,1120
907,354,1261
1057,169,1226
337,195,532
526,523,1049
851,266,1117
1042,185,1227
338,229,567
545,538,1083
851,297,1148
1035,185,1220
331,233,564
542,545,1087
851,515,1366
1059,185,1244
355,191,546
524,505,1029
835,457,1292
1071,169,1240
351,178,529
523,357,880
699,392,1091
1061,169,1230
341,184,525
519,388,907
720,280,1000
1063,185,1248
359,217,576
554,686,1240
1020,447,1467
1035,169,1204
315,211,526
520,589,1109
895,275,1170
1038,169,1207
318,198,516
510,507,1017
816,450,1266
1063,169,1232
343,169,512
506,579,1085
913,426,1339
1064,185,1249
360,210,570
548,402,950
737,343,1080
1069,153,1222
333,165,498
508,540,1048
880,451,1331
1065,169,1234
345,186,531
525,549,1074
885,496,1381
1072,169,1241
352,156,508
502,597,1099
940,438,1378
1035,169,1204
315,202,517
511,570,1081
876,260,1136
1067,185,1252
363,219,582
560,814,1374
1152,406,1558
1069,169,1238
349,171,520
514,393,907
733,406,1139
1063,185,1248
359,227,586
564,579,1143
913,407,1320
1060,169,1229
340,175,515
509,441,950
772,347,1119
1066,169,1235
346,168,514
508,457,965
