prompt_tokens,completion_tokens,total_tokens
1007,288,1295
406,364,770
645,693,1338
971,1037,2008
1028,321,1349
460,465,925
767,770,1537
1069,923,1992
1018,222,1240
351,336,687
628,826,1454
1115,876,1991
1028,220,1248
359,268,627
570,1054,1624
1353,1345,2698
1012,341,1353
464,393,857
679,1294,1973
1577,715,2292
1018,226,1244
355,349,704
641,853,1494
1142,493,1635
1031,303,1334
445,498,943
803,1039,1842
1341,1149,2490
1024,220,1244
355,358,713
656,1203,1859
1498,880,2378
1020,225,1245
356,311,667
605,919,1524
1210,1010,2220
1035,303,1338
449,391,840
700,977,1677
1283,823,2106
1031,321,1352
463,445,908
750,786,1536
1088,836,1924
1028,220,1248
359,360,719
662,774,1436
1073,717,1790
1019,227,1246
357,344,701
637,995,1632
1285,790,2075
1019,244,1263
374,356,730
649,806,1455
1096,890,1986
1024,303,1327
438,331,769
629,834,1463
1129,1046,2175
1012,220,1232
343,297,640
583,1219,1802
1502,718,2220
1027,259,1286
397,309,706
610,1036,1646
1334,755,2089
1029,222,1251
362,220,582
523,894,1417
1194,596,1790
1020,227,1247
358,371,729
665,833,1498
1124,792,1916
1018,227,1245
356,312,668
604,851,1455
1140,832,1972
1019,244,1263
374,307,681
600,867,1467
1157,729,1886
1024,282,1306
417,327,744
625,862,1487
1157,796,1953
1034,224,1258
369,254,623
562,1059,1621
1364,1067,2431
1016,253,1269
380,303,683
593,1058,1651
1345,948,2293
1026,245,1271
382,268,650
568,765,1333
1062,856,1918
1011,242,1253
364,370,734
655,990,1645
1272,964,2236
1018,220,1238
349,282,631
574,676,1250
965,755,1720
1030,285,1315
426,324,750
628,699,1327
1000,561,1561
1008,315,1323
434,285,719
567,1043,1610
1322,945,2267
1019,224,1243
354,275,629
568,842,1410
1132,742,1874
1022,222,1244
355,218,573
514,655,1169
948,712,1660
1019,280,1299
410,376,786
669,885,1554
1175,802,1977
1017,244,1261
372,363,735
654,856,1510
1144,714,1858
1022,303,1325
436,414,850
710,1128,1838
1421,942,2363
1026,303,1329
440,317,757
617,712,1329
1009,619,1628
1035,209,1244
355,277,632
586,815,1401
1121,722,1843
1023,301,1324
435,337,772
634,971,1605
1265,903,2168
1023,266,1289
400,367,767
664,837,1501
1131,563,1694
1018,270,1288
399,404,803
696,1413,2109
1702,834,2536
1010,244,1254
365,309,674
593,716,1309
997,674,1671
1009,264,1273
384,299,683
582,852,1434
1132,774,1906
1029,262,1291
402,278,680
581,1031,1612
1331,683,2014
1021,237,1258
369,286,655
581,745,1326
1037,875,1912
1028,368,1396
507,348,855
650,772,1422
1071,1021,2092
1019,248,1267
378,340,718
633,779,1412
1069,849,1918
1025,237,1262
373,303,676
602,800,1402
1096,654,1750
1024,275,1299
410,271,681
569,712,1281
1007,703,1710
1013,234,1247
358,295,653
582,907,1489
1191,827,2018
1022,329,1351
462,412,874
708,1121,1829
1414,1152,2566
1020,215,1235
346,257,603
551,753,1304
1044,691,1735
1035,244,1279
390,308,698
617,1258,1875
1564,1010,2574
1026,311,1337
448,470,918
770,809,1579
1106,775,1881
1015,260,1275
386,357,743
646,742,1388
1028,612,1640
1019,281,1300
411,393,804
686,887,1573
1177,854,2031
1013,240,1253
364,384,748
671,822,1493
1106,842,1948
1028,252,1280
391,234,625
536,954,1490
1253,758,2011
1037,317,1354
465,436,901
747,1097,1844
1405,837,2242
1036,227,1263
374,246,620
556,1099,1655
1406,838,2244
1032,321,1353
464,453,917
759,936,1695
1239,1161,2400
1021,220,1241
352,344,696
639,804,1443
1096,790,1886
1026,293,1319
430,362,792
662,1225,1887
1522,1692,3214
1017,281,1298
409,370,779
661,1092,1753
1380,1021,2401
1016,271,1287
398,337,735
627,983,1610
1270,1022,2292
1023,303,1326
437,440,877
737,869,1606
1163,942,2105
1023,289,1312
423,361,784
658,888,1546
1182,1009,2191
1022,368,1390
501,372,873
668,1003,1671
1296,515,1811
1019,270,1289
400,351,751
644,1090,1734
1380,659,2039
1024,281,1305
416,293,709
591,1051,1642
1346,725,2071
1025,303,1328
439,358,797
657,1093,1750
1389,883,2272
1015,321,1336
447,412,859
701,986,1687
1272,1024,2296
1024,281,1305
416,314,730
612,757,1369
1052,623,1675
1026,281,1307
418,292,710
592,1074,1666
1371,1015,2386
1009,321,1330
441,377,818
660,945,1605
1225,1548,2773
1022,285,1307
418,437,855
733,990,1723
1283,1020,2303
1024,222,1246
357,278,635
576,954,1530
1249,644,1893
1030,275,1305
416,283,699
587,945,1532
1246,946,2192
1023,245,1268
379,230,609
527,865,1392
1159,694,1853
1029,303,1332
443,380,823
683,848,1531
1148,769,1917
1016,355,1371
482,443,925
733,1071,1804
1358,702,2060
1027,228,1255
366,239,605
540,758,1298
1056,607,1663
1026,285,1311
422,356,778
656,805,1461
1102,813,1915
1023,244,1267
378,357,735
654,955,1609
1249,944,2193
1031,299,1330
441,357,798
662,1062,1724
1364,1197,2561
1026,321,1347
458,422,880
722,1223,1945
1520,980,2500
1020,303,1323
434,463,897
757,986,1743
1277,929,2206
1032,240,1272
383,428,811
734,835,1569
1138,1165,2303
1023,281,1304
415,340,755
637,855,1492
1149,917,2066
1016,288,1304
415,402,817
692,865,1557
1152,1222,2374
1036,303,1339
450,452,902
762,1158,1920
1465,726,2191
1031,269,1300
411,298,709
603,723,1326
1025,657,1682
1024,311,1335
446,325,771
623,1024,1647
1319,868,2187
1026,271,1297
408,300,708
600,814,1414
1111,926,2037
1031,337,1368
479,376,855
681,926,1607
1228,1036,2264
1032,222,1254
365,251,616
557,603,1160
906,709,1615
1028,303,1331
442,386,828
688,983,1671
1282,716,1998
1017,269,1286
397,383,780
674,794,1468
1082,1043,2125
1023,310,1333
444,341,785
638,660,1298
954,661,1615
1019,281,1300
411,345,756
638,778,1416
1068,788,1856
1019,225,1244
355,280,635
573,764,1337
1054,776,1830
1012,264,1276
387,320,707
606,1082,1688
1365,1075,2440
1015,242,1257
368,280,648
569,988,1557
1274,901,2175
1017,281,1298
409,392,801
683,993,1676
1281,863,2144
1009,242,1251
362,269,631
552,637,1189
917,761,1678
1031,240,1271
382,379,761
684,810,1494
1112,801,1913
1013,207,1220
331,312,643
599,808,1407
1092,782,1874
1019,303,1322
433,367,800
660,988,1648
1278,1356,2634
1016,244,1260
371,363,734
653,902,1555
1189,709,1898
1023,315,1338
449,359,808
656,778,1434
1072,582,1654
1021,275,1296
407,280,687
575,959,1534
1251,1007,2258
1022,275,1297
408,285,693
581,816,1397
1109,718,1827
1015,220,1235
346,356,702
645,736,1381
1022,772,1794
1023,281,1304
415,293,708
590,718,1308
1012,869,1881
1024,259,1283
394,338,732
636,742,1378
1037,800,1837
1029,245,1274
385,274,659
577,784,1361
1084,1097,2181
1033,230,1263
374,280,654
587,889,1476
1193,631,1824
1027,268,1295
406,291,697
592,887,1479
1185,902,2087
1038,319,1357
468,336,804
648,807,1455
1116,1180,2296
1027,303,1330
441,363,804
664,799,1463
1097,750,1847
1011,220,1231
342,347,689
632,1161,1793
1443,654,2097
1029,321,1350
461,434,895
737,843,1580
1143,1104,2247
1015,244,1259
370,333,703
622,781,1403
1067,808,1875
1030,321,1351
462,448,910
752,1122,1874
1423,806,2229
1018,257,1275
386,313,699
605,847,1452
1136,904,2040
1014,303,1317
428,467,895
755,814,1569
1099,841,1940
1037,252,1289
400,358,758
669,931,1600
1239,795,2034
1025,303,1328
439,335,774
634,876,1510
1172,764,1936
1026,281,1307
418,317,735
617,629,1246
926,862,1788
1030,293,1323
434,342,776
646,822,1468
1123,976,2099
1022,268,1290
401,287,688
583,926,1509
1219,807,2026
1011,254,1265
376,298,674
583,926,1509
1208,734,1942
1015,321,1336
447,440,887
729,840,1569
1126,935,2061
1031,245,1276
387,315,702
620,663,1283
965,610,1575
1034,224,1258
369,289,658
597,942,1539
1247,721,1968
1014,237,1251
362,307,669
595,816,1411
1101,823,1924
1032,321,1353
464,381,845
687,1138,1825
1441,836,2277
1016,271,1287
398,290,688
580,1154,1734
1441,805,2246
1016,244,1260
371,325,696
615,1028,1643
1315,867,2182
1015,270,1285
396,308,704
597,848,1445
1134,761,1895
1019,192,1211
322,287,609
580,1070,1650
1360,583,1943
1019,281,1300
411,354,765
647,830,1477
1120,693,1813
1021,220,1241
352,307,659
602,897,1499
1189,973,2162
1019,254,1273
384,360,744
653,801,1454
1091,742,1833
1020,275,1295
406,326,732
620,785,1405
1076,585,1661
1019,227,1246
357,276,633
569,821,1390
1111,672,1783
1032,315,1347
458,328,786
634,1066,1700
1369,1125,2494
1023,240,1263
374,354,728
651,874,1525
1168,741,1909
1027,303,1330
441,329,770
630,712,1342
1010,773,1783
1033,275,1308
419,323,742
630,804,1434
1108,727,1835
1022,264,1286
397,281,678
577,1088,1665
1381,776,2157
