prompt_tokens,completion_tokens,total_tokens
983,79,1062
173,91,264
348,623,971
877,179,1056
983,79,1062
173,89,262
346,547,893
801,334,1135
982,79,1061
172,91,263
347,558,905
811,257,1068
982,79,1061
172,91,263
347,576,923
829,314,1143
983,79,1062
173,94,267
351,600,951
854,356,1210
983,79,1062
173,91,264
348,756,1104
1010,229,1239
982,79,1061
172,92,264
348,739,1087
992,241,1233
982,79,1061
172,91,263
347,638,985
891,466,1357
983,79,1062
173,91,264
348,592,940
846,346,1192
983,79,1062
173,95,268
352,628,980
882,324,1206
982,79,1061
172,91,263
347,785,1132
1038,425,1463
982,79,1061
172,91,263
347,732,1079
985,721,1706
982,79,1061
172,91,263
347,501,848
754,291,1045
983,79,1062
173,92,265
349,569,918
823,501,1324
983,79,1062
173,91,264
348,796,1144
1050,432,1482
983,79,1062
173,91,264
348,641,989
895,492,1387
982,79,1061
172,97,269
353,658,1011
911,347,1258
982,79,1061
172,96,268
352,757,1109
1010,316,1326
983,79,1062
173,94,267
351,809,1160
1063,539,1602
982,79,1061
172,90,262
346,827,1173
1080,425,1505
983,79,1062
173,94,267
351,706,1057
960,165,1125
982,79,1061
172,92,264
348,594,942
847,196,1043
983,79,1062
173,96,269
353,595,948
849,289,1138
982,79,1061
172,91,263
347,843,1190
1096,378,1474
982,79,1061
172,91,263
347,635,982
888,249,1137
982,79,1061
172,97,269
353,516,869
769,281,1050
983,79,1062
173,96,269
353,679,1032
933,489,1422
982,79,1061
172,97,269
353,695,1048
948,435,1383
983,79,1062
173,91,264
348,615,963
869,352,1221
982,79,1061
172,94,266
350,698,1048
951,463,1414
982,79,1061
172,92,264
348,598,946
851,387,1238
983,79,1062
173,93,266
350,673,1023
927,622,1549
983,79,1062
173,92,265
349,739,1088
993,283,1276
982,79,1061
172,97,269
353,628,981
881,522,1403
982,79,1061
172,90,262
346,832,1178
1085,305,1390
983,79,1062
173,94,267
351,714,1065
968,187,1155
983,79,1062
173,96,269
353,492,845
746,324,1070
982,79,1061
172,96,268
352,652,1004
905,362,1267
983,79,1062
173,95,268
352,672,1024
926,450,1376
983,79,1062
173,89,262
346,683,1029
937,309,1246
983,79,1062
173,91,264
348,755,1103
1009,401,1410
982,79,1061
172,94,266
350,494,844
747,237,984
983,79,1062
173,97,270
354,598,952
852,213,1065
983,79,1062
173,95,268
352,715,1067
969,304,1273
983,79,1062
173,91,264
348,671,1019
925,318,1243
983,79,1062
173,90,263
347,636,983
890,285,1175
983,79,1062
173,91,264
348,738,1086
992,282,1274
983,79,1062
173,88,261
345,799,1144
1053,728,1781
982,79,1061
172,91,263
347,673,1020
926,291,1217
983,79,1062
173,91,264
348,559,907
813,403,1216
982,79,1061
172,91,263
347,581,928
834,342,1176
983,79,1062
173,91,264
348,651,999
905,378,1283
982,79,1061
172,98,270
354,655,1009
908,230,1138
982,79,1061
172,91,263
347,700,1047
953,184,1137
982,79,1061
172,94,266
350,750,1100
1003,213,1216
982,79,1061
172,91,263
347,768,1115
1021,324,1345
982,79,1061
172,91,263
347,635,982
888,375,1263
982,79,1061
172,91,263
347,698,1045
951,205,1156
983,79,1062
173,91,264
348,678,1026
932,246,1178
983,79,1062
173,92,265
349,716,1065
970,240,1210
983,79,1062
173,95,268
352,818,1170
1072,499,1571
982,79,1061
172,94,266
350,601,951
854,252,1106
983,79,1062
173,93,266
350,706,1056
960,397,1357
983,79,1062
173,90,263
347,725,1072
979,391,1370
982,79,1061
172,95,267
351,630,981
883,479,1362
982,79,1061
172,92,264
348,662,1010
915,271,1186
982,79,1061
172,94,266
350,836,1186
1089,622,1711
983,79,1062
173,94,267
351,554,905
808,390,1198
983,79,1062
173,91,264
348,744,1092
998,355,1353
982,79,1061
172,91,263
347,575,922
828,504,1332
982,79,1061
172,93,265
349,781,1130
1034,327,1361
982,79,1061
172,91,263
347,699,1046
952,364,1316
982,79,1061
172,93,265
349,749,1098
1002,340,1342
983,79,1062
173,90,263
347,814,1161
1068,617,1685
983,79,1062
173,93,266
350,531,881
785,429,1214
983,79,1062
173,91,264
348,657,1005
911,482,1393
983,79,1062
173,91,264
348,665,1013
919,502,1421
982,79,1061
172,91,263
347,519,866
772,306,1078
982,79,1061
172,91,263
347,711,1058
964,424,1388
982,79,1061
172,97,269
353,650,1003
903,252,1155
983,79,1062
173,90,263
347,681,1028
935,314,1249
983,79,1062
173,90,263
347,666,1013
920,484,1404
983,79,1062
173,95,268
352,844,1196
1098,514,1612
982,79,1061
172,92,264
348,631,979
884,340,1224
982,79,1061
172,94,266
350,857,1207
1110,329,1439
983,79,1062
173,89,262
346,827,1173
1081,410,1491
983,79,1062
173,91,264
348,696,1044
950,492,1442
983,79,1062
173,91,264
348,491,839
745,368,1113
983,79,1062
173,94,267
351,729,1080
983,396,1379
983,79,1062
173,94,267
351,560,911
814,380,1194
983,79,1062
173,89,262
346,657,1003
911,434,1345
983,79,1062
173,91,264
348,641,989
895,270,1165
983,79,1062
173,91,264
348,801,1149
1055,288,1343
983,79,1062
173,93,266
350,542,892
796,525,1321
983,79,1062
173,91,264
348,746,1094
1000,531,1531
983,79,1062
173,91,264
348,657,1005
911,427,1338
982,79,1061
172,93,265
349,635,984
888,373,1261
982,79,1061
172,91,263
347,595,942
848,313,1161
983,79,1062
173,96,269
353,625,978
879,357,1236
983,79,1062
173,89,262
346,685,1031
939,456,1395
982,79,1061
172,91,263
347,618,965
871,264,1135
982,79,1061
172,91,263
347,604,951
857,389,1246
983,79,1062
173,91,264
348,702,1050
956,234,1190
983,79,1062
173,93,266
350,851,1201
1105,405,1510
982,79,1061
