prompt_tokens,completion_tokens,total_tokens
1025,136,1161
272,139,411
438,691,1129
987,399,1386
1009,152,1161
272,163,435
446,722,1168
1002,377,1379
1012,146,1158
269,154,423
440,919,1359
1202,431,1633
1001,152,1153
264,146,410
421,648,1069
920,288,1208
1014,87,1101
212,91,303
379,710,1089
995,424,1419
992,145,1137
248,149,397
415,512,927
775,355,1130
1020,79,1099
210,82,292
376,907,1283
1198,470,1668
1007,136,1143
254,132,386
413,619,1032
897,283,1180
994,147,1141
252,177,429
445,562,1007
827,300,1127
1038,79,1117
228,96,324
408,721,1129
1030,455,1485
1005,146,1151
262,167,429
446,903,1349
1179,489,1668
1019,146,1165
276,162,438
455,953,1408
1243,624,1867
995,124,1119
230,141,371
410,542,952
808,365,1173
1020,136,1156
267,139,406
433,553,986
844,378,1222
1002,87,1089
200,93,293
369,529,898
802,255,1057
1007,130,1137
248,147,395
428,705,1133
983,666,1649
1007,87,1094
205,95,300
376,558,934
836,335,1171
1008,136,1144
255,137,392
419,691,1110
970,321,1291
994,152,1146
257,190,447
458,618,1076
883,199,1082
1000,152,1152
263,142,405
416,501,917
772,442,1214
1001,169,1170
281,166,447
441,685,1126
957,327,1284
997,146,1143
254,152,406
423,568,991
836,466,1302
1002,152,1154
265,142,407
418,588,1006
861,353,1214
998,152,1150
261,150,411
422,714,1136
983,340,1323
995,146,1141
252,150,402
419,561,980
827,206,1033
1020,146,1166
277,165,442
459,635,1094
926,658,1584
1001,152,1153
264,146,410
421,556,977
828,343,1171
1007,146,1153
264,150,414
431,615,1046
893,202,1095
993,152,1145
256,150,406
417,559,976
823,216,1039
1002,136,1138
249,148,397
424,670,1094
943,308,1251
1008,152,1160
271,150,421
432,828,1260
1107,374,1481
1001,152,1153
264,147,411
422,649,1071
921,433,1354
997,124,1121
232,138,370
409,565,974
833,103,936
1018,136,1154
265,150,415
442,722,1164
1011,530,1541
1015,136,1151
262,145,407
434,922,1356
1208,385,1593
1026,87,1113
224,98,322
398,612,1010
909,416,1325
1019,136,1155
266,136,402
429,676,1105
966,375,1341
1019,87,1106
217,102,319
395,517,912
807,389,1196
1003,122,1125
236,115,351
392,535,927
809,199,1008
995,164,1159
270,151,421
420,610,1030
876,174,1050
1020,79,1099
210,87,297
381,715,1096
1006,478,1484
1014,152,1166
277,222,499
510,847,1357
1132,229,1361
1013,87,1100
211,106,317
393,510,903
794,422,1216
1002,152,1154
265,192,457
468,535,1003
808,371,1179
1009,136,1145
256,127,383
410,434,844
714,305,1019
998,146,1144
255,146,401
418,631,1049
900,217,1117
1013,106,1119
230,111,341
398,672,1070
956,342,1298
1009,136,1145
256,157,413
440,1101,1541
1381,825,2206
1001,136,1137
248,146,394
421,656,1077
928,337,1265
1007,146,1153
264,150,414
431,607,1038
885,308,1193
1003,146,1149
260,161,421
438,663,1101
937,444,1381
1001,152,1153
264,148,412
423,741,1164
1013,312,1325
1025,136,1161
272,134,406
433,576,1009
872,466,1338
1014,146,1160
271,152,423
440,859,1299
1144,601,1745
998,130,1128
239,135,374
407,660,1067
929,314,1243
995,152,1147
258,151,409
420,559,979
825,227,1052
1006,146,1152
263,152,415
432,832,1264
1109,297,1406
994,145,1139
250,160,410
428,609,1037
874,202,1076
997,164,1161
272,162,434
433,581,1014
849,392,1241
1002,136,1138
249,139,388
415,645,1060
918,183,1101
994,151,1145
256,149,405
417,539,956
804,381,1185
1022,95,1117
228,116,344
412,629,1041
922,162,1084
1020,87,1107
218,91,309
385,563,948
854,320,1174
1019,136,1155
266,145,411
438,671,1109
961,383,1344
995,124,1119
230,142,372
411,557,968
823,217,1040
1001,95,1096
207,112,319
387,571,958
843,310,1153
1002,146,1148
259,144,403
420,642,1062
915,356,1271
1001,146,1147
258,144,402
419,474,893
746,415,1161
1006,136,1142
253,147,400
427,901,1328
1178,475,1653
1002,146,1148
259,153,412
429,728,1157
1001,419,1420
1002,146,1148
259,160,419
436,598,1034
871,325,1196
1001,136,1137
248,140,388
415,515,930
787,206,993
1007,136,1143
254,148,402
429,692,1121
970,409,1379
1002,152,1154
265,141,406
417,543,960
816,242,1058
1038,136,1174
285,147,432
459,811,1270
1120,655,1775
1007,87,1094
205,107,312
388,614,1002
892,244,1136
1017,136,1153
264,138,402
429,499,928
787,473,1260
1031,136,1167
278,142,420
447,959,1406
1261,470,1731
1007,79,1086
197,80,277
361,572,933
850,109,959
1008,87,1095
206,93,299
375,573,948
852,266,1118
1009,146,1155
266,141,407
424,879,1303
1159,511,1670
1014,136,1150
261,140,401
428,630,1058
915,446,1361
1000,152,1152
263,152,415
426,751,1177
1022,163,1185
1004,169,1173
284,162,446
440,542,982
817,379,1196
1014,152,1166
277,175,452
463,743,1206
1028,417,1445
1021,91,1112
223,103,326
398,493,891
785,358,1143
1008,136,1144
255,129,384
411,703,1114
982,216,1198
1001,140,1141
252,133,385
408,548,956
820,201,1021
1017,146,1163
274,133,407
424,668,1092
956,693,1649
1000,152,1152
263,139,402
413,534,947
805,376,1181
1026,87,1113
224,95,319
395,583,978
880,342,1222
992,112,1104
215,122,337
388,539,927
802,213,1015
1001,146,1147
258,136,394
411,675,1086
947,305,1252
1009,152,1161
272,169,441
452,716,1168
996,253,1249
1009,136,1145
256,129,385
412,736,1148
1016,707,1723
999,152,1151
262,175,437
448,578,1026
848,305,1153
1003,152,1155
266,158,424
435,677,1112
951,297,1248
1014,136,1150
261,140,401
428,589,1017
874,338,1212
1022,146,1168
279,158,437
454,650,1104
943,376,1319
1013,79,1092
203,102,305
389,704,1093
988,435,1423
1004,122,1126
237,126,363
404,738,1142
1013,716,1729
993,152,1145
256,152,408
419,519,938
783,477,1260
1013,79,1092
203,87,290
374,510,884
794,292,1086
1011,146,1157
268,151,419
436,760,1196
1042,246,1288
997,164,1161
272,171,443
442,649,1091
917,329,1246
1006,114,1120
231,114,345
394,640,1034
917,379,1296
1000,140,1140
251,145,396
419,639,1058
910,251,1161
1007,87,1094
205,110,315
391,684,1075
962,374,1336
1015,96,1111
222,108,330
397,594,991
880,433,1313
1013,136,1149
260,142,402
429,777,1206
1061,437,1498
995,164,1159
270,160,430
429,627,1056
893,240,1133
1031,95,1126
237,111,348
416,911,1327
1213,617,1830
1000,164,1164
275,184,459
458,682,1140
953,339,1292
1009,146,1155
266,141,407
424,802,1226
1082,352,1434
1008,96,1104
215,102,317
384,564,948
843,345,1188
1001,152,1153
264,151,415
426,655,1081
927,202,1129
1007,146,1153
264,144,408
425,765,1190
1043,214,1257
1003,169,1172
283,175,458
452,686,1138
960,624,1584
1014,87,1101
212,93,305
381,651,1032
936,411,1347
995,121,1116
227,123,350
392,477,869
743,320,1063
1017,146,1163
274,159,433
450,873,1323
1161,465,1626
1001,146,1147
258,137,395
412,659,1071
931,356,1287
1009,122,1131
242,123,365
406,687,1093
967,430,1397
994,140,1134
245,150,395
418,624,1042
889,252,1141
1021,87,1108
219,93,312
388,595,983
887,540,1427
995,140,1135
246,141,387
410,641,1051
907,296,1203
1031,136,1167
278,140,418
445,591,1036
893,453,1346
1011,146,1157
268,153,421
438,884,1322
1166,292,1458
1019,79,1098
209,83,292
376,714,1090
1004,483,1487
1002,146,1148
259,155,414
431,560,991
833,341,1174
1011,122,1133
244,115,359
400,572,972
854,506,1360
1007,136,1143
254,125,379
406,663,1069
941,598,1539
1007,146,1153
264,149,413
430,752,1182
1030,510,1540
1016,136,1152
263,153,416
443,658,1101
945,476,1421
996,152,1148
259,161,420
431,522,953
789,216,1005
1001,146,1147
258,138,396
413,664,1077
936,324,1260
1020,79,1099
210,82,292
376,676,1052
967,554,1521
1003,146,1149
260,155,415
432,750,1182
1024,478,1502
1019,136,1155
266,149,415
442,708,1150
998,565,1563
1032,152,1184
295,175,470
481,751,1232
1054,711,1765
995,169,1164
275,180,455
449,593,1042
859,203,1062
993,169,1162
273,195,468
462,536,998
800,287,1087
1001,152,1153
264,149,413
424,509,933
781,321,1102
1013,122,1135
246,140,386
427,741,1168
1025,300,1325
1003,146,1149
260,151,411
428,819,1247
1093,331,1424
998,140,1138
249,153,402
425,606,1031
875,257,1132
1000,122,1122
233,123,356
397,486,883
757,304,1061
1001,136,1137
248,132,380
407,656,1063
928,338,1266
1005,122,1127
238,114,352
393,778,1171
1054,418,1472
1010,146,1156
267,162,429
446,660,1106
941,500,1441
1009,152,1161
272,151,423
434,966,1400
1246,482,1728
995,152,1147
258,164,422
433,580,1013
846,231,1077
995,105,1100
211,117,328
386,696,1082
962,343,1305
1014,87,1101
212,91,303
379,648,1027
932,475,1407
1008,146,1154
265,141,406
423,606,1029
885,380,1265
995,121,1116
227,116,343
385,436,821
702,372,1074
1001,122,1123
234,117,351
392,569,961
841,146,987
1007,152,1159
270,155,425
436,701,1137
979,242,1221
1006,152,1158
269,155,424
435,557,992
834,334,1168
1001,141,1142
253,161,414
436,489,925
761,408,1169
992,145,1137
248,160,408
426,582,1008
845,217,1062
1007,87,1094
205,108,313
389,429,818
707,397,1104
1020,87,1107
218,89,307
383,600,983
891,427,1318
994,146,1140
251,161,412
429,574,1003
