prompt_tokens,completion_tokens,total_tokens
1006,131,1137
248,151,399
431,644,1075
921,316,1237
1008,92,1100
211,97,308
379,693,1072
972,489,1461
978,96,1074
185,104,289
356,492,848
741,297,1038
1003,131,1134
245,149,394
426,467,893
741,406,1147
981,96,1077
188,105,293
360,549,909
801,312,1113
976,123,1099
210,118,328
368,469,837
716,307,1023
973,105,1078
189,105,294
352,484,836
728,238,966
1008,92,1100
211,97,308
379,736,1115
1015,532,1547
1005,107,1112
223,99,322
378,693,1071
969,399,1368
989,92,1081
192,117,309
380,533,913
793,298,1091
997,131,1128
239,154,393
425,713,1138
981,371,1352
1005,109,1114
225,123,348
402,330,732
606,309,915
980,109,1089
200,133,333
387,373,760
624,146,770
987,112,1099
210,120,330
381,430,811
688,394,1082
992,131,1123
234,145,379
411,496,907
759,492,1251
991,168,1159
270,179,449
444,450,894
712,265,977
994,112,1106
217,111,328
379,518,897
784,486,1270
977,118,1095
206,138,344
389,432,821
680,110,790
978,109,1087
198,122,320
374,402,776
651,199,850
991,111,1102
213,107,320
372,715,1087
977,267,1244
987,112,1099
210,117,327
378,552,930
810,394,1204
1000,101,1101
212,93,305
367,537,904
808,337,1145
987,96,1083
194,100,294
361,418,779
676,209,885
1020,107,1127
238,118,356
412,373,785
664,582,1246
987,113,1100
211,109,320
370,583,953
841,231,1072
985,107,1092
203,111,314
370,325,695
581,340,921
978,109,1087
198,124,322
376,527,903
776,215,991
997,109,1106
217,116,333
387,326,713
594,336,930
985,111,1096
207,124,331
383,344,727
600,270,870
1000,92,1092
203,89,292
363,544,907
815,325,1140
1007,92,1099
210,97,307
378,765,1143
1043,482,1525
987,147,1134
245,152,397
413,544,957
802,368,1170
988,79,1067
178,83,261
345,425,770
684,232,916
976,96,1072
183,103,286
353,302,655
549,289,838
975,107,1082
193,114,307
363,655,1018
901,310,1211
983,112,1095
206,116,322
373,753,1126
1007,310,1317
986,112,1098
209,114,323
374,561,935
818,427,1245
984,96,1080
191,104,295
362,357,719
612,150,762
978,96,1074
185,111,296
363,395,758
644,190,834
994,107,1101
212,98,310
366,480,846
745,263,1008
994,96,1090
201,125,326
393,560,953
825,237,1062
975,107,1082
193,115,308
364,331,695
577,79,656
998,149,1147
258,117,375
389,816,1205
1085,416,1501
997,92,1089
200,104,304
375,423,798
691,314,1005
991,112,1103
214,119,333
384,547,931
809,382,1191
980,123,1103
214,112,326
366,621,987
872,357,1229
992,90,1082
193,86,279
352,477,829
740,373,1113
998,148,1146
257,251,508
523,742,1265
1011,311,1322
996,109,1105
216,121,337
391,465,856
732,258,990
1019,129,1148
259,137,396
430,314,744
604,392,996
996,131,1127
238,112,350
382,796,1178
1063,391,1454
1012,91,1103
214,176,390
462,634,1096
917,624,1541
1011,105,1116
227,201,428
486,726,1212
1008,322,1330
973,105,1078
189,104,293
351,166,517
410,116,526
994,136,1130
241,156,397
424,549,973
814,321,1135
988,92,1080
191,91,282
353,566,919
825,281,1106
997,96,1093
204,103,307
374,412,786
680,170,850
999,109,1108
219,101,320
374,402,776
672,339,1011
1000,112,1112
223,118,341
392,826,1218
1097,360,1457
991,96,1087
198,100,298
365,560,925
822,361,1183
1015,166,1181
292,151,443
440,379,819
665,528,1193
978,129,1107
218,123,341
375,571,946
820,331,1151
994,153,1147
258,145,403
413,609,1022
874,360,1234
981,134,1115
226,132,358
387,429,816
681,351,1032
996,96,1092
203,95,298
365,470,835
737,244,981
983,112,1095
206,119,325
376,561,937
815,364,1179
974,105,1079
190,107,297
355,426,781
671,128,799
987,112,1099
210,122,332
383,481,864
739,372,1111
976,113,1089
200,137,337
387,482,869
729,101,830
984,115,1099
210,275,485
533,545,1078
800,239,1039
1009,112,1121
232,125,357
408,548,956
828,493,1321
976,129,1105
216,122,338
372,443,815
690,317,1007
984,129,1113
224,112,336
370,481,851
736,217,953
998,153,1151
262,150,412
422,558,980
827,355,1182
1000,136,1136
247,145,392
419,529,948
800,444,1244
1010,109,1119
230,111,341
395,427,822
708,413,1121
991,107,1098
209,111,320
376,346,722
608,342,950
979,101,1080
191,100,291
353,398,751
648,183,831
1000,131,1131
242,113,355
387,525,912
796,421,1217
997,96,1093
204,84,288
355,773,1128
1041,392,1433
985,96,1081
192,112,304
371,381,752
637,179,816
985,92,1077
188,100,288
359,503,862
759,167,926
1014,91,1105
216,183,399
471,517,988
802,242,1044
1011,133,1144
255,270,525
555,517,1072
799,293,1092
991,96,1087
198,99,297
364,364,728
626,149,775
1009,131,1140
251,129,380
412,568,980
848,479,1327
1005,186,1191
302,184,486
463,732,1195
1008,352,1360
997,153,1150
261,147,408
418,626,1044
894,442,1336
1001,112,1113
224,120,344
395,886,1281
1158,473,1631
1003,142,1145
256,158,414
435,779,1214
1053,412,1465
997,85,1082
193,83,276
354,558,912
826,311,1137
1003,74,1077
188,83,271
360,603,963
877,335,1212
999,147,1146
257,148,405
421,473,894
743,438,1181
998,147,1145
256,147,403
419,860,1279
1129,401,1530
1010,142,1152
263,242,505
526,560,1086
841,320,1161
996,147,1143
254,155,409
425,341,766
608,394,1002
985,109,1094
205,121,326
380,453,833
709,243,952
1000,153,1153
264,130,394
404,733,1137
1004,434,1438
978,129,1107
218,109,327
361,475,836
724,242,966
986,101,1087
198,93,291
353,822,1175
1079,399,1478
1006,109,1115
226,113,339
393,333,726
610,399,1009
987,79,1066
177,83,260
344,514,858
772,308,1080
986,90,1076
187,97,284
357,593,950
850,322,1172
972,151,1123
234,128,362
374,522,896
765,241,1006
989,107,1096
207,102,309
365,638,1003
898,313,1211
977,96,1073
184,109,293
360,459,819
707,131,838
978,78,1056
167,91,258
343,437,780
686,279,965
1006,113,1119
230,215,445
495,507,1002
784,495,1279
992,135,1127
238,146,384
412,542,954
805,393,1198
994,111,1105
216,96,312
364,601,965
866,269,1135
978,96,1074
185,96,281
348,335,683
584,138,722
981,96,1077
188,109,297
364,263,627
515,287,802
1000,109,1109
220,135,355
409,522,931
793,396,1189
984,112,1096
207,125,332
383,620,1003
875,315,1190
977,91,1068
179,210,389
461,403,864
651,116,767
976,107,1083
194,113,307
363,410,773
657,239,896
996,96,1092
203,117,320
387,459,846
726,277,1003
983,96,1079
190,106,296
363,506,869
760,269,1029
999,96,1095
206,99,305
372,592,964
862,422,1284
1003,129,1132
243,122,365
399,569,968
843,379,1222
1000,112,1112
223,107,330
381,540,921
811,308,1119
991,162,1153
264,155,419
420,675,1095
937,308,1245
996,109,1105
216,108,324
378,575,953
842,260,1102
