prompt_tokens,completion_tokens,total_tokens
1230,113,1343
454,143,597
647,508,1155
1009,243,1252
1120,92,1212
323,103,426
497,486,983
877,228,1105
1119,130,1249
360,145,505
538,337,875
727,262,989
1210,92,1302
413,97,510
581,381,962
862,385,1247
1112,131,1243
354,180,534
566,565,1131
948,294,1242
1216,92,1308
419,136,555
626,577,1203
1064,290,1354
1239,92,1331
442,137,579
650,424,1074
934,204,1138
1214,114,1328
439,145,584
633,230,863
715,284,999
1144,115,1259
370,256,626
674,693,1367
1108,300,1408
1116,111,1227
338,150,488
540,469,1009
856,528,1384
1133,92,1225
336,138,474
545,594,1139
998,413,1411
1212,114,1326
437,166,603
652,442,1094
925,225,1150
1160,130,1290
401,182,583
616,399,1015
830,396,1226
1237,115,1352
463,215,678
726,655,1381
1163,685,1848
1115,115,1230
341,220,561
609,625,1234
1011,302,1313
1168,130,1298
409,215,624
657,716,1373
1155,437,1592
1239,131,1370
481,174,655
687,412,1099
922,494,1416
1131,130,1261
372,186,558
591,237,828
639,166,805
1149,114,1263
374,142,516
565,402,967
822,387,1209
1126,142,1268
379,173,552
573,343,916
740,395,1135
1133,130,1263
374,167,541
574,286,860
690,353,1043
1150,92,1242
353,123,476
547,520,1067
941,273,1214
1119,130,1249
360,162,522
555,582,1137
972,280,1252
1154,130,1284
395,198,593
626,673,1299
1098,312,1410
1114,113,1227
338,133,471
521,264,785
649,135,784
1134,130,1264
375,180,555
588,290,878
695,401,1096
1233,91,1324
435,107,542
614,271,885
775,277,1052
1141,130,1271
382,179,561
594,368,962
780,294,1074
1144,92,1236
347,120,467
538,340,878
755,236,991
1234,115,1349
460,139,599
647,384,1031
889,255,1144
1233,115,1348
459,272,731
779,754,1533
1258,442,1700
1241,147,1388
499,199,698
714,482,1196
994,535,1529
1206,115,1321
432,147,579
627,646,1273
1123,316,1439
1207,113,1320
431,114,545
595,388,983
866,174,1040
1115,148,1263
374,186,560
575,614,1189
1000,576,1576
1142,123,1265
376,201,577
617,486,1103
899,451,1350
1151,115,1266
377,139,516
564,692,1256
1114,348,1462
1158,130,1288
399,187,586
619,489,1108
918,194,1112
1210,130,1340
451,162,613
646,292,938
773,254,1027
1118,130,1248
359,173,532
565,372,937
761,314,1075
1154,114,1268
379,164,543
592,504,1096
929,195,1124
1129,115,1244
355,138,493
541,383,924
783,356,1139
1146,130,1276
387,163,550
583,602,1185
1019,354,1373
1237,171,1408
519,178,697
689,395,1084
903,383,1286
1146,130,1276
387,170,557
590,325,915
742,272,1014
1147,96,1243
354,128,482
549,294,843
712,169,881
1231,109,1340
451,211,662
716,674,1390
1176,621,1797
1210,113,1323
434,264,698
748,778,1526
1259,245,1504
1150,92,1242
353,119,472
543,411,954
832,182,1014
1112,111,1223
334,153,487
539,413,952
796,432,1228
1212,92,1304
415,162,577
648,290,938
773,182,955
1111,114,1225
336,142,478
527,434,961
816,213,1029
1114,92,1206
317,142,459
530,559,1089
944,307,1251
1113,115,1228
339,138,477
525,632,1157
1016,316,1332
1154,95,1249
360,113,473
541,376,917
801,408,1209
1115,115,1230
341,183,524
572,700,1272
1086,390,1476
1119,112,1231
342,115,457
508,498,1006
888,273,1161
1128,130,1258
369,156,525
558,394,952
793,275,1068
1118,115,1233
344,151,495
543,285,828
674,180,854
1111,130,1241
352,135,487
520,350,870
732,383,1115
1140,115,1255
366,134,500
548,275,823
686,217,903
1123,130,1253
364,154,518
551,699,1250
1093,315,1408
1128,130,1258
369,143,512
545,548,1093
947,253,1200
1120,130,1250
361,154,515
548,473,1021
864,131,995
1241,114,1355
466,171,637
686,388,1074
900,369,1269
1136,92,1228
339,128,467
538,381,919
788,254,1042
1134,130,1264
375,176,551
584,299,883
704,202,906
1240,147,1387
498,188,686
702,298,1000
809,258,1067
1168,130,1298
409,205,614
647,415,1062
854,349,1203
1122,114,1236
347,142,489
538,247,785
640,183,823
1156,130,1286
397,186,583
616,285,901
712,261,973
1115,131,1246
357,183,540
572,399,971
785,280,1065
1111,108,1219
330,127,457
512,474,986
856,193,1049
1112,147,1259
370,190,560
576,292,868
675,269,944
1235,148,1383
494,206,700
715,704,1419
1210,289,1499
1235,92,1327
438,102,540
611,893,1504
1399,630,2029
1127,92,1219
330,153,483
554,560,1114
958,222,1180
1208,130,1338
449,164,613
646,315,961
794,276,1070
1137,92,1229
340,129,469
540,493,1033
901,266,1167
1160,130,1290
401,187,588
621,905,1526
1336,543,1879
1206,115,1321
432,127,559
607,936,1543
1413,501,1914
1161,130,1291
402,142,544
577,796,1373
1228,509,1737
1164,114,1278
389,165,554
603,395,998
830,349,1179
1141,130,1271
382,164,546
579,297,876
709,319,1028
1220,92,1312
423,128,551
622,573,1195
1064,299,1363
1160,130,1290
401,180,581
614,444,1058
875,534,1409
1113,115,1228
339,143,482
530,597,1127
981,6,987
1133,130,1263
374,189,563
596,731,1327
1135,423,1558
1160,130,1290
401,192,593
626,632,1258
1063,436,1499
1238,131,1369
480,188,668
