prompt_tokens,completion_tokens,total_tokens
1111,131,1242
353,159,512
544,289,833
671,268,939
1108,113,1221
332,128,460
510,462,972
841,303,1144
1127,166,1293
404,178,582
579,675,1254
1073,331,1404
1056,113,1169
280,207,487
537,571,1108
898,478,1376
1126,125,1251
362,169,531
569,397,966
794,249,1043
1045,166,1211
322,169,491
488,320,808
636,277,913
1106,113,1219
330,129,459
509,579,1088
956,329,1285
1094,142,1236
347,128,475
496,464,960
829,292,1121
1002,142,1144
255,152,407
428,407,835
680,409,1089
1105,135,1240
351,148,499
527,354,881
730,240,970
1106,113,1219
330,128,458
508,601,1109
978,378,1356
1122,125,1247
358,173,531
569,388,957
781,381,1162
1114,151,1265
376,175,551
563,262,825
647,195,842
1094,109,1203
314,183,497
551,295,846
660,251,911
1123,166,1289
400,192,592
589,307,896
701,343,1044
1111,126,1237
348,128,476
513,630,1143
1012,331,1343
1119,125,1244
355,141,496
534,417,951
807,352,1159
1107,144,1251
362,141,503
522,596,1118
974,421,1395
1098,175,1273
384,250,634
622,280,902
649,226,875
1101,109,1210
321,136,457
511,249,760
621,263,884
1039,153,1192
303,158,461
471,319,790
629,241,870
1056,91,1147
258,250,508
580,561,1141
888,197,1085
1126,147,1273
384,193,577
593,528,1121
925,272,1197
1087,144,1231
342,128,470
489,389,878
747,341,1088
1048,166,1214
325,319,644
641,618,1259
937,250,1187
1127,131,1258
369,171,540
572,542,1114
940,272,1212
1120,107,1227
338,204,542
598,517,1115
908,521,1429
1059,107,1166
277,155,432
488,266,754
596,184,780
1099,109,1208
319,145,464
518,261,779
631,343,974
1093,125,1218
329,195,524
562,346,908
710,351,1061
1106,148,1254
365,158,523
538,455,993
832,411,1243
1013,107,1120
231,150,381
437,526,963
810,219,1029
1114,148,1262
373,145,518
533,265,798
650,205,855
1096,74,1170
281,105,386
475,259,734
626,188,814
1105,126,1231
342,116,458
495,249,744
625,205,830
1111,95,1206
317,126,443
511,406,917
788,200,988
1125,144,1269
380,153,533
552,322,874
718,400,1118
1108,115,1223
334,136,470
518,660,1178
1039,266,1305
1106,135,1241
352,146,498
526,261,787
638,191,829
1036,153,1189
300,170,470
480,308,788
615,239,854
1106,166,1272
383,181,564
561,386,947
763,408,1171
1032,166,1198
309,169,478
475,361,836
664,345,1009
1138,166,1304
415,209,624
621,333,954
742,225,967
1010,144,1154
265,136,401
420,470,890
751,196,947
1104,125,1229
340,158,498
536,450,986
825,317,1142
1010,144,1154
265,164,429
448,272,720
553,199,752
1001,122,1123
234,112,346
387,544,931
816,190,1006
1107,148,1255
366,154,520
535,479,1014
857,313,1170
1126,131,1257
368,169,537
569,280,849
677,262,939
1129,96,1225
336,133,469
536,296,832
696,252,948
1116,153,1269
380,241,621
631,379,1010
766,148,914
1010,93,1103
214,111,325
395,430,825
711,417,1128
1118,125,1243
354,162,516
554,210,764
599,311,910
