prompt_tokens,completion_tokens,total_tokens
1007,262,1269
380,284,664
565,845,1410
1123,829,1952
1027,208,1235
346,228,574
529,828,1357
1126,818,1944
1037,149,1186
297,150,447
461,634,1095
942,645,1587
1011,208,1219
330,185,515
470,953,1423
1235,583,1818
1008,201,1209
320,226,546
508,575,1083
854,707,1561
1034,286,1320
431,277,708
585,715,1300
1020,623,1643
1021,164,1185
296,187,483
482,660,1142
952,786,1738
1022,193,1215
326,358,684
654,619,1273
912,531,1443
1013,141,1154
265,142,407
429,675,1104
959,587,1546
1009,166,1175
286,124,410
407,729,1136
1009,756,1765
1006,156,1162
273,190,463
470,587,1057
864,552,1416
1011,188,1199
310,187,497
472,618,1090
900,688,1588
1010,197,1207
318,167,485
451,769,1220
1050,522,1572
1021,153,1174
285,180,465
475,607,1082
899,889,1788
1018,203,1221
332,171,503
463,482,945
771,408,1179
1020,203,1223
334,198,532
492,966,1458
1257,517,1774
1019,188,1207
318,182,500
475,609,1084
899,552,1451
1007,188,1195
306,221,527
502,627,1129
905,639,1544
1024,216,1240
351,301,652
599,481,1080
776,432,1208
1010,188,1198
309,195,504
479,556,1035
837,490,1327
1007,268,1275
386,295,681
576,1061,1637
1339,647,1986
1014,190,1204
315,221,536
509,692,1201
977,593,1570
1017,168,1185
296,220,516
511,631,1142
919,635,1554
1017,168,1185
296,197,493
488,764,1252
1052,554,1606
1031,235,1266
377,245,622
550,1046,1596
1348,704,2052
1023,221,1244
355,236,591
533,912,1445
1206,775,1981
1012,204,1216
327,221,548
507,582,1089
865,574,1439
1007,244,1251
362,264,626
545,769,1314
1047,603,1650
1026,243,1269
380,230,610
530,607,1137
904,649,1553
1008,221,1229
340,228,568
510,658,1168
937,654,1591
1012,198,1210
321,156,477
442,577,1019
860,477,1337
1005,182,1187
298,227,525
506,607,1113
883,572,1455
1005,224,1229
340,235,575
514,663,1177
939,782,1721
1011,243,1254
365,227,592
512,604,1116
886,729,1615
1018,198,1216
327,193,520
485,514,999
803,494,1297
1013,185,1198
309,227,536
514,533,1047
817,546,1363
1008,216,1224
335,214,549
496,560,1056
839,556,1395
1023,182,1205
316,199,515
496,634,1130
928,671,1599
1020,198,1218
329,163,492
457,569,1026
860,649,1509
1018,190,1208
319,213,532
505,567,1072
856,482,1338
1011,224,1235
346,253,599
538,777,1315
1059,728,1787
1017,205,1222
333,234,567
525,883,1408
1171,664,1835
1006,243,1249
360,237,597
517,768,1285
1045,622,1667
1034,292,1326
437,244,681
552,941,1493
1246,591,1837
1018,203,1221
332,186,518
478,595,1073
884,584,1468
1013,203,1216
327,237,564
524,958,1482
1242,615,1857
1008,203,1211
322,180,502
462,528,990
807,465,1272
1009,188,1197
308,182,490
465,648,1113
928,551,1479
1029,286,1315
426,287,713
590,670,1260
970,660,1630
1012,188,1200
311,286,597
572,557,1129
840,493,1333
1028,182,1210
321,182,503
484,571,1055
870,640,1510
1012,214,1226
337,312,649
598,686,1284
969,424,1393
1011,203,1214
325,182,507
467,752,1219
1034,649,1683
1028,223,1251
362,245,607
547,1388,1935
1687,413,2100
1020,204,1224
335,200,535
494,709,1203
1000,559,1559
1006,184,1190
301,221,522
501,566,1067
843,452,1295
1012,171,1183
294,173,467
459,501,960
784,636,1420
1008,224,1232
343,209,552
491,853,1344
1132,565,1697
1007,286,1293
404,234,638
515,594,1109
872,519,1391
1012,236,1248
359,249,608
535,726,1261
1009,767,1776
1005,186,1191
302,177,479
456,587,1043
863,582,1445
1013,188,1201
312,218,530
505,638,1143
922,478,1400
1010,199,1209
320,191,511
475,668,1143
949,510,1459
1006,139,1145
256,143,399
423,654,1077
931,452,1383
1009,270,1279
390,295,685
578,617,1195
897,640,1537
1026,229,1255
366,227,593
527,1178,1705
1475,842,2317
1022,224,1246
357,225,582
521,637,1158
930,542,1472
1014,204,1218
329,261,590
549,439,988
724,502,1226
1013,213,1226
337,183,520
470,510,980
794,489,1283
1031,279,1310
421,286,707
591,625,1216
927,632,1559
1018,255,1273
384,330,714
622,947,1569
1236,525,1761
1011,188,1199
310,193,503
478,586,1064
868,599,1467
1014,213,1227
338,264,602
552,636,1188
921,554,1475
1018,168,1186
297,184,481
476,587,1063
876,563,1439
1016,185,1201
312,242,554
532,876,1408
1163,606,1769
1018,190,1208
319,188,507
480,1065,1545
1354,889,2243
1017,258,1275
386,305,691
596,689,1285
977,679,1656
1026,188,1214
325,189,514
489,674,1163
971,492,1463
1015,205,1220
331,232,563
521,706,1227
992,656,1648
1011,188,1199
310,193,503
478,1230,1708
1512,835,2347
1013,186,1199
310,195,505
482,527,1009
811,591,1402
1008,247,1255
366,227,593
509,654,1163
933,539,1472
1008,159,1167
278,145,423
427,594,1021
873,474,1347
1014,174,1188
299,184,483
472,501,973
786,433,1219
1005,182,1187
298,190,488
469,697,1166
973,619,1592
1010,208,1218
329,210,539
494,652,1146
933,510,1443
1010,209,1219
330,228,558
512,595,1107
876,578,1454
1029,297,1326
437,286,723
589,731,1320
1031,758,1789
1005,217,1222
333,244,577
523,726,1249
1002,892,1894
1007,204,1211
322,294,616
575,584,1159
862,542,1404
1013,204,1217
328,286,614
573,558,1131
842,619,1461
1009,205,1214
325,217,542
500,465,965
745,564,1309
1028,182,1210
321,182,503
484,722,1206
1021,582,1603
1018,224,1242
353,210,563
502,703,1205
992,673,1665
1007,213,1220
331,325,656
606,583,1189
861,468,1329
1019,182,1201
312,180,492
473,673,1146
963,530,1493
1019,261,1280
391,271,662
564,841,1405
1131,603,1734
1009,214,1223
334,217,551
500,954,1454
1234,597,1831
1026,253,1279
390,261,651
561,808,1369
1105,542,1647
1049,275,1324
435,243,678
566,847,1413
1167,769,1936
1021,171,1192
303,190,493
485,1090,1575
1382,836,2218
1013,187,1200
311,218,529
505,423,928
707,381,1088
1008,240,1248
359,298,657
580,578,1158
858,420,1278
1016,196,1212
323,200,523
490,620,1110
907,642,1549
1024,188,1212
323,197,520
495,689,1184
984,762,1746
1015,227,1242
353,230,583
519,999,1518
1285,829,2114
1027,204,1231
342,222,564
523,648,1171
946,495,1441
1012,208,1220
331,191,522
477,536,1013
819,585,1404
1022,280,1302
413,292,705
588,1006,1594
1299,749,2048
1023,188,1211
322,202,524
499,734,1233
1028,629,1657
1011,139,1150
261,254,515
539,508,1047
790,441,1231
1032,270,1302
413,402,815
708,733,1441
1036,691,1727
1016,227,1243
354,299,653
589,435,1024
722,676,1398
1011,199,1210
321,226,547
511,706,1217
988,522,1510
1010,292,1302
413,279,692
563,1024,1587
1305,645,1950
1015,213,1228
339,263,602
552,628,1180
914,566,1480
1010,208,1218
329,220,549
504,540,1044
821,621,1442
1007,204,1211
322,192,514
473,599,1072
877,599,1476
1022,221,1243
354,248,602
544,663,1207
956,677,1633
1020,270,1290
401,262,663
556,1172,1728
1463,540,2003
1007,182,1189
300,189,489
470,897,1367
1175,515,1690
1026,235,1261
372,232,604
532,773,1305
1070,715,1785
1012,270,1282
393,255,648
541,921,1462
1204,505,1709
1028,169,1197
308,200,508
502,1321,1823
1620,1002,2622
1012,183,1195
306,178,484
464,672,1136
955,938,1893
1016,196,1212
323,289,612
579,614,1193
901,504,1405
1007,207,1214
325,323,648
604,550,1154
828,529,1357
1035,247,1282
393,268,661
577,615,1192
921,656,1577
1006,184,1190
301,165,466
445,514,959
791,416,1207
1010,216,1226
337,207,544
491,642,1133
923,499,1422
1008,171,1179
290,163,453
445,597,1042
876,560,1436
1011,196,1207
318,315,633
600,617,1217
899,496,1395
1012,202,1214
325,333,658
619,615,1234
898,468,1366
1023,244,1267
378,339,717
636,743,1379
1037,544,1581
1011,166,1177
288,182,470
467,952,1419
1234,825,2059
1006,224,1230
341,211,552
491,768,1259
1045,705,1750
1026,224,1250
361,221,582
521,1164,1685
1461,756,2217
1020,205,1225
336,205,541
499,525,1024
816,509,1325
1017,262,1279
390,274,664
565,870,1435
1158,744,1902
1026,244,1270
381,228,609
528,703,1231
1000,607,1607
1012,201,1213
324,201,525
487,570,1057
853,454,1307
1012,170,1182
293,172,465
458,507,965
790,443,1233
1020,277,1297
408,269,677
563,1096,1659
1387,815,2202
1017,198,1215
326,176,502
467,416,883
704,407,1111
1040,295,1335
446,268,714
582,723,1305
1034,578,1612
1019,215,1234
345,203,548
496,1037,1533
1327,649,1976
1018,351,1369
480,336,816
628,799,1427
1088,924,2012
1011,208,1219
330,226,556
511,838,1349
1120,581,1701
1014,204,1218
329,283,612
571,604,1175
889,835,1724
1008,188,1196
307,150,457
432,876,1308
1155,611,1766
1013,168,1181
292,177,469
464,606,1070
890,524,1414
1022,182,1204
315,181,496
477,470,947
763,610,1373
1007,231,1238
349,236,585
517,783,1300
1061,654,1715
1006,213,1219
330,209,539
489,958,1447
1235,533,1768
1021,231,1252
363,397,760
692,608,1300
900,516,1416
1031,266,1297
408,225,633
530,736,1266
1038,645,1683
1010,224,1234
345,226,571
510,1358,1868
1639,786,2425
1012,244,1256
367,307,674
593,643,1236
926,609,1535
1010,260,1270
381,275,656
559,756,1315
1037,598,1635
1009,190,1199
310,180,490
463,660,1123
940,706,1646
1017,203,1220
331,209,540
500,547,1047
835,444,1279
1016,224,1240
351,218,569
508,740,1248
1027,582,1609
1015,196,1211
322,205,527
494,565,1059
851,464,1315
1026,204,1230
341,238,579
538,790,1328
1087,785,1872
1021,219,1240
351,193,544
488,590,1078
882,529,1411
1007,243,1250
361,301,662
582,990,1572
1268,567,1835
1014,231,1245
356,266,622
554,643,1197
928,589,1517
1003,166,1169
280,169,449
446,864,1310
1138,410,1548
1011,199,1210
321,187,508
472,705,1177
987,373,1360
1016,208,1224
335,300,635
590,725,1315
1012,654,1666
1012,270,1282
393,240,633
526,773,1299
1056,858,1914
1012,204,1216
327,199,526
485,517,1002
800,489,1289
1008,201,1209
320,187,507
469,487,956
766,409,1175
1006,252,1258
369,245,614
525,731,1256
1008,520,1528
1041,212,1253
364,216,580
531,726,1257
1038,758,1796
1017,182,1199
310,188,498
479,559,1038
847,486,1333
1029,182,1211
322,260,582
563,824,1387
1124,661,1785
1014,168,1182
293,197,490
485,955,1440
1240,544,1784
1013,213,1226
337,205,542
492,552,1044
836,494,1330
1017,153,1170
281,148,429
439,798,1237
1086,384,1470
1017,182,1199
310,199,509
490,690,1180
978,636,1614
1017,190,1207
318,208,526
499,737,1236
1025,610,1635
1011,205,1216
327,216,543
501,351,852
633,454,1087
1011,203,1214
325,201,526
486,587,1073
869,543,1412
1011,248,1259
370,270,640
555,899,1454
1181,675,1856
1022,199,1221
332,166,498
462,706,1168
999,692,1691
1015,270,1285
396,265,661
554,545,1099
831,554,1385
1031,188,1219
330,211,541
516,836,1352
1138,859,1997
1024,188,1212
323,176,499
474,646,1120
941,709,1650
1005,223,1228
339,215,554
494,903,1397
1179,847,2026
1012,213,1225
336,248,584
534,1519,2053
1802,994,2796
1009,187,1196
307,185,492
468,516,984
796,747,1543
1037,303,1340
451,311,762
622,790,1412
1098,745,1843
1007,297,1304
415,271,686
552,666,1218
944,585,1529
1011,180,1191
302,184,486
469,442,911
724,612,1336
1027,149,1176
287,210,497
511,833,1344
1131,466,1597
1017,225,1242
353,272,625
563,1005,1568
1293,867,2160
1008,243,1251
362,263,625
545,979,1524
1258,963,2221
1021,224,1245
356,249,605
544,595,1139
887,508,1395
1011,187,1198
309,187,496
472,900,1372
1182,553,1735
1021,203,1224
335,164,499
459,798,1257
1090,625,1715
1007,165,1172
283,163,446
444,644,1088
922,487,1409
1023,208,1231
342,206,548
503,550,1053
844,519,1363
1010,182,1192
303,170,473
454,760,1214
1041,419,1460
1012,228,1240
351,218,569
504,726,1230
1009,722,1731
1026,159,1185
296,198,494
498,737,1235
1034,630,1664
1010,188,1198
309,191,500
475,462,937
743,420,1163
1017,204,1221
332,180,512
471,973,1444
1261,576,1837
1011,270,1281
392,269,661
554,617,1171
899,608,1507
1025,257,1282
393,225,618
524,1011,1535
1307,780,2087
1014,227,1241
352,228,580
516,1127,1643
1412,776,2188
1032,204,1236
347,206,553
512,647,1159
950,540,1490
1006,203,1209
320,242,562
522,609,1131
886,568,1454
1014,188,1202
313,187,500
475,830,1305
1115,741,1856
1009,188,1197
308,189,497
472,1135,1607
1415,738,2153
1007,207,1214
325,186,511
467,462,929
740,464,1204
1034,204,1238
349,237,586
545,389,934
694,456,1150
1030,188,1218
329,178,507
482,692,1174
993,902,1895
1020,224,1244
355,186,541
480,705,1185
996,729,1725
1014,250,1264
375,257,632
545,670,1215
955,428,1383
1006,168,1174
285,137,422
417,535,952
812,529,1341
1027,319,1346
457,282,739
583,636,1219
934,598,1532
1025,178,1203
314,169,483
468,727,1195
1023,497,1520
