prompt_tokens,completion_tokens,total_tokens
1229,209,1438
549,249,798
752,692,1444
1192,444,1636
1235,214,1449
560,241,801
750,834,1584
1340,643,1983
1226,222,1448
559,258,817
758,804,1562
1301,477,1778
1226,172,1398
509,164,673
664,1040,1704
1537,482,2019
1218,209,1427
538,251,789
743,685,1428
1174,604,1778
1238,164,1402
513,185,698
697,721,1418
1230,696,1926
1254,249,1503
614,286,900
814,763,1577
1288,832,2120
1205,144,1349
460,170,630
649,1087,1736
1563,431,1994
1214,205,1419
530,336,866
824,706,1530
1191,676,1867
1222,144,1366
477,180,657
676,629,1305
1122,413,1535
1273,111,1384
495,154,649
701,711,1412
1255,440,1695
1257,202,1459
570,245,815
776,856,1632
1384,501,1885
1195,144,1339
450,175,625
644,463,1107
929,273,1202
1226,172,1398
509,195,704
695,717,1412
1214,600,1814
1279,220,1499
610,264,874
817,1262,2079
1812,635,2447
1328,139,1467
578,168,746
770,862,1632
1461,483,1944
1257,176,1433
544,194,738
725,786,1511
1314,480,1794
1233,164,1397
508,175,683
682,818,1500
1322,588,1910
1226,198,1424
535,235,770
735,703,1438
1200,742,1942
1231,205,1436
547,247,794
752,799,1551
1301,994,2295
1286,175,1461
572,220,792
780,825,1605
1382,682,2064
1264,193,1457
568,219,787
757,617,1374
1152,538,1690
1217,180,1397
508,229,737
720,718,1438
1206,567,1773
1236,172,1408
519,196,715
706,667,1373
1174,658,1832
1213,164,1377
488,177,665
664,728,1392
1212,478,1690
1255,171,1426
537,195,732
724,671,1395
1197,396,1593
1236,144,1380
491,168,659
678,647,1325
1154,431,1585
1258,198,1456
567,240,807
772,748,1520
1277,610,1887
1257,144,1401
512,171,683
702,1102,1804
1630,1073,2703
1331,202,1533
644,252,896
857,824,1681
1426,789,2215
1253,203,1456
567,244,811
771,750,1521
1274,606,1880
1232,216,1448
559,235,794
741,946,1687
1449,618,2067
1272,198,1470
581,227,808
773,853,1626
1396,561,1957
1277,198,1475
586,286,872
837,672,1509
1220,521,1741
1294,144,1438
549,172,721
740,565,1305
1130,676,1806
1236,220,1456
567,244,811
754,813,1567
1320,641,1961
1243,198,1441
552,234,786
751,706,1457
1220,563,1783
1215,242,1457
568,284,852
773,751,1524
1237,369,1606
1282,172,1454
565,186,751
742,1049,1791
1602,947,2549
1228,144,1372
483,178,661
680,611,1291
1110,592,1702
1288,220,1508
619,251,870
813,652,1465
1211,696,1907
1334,159,1493
604,175,779
783,604,1387
1209,688,1897
1212,209,1421
532,268,800
754,786,1540
1269,466,1735
1236,144,1380
491,173,664
683,689,1372
1196,416,1612
1253,128,1381
492,171,663
698,784,1482
1308,560,1868
1240,199,1439
550,238,788
752,807,1559
1318,539,1857
1217,144,1361
472,170,642
661,731,1392
1219,891,2110
1262,198,1460
571,242,813
778,817,1595
1350,721,2071
1276,191,1467
578,231,809
781,823,1604
1370,417,1787
1234,144,1378
489,175,664
683,754,1437
1259,447,1706
1229,181,1410
521,214,735
717,706,1423
1206,432,1638
1215,209,1424
535,247,782
736,724,1460
1210,588,1798
1289,198,1487
598,221,819
784,917,1701
