prompt_tokens,completion_tokens,total_tokens
1018,156,1174
285,189,474
481,568,1049
857,666,1523
998,118,1116
227,157,384
429,578,1007
847,411,1258
1002,167,1169
280,188,468
464,523,987
796,518,1314
1012,171,1183
294,204,498
490,718,1208
1001,468,1469
1001,226,1227
338,288,626
563,731,1294
1003,601,1604
1013,107,1120
231,130,361
417,1114,1531
1398,478,1876
996,167,1163
274,181,455
451,578,1029
845,607,1452
1007,211,1218
329,241,570
522,833,1355
1111,612,1723
1013,124,1137
248,108,356
395,362,757
646,534,1180
998,143,1141
252,216,468
488,535,1023
804,463,1267
996,140,1136
247,146,393
416,720,1136
987,633,1620
994,140,1134
245,162,407
430,820,1250
1085,553,1638
1002,117,1119
230,130,360
406,503,909
776,538,1314
999,279,1278
389,281,670
554,538,1092
808,624,1432
1022,279,1301
412,249,661
545,719,1264
1012,700,1712
1018,124,1142
253,125,378
417,569,986
858,477,1335
998,172,1170
281,169,450
441,396,837
665,379,1044
1025,285,1310
421,298,719
597,789,1386
1085,727,1812
1022,177,1199
310,194,504
490,462,952
755,507,1262
1000,127,1127
238,147,385
421,1258,1679
1529,474,2003
991,167,1158
269,177,446
442,1060,1502
1322,583,1905
1008,142,1150
261,199,460
481,652,1133
931,533,1464
1003,182,1185
296,216,512
493,779,1272
1053,600,1653
1034,140,1174
285,149,434
457,695,1152
1000,507,1507
1014,144,1158
269,160,429
448,716,1164
1001,487,1488
1004,143,1147
258,253,511
531,822,1353
1097,830,1927
1024,144,1168
279,153,432
451,715,1166
1010,697,1707
1016,212,1228
339,194,533
484,775,1259
1062,909,1971
1012,212,1224
335,195,530
481,645,1126
928,611,1539
1012,123,1135
246,163,409
449,553,1002
836,444,1280
1020,167,1187
298,175,473
469,813,1282
1104,633,1737
994,245,1239
350,264,614
532,800,1332
1065,580,1645
989,123,1112
223,169,392
432,455,887
715,492,1207
1016,134,1150
261,126,387
416,546,962
833,435,1268
1018,207,1225
336,227,563
519,713,1232
1002,454,1456
1012,140,1152
263,166,429
452,707,1159
990,565,1555
992,167,1159
270,178,448
444,630,1074
893,623,1516
1018,209,1227
338,269,607
561,902,1463
1191,971,2162
1040,215,1255
366,200,566
514,765,1279
1076,717,1793
1025,209,1234
345,263,608
562,755,1317
1051,673,1724
1003,140,1143
254,145,399
422,566,988
840,870,1710
1022,177,1199
310,217,527
513,621,1134
914,595,1509
1032,266,1298
409,241,650
547,740,1287
1043,848,1891
1012,140,1152
263,157,420
443,696,1139
979,451,1430
994,140,1134
245,166,411
434,1047,1481
1312,550,1862
1017,155,1172
283,226,509
517,726,1243
1014,675,1689
1058,171,1229
340,210,550
542,671,1213
1000,587,1587
1016,118,1134
245,204,449
494,745,1239
1032,697,1729
1006,140,1146
257,162,419
442,572,1014
849,509,1358
995,197,1192
303,275,578
544,843,1387
1109,632,1741
998,146,1144
255,152,407
424,759,1183
1028,601,1629
1014,118,1132
243,144,387
432,409,841
694,452,1146
1018,167,1185
296,173,469
465,748,1213
1037,556,1593
1017,143,1160
271,252,523
543,842,1385
1130,640,1770
989,150,1139
250,167,417
430,493,923
753,520,1273
1021,167,1188
299,181,480
476,482,958
774,525,1299
1003,140,1143
254,156,410
433,519,952
793,442,1235
991,168,1159
270,189,459
454,613,1067
875,1078,1953
1008,256,1264
375,230,605
512,839,1351
1118,789,1907
993,115,1108
219,170,389
437,442,879
706,286,992
1002,140,1142
253,176,429
452,610,1062
883,623,1506
1042,167,1209
320,201,521
517,553,1070
866,475,1341
1038,205,1243
354,243,597
555,1158,1713
1467,854,2321
1014,128,1142
253,131,384
419,400,819
685,364,1049
1026,140,1166
277,146,423
446,499,945
796,447,1243
985,140,1125
236,167,403
426,580,1006
836,532,1368
1026,205,1231
342,206,548
506,651,1157
948,792,1740
1014,245,1259
370,258,628
546,721,1267
1006,834,1840
1009,160,1169
280,232,512
515,833,1348
1113,458,1571
1027,272,1299
410,258,668
559,679,1238
977,676,1653
1036,124,1160
271,156,427
466,870,1336
1177,500,1677
1004,167,1171
282,212,494
490,1114,1604
1389,811,2200
1007,167,1174
285,192,477
473,685,1158
963,615,1578
1031,140,1171
282,139,421
444,711,1155
1013,560,1573
995,140,1135
246,164,410
433,831,1264
1097,933,2030
1010,163,1173
284,193,477
477,667,1144
948,686,1634
1015,118,1133
244,163,407
452,496,948
782,496,1278
1054,245,1299
410,263,673
591,719,1310
1044,782,1826
1020,182,1202
313,194,507
488,1245,1733
1536,673,2209
1000,167,1167
278,195,473
469,1044,1513
1315,495,1810
1006,151,1157
268,208,476
488,804,1292
1081,999,2080
994,140,1134
245,163,408
431,536,967
801,514,1315
1004,174,1178
289,195,484
473,877,1350
1152,517,1669
1010,167,1177
288,174,462
458,602,1060
883,473,1356
1009,167,1176
287,196,483
479,574,1053
854,478,1332
1007,167,1174
285,187,472
468,667,1135
945,666,1611
1012,221,1233
344,290,634
576,636,1212
919,647,1566
1020,156,1176
287,167,454
461,527,988
818,497,1315
973,186,1159
270,221,491
468,797,1265
1041,421,1462
1032,146,1178
289,167,456
473,522,995
825,535,1360
1019,209,1228
339,269,608
562,840,1402
1130,532,1662
1014,124,1138
249,136,385
424,553,977
838,448,1286
1019,189,1208
319,180,499
473,908,1381
1198,679,1877
1003,278,1281
392,295,687
572,762,1334
1036,721,1757
988,172,1160
271,189,460
451,644,1095
903,493,1396
1023,162,1185
296,188,484
485,625,1110
919,655,1574
1008,181,1189
300,243,543
525,767,1292
1046,495,1541
990,118,1108
219,131,350
395,508,903
769,622,1391
1010,144,1154
265,180,445
464,548,1012
829,669,1498
997,167,1164
275,187,462
458,752,1210
1020,541,1561
1018,167,1185
296,196,492
488,627,1115
916,714,1630
1019,118,1137
248,187,435
480,657,1137
947,613,1560
989,140,1129
240,160,400
