prompt_tokens,completion_tokens,total_tokens
976,179,1155
266,311,577
561,893,1454
1140,456,1596
974,180,1154
265,268,533
516,806,1322
1051,887,1938
977,192,1169
280,309,589
560,847,1407
1095,635,1730
982,197,1179
290,293,583
549,788,1337
1041,413,1454
975,140,1115
226,121,347
370,993,1363
1239,498,1737
981,179,1160
271,342,613
597,661,1258
913,473,1386
972,175,1147
258,194,452
440,616,1056
859,540,1399
975,186,1161
272,189,461
438,572,1010
818,328,1146
980,142,1122
233,199,432
453,731,1184
982,542,1524
977,179,1156
267,245,512
496,686,1182
934,392,1326
976,208,1184
295,275,570
525,640,1165
887,619,1506
979,179,1158
269,266,535
519,874,1393
1124,500,1624
981,174,1155
266,212,478
467,621,1088
873,647,1520
978,171,1149
260,294,554
546,763,1309
1012,539,1551
977,142,1119
230,235,465
486,707,1193
955,451,1406
980,230,1210
321,288,609
542,582,1124
833,589,1422
976,174,1150
261,326,587
576,663,1239
910,886,1796
974,185,1159
270,249,519
497,1074,1571
1319,660,1979
973,184,1157
268,276,544
523,677,1200
921,502,1423
980,175,1155
266,204,470
458,610,1068
980,162,1142
253,168,421
422,609,1031
860,451,1311
976,214,1190
301,303,604
553,925,1478
1172,568,1740
974,174,1148
259,329,588
577,903,1480
1148,407,1555
973,162,1135
246,217,463
464,675,1139
919,566,1485
980,175,1155
266,258,524
512,803,1315
1054,670,1724
973,158,1131
242,209,451
456,549,1005
793,460,1253
975,219,1194
305,280,585
529,756,1285
1002,636,1638
973,169,1142
253,229,482
476,727,1203
971,483,1454
975,175,1150
261,212,473
461,664,1125
910,583,1493
980,175,1155
266,286,552
540,659,1199
910,471,1381
974,167,1141
252,172,424
420,687,1107
932,505,1437
981,197,1178
289,324,613
579,755,1334
1007,612,1619
979,179,1158
269,316,585
569,600,1169
850,529,1379
976,192,1168
279,267,546
517,664,1181
911,480,1391
979,157,1136
247,209,456
462,572,1034
822,397,1219
975,192,1167
278,260,538
509,649,1158
895,547,1442
976,184,1160
271,219,490
469,750,1219
997,463,1460
977,179,1156
267,244,511
495,737,1232
985,684,1669
978,175,1153
264,273,537
525,819,1344
1068,479,1547
972,198,1170
281,245,526
491,832,1323
1075,656,1731
976,181,1157
268,274,542
524,815,1339
1062,469,1531
978,180,1158
269,253,522
505,734,1239
983,552,1535
973,163,1136
247,161,408
408,919,1327
1163,380,1543
982,197,1179
290,303,593
559,654,1213
907,482,1389
974,214,1188
299,248,547
496,646,1142
891,761,1652
976,175,1151
262,287,549
537,704,1241
951,449,1400
978,157,1135
246,175,421
427,643,1070
892,489,1381
982,192,1174
285,213,498
469,748,1217
1001,680,1681
982,197,1179
290,301,591
557,622,1179
875,454,1329
975,219,1194
305,286,591
535,762,1297
1008,604,1612
974,202,1176
287,320,607
568,677,1245
922,471,1393
982,197,1179
290,297,587
553,712,1265
965,690,1655
975,184,1159
270,244,514
493,765,1258
1011,646,1657
976,206,1182
293,235,528
485,728,1213
975,527,1502
975,142,1117
228,225,453
474,702,1176
948,486,1434
975,175,1150
261,230,491
479,659,1138
905,599,1504
976,189,1165
276,282,558
532,738,1270
985,481,1466
976,192,1168
279,230,509
480,643,1123
890,457,1347
980,179,1159
270,298,568
552,938,1490
1189,472,1661
974,159,1133
244,218,462
466,688,1154
933,578,1511
975,162,1137
248,216,464
465,507,972
753,362,1115
976,198,1174
285,253,538
503,896,1399
1143,743,1886
977,175,1152
263,213,476
464,634,1098
882,509,1391
975,179,1154
265,277,542
526,761,1287
1007,498,1505
982,175,1157
268,266,534
522,644,1166
897,533,1430
979,162,1141
252,303,555
556,624,1180
874,485,1359
981,197,1178
289,232,521
487,795,1282
1047,543,1590
977,158,1135
246,211,457
462,629,1091
877,540,1417
975,192,1167
278,283,561
532,689,1221
935,623,1558
978,174,1152
263,187,450
439,552,991
801,384,1185
976,200,1176
287,268,555
518,601,1119
848,497,1345
975,184,1159
270,196,466
445,573,1018
819,449,1268
977,181,1158
269,229,498
480,744,1224
992,439,1431
982,179,1161
272,265,537
521,655,1176
908,543,1451
976,162,1138
249,184,433
434,730,1164
978,843,1821
981,179,1160
271,194,465
449,672,1121
924,740,1664
973,197,1170
281,239,520
486,558,1044
802,618,1420
977,157,1134
245,191,436
442,525,967
773,476,1249
982,175,1157
268,307,575
563,1040,1603
1294,731,2025
977,167,1144
255,223,478
474,602,1076
850,590,1440
978,162,1140
251,238,489
490,844,1334
1093,482,1575
974,157,1131
242,184,426
432,1085,1517
1330,1089,2419
974,181,1155
266,263,529
511,995,1506
1240,633,1873
976,179,1155
266,239,505
489,798,1287
1045,557,1602
976,198,1174
285,267,552
517,730,1247
977,532,1509
976,175,1151
262,235,497
485,750,1235
997,505,1502
976,184,1160
271,269,540
519,749,1268
996,606,1602
976,202,1178
289,220,509
470,738,1208
985,648,1633
973,202,1175
286,220,506
467,751,1218
995,615,1610
973,175,1148
259,285,544
532,714,1246
958,509,1467
977,180,1157
268,230,498
481,751,1232
999,520,1519
978,180,1158
269,238,507
490,1038,1528
1287,544,1831
974,142,1116
227,196,423
444,621,1065
866,363,1229
978,196,1174
285,248,533
500,808,1308
1057,541,1598
977,175,1152
263,226,489
477,671,1148
919,527,1446
977,175,1152
263,249,512
500,602,1102
850,415,1265
973,179,1152
263,348,611
595,589,1184
833,726,1559
976,158,1134
245,233,478
483,581,1064
828,488,1316
980,197,1177
288,314,602
568,823,1391
1074,794,1868
978,175,1153
264,283,547
535,751,1286
1000,426,1426
976,162,1138
249,296,545
546,690,1236
937,386,1323
979,151,1130
241,160,401
413,571,984
821,490,1311
974,140,1114
225,207,432
455,683,1138
928,510,1438
975,175,1150
261,242,503
491,745,1236
991,584,1575
975,192,1167
278,229,507
478,755,1233
1001,601,1602
973,202,1175
286,272,558
519,730,1249
974,463,1437
977,162,1139
250,297,547
548,768,1316
1016,559,1575
973,198,1171
282,253,535
500,1140,1640
1384,628,2012
980,175,1155
266,270,536
524,732,1256
983,454,1437
973,175,1148
259,196,455
443,619,1062
863,396,1259
982,197,1179
290,255,545
511,762,1273
1015,872,1887
972,167,1139
250,219,469
465,660,1125
903,644,1547
974,142,1116
227,209,436
457,647,1104
892,509,1401
979,157,1136
247,168,415
421,684,1105
934,482,1416
980,174,1154
265,251,516
505,715,1220
966,409,1375
978,175,1153
264,203,467
455,672,1127
921,601,1522
977,202,1179
290,273,563
524,732,1256
980,593,1573
981,175,1156
267,195,462
450,655,1105
907,420,1327
974,215,1189
300,226,526
474,668,1142
913,565,1478
976,181,1157
268,236,504
486,891,1377
1138,623,1761
977,142,1119
230,255,485
506,880,1386
1128,470,1598
974,157,1131
242,188,430
436,581,1017
826,496,1322
980,157,1137
248,194,442
448,462,910
713,416,1129
976,140,1116
227,182,409
432,488,920
735,347,1082
975,179,1154
265,181,446
430,545,975
791,457,1248
978,191,1169
280,207,487
459,591,1050
840,510,1350
982,197,1179
290,218,508
474,722,1196
975,719,1694
975,192,1167
278,237,515
486,610,1096
856,492,1348
973,196,1169
280,430,710
677,794,1471
1038,1218,2256
977,214,1191
302,293,595
544,1055,1599
1303,576,1879
977,214,1191
302,240,542
491,840,1331
1088,683,1771
975,157,1132
243,177,420
426,607,1033
853,602,1455
974,184,1158
269,199,468
447,796,1243
1041,468,1509
981,197,1178
289,264,553
519,780,1299
1032,890,1922
974,174,1148
259,199,458
447,718,1165
963,566,1529
977,175,1152
263,280,543
531,733,1264
981,528,1509
977,175,1152
263,253,516
504,631,1135
879,575,1454
975,184,1159
270,228,498
477,555,1032
801,399,1200
973,169,1142
253,320,573
567,620,1187
864,493,1357
974,184,1158
269,228,497
476,597,1073
842,492,1334
982,197,1179
290,301,591
557,718,1275
971,885,1856
984,175,1159
270,211,481
469,845,1314
1100,531,1631
977,180,1157
268,222,490
473,745,1218
993,504,1497
974,157,1131
242,191,433
439,694,1133
939,426,1365
976,157,1133
982,175,1157
268,195,463
451,681,1132
934,549,1483
984,175,1159
270,246,516
504,899,1403
1154,548,1702
977,197,1174
285,324,609
575,694,1269
942,545,1487
974,184,1158
269,218,487
466,800,1266
1045,621,1666
976,146,1122
233,222,455
472,546,1018
793,390,1183
981,171,1152
263,216,479
471,694,1165
946,523,1469
975,175,1150
261,245,506
494,690,1184
936,600,1536
976,189,1165
276,319,595
570,794,1364
1041,838,1879
979,175,1154
265,181,446
434,570,1004
820,486,1306
974,158,1132
243,211,454
459,685,1144
930,480,1410
979,157,1136
247,191,438
444,821,1265
1071,618,1689
976,157,1133
244,239,483
489,542,1031
789,378,1167
974,157,1131
242,214,456
462,572,1034
817,484,1301
975,202,1177
288,281,569
530,795,1325
1041,530,1571
977,197,1174
285,287,572
538,739,1277
987,531,1518
976,163,1139
250,194,444
444,865,1309
1112,611,1723
974,142,1116
227,190,417
438,529,967
774,427,1201
981,197,1178
289,315,604
570,692,1262
944,483,1427
973,162,1135
246,144,390
391,569,960
813,455,1268
981,197,1178
289,250,539
505,735,1240
987,563,1550
979,179,1158
269,301,570
554,657,1211
907,406,1313
976,157,1133
244,211,455
461,529,990
776,486,1262
976,186,1162
273,257,530
507,1036,1543
1283,698,1981
977,157,1134
245,183,428
434,662,1096
910,526,1436
973,176,1149
260,215,475
462,636,1098
880,377,1257
980,197,1177
288,297,585
551,825,1376
1076,900,1976
979,208,1187
298,251,549
504,710,1214
960,579,1539
974,214,1188
299,283,582
531,831,1362
1076,732,1808
977,162,1139
250,280,530
531,754,1285
1002,570,1572
976,142,1118
229,232,461
482,675,1157
922,615,1537
975,146,1121
232,237,469
486,745,1231
991,491,1482
976,179,1155
266,286,552
536,714,1250
961,679,1640
975,180,1155
266,228,494
477,486,963
732,415,1147
973,179,1152
263,317,580
564,704,1268
948,924,1872
975,174,1149
260,392,652
641,782,1423
1028,817,1845
975,158,1133
244,224,468
473,1035,1508
1281,545,1826
976,179,1155
266,174,440
424,551,975
798,456,1254
974,192,1166
277,258,535
506,696,1202
941,505,1446
983,175,1158
269,223,492
480,806,1286
1060,551,1611
976,180,1156
267,218,485
468,926,1394
1173,497,1670
974,175,1149
260,330,590
578,693,1271
938,525,1463
976,192,1168
279,257,536
507,700,1207
947,394,1341
976,184,1160
271,206,477
456,639,1095
886,523,1409
977,158,1135
246,237,483
488,646,1134
894,536,1430
976,197,1173
284,269,553
519,804,1323
1051,586,1637
977,158,1135
246,243,489
494,661,1155
909,486,1395
979,124,1103
214,203,417
456,552,1008
802,422,1224
975,174,1149
260,367,627
616,860,1476
1106,382,1488
978,140,1118
229,195,424
447,552,999
801,466,1267
975,198,1173
284,255,539
504,1062,1566
1308,602,1910
979,195,1174
285,232,517
485,660,1145
910,503,1413
974,202,1176
287,266,553
514,803,1317
1048,440,1488
978,184,1162
273,221,494
473,894,1367
1143,452,1595
975,142,1117
228,160,388
409,615,1024
861,523,1384
978,179,1157
268,220,488
472,697,1169
946,660,1606
977,197,1174
285,285,570
536,667,1203
915,600,1515
975,181,1156
267,233,500
482,990,1472
1236,614,1850
977,214,1191
302,255,557
506,1134,1640
1382,672,2054
976,197,1173
284,231,515
481,636,1117
883,464,1347
978,174,1152
263,213,476
465,667,1132
916,573,1489
978,175,1153
264,298,562
550,920,1470
1169,956,2125
976,142,1118
229,196,425
446,489,935
736,359,1095
979,180,1159
270,225,495
478,692,1170
942,635,1577
983,181,1164
275,276,551
533,784,1317
1038,831,1869
979,197,1176
287,258,545
511,772,1283
1022,546,1568
973,159,1132
243,217,460
464,781,1245
1025,590,1615
977,157,1134
245,189,434
440,584,1024
832,409,1241
971,202,1173
284,256,540
501,680,1181
922,517,1439
976,176,1152
263,244,507
494,590,1084
837,439,1276
979,175,1154
265,236,501
489,652,1141
902,517,1419
983,197,1180
291,306,597
563,761,1324
1015,965,1980
974,178,1152
263,187,450
435,1034,1469
1279,416,1695
986,198,1184
295,231,526
491,708,1199
965,559,1524
976,184,1160
271,194,465
444,940,1384
1187,609,1796
974,184,1158
269,247,516
495,564,1059
809,364,1173
975,214,1189
300,312,612
561,957,1518
1203,1002,2205
980,174,1154
265,276,541
530,598,1128
849,517,1366
975,184,1159
270,301,571
550,626,1176
872,562,1434
976,181,1157
268,251,519
501,970,1471
1217,899,2116
975,197,1172
283,275,558
524,730,1254
976,542,1518
974,175,1149
260,245,505
493,743,1236
988,454,1442
974,219,1193
304,287,591
535,1083,1618
1328,862,2190
976,189,1165
276,277,553
527,527,1054
774,473,1247
975,176,1151
262,241,503
490,669,1159
915,440,1355
976,177,1153
264,212,476
462,616,1078
863,492,1355
972,192,1164
275,272,547
518,739,1257
982,526,1508
974,141,1115
226,116,342
364,550,914
795,455,1250
975,167,1142
253,197,450
446,619,1065
865,480,1345
975,179,1154
265,196,461
445,932,1377
1178,500,1678
983,158,1141
252,215,467
472,587,1059
841,558,1399
