prompt_tokens,completion_tokens,total_tokens
1166,220,1386
497,283,780
723,458,1181
895,582,1477
1129,220,1349
460,263,723
666,464,1130
864,479,1343
1168,220,1388
499,302,801
744,609,1353
1048,426,1474
1138,204,1342
453,243,696
655,878,1533
1287,678,1965
1129,113,1242
353,141,494
544,779,1323
1179,409,1588
1150,204,1354
465,274,739
698,557,1255
978,459,1437
1160,204,1364
475,268,743
702,472,1174
903,439,1342
1163,113,1276
387,142,529
579,677,1256
1111,591,1702
1182,182,1364
475,227,702
683,643,1326
1096,422,1518
1171,220,1391
502,272,774
717,928,1645
1370,536,1906
1147,220,1367
478,294,772
715,524,1239
942,583,1525
1145,220,1365
476,277,753
696,451,1147
867,450,1317
1163,204,1367
478,271,749
708,586,1294
1020,550,1570
1160,169,1329
440,240,680
674,995,1669
1426,505,1931
1130,204,1334
445,229,674
633,440,1073
841,523,1364
1167,220,1387
498,311,809
752,661,1413
1099,494,1593
1169,220,1389
500,280,780
723,642,1365
1082,604,1686
1169,204,1373
484,241,725
684,827,1511
1267,623,1890
1166,204,1370
481,265,746
705,427,1132
864,388,1252
1131,204,1335
446,270,716
675,587,1262
989,609,1598
1158,113,1271
382,122,504
554,569,1123
998,400,1398
1174,204,1378
489,271,760
719,430,1149
875,442,1317
1160,204,1364
475,250,725
684,646,1330
1077,753,1830
1148,204,1352
463,260,723
682,564,1246
983,475,1458
1147,220,1367
478,282,760
703,638,1341
1056,442,1498
1167,163,1330
441,247,688
688,526,1214
964,519,1483
1162,204,1366
477,258,735
694,539,1233
972,524,1496
1161,204,1365
476,309,785
744,553,1297
985,500,1485
1122,148,1270
381,153,534
549,549,1098
942,553,1495
1126,220,1346
457,260,717
660,571,1231
968,628,1596
1125,220,1345
456,274,730
673,407,1080
803,395,1198
1131,204,1335
446,236,682
641,734,1375
1136,685,1821
1133,204,1337
448,270,718
677,532,1209
936,448,1384
1179,182,1361
472,251,723
704,474,1178
924,541,1465
1129,148,1277
388,170,558
573,669,1242
1069,541,1610
1130,220,1350
461,268,729
672,485,1157
886,444,1330
1167,220,1387
498,287,785
728,833,1561
1271,468,1739
1149,204,1353
464,263,727
686,546,1232
966,532,1498
1161,170,1331
442,199,641
634,860,1494
1292,652,1944
1150,131,1281
392,171,563
595,665,1260
1086,435,1521
1142,198,1340
451,267,718
683,498,1181
911,514,1425
1128,204,1332
443,251,694
653,653,1306
1052,600,1652
1143,220,1363
474,262,736
679,495,1174
909,545,1454
1127,204,1331
442,265,707
666,686,1352
1084,543,1627
1130,148,1278
389,176,565
580,567,1147
968,442,1410
1126,198,1324
435,243,678
643,611,1254
1008,650,1658
1144,220,1364
475,288,763
706,488,1194
903,471,1374
1152,204,1356
467,256,723
682,998,1680
1421,517,1938
1123,220,1343
454,306,760
703,498,1201
892,449,1341
1175,163,1338
449,239,688
688,617,1305
1063,706,1769
1158,204,1362
473,284,757
716,519,1235
948,476,1424
1164,220,1384
495,272,767
710,506,1216
941,467,1408
1129,204,1333
444,236,680
639,540,1179
940,570,1510
1147,220,1367
478,289,767
710,531,1241
949,488,1437
1162,204,1366
477,282,759
718,421,1139
854,434,1288
1172,204,1376
487,248,735
694,558,1252
1001,578,1579
1174,220,1394
505,272,777
720,477,1197
922,493,1415
1128,164,1292
403,203,606
605,672,1277
1071,191,1262
1152,204,1356
467,274,741
700,647,1347
1070,579,1649
1165,204,1369
480,271,751
710,464,1174
900,397,1297
1166,131,1297
408,186,594
626,690,1316
1127,610,1737
1147,220,1367
478,272,750
693,637,1330
1055,733,1788
1127,169,1296
407,215,622
616,756,1372
1154,448,1602
1137,220,1357
468,312,780
723,437,1160
845,492,1337
1145,220,1365
476,292,768
711,708,1419
1124,700,1824
1140,166,1306
417,194,611
608,590,1198
1001,508,1509
1122,198,1320
431,239,670
635,649,1284
1042,616,1658
1179,220,1399
510,294,804
747,556,1303
1006,509,1515
1158,148,1306
417,196,613
628,742,1370
1171,495,1666
1161,198,1359
470,247,717
682,718,1400
1150,666,1816
1128,204,1332
443,255,698
657,587,1244
986,605,1591
1129,220,1349
460,292,752
695,733,1428
1133,397,1530
1153,204,1357
468,270,738
697,899,1596
1323,466,1789
1127,148,1275
386,182,568
583,379,962
777,443,1220
1122,164,1286
397,201,598
597,550,1147
943,451,1394
1154,220,1374
485,329,814
757,1159,1916
1584,630,2214
1175,220,1395
506,253,759
702,519,1221
965,574,1539
1146,220,1366
477,310,787
730,644,1374
1061,710,1771
1124,148,1272
383,176,559
574,517,1091
912,384,1296
1127,204,1331
442,246,688
647,621,1268
1019,533,1552
1167,198,1365
476,267,743
708,531,1239
969,574,1543
1127,220,1347
458,272,730
673,605,1278
1003,434,1437
1179,220,1399
510,321,831
774,672,1446
1122,389,1511
1128,204,1332
443,272,715
674,548,1222
947,606,1553
1173,220,1393
504,284,788
731,478,1209
922,526,1448
1167,198,1365
476,256,732
697,614,1311
1052,851,1903
1180,204,1384
495,289,784
743,785,1528
1236,646,1882
1169,204,1373
484,244,728
687,456,1143
896,463,1359
1164,166,1330
441,179,620
617,621,1238
1056,534,1590
1148,204,1352
463,264,727
686,485,1171
904,445,1349
1130,176,1306
417,204,621
608,453,1061
854,421,1275
1149,220,1369
480,304,784
727,481,1208
901,437,1338
1138,169,1307
418,222,640
634,625,1259
1034,614,1648
1129,220,1349
460,266,726
669,406,1075
806,367,1173
1128,204,1332
443,281,724
683,425,1108
824,463,1287
1128,220,1348
459,266,725
668,455,1123
854,475,1329
1162,113,1275
386,169,555
605,516,1121
949,481,1430
1192,220,1412
523,325,848
791,1076,1867
1539,635,2174
1130,165,1295
406,262,668
666,1098,1764
1499,652,2151
1155,220,1375
486,271,757
700,783,1483
1209,599,1808
1143,163,1306
417,196,613
613,520,1133
934,565,1499
1169,204,1373
484,310,794
753,785,1538
1225,775,2000
1125,198,1323
434,258,692
657,711,1368
1107,500,1607
1170,220,1390
501,271,772
715,579,1294
1020,644,1664
1128,220,1348
459,303,762
705,828,1533
1227,481,1708
1161,220,1381
492,281,773
716,355,1071
787,486,1273
1121,220,1341
452,292,744
687,396,1083
788,421,1209
1134,204,1338
449,261,710
669,645,1314
1050,572,1622
1133,163,1296
407,238,645
645,507,1152
911,487,1398
1150,164,1314
425,239,664
663,655,1318
1076,593,1669
1124,184,1308
419,241,660
639,653,1292
1048,528,1576
1166,204,1370
481,263,744
703,933,1636
1370,605,1975
1117,220,1337
448,240,688
631,459,1090
847,393,1240
1125,148,1273
384,182,566
581,780,1361
1176,402,1578
1120,220,1340
451,286,737
680,751,1431
1142,418,1560
1121,220,1341
452,278,730
673,565,1238
957,624,1581
1125,220,1345
456,282,738
681,648,1329
1044,499,1543
1164,220,1384
495,282,777
720,715,1435
1150,513,1663
1122,148,1270
381,168,549
564,603,1167
996,604,1600
1145,204,1349
460,261,721
680,1035,1715
1451,536,1987
1168,204,1372
483,257,740
699,499,1198
938,434,1372
1136,188,1324
