prompt_tokens,completion_tokens,total_tokens
1116,112,1228
339,129,468
519,376,895
763,325,1088
1120,112,1232
343,145,488
539,472,1011
863,352,1215
1122,112,1234
345,134,479
530,444,974
837,297,1134
1146,112,1258
369,145,514
565,321,886
738,505,1243
1138,112,1250
361,138,499
550,341,891
750,275,1025
1134,135,1269
380,155,535
563,421,984
826,279,1105
1120,96,1216
327,112,439
506,373,879
764,285,1049
1126,79,1205
316,101,417
501,398,899
795,503,1298
1148,173,1321
432,196,628
618,392,1010
811,298,1109
1136,95,1231
342,127,469
537,491,1028
898,343,1241
1113,96,1209
320,121,441
508,372,880
756,241,997
1113,96,1209
320,114,434
501,373,874
757,240,997
1120,112,1232
343,141,484
535,428,963
819,356,1175
1132,131,1263
374,144,518
550,352,902
755,383,1138
1122,112,1234
345,146,491
542,433,975
826,393,1219
1113,135,1248
359,135,494
522,374,896
758,397,1155
1130,95,1225
336,139,475
543,527,1070
928,266,1194
1142,96,1238
349,115,464
531,393,924
806,295,1101
1136,131,1267
378,156,534
566,384,950
791,269,1060
1126,153,1279
390,180,570
580,333,913
730,463,1193
1136,112,1248
359,143,502
553,553,1106
960,461,1421
1136,131,1267
378,142,520
552,604,1156
1011,272,1283
1136,112,1248
359,146,505
556,419,975
826,548,1374
1113,96,1209
320,122,442
509,360,869
744,277,1021
1120,112,1232
343,133,476
527,312,839
703,365,1068
1132,152,1284
395,178,573
584,379,963
782,410,1192
1126,153,1279
390,187,577
587,398,985
795,289,1084
1132,112,1244
355,143,498
549,443,992
846,548,1394
1113,95,1208
319,121,440
508,388,896
772,425,1197
1134,95,1229
340,132,472
540,418,958
823,252,1075
1116,95,1211
322,111,433
501,341,842
728,274,1002
1138,147,1285
396,158,554
570,873,1443
1282,513,1795
1126,136,1262
373,232,605
632,459,1091
856,264,1120
1118,112,1230
341,139,480
531,402,933
791,301,1092
1126,96,1222
333,118,451
518,417,935
814,301,1115
1136,108,1244
355,134,489
544,794,1338
1201,319,1520
1113,96,1209
320,119,439
506,359,865
743,266,1009
1142,153,1295
406,184,590
600,372,972
785,286,1071
1126,79,1205
316,109,425
509,434,943
831,487,1318
1142,128,1270
381,160,541
576,465,1041
878,628,1506
1113,95,1208
319,126,445
513,444,957
828,363,1191
1138,112,1250
361,149,510
561,597,1158
1006,276,1282
1130,114,1244
355,125,480
529,410,939
811,260,1071
1142,112,1254
365,141,506
557,432,989
845,342,1187
1118,112,1230
341,143,484
535,165,700
554,247,801
1113,79,1192
303,115,418
502,380,882
764,507,1271
1120,167,1287
398,183,581
577,470,1047
861,330,1191
1126,95,1221
332,136,468
536,448,984
845,314,1159
1118,112,1230
341,136,477
528,354,882
743,317,1060
1126,79,1205
316,109,425
509,432,941
829,205,1034
1132,96,1228
339,124,463
530,343,873
746,318,1064
1130,128,1258
369,170,539
574,400,974
801,423,1224
1136,96,1232
343,137,480
547,432,979
839,288,1127
1130,114,1244
355,119,474
523,404,927
805,264,1069
1126,96,1222
333,135,468
535,381,916
778,265,1043
1134,112,1246
357,149,506
557,464,1021
869,251,1120
1140,189,1329
440,219,659
633,541,1174
952,292,1244
1126,79,1205
316,102,418
502,341,843
738,253,991
1116,128,1244
355,164,519
554,383,937
770,289,1059
1126,95,1221
332,140,472
540,368,908
765,257,1022
1120,112,1232
343,144,487
538,330,868
721,436,1157
1116,112,1228
339,128,467
518,374,892
761,381,1142
1113,96,1209
320,114,434
501,398,899
782,352,1134
1116,130,1246
357,140,497
530,518,1048
905,270,1175
1126,95,1221
332,135,467
535,396,931
793,355,1148
1130,173,1303
414,214,628
618,400,1018
801,463,1264
1134,96,1230
341,121,462
529,420,949
825,276,1101
1116,98,1214
325,127,452
517,382,899
769,303,1072
1113,96,1209
320,114,434
501,335,836
719,249,968
1118,112,1230
341,128,469
520,364,884
753,472,1225
1130,153,1283
394,173,567
577,366,943
767,449,1216
1130,95,1225
336,136,472
540,442,982
843,316,1159
1113,95,1208
319,131,450
518,370,888
754,220,974
1130,95,1225
336,136,472
540,435,975
836,275,1111
1120,96,1216
327,110,437
504,461,965
852,601,1453
1130,95,1225
336,128,464
532,370,902
771,520,1291
1113,96,1209
320,114,434
501,408,909
792,301,1093
1113,95,1208
319,118,437
505,647,1152
1031,287,1318
1120,95,1215
326,142,468
536,380,916
771,585,1356
1148,135,1283
394,161,555
583,379,962
798,331,1129
1136,96,1232
343,125,468
535,368,903
775,416,1191
1138,96,1234
345,122,467
534,413,947
822,328,1150
1122,153,1275
386,175,561
571,458,1029
851,576,1427
1126,112,1238
349,148,497
548,507,1055
904,555,1459
1146,112,1258
369,144,513
564,383,947
800,473,1273
1128,96,1224
335,120,455
522,409,931
808,293,1101
1148,96,1244
355,123,478
545,398,943
817,300,1117
1126,153,1279
390,161,551
561,464,1025
861,293,1154
1120,130,1250
361,142,503
536,498,1034
889,313,1202
1124,95,1219
330,128,458
526,373,899
768,312,1080
1118,96,1214
325,141,466
533,496,1029
885,442,1327
1126,95,1221
332,128,460
528,485,1013
882,464,1346
1126,112,1238
349,148,497
548,390,938
787,283,1070
1120,96,1216
327,108,435
502,402,904
793,317,1110
1120,95,1215
326,109,435
503,348,851
739,275,1014
1126,153,1279
390,169,559
569,347,916
744,245,989
1113,95,1208
319,130,449
517,494,1011
878,349,1227
1136,96,1232
343,117,460
527,439,966
846,282,1128
1136,112,1248
359,144,503
554,533,1087
