prompt_tokens,completion_tokens,total_tokens
1186,169,1355
466,211,677
671,411,1082
868,414,1282
1163,95,1258
369,131,500
568,625,1193
1059,330,1389
1176,189,1365
476,196,672
646,440,1086
887,397,1284
1168,187,1355
466,212,678
654,396,1050
835,366,1201
1194,112,1306
417,147,564
615,502,1117
967,350,1317
1170,147,1317
428,171,599
615,794,1409
1235,369,1604
1172,96,1268
379,119,498
565,435,1000
878,358,1236
1163,95,1258
369,124,493
561,570,1131
1004,381,1385
1180,112,1292
403,149,552
603,433,1036
884,320,1204
1174,153,1327
438,176,614
624,425,1049
870,366,1236
1194,95,1289
400,129,529
597,440,1037
905,365,1270
1168,96,1264
375,118,493
560,454,1014
893,632,1525
1198,114,1312
423,154,577
626,711,1337
1180,1261,2441
1194,114,1308
419,117,536
585,456,1041
921,323,1244
1204,136,1340
451,153,604
631,598,1229
1073,437,1510
1163,95,1258
369,130,499
567,425,992
859,395,1254
1163,95,1258
369,117,486
554,458,1012
892,293,1185
1172,112,1284
395,148,543
594,708,1302
1151,364,1515
1165,95,1260
371,124,495
563,693,1256
1129,319,1448
1168,169,1337
448,196,644
638,435,1073
874,302,1176
1188,114,1302
413,161,574
623,1227,1850
1686,786,2472
1192,152,1344
455,195,650
661,570,1231
1033,436,1469
1188,173,1361
472,189,661
651,458,1109
917,338,1255
1165,95,1260
371,109,480
548,394,942
830,244,1074
1178,95,1273
384,141,525
593,405,998
854,326,1180
1168,173,1341
452,191,643
633,439,1072
878,364,1242
1200,96,1296
407,115,522
589,476,1065
947,363,1310
1192,95,1287
398,132,530
598,453,1051
916,401,1317
1172,125,1297
408,149,557
595,763,1358
1206,799,2005
1170,169,1339
450,192,642
636,604,1240
1045,412,1457
1186,173,1359
470,228,698
688,403,1091
860,439,1299
1172,112,1284
395,134,529
580,445,1025
888,578,1466
1186,167,1353
464,214,678
674,587,1261
1044,581,1625
1167,95,1262
373,135,508
576,450,1026
888,338,1226
1194,95,1289
400,145,545
613,458,1071
923,468,1391
1170,163,1333
444,186,630
630,530,1160
971,447,1418
1186,152,1338
449,194,643
654,496,1150
953,360,1313
1165,96,1261
372,117,489
556,586,1142
1022,385,1407
1174,189,1363
474,200,674
648,480,1128
925,320,1245
1174,189,1363
474,202,676
650,507,1157
952,381,1333
1168,189,1357
468,237,705
679,640,1319
1079,509,1588
1180,152,1332
443,197,640
651,473,1124
924,354,1278
1180,95,1275
386,122,508
576,494,1070
945,341,1286
1167,96,1263
374,123,497
564,474,1038
912,459,1371
1163,95,1258
369,138,507
575,616,1191
1050,515,1565
1170,189,1359
470,209,679
653,481,1134
922,306,1228
1163,96,1259
370,129,499
566,480,1046
914,308,1222
1202,152,1354
465,199,664
675,1131,1806
1604,1294,2898
1184,169,1353
464,222,686
680,335,1015
790,259,1049
1180,114,1294
405,162,567
616,588,1204
1039,569,1608
1176,151,1327
438,185,623
635,393,1028
840,611,1451
1186,79,1265
376,115,491
575,481,1056
938,373,1311
1180,95,1275
386,129,515
583,454,1037
905,382,1287
1167,95,1262
373,122,495
563,458,1021
896,347,1243
1202,96,1298
409,125,534
601,449,1050
922,418,1340
1184,95,1279
390,139,529
597,467,1064
922,409,1331
1178,114,1292
403,133,536
585,417,1002
866,390,1256
1178,79,1257
368,114,482
566,438,1004
887,342,1229
1182,95,1277
388,136,524
592,402,994
855,321,1176
1196,96,1292
403,116,519
586,462,1048
929,355,1284
1178,95,1273
384,136,520
588,473,1061
922,430,1352
1192,152,1344
455,185,640
651,468,1119
931,321,1252
1172,112,1284
395,129,524
575,520,1095
963,407,1370
1167,95,1262
373,132,505
573,422,995
860,313,1173
1163,95,1258
369,127,496
564,485,1049
919,297,1216
1167,95,1262
373,127,500
568,567,1135
1005,377,1382
1184,95,1279
390,134,524
592,412,1004
867,328,1195
1176,114,1290
401,160,561
610,652,1262
1099,795,1894
1176,169,1345
456,190,646
640,437,1077
884,439,1323
1170,167,1337
448,200,648
644,752,1396
1193,373,1566
1172,189,1361
472,236,708
682,570,1252
1013,287,1300
1192,95,1287
398,155,553
621,555,1176
1018,407,1425
1198,131,1329
440,155,595
627,596,1223
1065,357,1422
1190,185,1375
486,230,716
694,497,1191
958,349,1307
1176,173,1349
460,185,645
635,473,1108
920,381,1301
1163,112,1275
386,137,523
574,538,1112
972,282,1254
1168,130,1298
409,158,567
600,461,1061
900,304,1204
1178,189,1367
478,221,699
673,499,1172
948,360,1308
1188,114,1302
413,139,552
601,485,1086
944,395,1339
1167,95,1262
373,127,500
568,582,1150
1020,333,1353
1165,136,1301
412,173,585
612,538,1150
974,220,1194
1196,130,1326
437,156,593
