prompt_tokens,completion_tokens,total_tokens
1082,79,1161
272,112,384
468,308,776
661,226,887
1098,96,1194
305,120,425
492,388,880
757,250,1007
1088,96,1184
295,122,417
484,305,789
664,247,911
1078,94,1172
283,113,396
465,484,949
833,444,1277
1082,133,1215
326,153,479
509,339,848
692,225,917
1090,78,1168
279,91,370
455,353,808
714,242,956
1076,96,1172
283,114,397
464,293,757
640,321,961
1086,112,1198
309,138,447
498,454,952
811,344,1155
1069,96,1165
276,119,395
462,301,763
641,219,860
1069,95,1164
275,118,393
461,375,836
715,258,973
1069,79,1148
259,97,356
440,277,717
617,180,797
1074,96,1170
281,118,399
466,363,829
708,203,911
1080,79,1159
270,101,371
455,352,807
703,271,974
1080,114,1194
305,132,437
486,391,877
742,285,1027
1069,96,1165
276,123,399
466,406,872
746,265,1011
1076,112,1188
299,132,431
482,403,885
750,352,1102
1088,131,1219
330,135,465
497,728,1225
1087,221,1308
1084,118,1202
313,128,441
486,450,936
805,308,1113
1082,118,1200
311,122,433
478,388,866
741,217,958
1088,136,1224
335,132,467
494,427,921
786,261,1047
1078,114,1192
303,132,435
484,457,941
806,299,1105
1088,74,1162
273,95,368
457,339,796
698,248,946
1072,95,1167
278,112,390
458,294,752
637,249,886
1069,96,1165
276,124,400
467,278,745
618,277,895
1088,112,1200
311,143,454
505,440,945
799,343,1142
1086,131,1217
328,135,463
495,317,812
674,204,878
1080,118,1198
309,148,457
502,345,847
696,263,959
1080,78,1158
269,110,379
464,336,800
687,219,906
1088,112,1200
311,147,458
509,657,1166
1016,316,1332
1072,94,1166
277,107,384
453,253,706
596,195,791
1080,79,1159
270,103,373
457,287,744
638,266,904
1072,96,1168
279,125,404
471,431,902
774,314,1088
1074,112,1186
297,132,429
480,311,791
656,185,841
1080,134,1214
325,162,487
516,378,894
729,327,1056
1094,78,1172
283,98,381
466,386,852
751,263,1014
1069,95,1164
275,114,389
457,350,807
690,245,935
1069,112,1181
292,143,435
486,365,851
705,278,983
1080,96,1176
287,126,413
480,367,847
718,249,967
1069,95,1164
275,121,396
464,429,893
769,292,1061
1074,112,1186
297,129,426
477,375,852
720,320,1040
1080,96,1176
287,121,408
475,367,842
718,207,925
1078,96,1174
285,115,400
467,383,850
732,288,1020
1082,96,1178
289,111,400
467,393,860
746,280,1026
1069,95,1164
275,128,403
471,359,830
699,242,941
1090,78,1168
279,97,376
461,313,774
674,262,936
1080,135,1215
326,143,469
497,321,818
672,208,880
1080,118,1198
309,128,437
482,362,844
713,203,916
1088,130,1218
329,152,481
514,789,1303
1148,309,1457
1088,169,1257
368,201,569
563,363,926
722,269,991
1080,79,1159
270,111,381
465,355,820
706,267,973
1092,98,1190
301,115,416
481,409,890
772,296,1068
1069,79,1148
259,104,363
447,375,822
715,235,950
1069,135,1204
315,151,466
494,382,876
722,205,927
1088,96,1184
295,130,425
492,418,910
777,330,1107
1072,114,1186
297,156,453
502,682,1184
1025,333,1358
1069,130,1199
310,145,455
488,601,1089
941,179,1120
1084,112,1196
307,148,455
506,375,881
730,282,1012
1069,95,1164
275,117,392
460,389,849
729,231,960
1090,96,1186
297,110,407
474,318,792
679,229,908
1088,112,1200
311,131,442
493,299,792
658,233,891
1088,135,1223
334,153,487
515,380,895
739,262,1001
1072,96,1168
279,117,396
463,326,789
669,295,964
1090,131,1221
332,148,480
512,371,883
732,299,1031
1082,74,1156
267,95,362
451,385,836
738,253,991
1080,112,1192
303,139,442
493,280,773
631,298,929
1069,95,1164
275,128,403
471,553,1024
893,182,1075
1069,95,1164
275,118,393
461,386,847
726,261,987
1080,113,1193
304,117,421
471,339,810
690,216,906
1080,131,1211
322,139,461
493,362,855
713,281,994
1080,112,1192
303,136,439
490,393,883
744,275,1019
1069,96,1165
276,115,391
458,288,746
628,180,808
1072,112,1184
295,129,424
475,530,1005
873,255,1128
1069,96,1165
276,122,398
465,244,709
584,143,727
1088,112,1200
311,147,458
509,505,1014
864,453,1317
1080,95,1175
286,134,420
488,346,834
697,217,914
1080,96,1176
287,121,408
475,386,861
737,211,948
1080,135,1215
326,150,476
504,335,839
686,265,951
1100,96,1196
307,112,419
486,366,852
737,227,964
1069,112,1181
292,131,423
474,386,860
726,263,989
1086,112,1198
309,140,449
500,337,837
694,303,997
1076,112,1188
299,134,433
484,356,840
703,302,1005
1088,96,1184
295,117,412
479,394,873
753,315,1068
1080,114,1194
305,130,435
484,401,885
752,317,1069
1090,112,1202
313,139,452
503,341,844
702,223,925
1072,96,1168
279,118,397
464,426,890
769,301,1070
1069,114,1183
294,151,445
494,742,1236
1082,632,1714
1092,131,1223
334,168,502
534,402,936
765,273,1038
1082,189,1271
382,227,609
583,339,922
692,239,931
1086,152,1238
349,180,529
540,508,1048
865,311,1176
1080,95,1175
286,122,408
476,392,868
743,313,1056
1069,95,1164
275,121,396
464,387,851
727,251,978
1084,117,1201
312,154,466
512,556,1068
911,184,1095
1082,96,1178
289,111,400
467,337,804
690,276,966
1090,112,1202
313,141,454
505,412,917
773,271,1044
1080,79,1159
270,110,380
464,292,756
643,247,890
1076,96,1172
283,118,401
468,379,847
726,255,981
1092,128,1220
331,167,498
533,353,886
716,241,957
1094,112,1206
317,141,458
509,655,1164
1020,359,1379
1080,96,1176
287,126,413
480,344,824
695,263,958
1082,96,1178
289,112,401
468,356,824
709,250,959
1069,96,1165
276,119,395
462,357,819
697,279,976
1072,112,1184
295,131,426
477,291,768
634,234,868
1072,96,1168
279,113,392
459,330,789
673,259,932
1080,135,1215
326,154,480
508,428,936
779,241,1020
1069,95,1164
275,122,397
465,434,899
774,289,1063
1072,112,1184
295,145,440
491,375,866
718,347,1065
1069,95,1164
275,127,402
470,564,1034
904,268,1172
1080,95,1175
286,117,403
471,409,880
760,266,1026
1069,95,1164
275,123,398
466,331,797
671,248,919
1080,114,1194
305,177,482
531,459,990
810,216,1026
1088,78,1166
277,105,382
467,369,836
728,233,961
1084,96,1180
291,122,413
480,405,885
760,259,1019
1082,112,1194
305,147,452
503,372,875
725,207,932
1080,114,1194
305,131,436
485,506,991
857,360,1217
1080,95,1175
286,129,415
483,400,883
751,259,1010
1080,112,1192
303,148,451
502,389,891
740,241,981
1069,95,1164
275,125,400
468,331,799
671,256,927
1082,114,1196
307,119,426
475,435,910
788,289,1077
1072,112,1184
295,127,422
473,335,808
678,228,906
1069,95,1164
275,129,404
472,388,860
728,234,962
1094,132,1226
337,157,494
525,528,1053
893,437,1330
1084,114,1198
309,105,414
463,429,892
784,283,1067
1072,129,1201
312,146,458
492,349,841
692,227,919
1069,95,1164
275,127,402
470,601,1071
941,300,1241
1084,114,1198
309,132,441
490,424,914
779,209,988
1090,114,1204
315,115,430
479,437,916
798,283,1081
1086,167,1253
364,178,542
538,582,1120
939,438,1377
1080,96,1176
287,118,405
472,358,830
709,238,947
1078,114,1192
303,140,443
492,350,842
699,254,953
1088,136,1224
335,156,491
518,301,819
660,255,915
1080,79,1159
270,97,367
451,363,814
714,268,982
1096,128,1224
335,161,496
531,413,944
780,295,1075
1080,112,1192
303,147,450
501,323,824
674,219,893
1080,95,1175
286,129,415
483,572,1055
923,209,1132
1080,114,1194
305,121,426
475,582,1057
933,253,1186
1076,74,1150
261,98,359
448,395,843
742,188,930
1088,96,1184
295,134,429
496,332,828
691,262,953
1074,74,1148
259,98,357
446,388,834
733,304,1037
1069,79,1148
259,97,356
440,342,782
682,263,945
1088,74,1162
273,95,368
457,470,927
829,315,1144
1088,118,1206
317,141,458
503,436,939
795,280,1075
1078,96,1174
285,114,399
466,332,798
681,207,888
1084,189,1273
384,216,600
574,323,897
678,264,942
1069,96,1165
276,120,396
463,311,774
651,255,906
1072,114,1186
297,125,422
471,325,796
668,247,915
1069,95,1164
275,122,397
465,606,1071
946,296,1242
1080,96,1176
287,117,404
471,374,845
725,263,988
1080,79,1159
270,105,375
459,367,826
718,219,937
1080,96,1176
287,113,400
467,352,819
703,214,917
1094,98,1192
303,135,438
503,313,816
678,281,959
1080,113,1193
304,141,445
495,461,956
812,313,1125
1084,106,1190
301,114,415
472,386,858
741,213,954
1080,96,1176
287,117,404
471,368,839
719,229,948
1069,96,1165
276,124,400
467,361,828
701,269,970
1072,112,1184
295,150,445
496,273,769
616,185,801
1080,96,1176
287,113,400
467,369,836
720,263,983
1086,130,1216
327,136,463
496,696,1192
1053,300,1353
1080,118,1198
309,136,445
490,436,926
787,305,1092
1092,96,1188
299,112,411
478,340,818
703,221,924
1069,135,1204
315,150,465
493,433,926
773,270,1043
1084,96,1180
291,115,406
473,351,824
706,256,962
1084,114,1198
309,121,430
479,446,925
801,243,1044
1069,95,1164
275,132,407
475,355,830
695,205,900
1069,95,1164
275,125,400
468,327,795
667,285,952
1069,96,1165
276,119,395
462,272,734
612,249,861
1069,96,1165
276,117,393
460,362,822
702,260,962
1086,128,1214
325,161,486
521,711,1232
1068,235,1303
1076,114,1190
301,127,428
477,386,863
733,331,1064
1074,114,1188
299,137,436
485,342,827
687,212,899
1080,114,1194
305,142,447
496,383,879
734,277,1011
1080,114,1194
305,116,421
470,419,889
770,293,1063
1086,131,1217
328,140,468
500,569,1069
926,269,1195
1080,112,1192
303,154,457
508,397,905
748,219,967
1078,185,1263
374,219,593
571,333,904
682,260,942
1088,135,1223
334,155,489
517,407,924
766,259,1025
1076,96,1172
283,99,382
449,360,809
707,239,946
1069,96,1165
276,111,387
454,364,818
704,263,967
1080,96,1176
287,115,402
469,351,820
702,292,994
1069,152,1221
332,185,517
528,551,1079
891,167,1058
1094,96,1190
301,112,413
480,300,780
665,219,884
1074,149,1223
334,181,515
529,546,1075
891,364,1255
1080,136,1216
327,173,500
527,446,973
797,296,1093
1082,96,1178
289,122,411
478,340,818
693,276,969
1092,98,1190
301,119,420
485,347,832
710,256,966
1072,112,1184
295,156,451
502,561,1063
904,252,1156
1074,109,1183
294,151,445
499,501,1000
846,208,1054
1072,96,1168
279,114,393
460,394,854
737,258,995
1088,96,1184
295,130,425
492,369,861
728,242,970
1084,135,1219
330,167,497
525,608,1133
963,292,1255
1080,118,1198
309,134,443
488,371,859
722,209,931
1082,189,1271
382,219,601
575,348,923
701,274,975
1082,114,1196
307,135,442
491,422,913
775,241,1016
1069,96,1165
276,118,394
461,294,755
634,226,860
1084,112,1196
307,145,452
503,320,823
675,218,893
1080,78,1158
269,116,385
470,308,778
659,266,925
1080,118,1198
309,115,424
469,332,801
683,221,904
1084,135,1219
330,143,473
501,446,947
801,255,1056
1074,112,1186
297,145,442
493,449,942
794,246,1040
1088,112,1200
311,150,461
512,439,951
798,350,1148
1072,153,1225
336,170,506
516,334,850
677,245,922
1074,134,1208
319,151,470
499,304,803
649,257,906
1069,95,1164
275,121,396
464,331,795
671,278,949
1080,96,1176
287,118,405
472,347,819
698,242,940
1082,131,1213
324,158,482
514,344,858
697,293,990
1080,114,1194
305,188,493
542,631,1173
982,463,1445
1076,131,1207
318,151,469
501,422,923
769,351,1120
1080,96,1176
287,121,408
475,402,877
753,239,992
1082,74,1156
267,95,362
451,469,920
822,318,1140
1078,96,1174
285,116,401
468,382,850
731,301,1032
1069,95,1164
275,122,397
465,390,855
730,239,969
1084,130,1214
325,163,488
521,628,1149
983,162,1145
1076,173,1249
360,194,554
544,387,931
734,317,1051
1080,112,1192
303,154,457
508,346,854
697,202,899
1069,95,1164
275,124,399
467,330,797
670,214,884
1080,95,1175
286,126,412
480,397,877
748,216,964
1069,96,1165
276,119,395
462,398,860
738,189,927
1072,114,1186
297,145,442
491,492,983
835,289,1124
1076,109,1185
296,130,426
480,340,820
687,282,969
1082,147,1229
340,153,493
509,371,880
724,237,961
