prompt_tokens,completion_tokens,total_tokens
1007,174,1181
292,200,492
481,622,1103
900,652,1552
1001,152,1153
264,148,412
423,648,1071
920,504,1424
1003,202,1205
316,190,506
467,595,1062
869,651,1520
1003,185,1188
299,184,483
461,604,1065
878,596,1474
1007,169,1176
287,186,473
467,590,1057
868,538,1406
1009,152,1161
272,150,422
433,525,958
805,577,1382
1005,169,1174
285,168,453
447,926,1373
1203,809,2012
1003,191,1194
305,205,510
482,722,1204
996,703,1699
1009,153,1162
273,159,432
442,518,960
798,536,1334
1003,152,1155
266,161,427
438,771,1209
1045,653,1698
1005,152,1157
268,159,427
438,715,1153
991,556,1547
1003,169,1172
283,162,445
439,612,1051
886,701,1587
1005,169,1174
285,163,448
442,621,1063
897,874,1771
1007,169,1176
287,159,446
440,663,1103
941,684,1625
1001,152,1153
264,151,415
426,745,1171
1017,874,1891
1003,169,1172
283,160,443
437,543,980
817,447,1264
999,163,1162
273,147,420
420,654,1074
924,766,1690
1001,152,1153
264,153,417
428,1012,1440
1284,408,1692
1005,169,1174
285,173,458
452,621,1073
897,615,1512
1001,153,1154
265,155,420
430,715,1145
987,661,1648
997,169,1166
277,171,448
442,621,1063
889,316,1205
1007,202,1209
320,209,529
490,792,1282
1070,570,1640
1003,153,1156
267,162,429
439,493,932
767,461,1228
1009,173,1182
293,181,474
464,601,1065
881,539,1420
1009,185,1194
305,193,498
476,602,1078
882,647,1529
1011,196,1207
318,220,538
505,1001,1506
1283,773,2056
1005,169,1174
285,156,441
435,717,1152
993,776,1769
1009,152,1161
272,148,420
431,1157,1588
1437,920,2357
1005,186,1191
302,185,487
464,570,1034
846,554,1400
1001,153,1154
265,158,423
433,580,1013
852,666,1518
1001,153,1154
265,156,421
431,633,1064
905,633,1538
1003,169,1172
283,191,474
468,576,1044
850,530,1380
1009,169,1178
289,173,462
456,647,1103
927,598,1525
999,186,1185
296,188,484
461,441,902
711,464,1175
1001,153,1154
265,157,422
432,629,1061
901,600,1501
1001,169,1170
281,166,447
441,609,1050
881,539,1420
1001,153,1154
265,168,433
443,773,1216
1045,267,1312
1009,135,1144
255,147,402
430,491,921
771,411,1182
1007,169,1176
287,163,450
444,582,1026
860,782,1642
1009,152,1161
272,144,416
427,722,1149
1002,624,1626
1007,152,1159
270,187,457
468,566,1034
844,671,1515
1003,169,1172
283,187,470
464,581,1045
855,562,1417
1007,169,1176
287,163,450
444,546,990
824,627,1451
1009,169,1178
289,191,480
474,639,1113
919,785,1704
1001,152,1153
264,166,430
441,514,955
786,665,1451
1005,152,1157
268,162,430
441,733,1174
1009,824,1833
1003,169,1172
283,186,469
463,1003,1466
1277,501,1778
1001,152,1153
264,163,427
438,771,1209
1043,684,1727
1007,169,1176
287,190,477
471,616,1087
894,755,1649
1001,169,1170
