prompt_tokens,completion_tokens,total_tokens
969,79,1048
159,83,242
326,522,848
762,238,1000
1006,110,1116
227,120,347
400,781,1181
1058,474,1532
987,79,1066
177,91,268
352,757,1109
1015,835,1850
980,88,1068
179,90,269
344,644,988
895,660,1555
974,79,1053
164,89,253
337,595,932
840,293,1133
993,79,1072
183,82,265
349,916,1265
1180,682,1862
1007,96,1103
214,94,308
375,1061,1436
1339,741,2080
990,96,1086
197,104,301
368,855,1223
1116,479,1595
974,96,1070
181,112,293
360,777,1137
1022,314,1336
979,57,1036
147,71,218
324,1203,1527
1453,889,2342
976,110,1086
197,128,325
378,937,1315
1184,791,1975
1013,110,1123
234,120,354
407,808,1215
1092,900,1992
995,79,1074
185,88,273
357,990,1347
1256,1221,2477
991,79,1070
181,84,265
349,695,1044
957,651,1608
977,110,1087
198,118,316
369,672,1041
920,597,1517
1003,96,1099
210,93,303
370,497,867
771,559,1330
1010,79,1089
200,91,291
375,754,1129
1035,769,1804
995,96,1091
202,110,312
379,415,794
681,489,1170
991,79,1070
181,80,261
345,892,1237
1154,549,1703
980,96,1076
187,113,300
367,738,1105
989,348,1337
975,79,1054
165,89,254
338,631,969
877,341,1218
984,79,1063
174,89,263
347,463,810
718,343,1061
989,79,1068
179,85,264
348,721,1069
981,1047,2028
985,95,1080
191,100,291
359,601,960
857,485,1342
1006,79,1085
196,83,279
363,888,1251
1165,654,1819
1011,110,1121
232,122,354
407,813,1220
1095,3036,4131
993,79,1072
183,83,266
350,740,1090
1004,472,1476
976,143,1119
230,154,384
404,967,1371
1214,892,2106
1007,88,1095
206,97,303
378,654,1032
932,1422,2354
989,145,1134
245,140,385
403,873,1276
1133,3328,4461
992,79,1071
182,84,266
350,818,1168
1081,565,1646
995,88,1083
194,108,302
377,895,1272
1161,1434,2595
969,79,1048
159,88,247
331,473,804
713,327,1040
999,110,1109
220,123,343
396,684,1080
954,928,1882
976,96,1072
183,113,296
363,666,1029
913,659,1572
1007,110,1117
228,122,350
403,711,1114
989,556,1545
986,96,1082
193,103,296
363,749,1112
1006,1900,2906
1003,110,1113
224,124,348
401,698,1099
972,3485,4457
971,96,1067
178,110,288
355,314,669
556,257,813
970,57,1027
138,69,207
313,415,728
656,142,798
994,79,1073
184,82,266
350,1101,1451
1366,1086,2452
994,79,1073
184,84,268
352,1050,1402
1315,1081,2396
974,79,1053
164,84,248
332,467,799
712,259,971
978,143,1121
232,165,397
417,709,1126
958,582,1540
1012,132,1144
255,158,413
444,1107,1551
1390,1156,2546
993,79,1072
183,82,265
349,1154,1503
1418,794,2212
982,79,1061
172,91,263
347,620,967
873,764,1637
982,79,1061
172,83,255
339,637,976
890,839,1729
990,79,1069
180,89,269
353,792,1145
1053,518,1571
1004,57,1061
172,65,237
343,730,1073
1005,651,1656
972,79,1051
162,89,251
335,654,989
897,492,1389
989,96,1085
196,108,304
371,604,975
864,636,1500
979,88,1067
178,96,274
349,649,998
899,1011,1910
973,57,1030
141,72,213
319,904,1223
1148,403,1551
988,79,1067
178,91,269
353,1101,1454
1360,1289,2649
1007,110,1117
228,123,351
404,1350,1754
1628,863,2491
982,114,1096
207,125,332
381,881,1262
1134,1052,2186
1023,110,1133
244,117,361
414,765,1179
1059,2846,3905
1018,96,1114
225,104,329
396,899,1295
1188,698,1886
999,96,1095
206,113,319
386,805,1191
1075,649,1724
990,114,1104
215,125,340
389,795,1184
1056,786,1842
1004,96,1100
211,104,315
382,595,977
870,733,1603
1011,79,1090
201,98,299
383,785,1168
1067,936,2003
988,57,1045
156,72,228
334,966,1300
1225,668,1893
985,96,1081
192,104,296
363,417,780
990,96,1086
197,102,299
366,607,973
868,433,1301
1004,110,1114
225,117,342
395,691,1086
966,752,1718
1011,110,1121
232,120,352
405,768,1173
1050,727,1777
988,114,1102
213,127,340
389,585,974
844,634,1478
985,79,1064
175,89,264
348,748,1096
1004,448,1452
994,110,1104
215,119,334
387,842,1229
1107,927,2034
988,145,1133
244,143,387
405,871,1276
1130,674,1804
1015,79,1094
205,82,287
371,620,991
906,1461,2367
974,110,1084
195,160,355
408,576,984
821,396,1217
1009,79,1088
199,93,292
376,977,1353
1257,1069,2326
998,110,1108
219,112,331
384,632,1016
901,1275,2176
1009,79,1088
199,83,282
366,952,1318
1232,1049,2281
986,57,1043
154,70,224
330,1187,1517
1444,752,2196
995,79,1074
185,94,279
363,809,1172
1075,1024,2099
1014,79,1093
204,91,295
379,886,1265
1171,1270,2441
977,57,1034
145,71,216
322,696,1018
944,329,1273
1002,110,1112
223,124,347
400,780,1180
1053,610,1663
973,95,1068
179,99,278
346,369,715
613,276,889
1001,79,1080
191,84,275
359,841,1200
1113,743,1856
1005,145,1150
261,171,432
450,982,1432
1258,1190,2448
1013,79,1092
203,82,285
369,896,1265
1180,1036,2216
1011,57,1068
179,69,248
354,992,1346
1274,628,1902
974,96,1070
181,116,297
364,724,1088
969,692,1661
990,96,1086
197,104,301
368,765,1133
1026,520,1546
975,127,1102
213,130,343
379,949,1328
1195,900,2095
992,110,1102
213,117,330
383,822,1205
1085,1246,2331
1009,79,1088
199,91,290
374,774,1148
1054,1124,2178
1004,110,1114
225,118,343
396,621,1017
896,2810,3706
972,79,1051
162,86,248
332,510,842
753,467,1220
1007,96,1103
214,101,315
382,725,1107
1003,708,1711
1014,57,1071
182,66,248
354,910,1264
1195,903,2098
1001,110,1111
222,124,346
399,756,1155
1028,969,1997
977,79,1056
167,86,253
337,519,856
767,399,1166
999,110,1109
220,117,337
390,834,1224
1104,765,1869
994,110,1104
215,120,335
388,658,1046
923,1832,2755
1000,110,1110
221,118,339
392,847,1239
1118,945,2063
1003,145,1148
259,161,420
438,903,1341
1177,1199,2376
994,96,1090
201,104,305
372,828,1200
1093,689,1782
970,79,1049
160,85,245
329,306,635
547,266,813
973,96,1069
180,110,290
357,499,856
743,301,1044
976,110,1086
197,117,314
367,817,1184
1064,845,1909
1008,79,1087
198,93,291
375,738,1113
1017,838,1855
1014,79,1093
204,91,295
379,620,999
905,864,1769
992,96,1088
199,110,309
376,636,1012
899,1078,1977
1002,79,1081
192,91,283
367,1579,1946
1848,1735,3583
1011,79,1090
201,86,287
371,829,1200
1111,654,1765
1008,57,1065
176,69,245
351,830,1181
1109,922,2031
991,145,1136
247,158,405
423,658,1081
920,1272,2192
998,110,1108
219,120,339
392,714,1106
983,1324,2307
988,79,1067
178,83,261
345,819,1164
1078,877,1955
983,57,1040
151,70,221
327,887,1214
1141,813,1954
998,96,1094
205,106,311
378,691,1069
960,522,1482
1000,145,1145
256,146,402
420,662,1082
933,1148,2081
994,79,1073
184,83,267
351,650,1001
915,504,1419
1001,110,1111
222,118,340
393,708,1101
980,824,1804
1004,96,1100
211,104,315
382,668,1050
943,529,1472
1005,79,1084
195,96,291
375,911,1286
1187,834,2021
1004,132,1136
247,133,380
411,822,1233
1097,507,1604
990,96,1086
197,103,300
367,807,1174
1068,476,1544
998,79,1077
188,85,273
357,779,1136
1048,1127,2175
987,79,1066
177,87,264
348,563,911
821,302,1123
991,96,1087
198,108,306
373,658,1031
920,531,1451
989,96,1085
196,107,303
370,551,921
811,371,1182
980,57,1037
148,71,219
325,1065,1390
1316,976,2292
973,96,1069
180,107,287
354,543,897
787,215,1002
972,79,1051
162,83,245
329,543,872
786,220,1006
1007,110,1117
228,130,358
411,709,1120
987,820,1807
990,96,1086
197,102,299
366,873,1239
