prompt_tokens,completion_tokens,total_tokens
1191,189,1380
491,209,700
674,644,1318
972,653,1625
1757,136,1893
1004,168,1172
1199,758,1957
1652,701,2353
1504,229,1733
844,346,1190
1124,1150,2274
1791,1552,3343
1473,169,1642
753,239,992
986,740,1726
1350,701,2051
1068,136,1204
315,212,527
554,690,1244
895,730,1625
1117,96,1213
324,134,458
525,585,1110
839,256,1095
1177,185,1362
473,371,844
822,1207,2029
1521,616,2137
1165,152,1317
428,220,648
659,699,1358
1001,649,1650
1358,96,1454
565,121,686
753,554,1307
1049,612,1661
1183,136,1319
430,236,666
693,942,1635
1262,1297,2559
1636,169,1805
916,212,1128
1122,1357,2479
2130,1323,3453
1161,218,1379
490,264,754
699,1101,1800
1399,669,2068
1185,152,1337
448,239,687
698,1008,1706
1330,872,2202
1115,136,1251
362,257,619
646,1003,1649
1255,638,1893
1078,185,1263
374,238,612
590,636,1226
851,301,1152
1091,185,1276
387,221,608
586,679,1265
907,330,1237
2140,169,2309
1420,243,1663
1657,989,2646
2266,587,2853
1193,152,1345
456,192,648
659,855,1514
1185,1098,2283
1385,169,1554
665,183,848
842,660,1502
1182,574,1756
1551,185,1736
847,246,1093
1071,563,1634
1251,537,1788
1130,128,1258
369,118,487
522,658,1180
925,199,1124
1583,169,1752
863,276,1139
1133,998,2131
1718,417,2135
1121,136,1257
368,146,514
541,875,1416
1133,540,1673
1300,153,1453
564,225,789
799,831,1630
1268,447,1715
1468,152,1620
731,176,907
918,773,1691
1378,319,1697
1834,152,1986
1097,285,1382
1393,965,2358
1936,653,2589
1200,152,1352
463,371,834
845,813,1658
1150,740,1890
1327,136,1463
574,188,762
789,935,1724
1399,714,2113
1391,204,1595
706,317,1023
982,738,1720
1266,199,1465
1278,152,1430
541,177,718
729,1015,1744
1430,554,1984
1183,136,1319
430,181,611
638,810,1448
1130,473,1603
1158,95,1253
364,106,470
538,1008,1546
1303,509,1812
1236,153,1389
500,160,660
670,720,1390
1093,803,1896
1438,153,1591
702,262,964
974,787,1761
1362,337,1699
1186,136,1322
433,193,626
653,607,1260
930,247,1177
1201,152,1353
464,179,643
654,853,1507
1191,1171,2362
1496,151,1647
758,161,919
931,906,1837
1539,403,1942
1471,185,1656
767,250,1017
995,1243,2238
1851,1233,3084
1538,206,1744
855,283,1138
1095,1264,2359
1939,1112,3051
1198,152,1350
461,212,673
684,744,1428
1079,1294,2373
1509,185,1694
805,282,1087
1065,909,1974
1555,412,1967
1597,185,1782
893,349,1242
1220,925,2145
1659,817,2476
1239,218,1457
568,249,817
762,648,1410
1024,302,1326
1349,188,1537
648,343,991
966,822,1788
1308,1148,2456
2029,185,2214
1325,282,1607
1585,604,2189
1770,1075,2845
1309,173,1482
593,222,815
805,488,1293
934,416,1350
1675,185,1860
971,265,1236
1214,732,1946
1544,423,1967
1412,185,1597
708,231,939
917,809,1726
1358,688,2046
2150,152,2302
1413,215,1628
1639,899,2538
2186,311,2497
1358,185,1543
654,433,1087
1065,1241,2306
1736,1325,3061
1250,116,1366
477,187,664
711,607,1318
994,557,1551
1316,152,1468
579,311,890
901,999,1900
1452,907,2359
1221,136,1357
468,261,729
756,1181,1937
1539,711,2250
2074,196,2270
1381,315,1696
1663,941,2604
2152,1342,3494
1215,192,1407
518,206,724
695,895,1590
1247,433,1680
1165,185,1350
461,242,703
681,972,1653
1274,595,1869
1282,152,1434
545,233,778
789,844,1633
1263,828,2091
1162,152,1314
425,234,659
670,636,1306
935,657,1592
1367,185,1552
663,425,1088
1066,1222,2288
1726,997,2723
1210,152,1362
473,199,672
683,748,1431
1095,975,2070
1254,152,1406
517,196,713
724,793,1517
1184,573,1757
2261,229,2490
1601,271,1872
1806,1188,2994
2586,1340,3926
1136,79,1215
326,113,439
523,639,1162
912,610,1522
1179,152,1331
442,186,628
639,898,1537
1214,1041,2255
2146,169,2315
1426,212,1638
1632,1042,2674
2325,628,2953
1245,187,1432
543,381,924
900,1337,2237
1719,2289,4008
1396,136,1532
643,228,871
898,942,1840
1475,631,2106
1316,152,1468
579,228,807
818,626,1444
1079,572,1651
1332,145,1477
588,171,759
777,907,1684
1376,391,1767
1195,116,1311
422,167,589
636,1056,1692
1388,475,1863
1222,128,1350
461,151,612
647,736,1383
1095,748,1843
1128,136,1264
375,183,558
585,1005,1590
1270,879,2149
1286,185,1471
582,224,806
784,810,1594
1233,393,1626
1182,136,1318
429,151,580
607,825,1432
1144,304,1448
1327,146,1473
584,164,748
765,1071,1836
1535,432,1967
1148,112,1260
371,165,536
587,625,1212
910,491,1401
1421,152,1573
684,184,868
879,643,1522
1201,721,1922
1411,152,1563
674,221,895
906,661,1567
1134,92,1226
337,137,474
545,500,1045
771,379,1150
1362,152,1514
625,144,769
780,787,1567
1286,894,2180
1440,189,1629
740,263,1003
977,973,1950
1550,1155,2705
1542,189,1731
842,286,1128
1102,795,1897
1474,677,2151
1230,100,1330
441,146,587
650,612,1262
979,323,1302
1123,130,1253
364,145,509
542,861,1403
1121,427,1548
1251,96,1347
458,117,575
642,634,1276
1022,382,1404
1178,136,1314
425,159,584
611,685,1296
1000,386,1386
1086,96,1182
293,121,414
481,874,1355
1097,436,1533
1192,128,1320
431,207,638
673,947,1620
1276,468,1744
1514,229,1743
854,333,1187
1121,1255,2376
1906,1271,3177
1115,79,1194
305,154,459
543,778,1321
1030,406,1436
1160,185,1345
456,231,687
665,819,1484
1116,771,1887
1445,135,1580
691,193,884
912,973,1885
1555,1143,2698
1114,136,1250
361,199,560
587,634,1221
885,260,1145
1208,152,1360
471,198,669
680,829,1509
1174,715,1889
1171,185,1356
467,283,750
728,678,1406
986,455,1441
1307,79,1386
497,203,700
784,673,1457
1117,193,1310
1968,229,2197
1308,329,1637
1571,685,2256
1790,626,2416
2684,152,2836
1947,199,2146
2157,693,2850
2514,645,3159
1959,169,2128
1239,208,1447
1441,898,2339
1994,882,2876
1492,152,1644
755,332,1087
1098,890,1988
1519,1701,3220
1596,169,1765
876,311,1187
1181,783,1964
1516,917,2433
1509,189,1698
809,304,1113
1087,741,1828
1387,767,2154
1206,152,1358
469,250,719
730,662,1392
1005,581,1586
1169,185,1354
465,259,724
702,816,1518
1122,443,1565
1338,185,1523
634,225,859
837,963,1800
1438,306,1744
1206,136,1342
453,141,594
621,1129,1750
1472,750,2222
1826,229,2055
1166,286,1452
1386,1362,2748
2325,1325,3650
1128,163,1291
402,216,618
618,743,1361
1008,589,1597
1498,189,1687
798,312,1110
1084,1148,2232
1783,882,2665
1439,169,1608
719,398,1117
1111,1078,2189
1654,1269,2923
1772,152,1924
1035,203,1238
1249,766,2015
1675,570,2245
1254,136,1390
501,154,655
682,1192,1874
1583,551,2134
1293,152,1445
556,178,734
745,574,1319
1004,556,1560
1444,222,1666
777,227,1004
945,806,1751
1387,678,2065
1580,185,1765
876,306,1182
1160,794,1954
1511,1061,2572
1573,185,1758
869,328,1197
1175,912,2087
1622,1509,3131
1619,185,1804
915,237,1152
1130,831,1961
1587,1263,2850
1158,128,1286
397,180,577
612,693,1305
988,563,1551
1187,172,1359
470,210,680
671,916,1587
1240,958,2198
1270,173,1443
554,236,790
780,975,1755
1382,828,2210
1454,185,1639
750,248,998
976,832,1808
1423,819,2242
1273,185,1458
569,252,821
799,927,1726
1337,559,1896
1206,136,1342
453,188,641
668,659,1327
1002,579,1581
1366,185,1551
662,288,950
928,636,1564
1139,1118,2257
1093,153,1246
357,163,520
530,753,1283
983,343,1326
1385,185,1570
681,375,1056
1034,759,1793
1281,671,1952
1295,136,1431
542,211,753
780,1110,1890
1542,679,2221
1220,130,1350
461,208,669
702,623,1325
980,572,1552
1549,153,1702
813,183,996
1006,674,1680
1360,622,1982
1218,136,1354
465,116,581
608,414,1022
769,298,1067
1416,152,1568
679,222,901
912,829,1741
1382,1124,2506
1255,185,1440
551,245,796
774,815,1589
1207,2100,3307
1287,169,1456
567,325,892
886,867,1753
1291,394,1685
1264,152,1416
527,199,726
737,948,1685
1349,679,2028
1459,136,1595
706,171,877
904,741,1645
1337,776,2113
1177,79,1256
367,84,451
535,611,1146
925,149,1074
1422,185,1607
718,252,970
948,653,1601
1212,642,1854
1415,136,1551
662,228,890
917,1101,2018
1653,1468,3121
1281,187,1468
579,234,813
789,953,1742
1371,511,1882
1381,185,1566
677,288,965
943,632,1575
1150,490,1640
1250,136,1386
497,215,712
739,618,1357
1005,493,1498
1213,112,1325
436,173,609
660,726,1386
1076,539,1615
1207,152,1359
470,253,723
734,800,1534
1144,565,1709
1480,169,1649
760,370,1130
1124,1089,2213
1706,2702,4408
1205,79,1284
395,159,554
638,640,1278
982,453,1435
2028,229,2257
1368,289,1657
1591,787,2378
1952,1649,3601
1108,136,1244
355,208,563
590,789,1379
1034,362,1396
1498,185,1683
794,244,1038
1016,1102,2118
1254,187,1441
552,244,796
772,734,1506
1125,1683,2808
1095,79,1174
285,186,471
555,819,1374
1051,792,1843
1497,185,1682
793,235,1028
1006,992,1998
1626,1557,3183
1676,169,1845
956,276,1232
1226,811,2037
1624,330,1954
2681,289,2970
2081,317,2398
2272,1069,3341
2887,1851,4738
1425,189,1614
725,491,1216
1190,1080,2270
1642,1006,2648
1359,187,1546
657,258,915
891,1194,2085
1690,957,2647
1213,185,1398
509,262,771
749,1151,1900
