prompt_tokens,completion_tokens,total_tokens
1052,156,1208
318,193,511
518,749,1267
949,621,1570
1047,138,1185
295,182,477
502,450,952
645,404,1049
1070,109,1179
289,126,415
469,603,1072
821,549,1370
1049,133,1182
292,121,413
443,486,929
683,202,885
1071,160,1231
341,227,568
571,1100,1671
1319,706,2025
1054,196,1250
360,230,590
557,508,1065
710,358,1068
1080,162,1242
352,178,530
531,807,1338
1035,399,1434
1069,128,1197
307,167,474
509,645,1154
862,454,1316
1054,109,1163
273,104,377
431,490,921
692,458,1150
1068,138,1206
316,174,490
515,507,1022
723,454,1177
1074,184,1258
368,225,593
572,899,1471
1121,840,1961
1052,137,1189
299,116,415
441,674,1115
874,667,1541
1072,171,1243
353,269,622
614,714,1328
934,201,1135
1064,109,1173
283,149,432
486,786,1272
998,513,1511
1048,109,1157
267,107,374
428,458,886
654,486,1140
1040,138,1178
288,203,491
516,453,969
641,258,899
1068,109,1177
287,116,403
457,583,1040
799,500,1299
1038,137,1175
285,157,442
468,809,1277
995,245,1240
1046,187,1233
343,268,611
587,965,1552
1159,910,2069
1085,113,1198
308,164,472
522,786,1308
1019,612,1631
1074,163,1237
347,207,554
554,967,1521
1189,513,1702
1067,109,1176
286,113,399
453,533,986
748,519,1267
1060,170,1230
340,236,576
569,943,1512
1151,573,1724
1064,109,1173
283,159,442
496,743,1239
955,384,1339
1068,113,1181
291,163,454
504,866,1370
1082,619,1701
1064,167,1231
341,214,555
551,890,1441
1102,703,1805
1057,142,1199
309,143,452
473,463,936
668,418,1086
1063,138,1201
311,200,511
536,665,1201
876,479,1355
1069,166,1235
345,139,484
481,563,1044
780,537,1317
1059,155,1214
324,211,535
543,767,1310
974,345,1319
1064,138,1202
312,189,501
526,798,1324
1010,421,1431
1062,113,1175
285,125,410
460,574,1034
784,584,1368
1060,167,1227
337,235,572
568,782,1350
990,368,1358
1074,171,1245
355,215,570
562,656,1218
878,489,1367
1054,169,1223
333,234,567
561,713,1274
915,768,1683
1046,175,1221
331,217,548
536,738,1274
932,329,1261
1068,171,1239
349,176,525
517,447,964
663,431,1094
1074,215,1289
399,272,671
619,752,1371
974,644,1618
1085,105,1190
300,139,439
497,956,1453
1189,517,1706
1069,138,1207
317,176,493
518,642,1160
859,603,1462
1066,188,1254
364,240,604
579,755,1334
969,473,1442
1053,138,1191
301,175,476
501,619,1120
820,675,1495
1079,105,1184
294,155,449
507,752,1259
979,660,1639
1038,138,1176
286,123,409
434,430,864
616,71,687
1080,162,1242
352,194,546
547,655,1202
883,499,1382
1060,170,1230
340,149,489
482,594,1076
802,566,1368
1059,178,1237
347,238,585
570,648,1218
855,466,1321
1069,142,1211
321,179,500
521,928,1449
1145,587,1732
1046,138,1184
294,171,465
490,626,1116
820,506,1326
1062,138,1200
310,172,482
507,712,1219
922,495,1417
1070,140,1210
320,186,506
529,582,1111
800,521,1321
1068,140,1208
318,224,542
565,609,1174
825,269,1094
1060,150,1210
320,219,539
552,752,1304
960,488,1448
1077,241,1318
428,294,722
644,873,1517
1098,932,2030
1051,156,1207
317,149,466
473,525,998
724,504,1228
1059,138,1197
307,172,479
504,926,1430
1133,434,1567
1050,156,1206
316,157,473
480,494,974
692,449,1141
1045,124,1169
279,189,468
507,385,892
578,348,926
1067,109,1176
286,141,427
481,507,988
722,445,1167
1060,192,1252
362,355,717
688,814,1502
1022,740,1762
1058,171,1229
339,222,561
553,719,1272
925,657,1582
1058,113,1171
281,121,402
452,575,1027
781,544,1325
1071,159,1230
340,176,516
520,543,1063
762,598,1360
1070,113,1183
293,123,416
466,696,1162
914,654,1568
1058,149,1207
317,144,461
475,657,1132
863,364,1227
1053,167,1220
330,176,506
502,598,1100
799,566,1365
1091,160,1251
361,240,601
604,688,1292
927,467,1394
1053,167,1220
330,214,544
540,740,1280
941,827,1768
1060,109,1169
279,117,396
450,566,1016
774,540,1314
1079,222,1301
411,274,685
626,464,1090
691,361,1052
1056,113,1169
279,119,398
448,508,956
712,499,1211
1066,140,1206
316,191,507
530,586,1116
800,387,1187
1055,156,1211
321,177,498
505,413,918
616,337,953
1059,160,1219
329,184,513
516,664,1180
871,570,1441
1053,138,1191
301,183,484
509,674,1183
875,424,1299
1067,109,1176
286,131,417
471,548,1019
763,512,1275
1052,178,1230
340,226,566
551,662,1213
862,519,1381
1075,113,1188
298,122,420
470,658,1128
881,610,1491
1049,155,1204
314,214,528
536,533,1069
730,409,1139
1076,113,1189
299,130,429
479,619,1098
843,600,1443
1098,138,1236
346,129,475
500,538,1038
784,520,1304
1074,184,1258
368,194,562
541,894,1435
1116,884,2000
1074,184,1258
368,190,558
537,915,1452
1137,867,2004
1054,140,1194
304,202,506
529,745,1274
947,720,1667
1064,139,1203
313,201,514
538,592,1130
804,441,1245
1060,172,1232
342,208,550
541,467,1008
675,415,1090
1056,109,1165
275,107,382
436,543,979
747,541,1288
1064,243,1307
417,287,704
624,745,1369
957,705,1662
1079,193,1272
382,219,601
571,981,1552
1208,497,1705
1054,155,1209
319,175,494
502,570,1072
772,532,1304
1048,142,1190
300,148,448
469,534,1003
730,497,1227
1074,184,1258
368,219,587
566,774,1340
996,801,1797
1046,200,1246
356,218,574
537,595,1132
789,455,1244
1057,178,1235
345,230,575
560,729,1289
934,543,1477
1066,171,1237
347,254,601
593,716,1309
930,469,1399
1055,224,1279
389,238,627
566,705,1271
908,600,1508
1066,167,1233
343,165,508
504,478,982
692,451,1143
1063,138,1201
311,140,451
476,592,1068
803,549,1352
1049,163,1212
322,151,473
473,522,995
719,490,1209
1051,142,1193
303,162,465
486,656,1142
855,329,1184
1067,170,1237
347,187,534
527,725,1252
940,679,1619
1063,166,1229
339,196,535
532,673,1205
884,463,1347
1061,162,1223
333,203,536
537,503,1040
712,128,840
1060,137,1197
307,173,480
506,563,1069
771,74,845
1050,170,1220
330,204,534
527,414,941
612,357,969
1060,142,1202
312,170,482
503,1027,1530
1235,649,1884
1076,148,1224
334,168,502
517,581,1098
805,556,1361
1065,109,1174
284,155,439
493,707,1200
920,509,1429
1069,140,1209
319,205,524
547,750,1297
967,379,1346
1078,109,1187
297,179,476
530,453,983
679,359,1038
1077,104,1181
291,117,408
467,570,1037
795,585,1380
1069,138,1207
317,177,494
519,558,1077
775,430,1205
1055,171,1226
336,229,565
557,839,1396
1042,346,1388
1053,138,1191
301,164,465
490,541,1031
698,389,1087
1072,176,1248
359,260,619
606,1215,1821
1435,684,2119
1079,108,1187
254,156,410
465,487,952
714,437,1151
1026,165,1191
346,169,515
468,662,1130
880,625,1505
1061,112,1173
240,172,412
463,854,1317
1019,355,1374
1053,127,1180
335,191,526
518,675,1193
876,665,1541
1018,127,1145
256,160,416
452,640,1092
806,485,1291
1050,161,1211
322,130,452
498,716,1214
914,313,1227
1074,104,1178
245,143,388
447,886,1333
1064,673,1737
1066,141,1207
318,187,505
527,465,992
635,398,1033
1012,138,1150
261,200,461
486,678,1164
838,540,1378
1001,163,1164
1050,241,1291
402,310,712
678,698,1376
896,585,1481
1030,155,1185
296,152,448
456,311,767
489,332,821
