prompt_tokens,completion_tokens,total_tokens
965,153,1118
228,139,367
372,557,929
832,471,1303
965,153,1118
228,142,370
375,585,960
860,771,1631
965,152,1117
227,225,452
458,651,1109
926,559,1485
965,170,1135
245,152,397
385,922,1307
1197,824,2021
965,153,1118
228,138,366
371,469,840
744,388,1132
965,153,1118
228,146,374
379,677,1056
952,597,1549
965,137,1102
212,132,344
365,543,908
818,601,1419
965,153,1118
228,155,383
388,607,995
882,542,1424
965,137,1102
212,122,334
355,468,823
742,545,1287
965,137,1102
212,124,336
357,633,990
908,705,1613
965,137,1102
212,121,333
354,560,914
835,662,1497
965,153,1118
228,167,395
400,787,1187
1062,632,1694
965,153,1118
228,197,425
430,797,1227
1071,787,1858
965,137,1102
212,138,350
371,744,1115
1019,729,1748
965,170,1135
245,163,408
396,625,1021
900,790,1690
965,153,1118
228,189,417
422,579,1001
854,501,1355
965,131,1096
206,167,373
400,487,887
762,544,1306
965,186,1151
261,170,431
403,531,934
806,584,1390
965,137,1102
212,130,342
363,474,837
749,553,1302
965,137,1102
212,128,340
361,569,930
844,538,1382
965,153,1118
228,180,408
413,903,1316
1178,854,2032
965,153,1118
228,132,360
365,653,1018
928,556,1484
965,153,1118
228,163,391
396,1010,1406
1285,1494,2779
965,153,1118
228,152,380
385,595,980
870,544,1414
965,153,1118
228,177,405
410,550,960
825,608,1433
965,152,1117
227,190,417
423,545,968
820,545,1365
965,153,1118
228,142,370
375,750,1125
1025,1121,2146
965,153,1118
228,140,368
373,559,932
834,475,1309
965,187,1152
262,175,437
408,564,972
838,808,1646
965,153,1118
228,148,376
381,643,1024
918,505,1423
965,137,1102
212,129,341
362,511,873
785,604,1389
965,153,1118
228,202,430
435,763,1198
1038,749,1787
965,153,1118
228,148,376
381,592,973
867,468,1335
965,137,1102
212,123,335
356,478,834
753,633,1386
965,152,1117
227,199,426
432,766,1198
1041,745,1786
965,153,1118
228,149,377
382,601,983
876,585,1461
965,153,1118
228,143,371
376,465,841
740,559,1299
965,137,1102
212,130,342
363,503,866
778,440,1218
965,137,1102
212,126,338
359,464,823
738,524,1262
965,153,1118
228,141,369
