prompt_tokens,completion_tokens,total_tokens
1097,196,1293
403,266,669
631,619,1250
1025,614,1639
1382,241,1623
733,346,1079
996,901,1897
1592,915,2507
1385,228,1613
723,397,1120
1050,722,1772
1417,787,2204
1366,203,1569
679,297,976
931,697,1628
1372,716,2088
1129,163,1292
402,212,614
609,771,1380
1209,765,1974
1130,199,1329
439,229,668
627,779,1406
1218,1200,2418
1080,210,1290
400,270,670
618,727,1345
1116,1113,2229
1097,162,1259
369,240,609
605,743,1348
1149,850,1999
1170,194,1364
474,337,811
775,788,1563
1267,1228,2495
1168,198,1366
477,227,704
664,596,1260
1073,936,2009
1129,196,1325
435,255,690
652,561,1213
1000,581,1581
1143,201,1344
454,282,736
693,1214,1907
1666,1723,3389
1107,182,1289
399,167,566
542,590,1132
1006,747,1753
1180,181,1361
471,257,728
705,621,1326
1110,988,2098
1153,202,1355
465,301,766
722,586,1308
1049,574,1623
1199,196,1395
505,381,886
848,792,1640
1301,805,2106
1183,191,1374
484,241,725
692,807,1499
1299,743,2042
1182,214,1396
506,261,767
711,689,1400
1180,1152,2332
1387,248,1635
745,405,1150
1060,1050,2110
1746,1889,3635
1049,189,1238
348,277,625
594,645,1239
1003,981,1984
1128,201,1329
439,439,878
835,876,1711
1313,1012,2325
1171,227,1398
508,318,826
757,688,1445
1169,849,2018
1143,235,1378
488,312,800
723,1163,1886
1615,1565,3180
1083,175,1258
368,208,576
559,693,1252
1086,892,1978
1159,239,1398
508,481,989
908,760,1668
1228,914,2142
1151,219,1370
480,242,722
661,844,1505
1304,1222,2526
1145,184,1329
439,236,675
649,742,1391
1197,854,2051
1175,202,1377
487,280,767
723,678,1401
1162,1002,2164
1418,203,1621
731,283,1014
969,950,1919
1678,940,2618
1153,184,1337
447,220,667
641,715,1356
1177,633,1810
1556,247,1803
913,380,1293
1204,907,2111
1772,833,2605
1561,231,1792
902,293,1195
1122,749,1871
1620,1055,2675
1120,196,1316
426,219,645
607,464,1071
893,712,1605
1563,223,1786
896,280,1176
1111,1256,2367
2129,1219,3348
1177,224,1401
511,336,847
781,767,1548
1253,875,2128
1170,231,1401
511,246,757
684,622,1306
1101,697,1798
1147,180,1327
437,278,715
693,714,1407
1171,1148,2319
1416,235,1651
761,294,1055
978,1005,1983
1730,1000,2730
1160,196,1356
466,221,687
649,702,1351
1172,1125,2297
1111,231,1342
452,260,712
639,605,1244
1025,1086,2111
1151,196,1347
457,223,680
642,914,1556
1375,891,2266
1183,187,1370
480,229,709
680,904,1584
1396,893,2289
1213,207,1420
530,303,833
784,932,1716
1454,1319,2773
1179,176,1355
465,230,695
677,931,1608
1419,1337,2756
1388,254,1642
752,354,1106
1010,717,1727
1414,954,2368
1162,196,1358
468,217,685
647,1201,1848
1673,1152,2825
1194,181,1375
485,196,681
658,736,1394
1239,861,2100
1411,243,1654
764,361,1125
1040,801,1841
1522,934,2456
1144,181,1325
435,228,663
640,676,1316
1129,1040,2169
1105,214,1319
429,263,692
636,669,1305
1083,737,1820
1146,206,1352
462,249,711
663,747,1410
1202,868,2070
1558,234,1792
902,312,1214
1138,1025,2163
1893,1013,2906
1214,164,1378
488,232,720
714,677,1391
