prompt_tokens,completion_tokens,total_tokens
1075,94,1169
279,99,378
442,627,1069
1012,552,1564
1101,132,1233
343,173,516
542,519,1061
930,559,1489
1092,170,1262
372,197,569
557,382,939
783,410,1193
1097,96,1193
303,226,529
591,369,960
776,454,1230
1093,106,1199
309,226,535
587,449,1036
852,392,1244
1106,164,1270
380,219,599
593,527,1120
942,561,1503
1098,97,1195
305,150,455
516,496,1012
904,516,1420
1078,154,1232
342,190,532
536,531,1067
919,491,1410
1099,132,1231
341,271,612
638,350,988
759,334,1093
1093,109,1202
312,143,455
504,445,949
847,506,1353
1102,114,1216
326,264,590
634,610,1244
1022,688,1710
1092,115,1207
317,137,454
497,667,1164
1068,607,1675
1080,131,1211
321,143,464
491,486,977
876,569,1445
1099,114,1213
323,138,461
505,607,1112
1015,790,1805
1081,113,1194
304,148,452
497,444,941
834,534,1368
1093,96,1189
299,242,541
603,329,932
732,369,1101
1086,173,1259
369,190,559
544,544,1088
940,506,1446
1091,115,1206
316,126,442
485,469,954
869,531,1400
1080,113,1193
303,122,425
470,546,1016
936,569,1505
1074,154,1228
338,158,496
500,598,1098
981,688,1669
1078,97,1175
285,122,407
468,550,1018
938,551,1489
1093,97,1190
300,108,408
469,775,1244
1178,1013,2191
1064,187,1251
361,225,586
557,751,1308
1124,1027,2151
1079,114,1193
303,141,444
488,469,957
858,556,1414
1099,94,1193
303,138,441
505,582,1087
991,718,1709
1086,131,1217
327,157,484
511,635,1146
1031,692,1723
1089,138,1227
337,206,543
563,439,1002
838,459,1297
1080,132,1212
322,217,539
565,737,1302
1126,761,1887
1081,80,1161
271,120,391
469,453,922
844,556,1400
1102,170,1272
382,196,578
566,541,1107
952,540,1492
1097,148,1245
355,208,563
573,521,1094
928,572,1500
1097,115,1212
322,139,461
504,615,1119
1022,730,1752
1099,139,1238
348,189,537
556,626,1182
1034,734,1768
1084,97,1181
291,101,392
453,591,1044
985,570,1555
1093,166,1259
369,176,545
537,529,1066
932,453,1385
1078,130,1208
318,155,473
501,626,1127
1014,842,1856
1095,97,1192
302,126,428
489,447,936
851,418,1269
1103,112,1215
325,142,467
513,415,928
828,495,1323
1104,170,1274
384,188,572
560,927,1487
1341,979,2320
1080,80,1160
270,83,353
431,609,1040
999,590,1589
1094,164,1258
368,220,588
582,559,1141
963,591,1554
1102,97,1199
309,246,555
616,387,1003
799,374,1173
1071,165,1236
346,196,542
535,816,1351
1197,828,2025
1076,115,1191
301,134,435
478,1122,1600
1508,888,2396
1074,97,1171
281,125,406
467,724,1191
1108,640,1748
1091,132,1223
333,209,542
568,660,1228
1061,853,1914
1098,146,1244
354,169,523
535,614,1149
1021,690,1711
1075,110,1185
295,123,418
466,574,1040
958,649,1607
1097,149,1246
356,197,553
562,668,1230
1074,778,1852
1071,148,1219
329,181,510
520,494,1014
874,568,1442
1095,110,1205
315,208,523
571,634,1205
1039,668,1707
1081,112,1193
303,121,424
470,470,940
861,543,1404
1108,149,1257
367,160,527
536,593,1129
1011,741,1752
1066,113,1179
289,133,422
467,365,832
741,406,1147
1075,135,1210
320,195,515
538,616,1154
1001,649,1650
1089,170,1259
369,188,557
545,485,1030
883,538,1421
1075,146,1221
331,197,528
540,733,1273
1118,903,2021
1098,130,1228
338,234,572
600,502,1102
909,412,1321
1100,129,1229
339,136,475
504,702,1206
1111,713,1824
1079,110,1189
299,141,440
488,593,1081
982,588,1570
1081,80,1161
271,97,368
446,672,1118
1062,611,1673
1084,97,1181
291,138,429
490,445,935
839,483,1322
1080,170,1250
360,162,522
510,498,1008
888,522,1410
1087,96,1183
293,110,403
465,713,1178
1110,1089,2199
1094,146,1240
350,178,528
540,579,1119
982,688,1670
1081,80,1161
271,103,374
452,745,1197
1135,675,1810
1097,148,1245
355,157,512
522,747,1269
1154,714,1868
1084,113,1197
307,130,437
482,318,800
712,337,1049
1074,122,1196
306,168,474
510,514,1024
898,613,1511
1094,170,1264
374,169,543
531,538,1069
942,675,1617
1089,113,1202
312,122,434
479,620,1099
1019,684,1703
1086,132,1218
328,139,467
493,688,1181
1083,720,1803
1094,148,1242
352,239,591
601,625,1226
1028,766,1794
1082,154,1236
346,215,561
565,344,909
735,416,1151
1085,112,1197
307,232,539
585,571,1156
966,509,1475
1083,149,1232
342,181,523
532,598,1130
991,706,1697
1110,149,1259
369,215,584
593,508,1101
928,548,1476
1085,115,1200
310,173,483
526,586,1112
981,682,1663
1083,131,1214
324,168,492
519,631,1150
1024,548,1572
1068,119,1187
297,145,442
481,534,1015
912,641,1553
1081,148,1229
339,183,522
532,467,999
858,562,1420
1076,97,1173
283,137,420
481,582,1063
968,564,1532
1080,132,1212
322,152,474
500,594,1094
983,573,1556
1094,87,1181
292,140,432
503,455,958
858,489,1347
1103,135,1238
348,332,680
703,580,1283
993,565,1558
1077,135,1212
322,148,470
493,660,1153
1046,625,1671
1088,97,1185
295,128,423
484,627,1111
1024,679,1703
1099,148,1247
357,171,528
538,574,1112
982,698,1680
1094,97,1191
301,156,457
518,412,930
816,468,1284
1091,97,1188
298,227,525
586,531,1117
931,556,1487
1085,115,1200
310,138,448
491,631,1122
1025,699,1724
1092,154,1246
356,208,564
568,719,1287
1121,690,1811
1080,113,1193
303,128,431
476,507,983
897,541,1438
1089,97,1186
296,128,424
485,530,1015
928,554,1482
1084,122,1206
317,173,490
526,509,1035
902,573,1475
1099,132,1231
341,163,504
530,686,1216
1094,625,1719
1098,93,1191
301,136,437
502,408,910
815,225,1040
1078,110,1188
298,127,425
473,537,1010
924,505,1429
1098,113,1211
321,145,466
511,538,1049
946,629,1575
1080,97,1177
287,108,395
456,513,969
903,602,1505
1097,97,1194
304,229,533
594,545,1139
951,491,1442
1096,148,1244
354,167,521
531,541,1072
947,473,1420
1092,130,1222
332,197,529
557,585,1142
986,893,1879
1090,157,1247
357,224,581
582,532,1114
932,608,1540
1092,97,1189
299,144,443
504,398,902
800,433,1233
1098,109,1207
317,142,459
508,392,900
799,392,1191
1092,186,1278
388,199,587
559,495,1054
897,629,1526
1079,113,1192
302,133,435
480,487,967
875,567,1442
1083,131,1214
324,131,455
482,692,1174
1084,788,1872
1085,140,1225
335,178,513
531,640,1171
1035,760,1795
1086,116,1202
312,164,476
518,596,1114
992,763,1755
1064,93,1157
267,130,397
462,520,982
893,519,1412
1085,112,1197
307,273,580
626,375,1001
770,522,1292
1084,58,1142
252,67,319
419,422,841
816,509,1325
1079,97,1176
286,149,435
496,511,1007
900,440,1340
1095,136,1231
341,168,509
531,651,1182
1055,584,1639
1087,92,1179
289,121,410
476,687,1163
1083,707,1790
1092,112,1204
314,156,470
516,663,1179
1065,655,1720
1108,132,1240
350,175,525
551,464,1015
882,476,1358
1095,165,1260
370,291,661
654,690,1344
1094,1239,2333
1090,94,1184
294,106,400
464,778,1242
1178,757,1935
1105,164,1269
379,210,589
583,516,1099
931,570,1501
1089,173,1262
372,184,556
541,471,1012
869,550,1419
1083,83,1166
276,109,385
460,545,1005
938,533,1471
1076,96,1172
282,193,475
537,709,1246
1094,645,1739
1082,97,1179
289,111,400
461,622,1083
1013,754,1767
1088,137,1225
335,142,477
498,399,897
796,454,1250
1067,199,1266
376,191,567
526,673,1199
1050,794,1844
1099,145,1244
354,164,518
531,749,1280
1157,965,2122
1089,144,1233
343,149,492
506,603,1109
1002,736,1738
1087,80,1167
277,109,386
464,577,1041
974,501,1475
1083,102,1185
295,103,398
454,510,964
902,432,1334
1103,114,1217
327,272,599
643,387,1030
800,364,1164
1083,131,1214
324,142,466
493,517,1010
910,480,1390
1098,129,1227
337,156,493
522,561,1083
968,605,1573
1094,146,1240
350,178,528
540,505,1045
909,566,1475
1090,145,1235
345,134,479
492,355,847
754,409,1163
1075,136,1211
321,366,687
709,693,1402
1078,662,1740
1077,118,1195
305,156,461
501,580,1081
967,784,1751
1087,118,1205
315,130,445
485,549,1034
946,523,1469
1083,110,1193
303,116,419
467,642,1109
1035,760,1795
1079,112,1191
301,136,437
483,616,1099
1004,703,1707
1083,122,1205
316,129,445
481,437,918
830,495,1325
1077,97,1174
284,137,421
482,496,978
882,548,1430
1081,58,1139
249,63,312
412,615,1027
1005,644,1649
1089,112,1201
311,264,575
621,429,1050
828,442,1270
1075,94,1169
279,105,384
448,423,871
808,588,1396
1067,170,1237
347,161,508
496,502,998
879,588,1467
1097,149,1246
356,183,539
548,356,904
762,422,1184
1064,115,1179
289,139,428
471,687,1158
1060,695,1755
1103,94,1197
307,187,494
558,417,975
829,508,1337
1091,115,1206
316,134,450
493,2025,2518
2425,1849,4274
1066,149,1215
325,137,462
471,587,1058
962,706,1668
1082,113,1195
305,152,457
502,428,930
820,491,1311
1096,96,1192
302,215,517
579,602,1181
1008,599,1607
1088,97,1185
295,208,503
564,451,1015
848,446,1294
1089,80,1169
279,115,394
472,521,993
919,608,1527
1092,148,1240
350,207,557
567,533,1100
934,554,1488
1096,149,1245
355,172,527
536,636,1172
1041,541,1582
1091,170,1261
371,156,527
515,984,1499
1384,924,2308
1083,110,1193
303,174,477
525,646,1171
1038,611,1649
1112,109,1221
331,103,434
483,606,1089
1027,641,1668
1092,137,1229
339,142,481
502,476,978
878,522,1400
1079,181,1260
370,184,554
531,596,1127
985,792,1777
1079,115,1194
304,144,448
491,667,1158
1055,813,1868
1106,170,1276
386,191,577
565,687,1252
1102,821,1923
1106,173,1279
389,172,561
546,767,1313
1182,817,1999
1070,154,1224
334,162,496
500,561,1061
940,572,1512
1079,149,1228
338,248,586
595,543,1138
931,525,1456
1090,108,1198
308,327,635
685,344,1029
743,298,1041
1084,148,1232
342,169,511
521,536,1057
929,680,1609
1080,129,1209
319,126,445
474,591,1065
980,722,1702
1094,97,1191
301,165,466
527,444,971
848,431,1279
1104,130,1234
344,151,495
523,409,932
822,452,1274
1080,113,1193
303,117,420
465,599,1064
989,578,1567
1090,149,1239
349,152,501
510,430,940
830,459,1289
1088,97,1185
295,132,427
488,466,954
863,562,1425
1099,132,1231
341,145,486
512,588,1100
997,589,1586
1076,154,1230
340,170,510
514,735,1249
1121,899,2020
1084,79,1163
273,103,376
455,472,927
866,558,1424
1091,132,1223
333,144,477
503,594,1097
994,763,1757
1083,170,1253
363,175,538
526,734,1260
1126,787,1913
1075,106,1181
291,101,392
444,476,920
861,459,1320
1098,115,1213
323,104,427
470,526,996
934,525,1459
1093,132,1225
335,159,494
520,569,1089
971,587,1558
1075,106,1181
291,128,419
471,664,1135
1049,659,1708
1081,129,1210
320,132,452
481,602,1083
992,682,1674
1087,115,1202
312,142,454
497,841,1338
1238,857,2095
1085,103,1188
298,189,487
542,397,939
792,431,1223
1080,131,1211
321,127,448
475,683,1158
1072,641,1713
1063,170,1233
343,162,505
493,698,1191
1070,858,1928
1102,148,1250
360,163,523
533,648,1181
1060,600,1660
1091,114,1205
315,308,623
667,542,1209
943,562,1505
1081,113,1194
304,117,421
466,466,932
857,483,1340
1098,148,1246
356,163,519
529,649,1178
1057,788,1845
1089,96,1185
295,109,404
466,588,1054
986,550,1536
1084,131,1215
325,174,499
526,502,1028
896,571,1467
1095,119,1214
324,131,455
494,516,1010
920,503,1423
1078,113,1191
301,158,459
504,524,1028
912,609,1521
1081,145,1226
336,165,501
514,563,1077
954,742,1696
1089,96,1185
295,247,542
604,453,1057
852,357,1209
1070,132,1202
312,144,456
482,598,1080
977,552,1529
1095,135,1230
340,191,531
554,517,1071
921,480,1401
1103,124,1227
337,265,602
636,692,1328
1105,680,1785
1076,96,1172
282,259,541
603,392,995
778,444,1222
1093,115,1208
318,130,448
491,443,934
845,458,1303
1084,154,1238
348,193,541
545,642,1187
1036,736,1772
1085,129,1214
324,195,519
548,707,1255
1102,825,1927
1080,58,1138
248,59,307
407,402,809
792,451,1243
1084,113,1197
307,113,420
465,334,799
728,405,1133
1089,117,1206
316,143,459
500,551,1051
950,673,1623
1079,110,1189
299,146,445
493,674,1167
1063,736,1799
1096,170,1266
376,232,608
596,469,1065
874,526,1400
1095,97,1192
302,111,413
474,730,1204
1134,863,1997
1097,96,1193
303,225,528
590,658,1248
1065,628,1693
1090,157,1247
357,155,512
513,529,1042
929,572,1501
1084,80,1164
274,87,361
439,420,859
814,486,1300
1093,137,1230
340,183,523
544,448,992
851,491,1342
1097,146,1243
353,157,510
522,585,1107
992,1342,2334
1085,103,1188
298,105,403
458,419,877
813,493,1306
1087,135,1222
332,148,480
503,577,1080
973,513,1486
1101,114,1215
325,265,590
634,449,1083
859,416,1275
1088,112,1200
310,131,441
487,576,1063
973,660,1633
1103,113,1216
326,129,455
500,638,1138
1051,1102,2153
1080,94,1174
284,207,491
555,559,1114
949,674,1623
1094,97,1191
301,129,430
491,714,1205
1117,701,1818
1067,58,1125
235,69,304
404,486,890
863,538,1401
1102,97,1199
309,112,421
482,507,989
918,638,1556
1091,97,1188
298,108,406
467,434,901
834,486,1320
1082,129,1211
321,146,467
496,597,1093
989,723,1712
1075,108,1183
293,115,408
458,533,991
918,573,1491
1080,154,1234
344,194,538
542,736,1278
1126,666,1792
1081,154,1235
345,209,554
558,703,1261
1094,710,1804
1080,109,1189
299,113,412
461,848,1309
1237,835,2072
1100,92,1192
302,122,424
490,547,1037
957,601,1558
1077,97,1174
284,133,417
478,705,1183
1091,680,1771
1080,113,1193
303,122,425
470,491,961
881,537,1418
1103,141,1244
354,331,685
702,386,1088
799,335,1134
1094,197,1291
401,232,633
594,780,1374
1183,1600,2783
1106,205,1311
421,173,594
547,513,1060
929,639,1568
1086,146,1232
342,147,489
501,576,1077
971,748,1719
1062,91,1153
263,123,386
453,665,1118
1037,586,1623
1065,132,1197
307,194,501
527,836,1363
1210,878,2088
1089,116,1205
315,234,549
591,775,1366
1174,742,1916
1093,112,1205
315,296,611
657,375,1032
777,356,1133
1084,113,1197
307,133,440
485,360,845
753,392,1145
1089,115,1204
314,139,453
496,669,1165
1068,695,1763
1063,135,1198
308,156,464
487,591,1078
963,480,1443
1093,96,1189
299,236,535
597,472,1069
875,441,1316
1096,130,1226
336,184,520
548,389,937
795,455,1250
