prompt_tokens,completion_tokens,total_tokens
1036,203,1239
349,233,582
537,684,1221
1029,727,1756
1033,203,1236
346,248,594
549,598,1147
940,505,1445
1034,143,1177
287,249,536
551,561,1112
905,973,1878
1037,143,1180
290,264,554
569,421,990
767,619,1386
1035,224,1259
369,263,632
566,771,1337
1116,838,1954
1031,143,1174
284,250,534
549,604,1153
945,1147,2092
1037,195,1232
342,235,577
540,757,1297
1103,722,1825
1032,151,1183
293,256,549
556,519,1075
861,985,1846
1033,168,1201
311,215,526
516,555,1071
897,701,1598
1038,201,1239
349,293,642
599,592,1191
940,642,1582
1036,179,1215
325,303,628
607,606,1213
952,1178,2130
1035,203,1238
348,249,597
552,754,1306
1098,944,2042
1039,187,1226
336,217,553
524,576,1100
925,741,1666
1048,151,1199
309,254,563
570,587,1157
945,752,1697
1035,151,1186
296,253,549
556,791,1347
1135,1046,2181
1038,186,1224
334,213,547
519,584,1103
932,685,1617
1034,200,1234
344,283,627
585,684,1269
1028,694,1722
1036,143,1179
289,234,523
538,633,1171
978,769,1747
1040,179,1219
329,269,598
577,561,1138
910,1112,2022
1042,177,1219
329,227,556
537,518,1055
870,653,1523
1038,172,1210
320,280,600
586,721,1307
1069,816,1885
1040,179,1219
329,294,623
602,768,1370
1117,921,2038
1031,179,1210
320,313,633
612,560,1172
901,645,1546
1035,168,1203
313,212,525
515,582,1097
927,545,1472
1036,185,1221
331,277,608
581,494,1075
840,546,1386
1033,151,1184
294,260,554
561,536,1097
879,952,1831
1038,152,1190
300,215,515
521,563,1084
910,570,1480
1031,151,1182
292,265,557
564,633,1197
973,905,1878
1036,151,1187
297,253,550
557,583,1140
928,643,1571
1036,179,1215
325,256,581
560,528,1088
874,619,1493
1034,172,1206
316,198,514
500,770,1270
1113,1009,2122
1033,164,1197
307,183,490
484,592,1076
935,546,1481
1030,151,1181
291,259,550
557,537,1094
877,628,1505
1037,195,1232
342,218,560
523,640,1163
986,707,1693
1031,168,1199
309,205,514
504,600,1104
940,760,1700
1031,203,1234
344,241,585
540,725,1265
1065,749,1814
1050,151,1201
311,256,567
574,528,1102
888,581,1469
1034,168,1202
312,193,505
495,571,1066
914,700,1614
1050,168,1218
328,258,586
576,888,1464
1248,832,2080
1048,151,1199
309,225,534
541,560,1101
918,661,1579
1037,202,1239
349,319,668
624,641,1265
988,674,1662
1032,207,1239
349,246,595
546,752,1298
1094,882,1976
1047,186,1233
343,186,529
501,586,1087
942,744,1686
1043,177,1220
330,281,611
592,550,1142
903,1371,2274
1037,177,1214
324,285,609
590,577,1167
924,1148,2072
1026,151,1177
287,241,528
535,514,1049
850,570,1420
1040,185,1225
335,318,653
626,701,1327
1050,996,2046
1031,174,1205
315,282,597
581,745,1326
1085,912,1997
1048,151,1199
309,241,550
557,583,1140
941,1115,2056
1047,170,1217
327,258,585
573,736,1309
1093,973,2066
1041,174,1215
325,300,625
609,627,1236
978,663,1641
1038,179,1217
327,306,633
612,584,1196
932,724,1656
1050,143,1193
303,245,548
563,682,1245
1042,1250,2292
1037,168,1205
315,213,528
518,563,1081
909,774,1683
1035,143,1178
288,238,526
541,527,1068
872,598,1470
1026,151,1177
287,256,543
550,560,1110
896,651,1547
1038,200,1238
348,334,682
640,830,1470
1177,734,1911
1042,178,1220
330,270,600
580,607,1187
959,721,1680
1041,174,1215
325,322,647
631,577,1208
928,581,1509
1036,179,1215
325,286,611
590,454,1044
799,662,1461
1031,151,1182
292,291,583
590,699,1289
1039,912,1951
1035,230,1265
375,280,655
583,889,1472
1234,814,2048
1038,167,1205
315,215,530
521,604,1125
952,831,1783
1036,151,1187
297,250,547
554,588,1142
934,1182,2116
1038,179,1217
327,296,623
602,639,1241
986,580,1566
1033,203,1236
346,240,586
541,723,1264
1066,896,1962
1034,179,1213
323,261,584
563,614,1177
957,793,1750
1043,214,1257
367,254,621
565,603,1168
955,770,1725
1029,174,1203
313,274,587
571,723,1294
1062,767,1829
1037,151,1188
298,168,466
473,513,986
859,645,1504
1033,179,1212
322,276,598
577,521,1098
863,721,1584
1031,179,1210
320,282,602
581,622,1203
962,786,1748
1035,224,1259
369,235,604
538,829,1367
1174,755,1929
1039,151,1190
300,223,523
530,479,1009
828,512,1340
1038,151,1189
299,242,541
548,492,1040
840,597,1437
1041,151,1192
302,201,503
510,655,1165
1005,835,1840
1040,151,1191
301,209,510
517,754,1271
1103,934,2037
1031,151,1182
292,227,519
526,537,1063
878,1012,1890
1032,203,1235
345,240,585
540,649,1189
991,1282,2273
1033,174,1207
317,287,604
588,698,1286
1041,1345,2386
1034,200,1234
344,298,642
600,658,1258
1002,1335,2337
1034,151,1185
295,278,573
580,583,1163
927,1216,2143
1034,181,1215
325,205,530
507,592,1099
935,651,1586
1041,170,1211
321,260,581
569,568,1137
919,1120,2039
1041,151,1192
302,275,577
584,701,1285
1052,1302,2354
1033,195,1228
338,216,554
517,630,1147
972,799,1771
1034,179,1213
323,312,635
614,635,1249
978,580,1558
1040,179,1219
329,248,577
556,618,1174
967,642,1609
1035,172,1207
317,203,520
506,673,1179
1017,706,1723
1035,143,1178
288,263,551
566,655,1221
1000,1196,2196
1038,200,1238
348,295,643
601,651,1252
999,679,1678
1028,168,1196
306,200,506
496,744,1240
1082,787,1869
1040,213,1253
363,303,666
611,691,1302
1040,938,1978
1035,203,1238
348,250,598
553,826,1379
1171,1042,2213
1035,168,1203
313,217,530
520,639,1159
984,766,1750
1031,168,1199
309,201,510
500,832,1332
1172,795,1967
1043,177,1220
330,271,601
582,544,1126
896,501,1397
1033,173,1206
316,212,528
513,654,1167
996,651,1647
1031,168,1199
309,208,517
507,743,1250
1084,1439,2523
1041,174,1215
325,253,578
562,634,1196
985,928,1913
1041,151,1192
302,283,585
592,661,1253
1011,780,1791
1033,151,1184
294,256,550
557,495,1052
838,493,1331
1028,151,1179
289,240,529
536,583,1119
921,706,1627
1040,213,1253
363,344,707
652,721,1373
1070,654,1724
1038,177,1215
325,289,614
595,585,1180
932,662,1594
1038,151,1189
299,231,530
537,591,1128
939,713,1652
1034,186,1220
330,218,548
520,678,1198
1021,672,1693
1036,151,1187
297,247,544
551,541,1092
887,529,1416
1031,166,1197
307,295,602
594,642,1236
983,737,1720
1042,200,1242
352,344,696
654,715,1369
1067,910,1977
1035,160,1195
305,221,526
524,695,1219
1039,583,1622
1029,168,1197
307,217,524
514,894,1408
1233,818,2051
1041,138,1179
289,170,459
479,603,1082
953,634,1587
1032,174,1206
316,318,634
618,792,1410
1133,678,1811
1033,174,1207
317,276,593
577,805,1382
1148,833,1981
1030,168,1198
308,195,503
493,597,1090
936,718,1654
1038,143,1181
291,230,521
536,623,1159
970,647,1617
1037,203,1240
350,235,585
540,566,1106
912,741,1653
1034,186,1220
330,206,536
508,615,1123
958,742,1700
1029,177,1206
316,264,580
561,457,1018
796,574,1370
1037,202,1239
349,328,677
633,663,1296
1010,591,1601
1040,151,1191
301,238,539
546,578,1124
928,1145,2073
1032,151,1183
293,242,535
542,531,1073
872,687,1559
1029,151,1180
290,254,544
551,524,1075
863,597,1460
1031,168,1199
309,209,518
508,659,1167
999,647,1646
1036,143,1179
289,245,534
549,423,972
769,408,1177
1032,203,1235
345,251,596
551,761,1312
1103,816,1919
1036,151,1187
297,242,539
546,571,1117
917,1119,2036
1038,151,1189
299,232,531
538,511,1049
859,623,1482
1037,179,1216
326,323,649
628,614,1242
961,1205,2166
1037,151,1188
298,254,552
559,563,1122
909,670,1579
1035,151,1186
296,248,544
551,518,1069
863,602,1465
1040,151,1191
301,275,576
583,594,1177
943,577,1520
1031,183,1214
324,192,516
491,654,1145
994,674,1668
1050,168,1218
328,192,520
510,929,1439
1289,862,2151
1032,151,1183
293,266,559
566,568,1134
909,578,1487
1034,151,1185
295,266,561
568,540,1108
884,588,1472
1038,200,1238
348,355,703
661,715,1376
1063,738,1801
1038,179,1217
327,289,616
595,598,1193
946,532,1478
1036,143,1179
289,247,536
551,650,1201
996,689,1685
1033,203,1236
346,262,608
563,696,1259
1038,670,1708
1036,179,1215
325,237,562
541,527,1068
873,527,1400
1034,151,1185
295,253,548
555,524,1079
868,628,1496
1037,201,1238
348,292,640
597,622,1219
969,766,1735
1040,213,1253
363,314,677
622,549,1171
898,745,1643
1035,172,1207
317,308,625
611,642,1253
987,824,1811
1029,179,1208
318,293,611
590,673,1263
1011,622,1633
1036,123,1159
269,148,417
452,492,944
837,548,1385
1031,174,1205
315,299,614
598,719,1317
1060,898,1958
1032,151,1183
293,275,568
575,566,1141
908,608,1516
1034,181,1215
325,207,532
509,857,1366
1201,1190,2391
1031,151,1182
292,267,559
566,543,1109
884,1075,1959
1043,230,1273
383,285,668
596,860,1456
1213,799,2012
1050,151,1201
311,281,592
599,817,1416
1176,1119,2295
1040,179,1219
329,260,589
568,583,1151
933,645,1578
1041,170,1211
321,248,569
557,527,1084
878,593,1471
1050,181,1231
341,214,555
532,624,1156
983,693,1676
1034,193,1227
337,308,645
610,757,1367
1101,945,2046
1035,234,1269
379,299,678
602,599,1201
943,675,1618
1038,129,1167
277,153,430
459,598,1057
945,642,1587
1031,221,1252
362,232,594
531,778,1309
1119,851,1970
1038,151,1189
299,243,542
549,573,1122
921,565,1486
1038,174,1212
322,309,631
615,795,1410
1143,728,1871
1033,168,1201
311,200,511
501,522,1023
864,700,1564
1026,129,1155
265,188,453
482,536,1018
871,490,1361
1041,188,1229
339,205,544
514,665,1179
1015,932,1947
1035,151,1186
296,255,551
558,561,1119
905,668,1573
1031,221,1252
362,254,616
553,655,1208
995,818,1813
1034,151,1185
295,301,596
603,622,1225
965,850,1815
1035,203,1238
348,277,625
580,754,1334
1098,988,2086
1038,200,1238
348,295,643
601,600,1201
948,794,1742
1033,151,1184
294,241,535
542,530,1072
873,610,1483
1032,151,1183
293,231,524
531,549,1080
891,555,1446
1033,139,1172
282,179,461
480,554,1034
896,645,1541
1032,201,1233
343,233,576
533,804,1337
1145,827,1972
1041,138,1179
289,204,493
513,627,1140
977,657,1634
1031,151,1182
292,256,548
555,701,1256
1041,578,1619
1037,129,1166
276,141,417
446,606,1052
953,766,1719
1038,151,1189
299,226,525
532,530,1062
878,559,1437
1038,200,1238
348,278,626
584,639,1223
987,712,1699
1036,179,1215
325,277,602
581,573,1154
918,575,1493
1043,190,1233
343,225,568
536,719,1255
1071,702,1773
1036,179,1215
325,249,574
553,565,1118
911,644,1555
1036,139,1175
285,167,452
471,753,1224
1099,1571,2670
1039,151,1190
300,254,554
561,520,1081
869,974,1843
1036,143,1179
289,258,547
562,581,1143
927,1155,2082
1031,174,1205
315,295,610
594,669,1263
1010,1211,2221
1032,151,1183
293,231,524
531,557,1088
898,628,1526
1030,151,1181
291,222,513
520,490,1010
830,933,1763
1038,177,1215
325,299,624
605,529,1134
876,544,1420
1033,174,1207
317,306,623
607,655,1262
997,883,1880
1040,179,1219
329,310,639
618,650,1268
1000,744,1744
1038,145,1183
293,177,470
483,442,925
789,561,1350
1034,152,1186
296,187,483
489,645,1134
988,937,1925
1034,201,1235
345,275,620
577,633,1210
976,836,1812
1031,151,1182
292,247,539
546,522,1068
862,1000,1862
1033,151,1184
294,251,545
552,554,1106
896,676,1572
1029,151,1180
290,277,567
574,640,1214
979,1391,2370
1033,168,1201
311,180,491
481,683,1164
1025,862,1887
1031,168,1199
309,213,522
512,596,1108
937,675,1612
1032,174,1206
316,307,623
607,713,1320
1055,1423,2478
1033,203,1236
346,238,584
539,648,1187
990,535,1525
1035,195,1230
340,223,563
526,596,1122
940,612,1552
1037,143,1180
290,223,513
528,534,1062
881,709,1590
1035,168,1203
313,206,519
509,632,1141
976,687,1663
1033,168,1201
311,210,521
511,580,1091
922,596,1518
1038,200,1238
348,341,689
647,624,1271
971,570,1541
1033,174,1207
317,286,603
587,601,1188
944,1229,2173
1043,179,1222
332,315,647
626,611,1237
964,669,1633
1038,166,1204
314,279,593
585,550,1135
897,743,1640
1047,174,1221
331,308,639
623,835,1458
1192,1109,2301
1040,185,1225
335,303,638
611,641,1252
991,656,1647
1036,179,1215
325,324,649
628,673,1301
1019,802,1821
1033,254,1287
397,264,661
565,841,1406
1184,790,1974
1038,151,1189
299,257,556
563,657,1220
1004,1197,2201
1035,168,1203
313,203,516
506,607,1113
951,709,1660
1035,168,1203
313,183,496
486,652,1138
996,725,1721
1031,152,1183
293,181,474
480,515,995
855,685,1540
1033,203,1236
346,229,575
530,652,1182
994,521,1515
1041,170,1211
321,279,600
588,680,1268
1031,965,1996
1033,151,1184
294,254,548
555,570,1125
913,666,1579
1035,157,1192
302,219,521
522,675,1197
1019,732,1751
1038,208,1246
356,345,701
651,680,1331
1027,999,2026
1038,172,1210
320,289,609
595,715,1310
1063,924,1987
1035,119,1154
264,185,449
488,625,1113
970,593,1563
1037,138,1175
285,230,515
535,558,1093
905,627,1532
1031,170,1201
311,178,489
477,684,1161
1025,708,1733
1036,166,1202
312,260,572
564,652,1216
997,912,1909
1031,151,1182
292,247,539
546,533,1079
874,1043,1917
1040,201,1241
351,258,609
566,650,1216
1000,641,1641
1031,186,1217
327,228,555
527,603,1130
943,693,1636
1034,151,1185
295,267,562
569,495,1064
839,943,1782
1032,151,1183
293,259,552
559,568,1127
910,661,1571
1030,168,1198
308,205,513
503,743,1246
1083,702,1785
1034,178,1212
322,280,602
582,607,1189
951,674,1625
1026,151,1177
287,269,556
563,658,1221
994,791,1785
1035,152,1187
297,171,468
474,538,1012
883,564,1447
1037,186,1223
333,213,546
518,532,1050
878,664,1542
1036,186,1222
332,218,550
522,754,1276
1099,710,1809
1036,139,1175
285,185,470
489,578,1067
923,701,1624
1030,168,1198
308,209,517
507,651,1158
991,667,1658
1026,145,1171
281,184,465
478,597,1075
933,709,1642
1026,151,1177
287,251,538
545,529,1074
864,642,1506
1032,172,1204
314,292,606
592,592,1184
933,633,1566
1037,203,1240
350,247,597
552,764,1316
1110,811,1921
1030,151,1181
291,221,512
519,572,1091
911,492,1403
1035,168,1203
313,196,509
499,919,1418
1264,865,2129
1034,151,1185
295,235,530
537,549,1086
893,671,1564
1031,186,1217
327,224,551
523,816,1339
1156,726,1882
1035,203,1238
348,267,615
570,462,1032
806,584,1390
