prompt_tokens,completion_tokens,total_tokens
978,137,1115
225,135,360
381,698,1079
986,707,1693
979,115,1094
204,117,321
364,602,966
890,736,1626
1041,137,1178
288,155,443
464,740,1204
1091,1176,2267
990,115,1105
215,115,330
373,598,971
898,710,1608
1001,137,1138
248,153,401
422,505,927
816,692,1508
996,137,1133
243,149,392
413,558,971
864,1271,2135
981,80,1061
171,75,246
324,540,864
831,596,1427
985,137,1122
232,135,367
388,557,945
852,720,1572
985,115,1100
210,125,335
378,514,892
808,522,1330
1001,137,1138
248,135,383
404,631,1035
942,1295,2237
1013,137,1150
260,153,413
434,629,1063
952,841,1793
983,115,1098
208,113,321
364,593,957
886,749,1635
1033,137,1170
280,137,417
438,535,973
878,588,1466
1056,137,1193
303,154,457
478,828,1306
1194,960,2154
1009,137,1146
256,150,406
427,589,1016
908,781,1689
983,115,1098
208,114,322
365,689,1054
982,794,1776
983,115,1098
208,129,337
380,523,903
816,677,1493
980,137,1117
227,136,363
384,611,995
901,711,1612
987,115,1102
212,110,322
365,649,1014
946,616,1562
1021,137,1158
268,159,427
448,602,1050
933,695,1628
983,115,1098
208,126,334
377,676,1053
969,848,1817
981,115,1096
206,109,315
358,545,903
836,651,1487
1012,115,1127
237,147,384
427,815,1242
1137,848,1985
987,115,1102
212,121,333
376,526,902
823,654,1477
984,115,1099
209,114,323
366,486,852
780,527,1307
983,115,1098
208,123,331
374,632,1006
925,732,1657
980,115,1095
205,162,367
410,609,1019
899,703,1602
986,115,1101
211,109,320
363,616,979
912,949,1861
1067,137,1204
314,161,475
496,572,1068
949,1001,1950
983,115,1098
208,130,338
381,571,952
864,553,1417
1029,137,1166
276,188,464
485,786,1271
1125,1201,2326
981,80,1061
171,94,265
343,491,834
781,548,1329
994,137,1131
241,137,378
399,567,966
870,618,1488
987,115,1102
212,128,340
383,504,887
801,533,1334
979,115,1094
204,111,315
358,605,963
894,727,1621
1003,115,1118
228,128,356
399,515,914
828,1033,1861
980,115,1095
205,128,333
376,626,1002
916,792,1708
997,115,1112
222,150,372
415,597,1012
904,761,1665
984,115,1099
209,126,335
378,556,934
850,688,1538
1016,137,1153
263,176,439
460,746,1206
1071,1191,2262
983,115,1098
208,112,320
363,639,1002
932,835,1767
1025,137,1162
272,176,448
469,717,1186
1052,774,1826
979,115,1094
204,125,329
372,504,876
793,556,1349
981,115,1096
206,108,314
357,485,842
776,453,1229
995,137,1132
242,149,391
412,709,1121
1014,763,1777
981,80,1061
171,90,261
339,530,869
821,604,1425
986,115,1101
211,116,327
370,800,1170
1096,1001,2097
1059,115,1174
284,154,438
481,683,1164
1052,852,1904
989,115,1104
214,115,329
372,627,999
926,781,1707
987,115,1102
212,112,324
367,491,858
788,503,1291
983,115,1098
208,124,332
375,517,892
809,581,1390
989,115,1104
214,110,324
367,545,912
844,789,1633
981,115,1096
206,112,318
361,511,872
802,616,1418
984,115,1099
209,126,335
378,507,885
801,634,1435
1069,137,1206
316,180,496
517,993,1510
1372,1146,2518
981,115,1096
206,132,338
381,622,1003
913,874,1787
983,115,1098
208,110,318
361,596,957
889,626,1515
979,115,1094
204,111,315
358,527,885
816,570,1386
991,115,1106
216,112,328
371,618,989
919,622,1541
981,115,1096
206,112,318
361,657,1018
948,1286,2234
987,115,1102
212,113,325
368,482,850
778,438,1216
1013,80,1093
203,103,306
384,493,877
816,912,1728
1000,137,1137
247,154,401
422,580,1002
890,698,1588
987,137,1124
234,147,381
402,757,1159
1054,862,1916
987,115,1102
212,115,327
370,552,922
849,1118,1967
988,80,1068
178,77,255
333,538,871
836,529,1365
1031,137,1168
278,142,420
441,514,955
855,863,1718
994,137,1131
241,154,395
416,723,1139
1027,899,1926
980,115,1095
205,124,329
372,528,900
818,661,1479
1003,115,1118
228,120,348
391,558,949
871,1304,2175
1007,137,1144
254,144,398
419,570,989
887,763,1650
1032,137,1169
279,152,431
452,775,1227
1116,865,1981
988,115,1103
213,117,330
373,611,984
909,699,1608
1040,137,1177
287,179,466
487,819,1306
1169,912,2081
1075,137,1212
322,159,481
502,619,1121
1004,912,1916
1033,154,1187
297,172,469
473,618,1091
961,905,1866
990,115,1105
215,116,331
374,562,936
862,755,1617
986,115,1101
211,110,321
364,647,1011
943,770,1713
1025,80,1105
215,103,318
396,646,1042
981,817,1798
1011,137,1148
258,173,431
452,581,1033
901,1125,2026
1003,115,1118
228,154,382
425,635,1060
948,863,1811
1003,137,1140
250,135,385
406,759,1165
1071,905,1976
985,80,1065
175,79,254
332,520,852
815,493,1308
980,115,1095
205,121,326
369,476,845
765,728,1493
986,115,1101
211,109,320
363,643,1006
939,757,1696
984,137,1121
231,137,368
389,557,946
851,653,1504
981,80,1061
171,84,255
333,635,968
926,760,1686
1034,137,1171
281,166,447
468,632,1100
976,1532,2508
1062,137,1199
309,153,462
483,747,1230
1119,885,2004
987,137,1124
234,136,370
391,576,967
873,654,1527
1001,115,1116
226,130,356
399,626,1025
937,1234,2171
1002,96,1098
208,120,328
390,525,915
837,584,1421
985,115,1100
210,112,322
365,688,1053
983,1180,2163
986,115,1101
211,115,326
369,687,1056
983,823,1806
1020,137,1157
267,176,443
464,775,1239
1104,834,1938
1062,137,1199
309,162,471
492,626,1118
998,667,1665
981,115,1096
206,115,321
364,678,1042
969,810,1779
979,115,1094
204,123,327
370,554,924
842,1045,1887
980,115,1095
205,121,326
369,464,833
754,565,1319
998,137,1135
245,134,379
400,574,974
882,724,1606
983,115,1098
208,113,321
364,782,1146
1075,931,2006
981,80,1061
171,79,250
328,544,872
834,535,1369
1050,137,1187
297,181,478
499,612,1111
972,1143,2115
981,115,1096
206,127,333
376,564,940
855,527,1382
989,115,1104
214,116,330
373,661,1034
960,796,1756
985,80,1065
175,93,268
346,486,832
781,559,1340
1013,115,1128
238,128,366
409,484,893
806,596,1402
983,115,1098
208,128,336
379,517,896
810,679,1489
981,115,1096
206,126,332
375,598,973
889,726,1615
1069,154,1223
333,168,501
505,755,1260
1134,996,2130
982,115,1097
207,113,320
363,616,979
908,745,1653
1015,137,1152
262,177,439
460,714,1174
1038,1339,2377
1068,137,1205
315,163,478
499,633,1132
1011,923,1934
981,115,1096
206,130,336
379,481,860
772,583,1355
993,115,1108
218,122,340
383,528,911
831,655,1486
982,80,1062
172,81,253
331,500,831
792,551,1343
1008,115,1123
233,133,366
409,497,906
815,1032,1847
1010,80,1090
200,99,299
377,675,1052
995,1086,2081
991,96,1087
197,119,316
378,760,1138
1061,908,1969
989,115,1104
214,116,330
373,542,915
841,647,1488
1022,115,1137
247,154,401
444,833,1277
1164,941,2105
996,115,1111
221,144,365
408,625,1033
931,793,1724
1045,137,1182
292,140,432
453,544,997
899,656,1555
980,137,1117
227,130,357
378,675,1053
965,681,1646
1007,137,1144
254,171,425
446,550,996
867,1884,2751
1002,96,1098
208,124,332
394,514,908
826,1093,1919
986,115,1101
211,115,326
369,509,878
804,572,1376
1020,137,1157
267,135,402
423,510,933
839,1046,1885
979,137,1116
226,135,361
382,651,1033
940,584,1524
981,115,1096
206,132,338
381,629,1010
919,740,1659
992,137,1129
239,147,386
407,616,1023
918,874,1792
1012,137,1149
259,148,407
428,659,1087
981,973,1954
982,137,1119
229,144,373
394,558,952
849,702,1551
990,115,1105
215,112,327
370,595,965
895,760,1655
982,115,1097
207,112,319
362,573,935
865,719,1584
1027,153,1180
290,182,472
477,699,1176
1036,929,1965
984,115,1099
209,127,336
379,567,946
860,1675,2535
995,115,1110
220,116,336
379,458,837
763,465,1228
1000,115,1115
225,117,342
385,680,1065
990,863,1853
1053,137,1190
300,164,464
485,628,1113
991,1203,2194
1013,137,1150
260,168,428
449,600,1049
923,715,1638
980,80,1060
170,90,260
338,572,910
862,513,1375
987,115,1102
212,117,329
372,562,934
858,672,1530
981,115,1096
206,121,327
370,631,1001
922,803,1725
989,115,1104
214,109,323
366,534,900
833,544,1377
1051,137,1188
298,162,460
481,547,1028
908,1288,2196
989,115,1104
214,112,326
369,443,812
742,410,1152
979,115,1094
204,124,328
371,767,1138
1056,770,1826
1021,115,1136
246,145,391
434,657,1091
987,2684,3671
983,115,1098
208,112,320
363,547,910
840,776,1616
984,115,1099
209,126,335
378,570,948
864,702,1566
983,115,1098
208,113,321
364,500,864
793,581,1374
985,137,1122
232,131,363
384,583,967
878,718,1596
1012,137,1149
259,150,409
430,677,1107
999,908,1907
1011,115,1126
236,130,366
409,495,904
816,590,1406
1014,137,1151
261,158,419
440,551,991
874,785,1659
985,80,1065
175,92,267
345,589,934
884,595,1479
990,115,1105
215,116,331
374,757,1131
1057,959,2016
984,80,1064
174,93,267
345,697,1042
991,1256,2247
996,137,1133
243,135,378
399,728,1127
1034,977,2011
1023,137,1160
270,150,420
441,612,1053
944,960,1904
979,115,1094
204,121,325
368,552,920
840,738,1578
988,115,1103
213,131,344
387,655,1042
953,761,1714
985,137,1122
232,142,374
395,649,1044
944,779,1723
980,115,1095
205,122,327
370,497,867
787,601,1388
996,115,1111
221,127,348
391,612,1003
918,659,1577
985,115,1100
210,112,322
365,543,908
838,607,1445
1011,137,1148
258,170,428
449,599,1048
920,1127,2047
978,115,1093
203,131,334
377,641,1018
927,620,1547
991,115,1106
216,116,332
375,617,992
918,745,1663
1026,137,1163
273,153,426
447,470,917
806,864,1670
1005,115,1120
230,134,364
407,615,1022
930,992,1922
989,115,1104
214,113,327
370,541,911
840,697,1537
1005,115,1120
230,154,384
427,686,1113
1001,1233,2234
1067,137,1204
314,163,477
498,548,1046
924,1409,2333
1007,137,1144
254,152,406
427,599,1026
916,725,1641
985,115,1100
210,125,335
378,557,935
852,660,1512
980,115,1095
205,110,315
358,515,873
804,480,1284
1001,137,1138
248,149,397
418,686,1104
997,913,1910
982,80,1062
172,97,269
347,458,805
750,558,1308
993,115,1108
218,126,344
387,732,1119
1035,942,1977
986,115,1101
211,111,322
365,501,866
796,546,1342
983,115,1098
208,112,320
363,633,996
925,724,1649
986,115,1101
211,117,328
371,566,937
862,559,1421
1071,137,1208
318,168,486
507,710,1217
1091,1107,2198
984,80,1064
174,77,251
329,582,911
876,667,1543
1039,137,1176
286,151,437
458,791,1249
1140,880,2020
978,115,1093
203,111,314
357,749,1106
1036,720,1756
978,115,1093
203,137,340
383,550,933
838,769,1607
1054,137,1191
301,152,453
474,715,1189
1079,1554,2633
983,115,1098
208,129,337
380,493,873
786,676,1462
986,115,1101
211,117,328
371,534,905
830,659,1489
985,115,1100
210,117,327
370,502,872
797,629,1426
978,137,1115
225,154,379
400,612,1012
899,662,1561
1007,137,1144
254,166,420
441,805,1246
1122,994,2116
1040,137,1177
287,155,442
463,538,1001
888,882,1770
979,115,1094
204,123,327
370,521,891
810,1032,1842
979,115,1094
204,137,341
384,560,944
848,707,1555
1049,137,1186
296,170,466
487,776,1263
1134,1399,2533
1024,137,1161
271,144,415
436,550,986
884,934,1818
1069,174,1243
353,181,534
518,687,1205
1065,1334,2399
993,137,1130
240,147,387
408,491,899
794,532,1326
981,115,1096
206,125,331
374,577,951
868,719,1587
983,115,1098
208,111,319
362,555,917
848,610,1458
991,96,1087
197,112,309
371,564,935
864,1222,2086
995,137,1132
242,150,392
413,613,1026
918,781,1699
988,115,1103
213,112,325
368,519,887
817,544,1361
995,115,1110
220,133,353
396,484,880
788,614,1402
991,129,1120
230,155,385
414,558,972
859,699,1558
1031,137,1168
278,160,438
459,543,1002
995,80,1075
185,78,263
341,469,810
773,568,1341
988,115,1103
213,114,327
370,542,912
839,540,1379
995,137,1132
242,137,379
400,514,914
818,656,1474
991,115,1106
216,135,351
394,494,888
795,608,1403
1031,137,1168
278,181,459
480,622,1102
995,137,1132
242,150,392
413,754,1167
1059,983,2042
988,115,1103
213,112,325
368,546,914
844,819,1663
995,115,1110
220,134,354
397,656,1053
961,832,1793
991,115,1106
216,142,358
401,629,1030
930,746,1676
1031,137,1168
278,164,442
463,592,1055
933,785,1718
988,115,1103
213,118,331
374,551,925
849,710,1559
981,80,1061
171,97,268
346,476,822
767,545,1312
1072,137,1209
319,154,473
494,661,1155
1042,708,1750
992,137,1129
239,134,373
394,675,1069
977,834,1811
985,137,1122
232,143,375
396,578,974
873,681,1554
1033,137,1170
280,153,433
454,552,1006
895,838,1733
984,115,1099
209,128,337
380,652,1032
946,900,1846
979,170,1149
259,177,436
424,655,1079
944,751,1695
979,137,1116
226,161,387
408,516,924
805,546,1351
993,115,1108
218,127,345
388,531,919
834,655,1489
978,137,1115
225,155,380
401,632,1033
919,738,1657
1007,115,1122
232,113,345
388,644,1032
961,877,1838
996,137,1133
243,135,378
399,548,947
853,649,1502
981,115,1096
206,134,340
383,544,927
835,754,1589
980,173,1153
263,172,435
420,726,1146
1016,902,1918
1069,137,1206
316,139,455
476,591,1067
969,701,1670
1012,137,1149
259,159,418
439,791,1230
1113,816,1929
1073,137,1210
320,176,496
517,794,1311
1069,154,1223
333,158,491
495,664,1159
1043,1527,2570
1012,137,1149
259,158,417
438,726,1164
1048,1311,2359
1073,137,1210
320,166,486
507,602,1109
984,2451,3435
978,115,1093
203,111,314
357,671,1028
959,606,1565
988,115,1103
213,113,326
369,556,925
854,1080,1934
996,115,1111
221,129,350
393,490,883
795,542,1337
993,115,1108
218,113,331
374,622,996
925,824,1749
996,115,1111
221,127,348
391,563,954
868,622,1490
995,80,1075
185,101,286
364,445,809
750,950,1700
985,115,1100
210,128,338
381,552,933
847,599,1446
1037,137,1174
284,151,435
456,593,1049
940,813,1753
993,115,1108
218,134,352
395,513,908
816,678,1494
1073,137,1210
320,176,496
517,599,1116
1037,115,1152
262,149,411
454,916,1370
1263,1001,2264
993,137,1130
240,145,385
406,553,959
856,754,1610
1073,137,1210
320,176,496
517,795,1312
1177,958,2135
982,115,1097
207,120,327
370,473,843
765,624,1389
991,115,1106
216,113,329
372,468,840
769,457,1226
1002,137,1139
249,147,396
417,541,958
853,630,1483
985,115,1100
210,125,335
378,557,935
852,610,1462
986,115,1101
211,112,323
366,763,1129
1059,961,2020
1002,96,1098
208,120,328
390,545,935
857,642,1499
979,115,1094
204,143,347
390,439,829
728,469,1197
1001,137,1138
248,166,414
435,510,945
821,660,1481
1022,137,1159
269,190,459
480,771,1251
1103,1679,2782
995,115,1110
220,133,353
396,505,901
810,592,1402
982,115,1097
207,111,318
361,588,949
880,722,1602
981,137,1118
228,135,363
384,742,1126
1001,115,1116
226,140,366
409,696,1105
1007,1133,2140
1022,115,1137
247,137,384
427,829,1256
1161,901,2062
995,115,1110
220,115,335
378,475,853
780,586,1366
982,115,1097
207,127,334
377,640,1017
932,653,1585
981,115,1096
206,108,314
357,519,876
810,491,1301
