prompt_tokens,completion_tokens,total_tokens
1038,203,1241
351,180,531
486,606,1092
954,1090,2044
1031,152,1183
293,142,435
441,646,1087
987,701,1688
1094,170,1264
374,155,529
517,800,1317
1204,922,2126
1121,170,1291
401,170,571
559,1131,1690
1562,1065,2627
1105,186,1291
401,190,591
563,772,1335
1187,1359,2546
1043,203,1246
356,192,548
503,939,1442
1292,854,2146
1101,170,1271
381,176,557
545,561,1106
971,942,1913
1107,170,1277
387,179,566
554,885,1439
1302,812,2114
1075,170,1245
355,164,519
507,519,1026
904,728,1632
1086,170,1256
366,165,531
519,632,1151
1027,836,1863
1099,127,1226
336,142,478
509,663,1172
1072,1060,2132
1070,131,1201
311,123,434
461,607,1068
987,1042,2029
1113,170,1283
393,154,547
535,592,1127
1014,1017,2031
1079,170,1249
359,184,543
531,894,1425
1282,899,2181
1143,168,1311
421,157,578
568,615,1183
1067,972,2039
1145,154,1299
409,172,581
585,570,1155
1025,1196,2221
1069,203,1272
382,194,576
531,585,1116
963,1161,2124
1077,170,1247
357,180,537
525,992,1517
1379,984,2363
1073,170,1243
353,186,539
527,828,1355
1210,887,2097
1097,170,1267
377,157,534
522,577,1099
984,994,1978
1156,170,1326
436,170,606
594,686,1280
1151,1481,2632
1070,164,1234
344,160,504
498,641,1139
1020,845,1865
1094,153,1247
357,146,503
508,1105,1613
1509,1114,2623
1119,170,1289
399,187,586
574,809,1383
1238,758,1996
1130,153,1283
393,150,543
548,524,1072
963,1220,2183
1072,198,1270
380,211,591
551,690,1241
1072,890,1962
1074,144,1218
328,171,499
513,541,1054
924,762,1686
1094,170,1264
374,164,538
526,745,1271
1149,684,1833
1168,186,1354
464,241,705
677,994,1671
1472,1072,2544
1083,170,1253
363,160,523
511,601,1112
994,1026,2020
1115,170,1285
395,186,581
569,563,1132
988,795,1783
1071,170,1241
351,163,514
502,619,1121
1000,546,1546
1162,166,1328
438,157,595
587,985,1572
1457,1132,2589
1067,170,1237
347,166,513
501,530,1031
907,1019,1926
1125,149,1274
384,162,546
555,627,1182
1062,1152,2214
1076,166,1242
352,180,532
524,837,1361
1222,744,1966
1106,149,1255
365,154,519
528,742,1270
1158,662,1820
1100,187,1287
397,185,582
553,818,1371
1228,845,2073
1072,203,1275
385,199,584
539,773,1312
1155,993,2148
1107,170,1277
387,171,558
546,561,1107
978,803,1781
1116,170,1286
396,183,579
567,646,1213
1071,998,2069
1088,154,1242
352,151,503
507,687,1194
1085,651,1736
1082,203,1285
395,190,585
540,660,1200
1052,1056,2108
1148,170,1318
428,144,572
560,834,1394
1291,1038,2329
1132,186,1318
428,188,616
588,913,1501
1354,1067,2421
1054,170,1224
334,179,513
501,480,981
843,730,1573
1073,203,1276
386,181,567
522,502,1024
885,856,1741
1056,170,1226
336,188,524
512,621,1133
986,989,1975
1043,203,1246
356,188,544
499,651,1150
1004,575,1579
1067,170,1237
347,164,511
499,790,1289
1167,869,2036
1056,203,1259
369,175,544
499,907,1406
1272,837,2109
1042,203,1245
355,209,564
519,728,1247
1079,1208,2287
1048,203,1251
361,191,552
507,625,1132
982,891,1873
1135,170,1305
415,159,574
562,587,1149
1032,1025,2057
1084,170,1254
364,159,523
511,595,1106
989,534,1523
1087,153,1240
350,142,492
497,533,1030
930,893,1823
1055,170,1225
335,164,499
487,907,1394
1272,913,2185
1081,203,1284
394,180,574
529,959,1488
1350,899,2249
1167,170,1337
447,153,600
588,701,1289
1177,1207,2384
1101,170,1271
381,155,536
524,817,1341
1227,716,1943
1127,170,1297
407,172,579
567,615,1182
1052,1273,2325
1034,170,1204
314,170,484
472,691,1163
1035,1114,2149
1103,170,1273
383,170,553
541,642,1183
1054,1198,2252
1102,185,1287
397,172,569
542,1020,1562
1432,949,2381
1079,203,1282
392,183,575
530,577,1107
966,1135,2101
1110,170,1280
390,162,552
540,684,1224
1104,831,1935
1112,170,1282
392,169,561
549,847,1396
1269,763,2032
1070,170,1240
350,171,521
509,529,1038
909,764,1673
1128,203,1331
441,185,626
581,1132,1713
1570,1393,2963
1109,170,1279
389,165,554
542,1054,1596
1472,979,2451
1058,170,1228
338,157,495
483,593,1076
960,877,1837
1080,203,1283
393,187,580
535,583,1118
973,860,1833
1083,170,1253
363,194,557
545,641,1186
1033,985,2018
1068,170,1238
348,170,518
506,699,1205
1076,1134,2210
1117,143,1260
371,226,597
612,928,1540
1355,851,2206
1143,153,1296
406,154,560
565,791,1356
1243,710,1953
1124,170,1294
404,161,565
553,537,1090
971,826,1797
1090,170,1260
370,165,535
523,595,1118
995,944,1939
1067,170,1237
347,164,511
499,810,1309
1187,894,2081
1088,170,1258
368,163,531
519,690,1209
1088,722,1810
1091,148,1239
349,156,505
515,570,1085
971,533,1504
1164,170,1334
444,215,659
647,569,1216
1043,2721,3764
1093,166,1259
369,166,535
527,707,1234
1109,1059,2168
1082,203,1285
395,164,559
514,816,1330
1208,850,2058
1131,199,1330
440,200,640
599,633,1232
1073,667,1740
1101,170,1271
381,153,534
522,931,1453
1341,878,2219
1132,170,1302
412,187,599
587,580,1167
1022,982,2004
1097,170,1267
377,173,550
538,617,1155
1024,925,1949
1109,170,1279
389,164,553
541,1026,1567
1445,1107,2552
1057,203,1260
370,192,562
517,646,1163
1013,1151,2164
1087,170,1257
367,163,530
518,888,1406
1284,1065,2349
1101,170,1271
381,160,541
529,738,1267
1148,786,1934
1092,153,1245
355,149,504
509,613,1122
1015,1257,2272
1064,203,1267
377,193,570
525,629,1154
1003,1024,2027
1129,127,1256
366,129,495
526,538,1064
977,923,1900
1119,170,1289
399,149,548
536,740,1276
1169,1077,2246
1094,164,1258
368,168,536
530,780,1310
1184,1385,2569
1163,170,1333
443,181,624
612,782,1394
