prompt_tokens,completion_tokens,total_tokens
1170,205,1375
485,211,696
649,741,1390
1221,1357,2578
1092,171,1263
373,210,583
570,591,1161
992,697,1689
1099,166,1265
375,183,558
550,530,1080
939,790,1729
1053,205,1258
368,225,593
546,597,1143
960,821,1781
1126,205,1331
441,219,660
613,658,1271
1093,1167,2260
1142,205,1347
457,222,679
632,640,1272
1092,1238,2330
1078,188,1266
376,190,566
536,586,1122
974,801,1775
1155,170,1325
435,167,602
590,616,1206
1080,1101,2181
1098,166,1264
374,168,542
534,704,1238
1112,916,2028
1105,205,1310
420,221,641
594,864,1458
1279,1219,2498
1157,205,1362
472,228,700
653,630,1283
1097,1195,2292
1099,188,1287
397,198,595
565,581,1146
989,684,1673
1119,166,1285
395,177,572
564,624,1188
1053,1154,2207
1115,166,1281
391,168,559
551,606,1157
1031,810,1841
1110,205,1315
425,220,645
598,645,1243
1065,934,1999
1115,166,1281
391,189,580
572,742,1314
1167,1168,2335
1144,205,1349
459,209,668
621,576,1197
1030,1055,2085
1209,170,1379
489,169,658
646,686,1332
1205,1356,2561
1126,188,1314
424,224,648
618,702,1320
1138,1107,2245
1131,170,1301
411,200,611
599,897,1496
1337,903,2240
1118,166,1284
394,185,579
571,647,1218
1075,960,2035
1183,205,1388
498,217,715
668,596,1264
1088,1310,2398
1131,205,1336
446,218,664
617,657,1274
1098,1239,2337
1179,170,1349
459,177,636
624,544,1168
1032,1165,2197
1183,188,1371
481,198,679
649,643,1292
1136,1393,2529
1118,188,1306
416,203,619
589,601,1190
1028,835,1863
1079,188,1267
377,210,587
557,595,1152
984,892,1876
1131,166,1297
407,181,588
580,708,1288
1148,1245,2393
1131,205,1336
446,200,646
599,642,1241
1082,947,2029
1098,188,1286
396,211,607
577,607,1184
1015,1091,2106
1118,171,1289
399,253,652
639,860,1499
1287,806,2093
1117,205,1322
432,225,657
610,638,1248
1065,898,1963
1113,188,1301
411,202,613
583,886,1469
1309,1405,2714
1119,166,1285
395,185,580
572,683,1255
1112,920,2032
1130,205,1335
445,224,669
622,718,1340
1158,1307,2465
1102,188,1290
400,209,609
579,626,1205
1038,1129,2167
1157,188,1345
455,197,652
622,744,1366
1211,1521,2732
1079,188,1267
377,199,576
546,553,1099
942,804,1746
1102,221,1323
433,240,673
610,650,1260
1062,1051,2113
1052,205,1257
367,219,586
539,704,1243
1066,935,2001
1144,170,1314
424,190,614
602,571,1173
1025,1160,2185
1105,188,1293
403,214,617
587,807,1394
1222,1130,2352
1100,166,1266
376,180,556
548,613,1161
1023,827,1850
1053,205,1258
368,228,596
549,597,1146
960,877,1837
1079,166,1245
355,167,522
514,685,1199
1074,923,1997
1115,170,1285
395,190,585
573,620,1193
1044,878,1922
1119,166,1285
395,180,575
567,693,1260
1122,982,2104
1092,188,1280
390,213,603
573,571,1144
973,877,1850
1144,166,1310
420,177,597
589,652,1241
1105,1279,2384
1144,205,1349
459,212,671
624,657,1281
1111,1126,2237
1180,170,1350
460,178,638
626,517,1143
1007,1257,2264
1144,149,1293
403,297,700
709,462,1171
916,594,1510
1131,205,1336
446,229,675
628,671,1299
1112,1217,2329
1131,188,1319
429,198,627
597,613,1210
1054,1098,2152
1131,170,1301
411,197,608
596,638,1234
1079,1159,2238
1053,205,1258
368,225,593
546,676,1222
1039,885,1924
1092,188,1280
390,203,593
563,593,1156
995,1014,2009
1144,205,1349
459,221,680
633,603,1236
1057,1355,2412
1118,170,1288
398,205,603
591,567,1158
995,959,1954
1113,188,1301
411,203,614
584,715,1299
1138,1078,2216
1131,188,1319
429,203,632
602,632,1234
1072,1078,2150
1103,205,1308
418,215,633
586,604,1190
1017,856,1873
1099,166,1265
375,206,581
573,688,1261
1097,911,2008
1118,205,1323
433,213,646
599,609,1208
1037,1085,2122
1079,188,1267
377,195,572
542,658,1200
1047,1056,2103
1119,166,1285
395,176,571
563,594,1157
1023,789,1812
1111,187,1298
408,210,618
589,674,1263
1094,1072,2166
1117,205,1322
432,219,651
604,622,1226
1049,1019,2068
1053,149,1202
312,198,510
519,1204,1723
1567,1446,3013
1102,166,1268
378,173,551
543,548,1091
960,768,1728
1091,205,1296
406,231,637
590,684,1274
1085,890,1975
1119,166,1285
395,179,574
566,575,1141
1004,850,1854
1100,171,1271
381,223,604
591,534,1125
944,876,1820
1053,205,1258
368,229,597
550,651,1201
1014,871,1885
1053,205,1258
368,211,579
532,636,1168
999,696,1695
1053,205,1258
368,215,583
536,629,1165
991,857,1848
1101,166,1267
377,190,567
559,816,1375
1226,1244,2470
1105,188,1293
403,192,595
565,636,1201
1050,928,1978
1101,166,1267
377,187,564
556,685,1241
1096,1138,2234
1053,205,1258
368,224,592
545,616,1161
979,854,1833
1111,205,1316
426,219,645
598,696,1294
1116,1072,2188
1183,166,1349
459,150,609
601,588,1189
1080,1027,2107
1131,205,1336
446,209,655
608,737,1345
1178,1179,2357
1079,171,1250
360,320,680
667,797,1464
1186,718,1904
1086,188,1274
384,209,593
563,627,1190
1023,961,1984
1052,205,1257
367,232,599
552,683,1235
1045,975,2020
1102,171,1273
383,324,707
694,623,1317
1034,930,1964
1100,166,1266
376,175,551
543,584,1127
994,796,1790
1170,205,1375
485,211,696
649,581,1230
1060,678,1738
1118,207,1325
435,223,658
609,652,1261
1079,952,2031
1128,205,1333
443,238,681
634,709,1343
1147,1207,2354
1144,188,1332
442,236,678
648,851,1499
1304,1234,2538
1077,171,1248
358,249,607
594,981,1575
1368,917,2285
1100,205,1305
415,218,633
586,607,1193
1017,898,1915
1131,188,1319
429,199,628
598,764,1362
1205,1115,2320
1119,166,1285
395,168,563
555,602,1157
1031,890,1921
