prompt_tokens,completion_tokens,total_tokens
993,205,1198
308,241,549
502,579,1081
882,841,1723
991,166,1157
267,185,452
444,680,1124
981,946,1927
991,187,1178
288,231,519
490,620,1110
920,766,1686
989,166,1155
265,180,445
437,670,1107
968,935,1903
993,188,1181
291,216,507
477,698,1175
1001,797,1798
989,188,1177
287,205,492
462,761,1223
1060,1445,2505
993,167,1160
270,189,459
450,675,1125
977,734,1711
995,188,1183
293,204,497
467,617,1084
921,893,1814
1001,188,1189
299,197,496
466,570,1036
880,872,1752
987,166,1153
263,188,451
443,551,994
847,854,1701
993,188,1181
291,208,499
469,732,1201
1035,1026,2061
991,187,1178
288,221,509
480,858,1338
1158,1303,2461
1005,188,1193
303,192,495
465,773,1238
1088,1237,2325
985,205,1190
300,217,517
470,746,1216
1041,911,1952
983,205,1188
298,236,534
487,773,1260
1066,829,1895
987,188,1175
285,195,480
450,620,1070
917,771,1688
987,188,1175
285,205,490
460,894,1354
1191,961,2152
991,188,1179
289,205,494
464,593,1057
894,836,1730
999,188,1187
297,199,496
466,644,1110
953,1000,1953
997,205,1202
312,245,557
510,524,1034
831,522,1353
995,188,1183
293,209,502
472,615,1087
920,827,1747
997,188,1185
295,225,520
490,765,1255
1072,743,1815
989,188,1177
287,195,482
452,542,994
841,831,1672
987,188,1175
285,210,495
465,654,1119
950,1368,2318
991,188,1179
289,230,519
489,624,1113
925,861,1786
993,188,1181
291,203,494
464,708,1172
1011,1264,2275
987,166,1153
263,188,451
443,607,1050
903,1262,2165
995,188,1183
293,223,516
486,760,1246
1065,699,1764
993,170,1163
273,203,476
464,927,1391
1230,1066,2296
999,188,1187
297,222,519
489,584,1073
892,800,1692
989,166,1155
265,190,455
447,559,1006
857,848,1705
999,188,1187
297,205,502
472,538,1010
846,611,1457
985,216,1201
311,264,575
517,860,1377
1155,957,2112
995,205,1200
310,217,527
480,580,1060
884,714,1598
999,205,1204
314,235,549
502,596,1098
904,787,1691
999,170,1169
279,199,478
466,664,1130
973,902,1875
999,188,1187
297,201,498
468,732,1200
1041,808,1849
991,188,1179
289,216,505
475,754,1229
1055,695,1750
993,188,1181
291,216,507
477,550,1027
853,681,1534
983,172,1155
265,213,478
464,528,992
820,630,1450
995,188,1183
293,223,516
486,676,1162
981,925,1906
995,188,1183
293,217,510
480,683,1163
988,1246,2234
985,198,1183
293,238,531
491,625,1116
920,1307,2227
993,188,1181
291,202,493
463,622,1085
924,822,1746
995,188,1183
293,218,511
481,505,986
810,702,1512
993,188,1181
291,205,496
466,632,1098
935,923,1858
991,188,1179
289,200,489
459,626,1085
927,850,1777
1001,188,1189
299,200,499
469,564,1033
875,831,1706
991,188,1179
289,222,511
481,652,1133
952,907,1859
993,188,1181
291,202,493
463,707,1170
1009,788,1797
993,188,1181
291,210,501
471,639,1110
941,991,1932
985,199,1184
294,200,494
453,667,1120
962,783,1745
989,194,1183
293,216,509
473,824,1297
1122,1139,2261
1005,188,1193
303,199,502
472,841,1313
1155,1070,2225
993,188,1181
291,199,490
460,571,1031
873,508,1381
1005,188,1193
303,191,494
464,602,1066
916,818,1734
997,188,1185
295,198,493
463,629,1092
935,787,1722
1003,205,1208
318,238,556
509,768,1277
1081,1158,2239
997,205,1202
312,228,540
493,654,1147
960,899,1859
999,188,1187
297,202,499
469,607,1076
916,1085,2001
995,188,1183
293,229,522
492,624,1116
928,936,1864
995,205,1200
310,217,527
480,926,1406
1231,925,2156
987,188,1175
285,215,500
470,741,1211
1037,969,2006
987,166,1153
263,202,465
457,651,1108
947,948,1895
997,205,1202
312,242,554
507,603,1110
909,846,1755
987,205,1192
302,214,516
469,768,1237
1065,926,1991
993,188,1181
291,191,482
452,778,1230
1080,1294,2374
995,188,1183
293,202,495
465,601,1066
906,889,1795
991,188,1179
289,199,488
458,597,1055
897,766,1663
1007,188,1195
305,218,523
493,739,1232
1055,1037,2092
