prompt_tokens,completion_tokens,total_tokens
1109,170,1279
389,196,585
573,793,1366
1211,1115,2326
1123,154,1277
387,171,558
562,586,1148
1019,869,1888
1115,154,1269
379,178,557
561,556,1117
980,771,1751
1127,170,1297
407,195,602
590,581,1171
1017,751,1768
1125,137,1262
372,149,521
542,660,1202
1094,787,1881
1127,170,1297
407,207,614
602,586,1188
1022,512,1534
1096,186,1282
392,216,608
580,707,1287
1112,984,2096
1066,186,1252
362,238,600
572,975,1547
1350,952,2302
1117,170,1287
397,191,588
576,619,1195
1045,1000,2045
1124,137,1261
371,146,517
538,721,1259
1154,1019,2173
1126,154,1280
390,190,580
584,611,1195
1046,818,1864
1119,186,1305
415,189,604
576,576,1152
1004,1677,2681
1125,186,1311
421,202,623
595,644,1239
1078,729,1807
1066,170,1236
346,197,543
531,683,1214
1058,623,1681
1116,170,1286
396,203,599
587,621,1208
1046,731,1777
1119,154,1273
383,187,570
574,753,1327
1181,1522,2703
1128,170,1298
408,211,619
607,661,1268
1098,678,1776
1119,170,1289
399,214,613
601,634,1235
1062,613,1675
1061,186,1247
357,238,595
567,567,1134
937,555,1492
1062,132,1194
304,196,500
526,899,1425
1271,802,2073
1132,170,1302
412,178,590
578,674,1252
1116,1052,2168
1112,168,1280
390,186,576
566,780,1346
1201,695,1896
1063,186,1249
359,210,569
541,767,1308
1140,679,1819
1108,186,1294
404,223,627
599,772,1371
1189,1200,2389
1123,154,1277
387,177,564
568,982,1550
1414,1395,2809
1120,170,1290
400,176,576
564,797,1361
1227,1128,2355
1067,170,1237
347,193,540
528,620,1148
996,531,1527
1085,154,1239
349,178,527
531,737,1268
1132,989,2121
1067,154,1221
331,186,517
521,620,1141
996,522,1518
1061,186,1247
357,251,608
580,615,1195
985,621,1606
1117,170,1287
397,194,591
579,487,1066
913,584,1497
1119,154,1273
383,180,563
567,658,1225
1086,773,1859
1081,154,1235
345,162,507
511,644,1155
1034,815,1849
1125,154,1279
389,189,578
582,795,1377
1230,1413,2643
1086,154,1240
350,193,543
547,509,1056
904,621,1525
1125,170,1295
405,197,602
590,643,1233
1077,705,1782
1113,186,1299
409,204,613
585,835,1420
1258,780,2038
1123,154,1277
387,184,571
575,623,1198
1055,1110,2165
1065,154,1219
329,174,503
507,642,1149
1016,608,1624
1129,186,1315
425,232,657
629,737,1366
1175,767,1942
1113,186,1299
409,240,649
621,643,1264
1065,963,2028
1066,182,1248
358,230,588
564,862,1426
1238,1581,2819
1119,154,1273
383,164,547
551,598,1149
1027,930,1957
1122,137,1259
369,162,531
552,413,965
844,573,1417
1121,154,1275
385,160,545
549,499,1048
929,466,1395
1114,170,1284
394,205,599
587,639,1226
1063,558,1621
1132,154,1286
396,191,587
591,723,1314
1164,1214,2378
1116,186,1302
412,242,654
626,700,1326
1125,692,1817
1112,170,1282
392,194,586
574,673,1247
1094,1036,2130
1113,190,1303
413,210,623
591,1346,1937
1769,1280,3049
1123,137,1260
370,171,541
562,504,1066
936,772,1708
1127,170,1297
407,201,608
596,517,1113
953,608,1561
1123,170,1293
403,169,572
560,528,1088
960,491,1451
1124,154,1278
388,159,547
551,630,1181
1064,784,1848
