prompt_tokens,completion_tokens,total_tokens
1093,154,1247
357,163,520
524,534,1058
936,688,1624
1181,174,1355
465,221,686
670,750,1420
1241,1161,2402
1183,154,1337
447,180,627
631,644,1275
1136,657,1793
1181,154,1335
445,179,624
628,737,1365
1227,1334,2561
1178,170,1348
458,185,643
631,631,1262
1118,1043,2161
1127,137,1264
374,164,538
559,516,1075
953,622,1575
1094,154,1248
358,170,528
532,744,1276
1147,973,2120
1177,154,1331
441,166,607
611,599,1210
1085,858,1943
1157,186,1343
453,244,697
669,925,1594
1392,890,2282
1161,170,1331
441,185,626
614,846,1460
1317,782,2099
1185,174,1359
469,204,673
657,537,1194
1031,804,1835
1179,154,1333
443,180,623
627,711,1338
1199,975,2174
1094,170,1264
374,182,556
544,665,1209
1069,675,1744
1182,154,1336
446,170,616
620,953,1573
1445,1077,2522
1184,190,1374
484,239,723
691,661,1352
1154,910,2064
1177,154,1331
441,161,602
606,813,1419
1299,1017,2316
1185,186,1371
481,211,692
664,599,1263
1093,618,1711
1169,154,1323
433,176,609
613,491,1104
969,611,1580
1175,174,1349
459,216,675
659,619,1278
1103,699,1802
1177,190,1367
477,241,718
686,683,1369
1169,695,1864
1184,168,1352
462,205,667
657,647,1304
1140,869,2009
1179,154,1333
443,171,614
618,746,1364
1234,1054,2288
1184,154,1338
448,183,631
635,1055,1690
1549,997,2546
1183,186,1369
479,234,713
685,654,1339
1147,1214,2361
1173,137,1310
420,163,583
604,633,1237
1115,791,1906
1186,154,1340
450,170,620
624,645,1269
1140,797,1937
1181,174,1355
465,184,649
633,901,1534
1392,1338,2730
1093,154,1247
357,160,517
521,459,980
862,604,1466
1171,186,1357
467,219,686
658,526,1184
1007,763,1770
1181,186,1367
477,195,672
644,758,1402
1249,840,2089
1159,186,1345
455,247,702
674,861,1535
1330,837,2167
1100,153,1253
363,191,554
559,778,1337
1187,1123,2310
1096,154,1250
360,167,527
531,597,1128
1002,674,1676
1090,154,1244
354,171,525
529,577,1106
977,667,1644
1178,186,1364
474,226,700
672,884,1556
1371,822,2193
1183,186,1369
479,224,703
675,820,1495
1313,819,2132
1184,186,1370
480,214,694
666,656,1322
1149,1208,2357
1185,153,1338
448,177,625
630,662,1292
1157,703,1860
1151,186,1337
447,236,683
655,596,1251
1056,1091,2147
1132,154,1286
396,176,572
576,771,1347
1212,893,2105
1186,170,1356
466,178,644
632,697,1329
1193,1455,2648
1163,154,1317
427,160,587
591,563,1154
1035,1024,2059
1169,182,1351
461,220,681
657,917,1574
1395,1164,2559
1166,154,1320
430,191,621
625,641,1266
1116,905,2021
1149,186,1335
445,243,688
660,677,1337
1135,1287,2422
1165,154,1319
429,182,611
615,658,1273
1132,836,1968
1095,154,1249
359,167,526
530,677,1207
1081,924,2005
1179,137,1316
426,138,564
585,698,1283
1186,743,1929
1094,174,1268
378,182,560
544,584,1128
987,814,1801
1172,186,1358
468,209,677
649,695,1344
1176,857,2033
1188,174,1362
472,191,663
647,701,1348
1198,1334,2532
1093,154,1247
357,158,515
519,482,1001
885,534,1419
1121,174,1295
405,186,591
575,730,1305
1161,970,2131
1173,137,1310
420,171,591
612,751,1363
1233,666,1899
1096,154,1250
360,163,523
527,593,1120
998,606,1604
1168,190,1358
468,240,708
676,669,1345
1147,789,1936
1171,170,1341
451,216,667
655,788,1443
1268,1320,2588
1184,190,1374
484,257,741
709,835,1544
1329,756,2085
1185,154,1339
449,172,621
625,642,1267
1136,974,2110
1183,170,1353
463,203,666
654,646,1300
1138,671,1809
1121,154,1275
385,184,569
573,656,1229
1087,1065,2152
1183,186,1369
479,236,715
687,919,1606
1412,815,2227
1165,170,1335
445,222,667
655,740,1395
1215,692,1907
1178,186,1364
474,221,695
667,761,1428
1248,862,2110
1100,154,1254
364,162,526
530,691,1221
1101,633,1734
1187,154,1341
451,208,659
663,684,1347
1181,1362,2543
1093,174,1267
377,179,556
540,702,1242
