prompt_tokens,completion_tokens,total_tokens
1075,154,1229
339,158,497
501,641,1142
1026,792,1818
1068,170,1238
348,184,532
520,504,1024
881,440,1321
1063,148,1211
321,174,495
505,522,1027
894,569,1463
1065,170,1235
345,199,544
532,631,1163
1005,692,1697
1061,170,1231
341,189,530
518,565,1083
935,522,1457
1069,154,1223
333,165,498
502,686,1188
1065,833,1898
1057,186,1243
353,187,540
512,518,1030
885,922,1807
1035,170,1205
315,192,507
495,529,1024
873,424,1297
1069,154,1223
333,182,515
519,713,1232
1092,817,1909
1058,170,1228
338,180,518
506,543,1049
910,474,1384
1065,174,1239
349,204,553
537,706,1243
1080,670,1750
1065,186,1251
361,180,541
513,635,1148
1009,672,1681
1077,170,1247
357,204,561
549,570,1119
957,626,1583
1064,170,1234
344,174,518
506,976,1482
1350,947,2297
1073,186,1259
369,219,588
560,640,1200
1022,806,1828
1070,170,1240
350,179,529
517,754,1271
1133,795,1928
1067,186,1253
363,213,576
548,833,1381
1210,840,2050
1057,170,1227
337,199,536
524,714,1238
1080,1302,2382
1042,170,1212
322,206,528
516,775,1291
1127,705,1832
1035,170,1205
315,202,517
505,535,1040
879,590,1469
1059,186,1245
355,192,547
519,702,1221
1071,1181,2252
1071,154,1225
335,174,509
513,655,1168
1035,581,1616
1061,186,1247
357,219,576
548,496,1044
866,413,1279
1063,170,1233
343,169,512
500,617,1117
989,781,1770
1035,170,1205
315,198,513
501,582,1083
927,511,1438
1038,186,1224
334,226,560
532,798,1330
1146,731,1877
1063,170,1233
343,156,499
487,563,1050
935,549,1484
1064,186,1250
360,248,608
580,752,1332
1125,1116,2241
1069,170,1239
349,202,551
539,990,1529
1369,935,2304
1065,154,1219
329,178,507
511,506,1017
880,929,1809
1072,170,1242
352,161,513
501,557,1058
939,645,1584
1035,186,1221
331,228,559
531,591,1122
936,533,1469
1067,186,1253
363,221,584
556,547,1103
924,458,1382
1069,170,1239
349,179,528
516,645,1161
1023,866,1889
1063,186,1249
359,209,568
540,725,1265
1098,699,1797
1060,170,1230
340,180,520
508,573,1081
943,678,1621
1066,170,1236
346,166,512
500,650,1150
1025,813,1838
1069,170,1239
349,194,543
531,542,1073
920,471,1391
1064,154,1218
328,175,503
507,619,1126
992,935,1927
1061,170,1231
341,192,533
521,648,1169
1018,604,1622
1072,170,1242
352,187,539
527,505,1032
886,442,1328
1065,186,1251
361,184,545
517,812,1329
1187,741,1928
1062,186,1248
358,199,557
529,600,1129
971,640,1611
1066,154,1220
330,172,502
506,597,1103
973,782,1755
1068,170,1238
348,158,506
494,610,1104
987,762,1749
1074,154,1228
338,183,521
525,758,1283
1141,760,1901
1061,186,1247
357,201,558
530,678,1208
1049,1232,2281
1038,186,1224
334,212,546
518,677,1195
1025,605,1630
1063,170,1233
343,181,524
512,446,958
819,355,1174
1071,170,1241
351,192,543
531,615,1146
996,616,1612
1065,170,1235
345,185,530
518,572,1090
947,573,1520
1062,170,1232
342,175,517
505,631,1136
1003,553,1556
1065,154,1219
329,170,499
503,534,1037
908,487,1395
1063,186,1249
359,246,605
577,528,1105
901,941,1842
1068,170,1238
348,201,549
537,645,1182
1022,729,1751
1035,170,1205
315,181,496
484,729,1213
1074,769,1843
1035,186,1221
331,200,531
503,603,1106
947,719,1666
1069,170,1239
349,178,527
515,436,951
814,379,1193
1066,154,1220
330,166,496
500,439,939
814,826,1640
1058,170,1228
338,199,537
525,677,1202
1044,644,1688
1072,170,1242
352,192,544
532,835,1367
1217,788,2005
1059,186,1245
355,191,546
518,589,1107
957,542,1499
1067,154,1221
331,183,514
518,601,1119
977,600,1577
1068,170,1238
348,196,544
532,605,1137
982,526,1508
1061,136,1197
307,166,473
495,859,1354
1230,887,2117
1070,186,1256
366,242,608
580,479,1059
858,484,1342
1061,186,1247
357,238,595
567,603,1170
973,633,1606
1038,186,1224
334,212,546
518,575,1093
922,522,1444
1068,170,1238
348,195,543
531,569,1100
947,830,1777
1054,170,1224
334,161,495
483,633,1116
996,576,1572
1061,170,1231
341,182,523
511,612,1123
983,814,1797
1034,170,1204
314,198,512
500,562,1062
906,486,1392
1072,170,1242
352,186,538
526,573,1099
954,576,1530
1078,170,1248
358,171,529
517,679,1196
1067,793,1860
1058,170,1228
338,186,524
512,520,1032
887,501,1388
1065,137,1202
312,164,476
497,473,970
847,498,1345
1038,186,1224
334,208,542
514,835,1349
1183,765,1948
1068,170,1238
348,193,541
529,621,1150
999,718,1717
1059,154,1213
323,191,514
518,602,1120
970,543,1513
1042,170,1212
322,268,590
578,651,1229
1002,621,1623
1066,152,1218
328,156,484
490,462,952
837,523,1360
1035,170,1205
315,186,501
489,587,1076
931,522,1453
1042,186,1228
338,214,552
524,675,1199
1026,730,1756
1061,186,1247
357,216,573
545,683,1228
1054,661,1715
1033,170,1203
313,203,516
504,656,1160
998,653,1651
1060,186,1246
356,178,534
506,629,1135
998,544,1542
1067,170,1237
347,196,543
531,645,1176
1021,655,1676
1059,186,1245
355,192,547
519,719,1238
1088,650,1738
1070,136,1206
316,296,612
634,587,1221
967,505,1472
1061,186,1247
