prompt_tokens,completion_tokens,total_tokens
1007,250,1257
367,275,642
550,497,1047
813,776,1589
1028,415,1443
553,530,1083
826,1354,2180
1691,2129,3820
1018,277,1295
405,358,763
644,921,1565
1248,1367,2615
1028,241,1269
379,281,660
577,708,1285
1045,1174,2219
1012,387,1399
509,489,998
769,1454,2223
1775,2634,4409
1018,256,1274
384,335,719
621,1233,1854
1561,1264,2825
1031,223,1254
364,255,619
554,978,1532
1318,1376,2694
1024,238,1262
372,343,715
635,776,1411
1110,1576,2686
1020,221,1241
351,313,664
601,659,1260
988,967,1955
1035,300,1335
445,342,787
645,1125,1770
1469,1441,2910
1031,318,1349
459,496,955
795,1036,1831
1377,1999,3376
1028,325,1353
463,344,807
640,842,1482
1180,1955,3135
1019,238,1257
367,294,661
581,744,1325
1073,1368,2441
1019,238,1257
367,335,702
622,776,1398
1105,1541,2646
1024,282,1306
416,350,766
642,1066,1708
1400,1410,2810
1012,300,1312
422,334,756
614,957,1571
1278,1316,2594
1027,261,1288
398,359,757
654,820,1474
1156,1833,2989
1029,229,1258
368,401,769
698,756,1454
1095,1132,2227
1020,265,1285
395,320,715
608,871,1479
1200,1108,2308
1018,257,1275
385,399,784
685,1069,1754
1396,1454,2850
1019,241,1260
370,292,662
579,1087,1666
1415,1459,2874
1024,306,1330
440,411,851
703,837,1540
1171,1561,2732
1034,369,1403
513,431,944
733,848,1581
1192,1617,2809
1016,215,1231
341,293,634
577,792,1369
1117,1577,2694
1026,306,1332
442,330,772
624,694,1318
1029,1122,2151
1011,278,1289
399,337,736
616,769,1385
1089,1704,2793
1018,321,1339
449,501,950
787,936,1723
1263,1133,2396
1030,212,1242
352,267,619
565,779,1344
1118,837,1955
1008,300,1308
418,347,765
623,1117,1740
1435,1491,2926
1019,241,1260
370,341,711
628,816,1444
1144,1054,2198
1022,286,1308
418,283,701
573,698,1271
1029,1138,2167
1019,279,1298
408,344,752
631,920,1551
1248,1205,2453
1017,246,1263
373,287,660
572,641,1213
967,936,1903
1022,281,1303
413,392,805
682,1322,2004
1653,1829,3482
1026,272,1298
408,387,795
681,742,1423
1078,1673,2751
1035,280,1315
425,392,817
695,1054,1749
1398,1679,3077
1023,210,1233
343,318,661
609,759,1368
1091,867,1958
1023,228,1251
361,293,654
584,902,1486
1234,2903,4137
1018,288,1306
416,415,831
701,755,1456
1082,1538,2620
1010,270,1280
390,375,765
653,925,1578
1244,1184,2428
1009,260,1269
379,340,719
617,928,1545
1247,1410,2657
1029,292,1321
431,342,773
639,803,1442
1141,1312,2453
1021,274,1295
405,353,758
642,848,1490
1179,1157,2336
1028,322,1350
460,315,775
611,1051,1662
1389,1497,2886
1019,293,1312
422,450,872
737,833,1570
1162,1270,2432
1025,241,1266
376,319,695
