prompt_tokens,completion_tokens,total_tokens
983,80,1063
173,92,265
343,524,867
816,657,1473
983,80,1063
173,92,265
343,534,877
827,631,1458
982,80,1062
172,92,264
342,626,968
918,678,1596
982,80,1062
172,87,259
337,622,959
914,547,1461
983,80,1063
173,95,268
346,560,906
853,637,1490
983,80,1063
173,92,265
343,383,726
676,396,1072
982,80,1062
172,92,264
342,564,906
855,693,1548
982,80,1062
172,92,264
342,512,854
804,603,1407
983,80,1063
173,92,265
343,370,713
663,743,1406
983,80,1063
173,92,265
343,518,861
811,658,1469
982,80,1062
172,98,270
348,350,698
642,333,975
982,80,1062
172,92,264
342,521,863
813,637,1450
982,80,1062
172,92,264
342,508,850
800,544,1344
983,80,1063
173,94,267
345,763,1108
1056,812,1868
983,80,1063
173,92,265
343,422,765
715,418,1133
983,80,1063
173,92,265
343,509,852
802,644,1446
982,80,1062
172,98,270
348,669,1017
961,706,1667
982,80,1062
172,95,267
345,476,821
767,1001,1768
983,80,1063
173,95,268
346,401,747
694,342,1036
982,80,1062
172,92,264
342,341,683
632,327,959
983,80,1063
173,98,271
349,517,866
810,634,1444
982,80,1062
172,94,266
344,405,749
697,607,1304
983,80,1063
173,90,263
341,480,821
773,510,1283
982,80,1062
172,92,264
342,600,942
892,677,1569
982,80,1062
172,99,271
349,572,921
863,706,1569
982,80,1062
172,98,270
348,630,978
922,688,1610
983,137,1120
230,135,365
386,557,943
850,852,1702
982,80,1062
172,94,266
344,734,1078
1026,765,1791
983,80,1063
173,92,265
343,398,741
691,426,1117
982,80,1062
172,95,267
345,337,682
629,273,902
982,80,1062
172,87,259
337,354,691
646,482,1128
983,80,1063
173,92,265
343,442,785
735,564,1299
983,80,1063
173,96,269
347,395,742
688,368,1056
982,80,1062
172,90,262
340,547,887
839,716,1555
982,80,1062
172,83,255
333,539,872
831,564,1395
983,80,1063
173,96,269
347,520,867
812,591,1403
983,80,1063
173,97,270
348,580,928
873,489,1362
982,80,1062
172,92,264
342,432,774
