prompt_tokens,completion_tokens,total_tokens
1025,137,1162
272,145,417
438,655,1093
990,595,1585
1009,146,1155
266,145,411
423,405,828
724,345,1069
1012,141,1153
264,138,402
419,1005,1424
1327,931,2258
1001,153,1154
264,143,407
412,317,729
628,230,858
1014,137,1151
261,140,401
422,818,1240
1142,1080,2222
992,121,1113
224,122,346
383,463,846
765,439,1204
1020,80,1100
210,83,293
371,468,839
798,419,1217
1007,87,1094
205,97,302
373,401,774
718,344,1062
994,145,1139
250,154,404
417,442,859
746,394,1140
1038,137,1175
285,146,431
452,785,1237
1133,533,1666
1005,153,1158
268,163,431
436,584,1020
899,527,1426
1019,146,1165
276,155,431
443,459,902
788,573,1361
995,146,1141
252,145,397
409,384,793
689,323,1012
1020,137,1157
267,140,407
428,661,1089
991,615,1606
1002,153,1155
265,149,414
419,364,783
676,299,975
1007,122,1129
240,133,373
409,617,1026
934,557,1491
1007,137,1144
254,154,408
429,388,817
704,314,1018
1008,146,1154
265,135,400
412,548,960
866,489,1355
994,143,1137
248,171,419
434,462,896
766,404,1170
1000,170,1170
280,182,462
450,534,984
843,450,1293
1001,164,1165
276,152,428
422,324,746
635,239,874
997,153,1150
260,148,408
413,397,810
704,337,1041
1002,153,1155
265,139,404
409,387,796
699,300,999
998,153,1151
261,146,407
412,503,915
811,434,1245
995,97,1092
202,112,314
375,381,756
686,401,1087
1020,154,1174
284,173,457
461,570,1031
900,511,1411
1001,122,1123
234,126,360
396,389,785
700,314,1014
1007,137,1144
254,146,400
421,776,1197
1093,827,1920
993,115,1108
218,101,319
362,399,761
702,696,1398
1002,153,1155
265,153,418
423,354,777
666,306,972
1008,146,1154
265,165,430
442,451,893
769,397,1166
1001,153,1154
264,143,407
412,391,803
702,305,1007
997,153,1150
260,160,420
425,350,775
656,280,936
1018,137,1155
265,127,392
413,487,900
815,543,1358
1015,122,1137
248,113,361
397,582,979
907,524,1431
1026,87,1113
224,107,331
402,598,1000
934,551,1485
1019,137,1156
266,140,406
427,697,1124
1026,610,1636
1019,137,1156
266,144,410
431,653,1084
982,724,1706
1003,170,1173
283,163,446
434,457,891
770,382,1152
995,170,1165
275,161,436
424,321,745
626,245,871
1020,137,1157
267,152,419
440,467,907
797,545,1342
1014,153,1167
277,146,423
428,600,1028
924,522,1446
1013,137,1150
260,146,406
427,555,982
878,735,1613
1002,153,1155
265,147,412
417,476,893
787,395,1182
1009,137,1146
256,139,395
416,482,898
801,426,1227
998,153,1151
261,163,424
429,533,962
841,451,1292
1013,115,1128
238,115,353
396,666,1062
989,603,1592
1009,137,1146
256,139,395
416,508,924
827,644,1471
1001,146,1147
258,144,402
414,373,787
684,313,997
1007,146,1153
264,153,417
429,662,1091
978,393,1371
1003,131,1134
244,128,372
399,402,801
714,334,1048
1001,146,1147
258,142,400
412,408,820
719,332,1051
1025,137,1162
272,138,410
431,714,1145
1049,731,1780
1014,170,1184
294,187,481
469,552,1021
876,480,1356
998,170,1168
278,176,454
442,503,945
810,430,1240
995,137,1132
242,144,386
407,549,956
854,622,1476
1006,137,1143
253,116,369
390,671,1061
987,679,1666
994,170,1164
274,197,471
459,723,1182
1026,752,1778
997,153,1150
260,145,405
