prompt_tokens,completion_tokens,total_tokens
1006,108,1114
224,105,329
379,505,884
820,609,1429
1008,93,1101
211,99,310
375,357,732
675,591,1266
978,110,1088
198,214,412
460,648,1108
935,633,1568
1003,148,1151
261,155,416
426,613,1039
926,947,1873
981,97,1078
188,105,293
354,535,889
826,668,1494
976,124,1100
210,116,326
360,505,865
791,590,1381
973,148,1121
231,147,378
388,560,948
843,724,1567
1008,97,1105
215,109,324
385,529,914
846,1040,1886
1005,110,1115
225,114,339
387,444,831
759,503,1262
989,84,1073
183,85,268
342,421,763
720,553,1273
997,113,1110
220,124,344
389,415,804
722,592,1314
1005,110,1115
225,118,343
391,424,815
739,730,1469
980,132,1112
222,155,377
403,341,744
631,386,1017
987,113,1100
210,115,325
370,648,1018
945,858,1803
992,132,1124
234,141,375
401,304,705
606,440,1046
991,108,1099
209,106,315
365,314,679
614,455,1069
994,110,1104
214,99,313
361,420,781
724,610,1334
977,113,1090
200,113,313
358,481,839
768,614,1382
978,148,1126
236,149,385
395,385,780
673,368,1041
991,108,1099
209,104,313
363,382,745
683,491,1174
987,148,1135
245,150,395
405,460,865
756,561,1317
1000,97,1097
207,87,294
355,366,721
676,581,1257
987,132,1119
229,140,369
395,524,919
821,681,1502
1020,108,1128
238,203,441
491,642,1133
972,608,1580
987,114,1101
211,116,327
371,496,867
793,606,1399
985,108,1093
203,101,304
354,344,698
639,437,1076
978,108,1086
196,116,312
362,511,873
799,607,1406
997,132,1129
239,257,496
522,762,1284
1069,731,1800
985,136,1121
231,247,478
500,597,1097
892,547,1439
1000,97,1097
207,105,312
373,514,887
824,741,1565
1007,97,1104
214,123,337
398,546,944
863,886,1749
987,132,1119
229,128,357
383,527,910
823,747,1570
988,97,1085
195,85,280
341,433,774
731,575,1306
976,124,1100
210,130,340
374,432,806
718,387,1105
975,108,1083
193,117,310
360,472,832
757,571,1328
983,97,1080
190,108,298
359,453,812
746,463,1209
986,137,1123
233,117,350
371,405,776
700,563,1263
984,154,1138
248,139,387
391,325,716
619,365,984
978,124,1102
212,131,343
377,526,903
813,618,1431
994,113,1107
217,126,343
388,528,916
832,689,1521
994,132,1126
236,148,384
410,571,981
874,874,1748
975,124,1099
209,131,340
374,512,886
796,581,1377
998,132,1130
240,132,372
398,470,868
778,708,1486
997,97,1094
204,110,314
375,567,942
874,892,1766
991,91,1082
192,99,291
358,528,886
829,610,1439
980,130,1110
220,133,353
381,497,878
787,596,1383
992,110,1102
212,115,327
375,480,855
782,629,1411
998,136,1134
244,187,431
453,609,1062
917,715,1632
996,93,1089
199,88,287
352,362,714
668,515,1183
1019,112,1131
241,196,437
483,710,1193
1039,686,1725
996,108,1104
214,114,328
378,397,775
703,517,1220
1012,92,1104
214,177,391
457,348,805
670,572,1242
1011,117,1128
238,177,415
456,541,997
861,641,1502
973,136,1109
219,139,358
380,398,778
681,419,1100
994,110,1104
214,114,328
376,483,859
787,740,1527
988,97,1085
195,112,307
368,381,749
679,471,1150
997,98,1095
205,103,308
368,522,890
829,862,1691
999,97,1096
206,113,319
380,423,803
732,681,1413
1000,113,1113
223,115,338
383,537,920
846,685,1531
991,132,1123
233,140,373
399,496,895
797,458,1255
1015,132,1147
257,145,402
428,426,854
750,807,1557
978,132,1110
220,242,462
488,532,1020
820,479,1299
994,132,1126
236,144,380
406,416,822
720,602,1322
981,113,1094
204,132,336
381,464,845
755,614,1369
996,97,1093
203,107,310
371,426,797
731,706,1437
983,113,1096
206,120,326
371,489,860
782,628,1410
974,108,1082
192,127,319
369,324,693
608,333,941
987,132,1119
229,137,366
392,505,897
801,683,1484
976,108,1084
194,115,309
359,345,704
631,348,979
984,92,1076
186,181,367
433,469,902
763,430,1193
1009,132,1141
251,145,396
422,653,1075
971,594,1565
976,113,1089
199,132,331
376,447,823
733,515,1248
984,97,1081
191,112,303
364,426,790
720,477,1197
998,97,1095
205,101,306
367,338,705
646,581,1227
1000,110,1110
220,123,343
391,525,916
835,862,1697
1010,110,1120
230,112,342
390,463,853
783,910,1693
991,136,1127
237,183,420
442,642,1084
943,1115,2058
979,97,1076
186,107,293
354,610,964
899,570,1469
1000,132,1132
242,145,387
413,421,834
731,676,1407
997,106,1103
213,103,316
368,395,763
702,624,1326
985,110,1095
205,123,328
376,503,879
798,639,1437
985,97,1082
192,105,297
358,438,796
733,576,1309
1014,116,1130
240,233,473
515,269,784
592,433,1025
1011,110,1121
231,132,363
411,426,837
747,600,1347
991,92,1083
193,181,374
440,427,867
727,524,1251
1009,149,1158
268,221,489
498,493,991
811,682,1493
1005,187,1192
302,169,471
442,543,985
857,574,1431
997,97,1094
204,110,314
375,443,818
749,570,1319
1001,132,1133
243,151,394
420,500,920
811,571,1382
1003,149,1152
262,275,537
546,376,922
689,412,1101
997,97,1094
204,93,297
358,394,752
701,475,1176
1003,110,1113
223,125,348
396,375,771
688,506,1194
999,113,1112
222,123,345
390,508,898
817,689,1506
998,110,1108
218,125,343
391,465,856
772,465,1237
1010,114,1124
234,217,451
495,338,833
658,474,1132
996,92,1088
198,173,371
437,340,777
646,475,1121
985,110,1095
205,116,321
369,472,841
766,586,1352
1000,150,1150
260,159,419
427,448,875
758,738,1496
978,146,1124
234,128,362
374,444,818
731,499,1230
986,106,1092
202,96,298
350,648,998
944,662,1606
1006,149,1155
265,175,440
449,652,1101
967,975,1942
987,80,1067
177,84,261
339,307,646
603,402,1005
986,110,1096
206,111,317
365,380,745
676,484,1160
972,124,1096
206,122,328
362,554,916
836,633,1469
989,90,1079
189,107,296
364,615,979
914,660,1574
977,97,1074
184,105,289
350,491,841
778,611,1389
978,91,1069
179,88,267
334,379,713
666,430,1096
1006,149,1155
265,195,460
469,582,1051
898,503,1401
992,104,1096
206,88,294
348,608,956
910,540,1450
994,112,1106
216,197,413
459,780,1239
1083,805,1888
978,110,1088
198,119,317
365,297,662
584,281,865
981,90,1071
181,111,292
360,468,828
758,879,1637
1000,143,1143
253,151,404
419,670,1089
980,696,1676
984,154,1138
248,159,407
411,378,789
672,437,1109
977,92,1069
179,110,289
355,444,799
731,498,1229
976,124,1100
210,119,329
363,538,901
824,631,1455
996,113,1109
219,122,341
386,605,991
911,840,1751
983,135,1118
228,136,364
387,599,986
891,743,1634
999,97,1096
206,110,316
377,357,734
665,489,1154
1003,108,1111
221,108,329
379,438,817
751,583,1334
1000,110,1110
220,100,320
368,595,963
904,844,1748
991,116,1107
217,128,345
387,394,781
695,436,1131
996,132,1128
238,152,390
416,578,994
884,501,1385
1001,108,1109
219,91,310
360,328,688
639,451,1090
992,97,1089
199,93,292
353,434,787
736,665,1401
983,126,1109
219,126,345
377,533,910
825,634,1459
990,92,1082
192,171,363
429,418,847
718,545,1263
984,132,1116
226,148,374
400,571,971
865,636,1501
986,97,1083
193,106,299
360,609,969
905,562,1467
974,124,1098
208,130,338
372,391,763
675,434,1109
979,116,1095
205,247,452
494,359,853
648,356,1004
973,136,1109
219,140,359
381,436,817
718,502,1220
994,154,1148
258,155,413
417,551,968
855,857,1712
974,108,1082
192,110,302
352,458,810
742,548,1290
979,124,1103
213,113,326
360,481,841
770,551,1321
995,110,1105
215,116,331
379,486,865
791,642,1433
997,157,1154
264,179,443
444,701,1145
1008,644,1652
985,132,1117
227,149,376
402,644,1046
939,795,1734
987,92,1079
189,215,404
470,392,862
689,350,1039
994,108,1102
212,194,406
456,397,853
700,496,1196
974,124,1098
208,122,330
364,477,841
761,544,1305
991,110,1101
211,109,320
368,463,831
763,604,1367
987,132,1119
229,144,373
399,441,840
738,668,1406
1002,116,1118
228,242,470
512,354,866
666,472,1138
998,108,1106
216,109,325
375,365,740
673,489,1162
995,154,1149
259,155,414
418,380,798
685,484,1169
991,110,1101
211,123,334
382,554,936
855,786,1641
972,132,1104
214,176,390
416,344,760
626,352,978
977,165,1142
252,195,447
440,623,1063
909,655,1564
990,92,1082
192,189,381
447,532,979
832,487,1319
992,119,1111
221,125,346
