prompt_tokens,completion_tokens,total_tokens
1230,114,1344
454,217,671
715,457,1172
997,422,1419
1120,132,1252
362,165,527
553,421,974
850,344,1194
1119,131,1250
360,166,526
553,403,956
831,426,1257
1210,132,1342
452,317,769
795,669,1464
1189,724,1913
1112,116,1228
338,147,485
527,393,920
815,344,1159
1216,178,1394
504,283,787
767,695,1462
1220,654,1874
1239,131,1370
480,164,644
671,582,1253
1130,1190,2320
1214,132,1346
456,184,640
666,416,1082
940,431,1371
1144,123,1267
377,212,589
624,757,1381
1211,1255,2466
1116,145,1261
371,170,541
554,716,1270
1141,897,2038
1133,131,1264
374,156,530
557,312,869
754,367,1121
1212,93,1305
415,149,564
629,536,1165
1057,655,1712
1160,131,1291
401,176,577
604,575,1179
1044,804,1848
1237,114,1351
461,217,678
722,401,1123
947,371,1318
1115,116,1231
341,184,525
567,693,1260
1118,678,1796
1168,131,1299
409,206,615
642,546,1188
1024,1061,2085
1239,148,1387
497,178,675
685,548,1233
1096,525,1621
1131,131,1262
372,173,545
572,489,1061
929,710,1639
1149,115,1264
374,145,519
562,483,1045
941,458,1399
1126,148,1274
384,201,585
595,555,1150
990,605,1595
1133,131,1264
374,155,529
556,467,1023
909,619,1528
1150,115,1265
375,138,513
556,385,941
844,445,1289
1119,93,1212
322,117,439
504,567,1071
995,601,1596
1154,115,1269
379,152,531
574,430,1004
894,637,1531
1114,131,1245
355,148,503
530,475,1005
898,446,1344
1134,131,1265
375,178,553
580,465,1045
908,579,1487
1233,114,1347
457,118,575
619,655,1274
1197,604,1801
1141,148,1289
399,173,572
582,665,1247
1116,643,1759
1144,93,1237
347,121,468
533,492,1025
946,552,1498
1234,116,1350
460,131,591
633,675,1308
1219,986,2205
1233,116,1349
459,199,658
700,1071,1771
1614,1006,2620
1241,116,1357
467,261,728
770,450,1220
1000,432,1432
1206,92,1298
408,102,510
576,476,1052
991,465,1456
1207,116,1323
433,142,575
617,480,1097
997,455,1452
1115,149,1264
374,214,588
597,618,1215
1043,813,1856
1142,123,1265
376,225,601
636,415,1051
866,433,1299
1151,132,1283
393,147,540
566,745,1311
1206,678,1884
1158,79,1237
347,202,549
628,378,1006
845,346,1191
1210,123,1333
443,237,680
715,447,1162
967,414,1381
1118,115,1233
343,160,503
546,451,997
878,527,1405
1154,115,1269
379,141,520
563,486,1049
949,468,1417
1129,116,1245
355,231,586
628,399,1027
837,466,1303
1146,131,1277
387,177,564
591,472,1063
928,728,1656
1237,115,1352
462,144,606
649,405,1054
951,579,1530
1146,172,1318
428,200,628
614,524,1138
979,616,1595
1147,172,1319
429,195,624
610,411,1021
868,428,1296
1231,140,1371
481,138,619
637,599,1236
1139,646,1785
1210,114,1324
434,272,706
750,366,1116
886,410,1296
1150,93,1243
353,117,470
535,429,964
888,508,1396
1112,130,1242
352,148,500
528,388,916
809,282,1091
1212,131,1343
453,165,618
645,537,1182
1058,705,1763
1111,93,1204
314,107,421
486,407,893
828,489,1317
1114,96,1210
320,137,457
519,349,868
772,304,1076
1113,116,1229
339,136,475
517,486,1003
909,472,1381
1154,131,1285
395,143,538
565,455,1020
918,743,1661
1115,110,1225
335,93,428
476,447,923
871,432,1303
1119,131,1250
360,139,499
526,495,1021
924,521,1445
1128,131,1259
369,159,528
555,420,975
858,569,1427
1118,132,1250
360,138,498
524,428,952
856,352,1208
1111,109,1220
330,127,457
506,491,997
912,445,1357
1140,116,1256
366,131,497
539,488,1027
938,832,1770
1123,93,1216
326,119,445
510,434,944
866,499,1365
1128,131,1259
369,140,509
536,697,1233
1134,779,1913
1120,131,1251
361,172,533
560,559,1119
989,638,1627
1241,115,1356
466,117,583
626,653,1279
1204,616,1820
1136,115,1251
361,180,541
584,431,1015
876,576,1452
1134,148,1282
392,183,575
585,381,966
825,296,1121
1240,148,1388
498,187,685
695,440,1135
990,464,1454
1168,131,1299
409,200,609
636,446,1082
923,502,1425
1122,137,1259
369,160,529
550,406,956
838,505,1343
1156,116,1272
382,126,508
550,640,1190
1106,971,2077
1115,131,1246
356,163,519
546,474,1020
899,603,1502
1111,132,1243
353,186,539
565,615,1180
1036,328,1364
1112,114,1226
336,300,636
680,402,1082
824,427,1251
1235,114,1349
459,225,684
728,287,1015
831,293,1124
1235,131,1366
476,155,631
658,438,1096
983,513,1496
1127,115,1242
352,175,527
570,470,1040
907,506,1413
1208,114,1322
432,253,685
729,366,1095
884,299,1183
1137,131,1268
378,179,557
584,443,1027
889,566,1455
1160,148,1308
418,202,620
630,500,1130
970,1276,2246
1206,116,1322
432,193,625
667,498,1165
1013,488,1501
1161,131,1292
402,149,551
578,443,1021
914,942,1856
1164,115,1279
389,179,568
611,559,1170
1033,521,1554
1141,131,1272
382,192,574
601,405,1006
856,442,1298
1220,158,1378
488,307,795
795,635,1430
1165,584,1749
1160,131,1291
401,178,579
606,564,1170
1033,850,1883
1113,114,1227
337,110,447
491,652,1143
1075,971,2046
1133,131,1264
374,192,566
593,455,1048
897,656,1553
1160,131,1291
401,170,571
598,459,1057
929,607,1536
1238,148,1386
496,175,671
681,402,1083
949,496,1445
1113,114,1227
337,148,485
529,517,1046
939,528,1467
1147,115,1262
372,148,520
563,473,1036
930,558,1488
1127,115,1242
352,172,524
567,386,953
823,512,1335
1127,114,1241
351,172,523
567,461,1028
897,568,1465
1134,148,1282
392,203,595
605,421,1026
865,402,1267
1117,130,1247
357,138,495
523,489,1012
915,604,1519
1243,172,1415
525,245,770
756,398,1154
951,446,1397
1112,115,1227
337,158,495
538,450,988
872,629,1501
1203,108,1311
421,137,558
608,635,1243
1147,575,1722
1117,100,1217
328,131,459
517,498,1015
924,578,1502
1154,172,1326
436,215,651
637,436,1073
900,732,1632
1145,115,1260
370,140,510
553,519,1072
973,640,1613
1137,115,1252
362,177,539
582,386,968
832,439,1271
1111,93,1204
314,100,414
479,429,908
850,524,1374
1208,149,1357
467,206,673
682,440,1122
958,531,1489
1115,155,1270
380,151,531
534,807,1341
1232,734,1966
1124,140,1264
374,163,537
555,577,1132
1011,795,1806
1127,115,1242
352,144,496
539,396,935
833,557,1390
1127,115,1242
352,178,530
573,399,972
836,552,1388
1113,109,1222
332,118,450
499,476,975
899,518,1417
1122,115,1237
347,164,511
554,438,992
870,516,1386
1114,115,1229
339,141,480
523,619,1142
1043,748,1791
1118,115,1233
343,132,475
518,617,1135
1044,537,1581
1211,148,1359
469,193,662
672,412,1084
932,518,1450
1212,172,1384
494,173,667
653,495,1148
1016,462,1478
1113,114,1227
337,147,484
528,479,1007
902,572,1474
1111,148,1259
369,178,547
557,390,947
810,346,1156
1239,131,1370
480,173,653
680,530,1210
1079,685,1764
1119,93,1212
322,153,475
540,421,961
850,444,1294
1137,116,1253
363,139,502
544,658,1202
1105,607,1712
1141,131,1272
382,203,585
612,452,1064
903,492,1395
1116,132,1248
358,154,512
538,590,1128
1016,533,1549
1216,93,1309
419,127,546
611,428,1039
953,485,1438
1161,131,1292
402,172,574
601,460,1061
930,943,1873
1117,112,1229
339,189,528
574,489,1063
915,581,1496
1204,112,1316
426,118,544
590,333,923
846,277,1123
1168,131,1299
409,206,615
642,457,1099
935,528,1463
1154,115,1269
379,167,546
589,384,973
847,655,1502
1213,110,1323
433,183,616
664,451,1115
973,353,1326
1138,105,1243
353,126,479
532,455,987
903,493,1396
1161,131,1292
402,192,594
621,554,1175
1024,797,1821
1123,115,1238
348,165,513
556,422,978
854,508,1362
1243,115,1358
468,166,634
677,433,1110
986,569,1555
1214,131,1345
455,159,614
641,526,1167
1049,491,1540
1144,115,1259
369,140,509
552,480,1032
933,462,1395
1138,109,1247
357,139,496
545,529,1074
976,838,1814
1113,132,1245
355,179,534
560,409,969
831,346,1177
1110,114,1224
334,143,477
521,407,928
827,551,1378
1111,115,1226
336,125,461
504,582,1086
1002,786,1788
1164,131,1295
405,203,608
635,668,1303
1142,617,1759
1115,131,1246
356,194,550
577,616,1193
1040,565,1605
1237,114,1351
461,254,715
759,378,1137
925,504,1429
1120,131,1251
361,167,528
555,404,959
834,431,1265
1110,112,1222
332,215,547
593,627,1220
1047,586,1633
1141,100,1241
352,104,456
514,379,893
829,414,1243
1147,115,1262
372,142,514
557,438,995
894,394,1288
