prompt_tokens,completion_tokens,total_tokens
1111,132,1243
353,137,490
516,401,917
821,507,1328
1108,116,1224
334,194,528
570,535,1105
953,602,1555
1127,149,1276
386,140,526
535,525,1060
961,734,1695
1056,149,1205
315,245,560
569,536,1105
901,716,1617
1126,148,1274
384,214,598
608,644,1252
1079,685,1764
1045,92,1137
247,234,481
547,351,898
705,294,999
1106,114,1220
330,116,446
490,428,918
843,490,1333
1094,123,1217
327,115,442
477,518,995
921,605,1526
1002,123,1125
235,101,336
371,406,777
718,476,1194
1105,136,1241
351,158,509
531,622,1153
1037,789,1826
1106,114,1220
330,121,451
495,365,860
780,288,1068
1122,154,1276
386,172,558
562,410,972
842,494,1336
1114,126,1240
350,181,531
563,469,1032
892,502,1394
1094,108,1202
312,121,433
483,454,937
857,489,1346
1123,148,1271
381,212,593
603,384,987
816,317,1133
1111,127,1238
348,115,463
494,418,912
838,513,1351
1119,148,1267
377,186,563
573,684,1257
1112,592,1704
1107,126,1233
343,165,508
540,336,876
752,328,1080
1098,119,1217
327,190,517
556,581,1137
988,731,1719
1101,189,1290
400,224,624
593,545,1138
955,794,1749
1039,148,1187
297,170,467
477,384,861
733,639,1372
1056,132,1188
298,173,471
497,453,950
818,453,1271
1126,126,1252
362,166,528
560,415,975
850,568,1418
1087,143,1230
340,141,481
496,450,946
846,516,1362
1048,149,1197
307,225,532
541,299,840
656,333,989
1127,154,1281
391,191,582
586,425,1011
861,677,1538
1120,126,1246
356,172,528
560,483,1043
913,524,1437
1059,92,1151
261,312,573
639,470,1109
839,505,1344
1099,75,1174
284,118,402
485,308,793
716,342,1058
1093,145,1238
348,210,558
571,518,1089
920,409,1329
1106,149,1255
365,192,557
566,652,1218
1068,826,1894
1013,145,1158
268,159,427
440,528,968
851,735,1586
1114,149,1263
373,171,544
553,496,1049
919,633,1552
1096,91,1187
297,128,425
492,494,986
899,544,1443
1105,127,1232
342,125,467
498,549,1047
963,499,1462
1111,75,1186
296,110,406
489,433,922
853,536,1389
1125,148,1273
383,197,580
590,425,1015
859,524,1383
1108,116,1224
334,298,632
674,450,1124
868,517,1385
1106,149,1255
365,166,531
540,556,1096
972,503,1475
1036,106,1142
252,103,355
407,395,802
741,409,1150
1106,132,1238
348,171,519
545,360,905
775,295,1070
1032,110,1142
252,213,465
513,305,818
646,288,934
1138,106,1244
354,111,465
517,510,1027
957,458,1415
1010,113,1123
233,100,333
378,292,670
611,380,991
1104,136,1240
350,133,483
505,299,804
712,258,970
1010,139,1149
259,140,399
418,560,978
880,738,1618
1001,123,1124
234,120,354
389,459,848
769,390,1159
1107,126,1233
343,159,502
534,435,969
851,378,1229
1126,154,1280
390,170,560
564,528,1092
963,645,1608
1129,113,1242
352,165,517
562,675,1237
1113,774,1887
1116,119,1235
345,148,493
532,558,1090
984,624,1608
1010,117,1127
237,208,445
486,563,1049
883,540,1423
1118,126,1244
354,159,513
545,435,980
863,557,1420
1034,154,1188
298,154,452
