prompt_tokens,completion_tokens,total_tokens
1007,189,1196
306,190,496
465,695,1160
1011,720,1731
1027,209,1236
346,228,574
523,1189,1712
1525,1530,3055
1037,230,1267
377,261,638
566,634,1200
981,1648,2629
1011,209,1220
330,219,549
498,667,1165
987,833,1820
1008,188,1196
306,253,559
529,728,1257
1045,893,1938
1034,249,1283
393,227,620
529,780,1309
1123,1046,2169
1021,189,1210
320,194,514
483,609,1092
939,704,1643
1022,214,1236
346,271,617
561,719,1280
1051,815,1866
1013,192,1205
315,219,534
500,809,1309
1131,1140,2271
1009,189,1198
308,198,506
475,714,1189
1032,846,1878
1006,115,1121
231,108,339
382,743,1125
1058,928,1986
1011,222,1233
343,196,539
475,1110,1585
1431,1050,2481
1010,189,1199
309,207,516
485,869,1354
1188,1118,2306
1021,189,1210
320,195,515
484,833,1317
1163,1065,2228
1018,249,1267
377,255,632
541,558,1099
885,506,1391
1020,188,1208
318,213,531
501,656,1157
985,825,1810
1019,189,1208
318,195,513
482,787,1269
1115,1081,2196
1007,213,1220
330,178,508
453,734,1187
1050,660,1710
1024,189,1213
323,229,552
521,786,1307
1119,1038,2157
1010,189,1199
309,218,527
496,690,1186
1009,715,1724
1007,227,1234
344,218,562
493,655,1148
971,679,1650
1014,189,1203
313,189,502
471,948,1419
1271,1068,2339
1017,179,1196
306,201,507
486,724,1210
1051,932,1983
1017,226,1243
353,212,565
497,755,1252
1082,1004,2086
1031,228,1259
369,216,585
515,714,1229
1054,955,2009
1023,199,1222
332,298,630
589,704,1293
1036,917,1953
1012,209,1221
331,239,570
519,794,1313
1115,801,1916
1007,188,1195
305,184,489
459,743,1202
1059,861,1920
1026,189,1215
325,215,540
509,735,1244
1070,914,1984
1008,222,1230
340,191,531
467,707,1174
1024,973,1997
1012,205,1217
327,310,637
590,859,1449
1180,977,2157
1005,183,1188
298,226,524
499,840,1339
1154,1083,2237
1005,263,1268
378,236,614
509,660,1169
974,928,1902
1011,189,1200
310,170,480
449,841,1290
1162,913,2075
1018,231,1249
359,289,648
575,635,1210
962,993,1955
1013,231,1244
354,192,546
473,633,1106
955,735,1690
1008,189,1197
307,190,497
466,521,987
838,689,1527
1023,222,1245
355,232,587
523,696,1219
1028,930,1958
1020,214,1234
344,290,634
578,739,1317
1068,937,2005
1018,204,1222
332,255,587
541,810,1351
1137,795,1932
1011,271,1282
392,277,669
556,814,1370
1134,843,1977
1017,231,1248
358,272,630
557,727,1284
1054,657,1711
1006,210,1216
326,198,524
472,941,1413
1011,209,1220
330,197,527
476,581,1057
901,916,1817
1017,204,1221
331,237,568
522,719,1241
1045,699,1744
1006,280,1286
396,292,688
566,656,1222
971,778,1749
1034,275,1309
419,261,680
563,841,1404
1184,1015,2199
1018,187,1205
315,213,528
499,687,1186
1014,1086,2100
1013,184,1197
307,220,527
501,635,1136
957,831,1788
1008,197,1205
315,157,472
433,826,1259
1143,940,2083
1009,187,1196
306,198,504
475,757,1232
1075,853,1928
1029,189,1218
328,175,503
472,754,1226
1092,826,1918
1012,188,1200
310,217,527
497,695,1192
1016,909,1925
1028,209,1237
347,214,561
510,653,1163
990,730,1720
1012,183,1195
305,228,533
508,686,1194
1008,700,1708
1011,183,1194
304,203,507
482,708,1190
1028,1061,2089
1028,205,1233
343,245,588
541,843,1384
1180,1314,2494
1020,189,1209
319,192,511
480,676,1156
1005,837,1842
1006,182,1188
298,180,478
454,516,970
831,645,1476
1012,205,1217
327,261,588
541,752,1293
1073,801,1874
1008,272,1280
390,285,675
561,568,1129
885,694,1579
1007,232,1239
349,239,588
514,580,1094
896,780,1676
1012,225,1237
347,216,563
496,704,1200
1025,809,1834
1005,197,1202
312,192,504
465,625,1090
939,729,1668
1013,281,1294
404,294,698
575,690,1265
1012,705,1717
1010,189,1199
309,186,495
464,677,1141
996,650,1646
1006,224,1230
340,204,544
478,730,1208
1045,884,1929
1009,247,1256
366,296,662
573,724,1297
1042,918,1960
1026,258,1284
394,321,715
615,879,1494
1215,1000,2215
1022,188,1210
320,215,535
505,871,1376
1202,1123,2325
1014,286,1300
410,249,659
531,578,1109
901,922,1823
1013,187,1200
310,215,525
496,613,1109
935,775,1710
1031,246,1277
387,293,680
592,676,1268
1016,821,1837
1018,215,1233
343,213,556
499,1354,1853
1681,1779,3460
1011,189,1200
310,208,518
487,782,1269
1102,1088,2190
1014,243,1257
367,272,639
554,719,1273
1042,925,1967
1018,278,1296
406,242,648
528,719,1247
1046,892,1938
1016,209,1225
335,207,542
491,685,1176
1010,870,1880
1018,239,1257
367,225,592
511,781,1292
1109,999,2108
1017,223,1240
350,190,540
475,816,1291
1143,934,2077
1026,205,1231
341,209,550
503,534,1037
869,599,1468
1015,187,1202
312,186,498
469,669,1138
993,823,1816
1011,263,1274
384,246,630
525,760,1285
1081,1008,2089
1013,203,1216
326,174,500
455,720,1175
1042,857,1899
1008,187,1195
305,185,490
461,606,1067
924,627,1551
1008,205,1213
323,174,497
450,639,1089
957,935,1892
1014,187,1201
311,214,525
496,610,1106
933,619,1552
1005,205,1210
320,219,539
492,721,1213
1035,999,2034
1010,215,1225
335,217,552
495,623,1118
942,1080,2022
1010,189,1199
309,194,503
472,792,1264
1112,945,2057
1029,214,1243
353,235,588
532,951,1483
1289,1326,2615
1005,189,1194
304,174,478
447,864,1311
1178,1213,2391
1007,246,1253
363,338,701
613,762,1375
1079,927,2006
1013,290,1303
413,279,692
560,639,1199
961,815,1776
1009,187,1196
306,206,512
483,811,1294
1129,1191,2320
1028,189,1217
327,185,512
481,1180,1661
1518,1433,2951
1018,271,1289
399,301,700
587,847,1434
1174,1173,2347
1007,254,1261
371,252,623
527,701,1228
1018,873,1891
1019,189,1208
318,214,532
501,738,1239
1067,1170,2237
1019,187,1206
316,205,521
492,570,1062
899,833,1732
1009,189,1198
308,198,506
475,884,1359
1203,937,2140
1026,189,1215
325,197,522
491,648,1139
983,739,1722
1049,225,1274
384,270,654
587,838,1425
1197,1037,2234
1021,228,1249
359,207,566
496,918,1414
1248,1169,2417
1013,209,1222
332,234,566
515,797,1312
1120,992,2112
1008,213,1221
331,205,536
481,657,1138
974,931,1905
1016,233,1249
359,216,575
500,657,1157
982,748,1730
1024,215,1239
349,232,581
524,736,1260
1069,849,1918
1015,232,1247
357,279,636
562,898,1460
1222,1045,2267
1027,209,1236
346,219,565
514,753,1267
1089,823,1912
1012,244,1256
366,246,612
526,932,1458
1253,1068,2321
1022,290,1312
422,258,680
548,1100,1648
1431,1186,2617
1023,188,1211
321,293,614
584,800,1384
1132,1073,2205
1011,189,1200
310,203,513
482,673,1155
993,1153,2146
1032,231,1263
373,177,550
477,1056,1533
1398,1421,2819
1016,248,1264
374,268,642
552,944,1496
1269,1163,2432
1011,194,1205
315,175,490
454,632,1086
952,762,1714
1010,294,1304
414,291,705
569,905,1474
1225,1371,2596
1015,209,1224
334,217,551
500,655,1155
979,725,1704
1010,189,1199
309,191,500
469,736,1205
1055,703,1758
1007,218,1225
335,209,544
484,823,1307
1140,782,1922
1022,189,1211
321,179,500
469,757,1226
1088,844,1932
1020,253,1273
383,251,634
539,801,1340
1130,897,2027
1007,167,1174
284,162,446
437,553,990
869,732,1601
1026,189,1215
325,241,566
535,674,1209
1009,723,1732
1012,189,1201
311,206,517
486,796,1282
1117,1082,2199
1028,217,1245
355,254,609
550,885,1435
1223,919,2142
1012,189,1201
311,182,493
462,816,1278
1138,1047,2185
1016,260,1276
386,301,687
585,607,1192
932,763,1695
1007,189,1196
306,236,542
511,710,1221
1027,797,1824
1035,288,1323
433,267,700
570,1038,1608
1383,1235,2618
1006,201,1207
317,235,552
509,745,1254
1060,745,1805
1010,189,1199
309,212,521
490,652,1142
971,854,1825
1008,241,1249
359,258,617
534,717,1251
1034,1166,2200
1011,209,1220
330,289,619
568,808,1376
1128,1097,2225
1012,194,1206
316,168,484
448,657,1105
978,797,1775
1023,242,1265
375,265,640
556,979,1535
1311,1106,2417
1011,206,1217
327,202,529
481,739,1220
1059,876,1935
1006,271,1277
387,253,640
527,884,1411
1199,1147,2346
1026,217,1243
353,237,590
531,953,1484
1288,1008,2296
1020,302,1322
432,329,761
617,786,1403
1116,659,1775
1017,193,1210
320,200,520
485,586,1071
912,653,1565
1026,241,1267
377,220,597
514,643,1157
979,755,1734
1012,205,1217
327,219,546
499,795,1294
1116,997,2113
1012,187,1199
309,222,531
502,754,1256
1075,834,1909
1020,216,1236
346,206,552
494,617,1111
947,572,1519
1017,183,1200
310,208,518
493,763,1256
1089,969,2058
1040,189,1229
339,196,535
504,706,1210
1055,1192,2247
1019,214,1233
343,313,656
600,718,1318
1046,813,1859
1018,215,1233
343,216,559
502,762,1264
1090,777,1867
1011,189,1200
310,184,494
463,664,1127
984,824,1808
1014,205,1219
329,214,543
496,769,1265
1092,870,1962
1008,187,1195
305,190,495
466,469,935
786,465,1251
1013,192,1205
315,223,538
504,725,1229
1047,915,1962
1022,205,1227
337,248,585
538,1003,1541
1335,966,2301
1007,187,1194
304,190,494
465,891,1356
1207,1127,2334
1006,183,1189
299,183,482
457,530,987
845,564,1409
1021,244,1265
375,254,629
543,707,1250
1037,915,1952
