prompt_tokens,completion_tokens,total_tokens
1229,151,1380
490,189,679
686,747,1433
1286,909,2195
1235,168,1403
513,182,695
685,752,1437
1297,875,2172
1226,147,1373
483,177,660
671,800,1471
1336,1496,2832
1226,165,1391
501,181,682
675,642,1317
1177,779,1956
1218,228,1446
556,241,797
727,812,1539
1340,1958,3298
1238,168,1406
516,212,728
718,620,1338
1168,842,2010
1254,172,1426
536,207,743
729,939,1668
1503,1153,2656
1205,212,1417
527,234,761
707,725,1432
1240,1831,3071
1214,188,1402
512,211,723
693,684,1377
1207,1083,2290
1222,145,1367
477,166,643
656,872,1528
1404,1217,2621
1273,173,1446
556,174,730
715,848,1563
1430,906,2336
1257,212,1469
579,276,855
801,720,1521
1287,828,2115
1195,207,1402
512,235,747
698,815,1513
1319,770,2089
1226,168,1394
504,212,716
706,720,1426
1256,883,2139
1279,167,1446
556,216,772
763,629,1392
1217,1041,2258
1328,204,1532
642,247,889
843,807,1650
1445,1226,2671
1257,254,1511
621,267,888
792,567,1359
1134,758,1892
1233,200,1433
543,236,779
737,676,1413
1219,868,2087
1226,210,1436
546,240,786
734,851,1585
1387,2023,3410
1231,145,1376
486,170,656
669,625,1294
1166,771,1937
1286,198,1484
594,229,823
783,533,1316
1129,866,1995
1264,145,1409
519,165,684
697,810,1507
1384,983,2367
1217,145,1362
472,166,638
651,716,1367
1242,925,2167
1236,145,1381
491,175,666
679,894,1573
1440,995,2435
1213,199,1412
522,239,761
720,671,1391
1194,939,2133
1255,250,1505
615,306,921
829,930,1759
1495,1624,3119
1236,210,1446
556,260,816
764,867,1631
1413,1299,2712
1258,228,1486
596,282,878
808,778,1586
1346,999,2345
1257,228,1485
595,235,830
760,795,1555
1361,1282,2643
1331,165,1496
606,200,806
799,799,1598
1439,971,2410
1253,203,1456
566,233,799
754,799,1553
1362,729,2091
1232,152,1384
494,177,671
677,716,1393
1258,753,2011
1272,112,1384
494,152,646
692,767,1459
1349,934,2283
1277,112,1389
499,145,644
690,882,1572
1469,1033,2502
1294,221,1515
625,272,897
834,670,1504
1273,1474,2747
1236,161,1397
507,192,699
696,573,1269
1119,1056,2175
1243,165,1408
518,184,702
