prompt_tokens,completion_tokens,total_tokens
974,171,1145
256,210,466
453,448,901
731,568,1299
954,147,1101
212,181,393
404,460,864
723,485,1208
958,146,1104
215,163,378
390,545,935
813,535,1348
968,189,1157
268,194,462
431,458,889
735,648,1383
957,225,1182
293,245,538
471,1324,1795
1590,1996,3586
969,140,1109
220,155,375
393,596,989
875,749,1624
952,214,1166
277,240,517
461,881,1342
1142,1178,2320
963,211,1174
285,173,458
405,689,1094
961,674,1635
969,140,1109
220,171,391
409,475,884
753,737,1490
954,143,1097
208,238,446
461,531,992
795,588,1383
952,218,1170
281,285,566
506,683,1189
945,930,1875
950,212,1162
273,226,499
445,743,1188
1003,838,1841
958,167,1125
236,192,428
463,695,1158
963,778,1741
955,212,1167
278,212,490
436,613,1049
878,688,1566
978,171,1149
260,208,468
455,441,896
728,685,1413
1018,166,1184
251,195,446
438,593,1031
877,892,1769
954,193,1147
258,210,468
433,616,1049
879,646,1525
981,278,1259
370,249,619
499,795,1294
1086,1239,2325
978,209,1187
298,220,518
467,505,972
792,654,1446
956,198,1154
265,216,481
441,801,1242
1066,1448,2514
947,173,1120
231,213,444
429,686,1115
943,790,1733
964,212,1176
287,227,514
460,643,1103
916,679,1595
959,205,1164
275,233,508
461,721,1182
990,1186,2176
990,156,1146
257,184,441
443,820,1263
1120,745,1865
970,171,1141
252,219,471
458,496,954
775,691,1466
960,212,1172
283,218,501
447,571,1018
840,840,1680
980,237,1217
328,232,560
481,631,1112
921,897,1818
972,212,1184
295,216,511
457,640,1097
921,815,1736
968,284,1252
363,248,611
485,567,1052
844,809,1653
968,207,1175
286,226,512
463,737,1200
1015,760,1775
976,167,1143
254,182,436
427,513,940
798,709,1507
950,195,1145
256,197,453
416,775,1191
1035,828,1863
945,172,1117
228,206,434
420,548,968
803,768,1571
972,238,1210
321,264,585
505,782,1287
1064,1100,2164
974,205,1179
290,203,493
446,639,1085
922,1039,1961
968,164,1132
243,178,421
415,551,966
829,531,1360
948,167,1115
226,203,429
420,560,980
817,711,1528
974,171,1145
256,192,448
435,680,1115
964,1029,1993
996,218,1214
325,233,558
498,861,1359
1167,981,2148
981,171,1152
263,200,463
450,737,1187
1028,979,2007
959,209,1168
279,218,497
446,697,1143
965,921,1886
978,199,1177
288,226,514
473,718,1191
1005,1076,2081
988,189,1177
288,245,533
502,497,999
794,773,1567
968,140,1108
219,166,385
403,588,991
865,949,1814
950,146,1096
207,148,355
367,918,1285
1178,1242,2420
973,198,1171
282,209,491
451,616,1067
899,819,1718
1014,167,1181
292,187,479
470,834,1304
1158,776,1934
972,171,1143
254,198,452
439,482,921
763,629,1392
962,140,1102
213,141,354
372,400,772
671,603,1274
951,189,1140
251,197,448
417,673,1090
934,1117,2051
954,212,1166
277,232,509
455,671,1126
979,969,1948
970,171,1141
252,189,441
428,555,983
834,769,1603
974,150,1124
235,137,372
380,576,956
904,567,1471
973,194,1167
278,211,489
453,814,1267
1097,1198,2295
945,209,1154
265,214,479
428,914,1342
1169,893,2062
977,122,1099
210,171,381
417,581,998
868,542,1410
959,199,1158
269,231,500
459,661,1120
929,957,1886
947,184,1131
242,186,428
402,669,1071
925,1228,2153
964,279,1243
354,253,607
486,546,1032
819,747,1566
949,137,1086
197,202,399
420,531,951
790,680,1470
958,167,1125
236,183,419
410,978,1388
1246,925,2171
998,212,1210
321,224,545
491,794,1285
1101,878,1979
994,140,1134
245,170,415
433,417,850
720,704,1424
970,144,1114
225,155,380
394,433,827
712,682,1394
982,140,1122
233,153,386
404,545,949
836,663,1499
941,167,1108
219,196,415
406,778,1184
1029,658,1687
982,212,1194
305,231,536
482,951,1433
1242,1424,2666
970,223,1193
304,245,549
484,781,1265
1061,1040,2101
965,195,1160
271,204,475
438,752,1190
1026,975,2001
983,209,1192
303,220,523
472,624,1096
917,829,1746
992,144,1136
247,180,427
441,664,1105
966,503,1469
960,212,1172
283,231,514
460,714,1174
984,854,1838
963,212,1175
286,209,495
441,612,1053
884,832,1716
987,140,1127
238,147,385
403,408,811
704,664,1368
951,203,1154
265,193,458
413,941,1354
1201,1572,2773
966,155,1121
232,169,401
404,561,965
837,886,1723
971,146,1117
228,163,391
403,575,978
856,832,1688
1010,245,1255
366,228,594
507,737,1244
1057,939,1996
976,162,1138
249,176,425
421,714,1135
999,983,1982
956,209,1165
276,231,507
456,668,1124
933,823,1756
962,245,1207
318,217,535
492,850,1342
1122,1181,2303
950,140,1090
201,137,338
356,746,1102
1006,1125,2131
960,205,1165
276,244,520
473,721,1194
991,668,1659
966,214,1180
291,188,479
423,858,1281
1133,1245,2378
965,167,1132
243,166,409
400,515,915
790,758,1548
963,189,1152
263,218,481
450,485,935
758,807,1565
968,239,1207
318,281,599
518,860,1378
1137,1268,2405
976,167,1143
254,199,453
444,425,869
711,805,1516
929,197,1126
237,217,454
415,646,1061
885,990,1875
988,140,1128
239,161,400
418,404,822
701,742,1443
975,139,1114
225,155,380
399,461,860
746,797,1543
970,212,1182
293,226,519
465,679,1144
958,770,1728
975,180,1155
266,194,460
438,658,1096
943,882,1825
959,133,1092
203,161,364
389,682,1071
950,737,1687
944,167,1111
222,210,432
423,635,1058
889,948,1837
979,167,1146
257,180,437
428,1009,1437
1298,934,2232
964,212,1176
287,227,514
460,734,1194
1007,1532,2539
946,167,1113
224,209,433
424,562,986
817,924,1741
966,240,1206
317,227,544
462,507,969
782,762,1544
953,232,1185
296,276,572
498,987,1485
1250,1124,2374
974,171,1145
256,177,433
420,488,908
771,635,1406
975,165,1140
251,177,428
421,749,1170
1034,796,1830
945,173,1118
229,197,426
411,626,1037
881,875,1756
954,153,1107
218,155,373
378,626,1004
890,805,1695
957,298,1255
366,299,665
525,610,1135
877,826,1703
970,167,1137
248,194,442
433,457,890
736,784,1520
971,167,1138
249,164,413
404,444,848
724,778,1502
945,231,1176
287,269,556
483,928,1411
1183,1276,2459
992,198,1190
301,191,492
452,762,1214
1063,1234,2297
987,171,1158
269,174,443
430,586,1016
883,686,1569
978,138,1116
227,145,372
392,881,1273
1168,1077,2245
964,236,1200
311,223,534
456,522,978
795,694,1489
956,142,1098
209,248,457
473,904,1377
1170,1215,2385
967,140,1107
218,145,363
381,607,988
883,659,1542
983,133,1116
183,138,321
346,682,1028
931,760,1691
965,140,1105
216,156,372
390,512,902
786,690,1476
970,156,1126
237,168,405
407,668,1075
947,796,1743
963,248,1211
366,239,605
471,1021,1492
1293,1412,2705
960,245,1205
316,245,561
474,792,1266
1061,1045,2106
958,144,1102
213,145,358
372,602,974
870,907,1777
966,167,1133
244,187,431
422,603,1025
879,591,1470
976,140,1116
227,166,393
411,538,949
824,821,1645
954,150,1104
215,178,393
401,881,1282
1145,824,1969
953,172,1125
236,198,434
420,631,1051
894,1031,1925
958,241,1199
310,244,554
471,684,1155
952,1000,1952
964,212,1176
287,225,512
458,785,1243
1059,1085,2144
940,251,1191
302,254,556
463,686,1149
936,973,1909
976,240,1216
327,246,573
491,465,956
750,586,1336
965,199,1164
275,208,483
442,817,1259
1092,1116,2208
954,171,1125
236,203,439
426,856,1282
1120,1285,2405
976,171,1147
258,188,446
433,729,1162
1014,1472,2486
978,146,1124
235,161,396
408,887,1295
1174,1453,2627
964,117,1081
192,126,318
359,654,1013
927,973,1900
1009,194,1203
314,222,536
500,702,1202
1021,938,1959
997,202,1199
310,238,548
504,765,1269
1072,1146,2218
970,171,1141
252,195,447
434,751,1185
1031,813,1844
946,181,1127
238,228,466
443,775,1218
1030,967,1997
993,139,1132
243,149,392
411,766,1177
1068,1251,2319
956,154,1110
221,226,447
451,684,1135
950,777,1727
994,245,1239
350,268,618
531,856,1387
1159,1472,2631
952,212,1164
275,208,483
429,630,1059
892,832,1724
960,140,1100
211,149,360
378,699,1077
968,855,1823
954,167,1121
232,177,409
400,929,1329
1193,1428,2621
961,171,1132
243,182,425
412,505,917
