prompt_tokens,completion_tokens,total_tokens
1122,198,1320
431,259,690
650,593,1243
1024,795,1819
1085,220,1305
416,289,705
643,500,1143
894,738,1632
1124,220,1344
455,262,717
655,609,1264
1042,743,1785
1094,220,1314
425,288,713
651,818,1469
1222,752,1974
1085,220,1305
416,290,706
644,500,1144
894,650,1544
1106,204,1310
421,256,677
631,600,1231
1015,977,1992
1116,220,1336
447,303,750
688,1046,1734
1471,973,2444
1119,204,1323
434,224,658
612,569,1181
997,932,1929
1138,220,1358
469,319,788
726,940,1666
1388,955,2343
1127,220,1347
458,273,731
669,653,1322
1089,563,1652
1103,220,1323
434,280,714
652,753,1405
1165,702,1867
1101,131,1232
343,185,528
555,863,1418
1273,802,2075
1119,198,1317
428,266,694
654,544,1198
972,762,1734
1116,220,1336
447,299,746
684,632,1316
1057,953,2010
1086,220,1306
417,294,711
649,616,1265
1011,590,1601
1123,163,1286
397,227,624
619,719,1338
1151,1133,2284
1125,220,1345
456,279,735
673,505,1178
939,764,1703
1125,220,1345
456,247,703
641,1232,1873
1666,1186,2852
1122,220,1342
453,285,738
676,558,1234
989,863,1852
1087,148,1235
346,189,535
545,577,1122
973,835,1808
1114,148,1262
373,176,549
559,950,1509
1373,864,2237
1130,204,1334
445,252,697
651,843,1494
1282,775,2057
1116,220,1336
447,281,728
666,761,1427
1187,700,1887
1104,169,1273
384,193,577
566,912,1478
1325,839,2164
1103,198,1301
412,239,651
611,1043,1654
1455,974,2429
1123,220,1343
454,264,718
656,592,1248
1024,1039,2063
1118,170,1288
399,216,615
603,917,1520
1344,918,2262
1117,220,1337
448,310,758
696,998,1694
1425,935,2360
1078,148,1226
337,171,508
518,604,1122
991,805,1796
1082,220,1302
413,250,663
601,964,1565
1355,1035,2390
1081,220,1301
412,303,715
653,546,1199
937,722,1659
1087,220,1307
418,281,699
637,1160,1797
1556,1159,2715
1089,220,1309
420,275,695
633,633,1266
1031,798,1829
1135,169,1304
415,233,648
637,692,1329
1136,669,1805
1085,164,1249
360,218,578
572,958,1530
1352,888,2240
1086,220,1306
417,321,738
676,511,1187
906,747,1653
1123,220,1343
454,289,743
681,985,1666
1417,884,2301
1105,220,1325
436,288,724
662,564,1226
978,751,1729
1117,220,1337
448,305,753
