prompt_tokens,completion_tokens,total_tokens
1072,155,1227
338,182,520
523,676,1199
1057,630,1687
1076,112,1188
299,134,433
479,676,1155
1062,460,1522
1078,153,1231
342,175,517
522,653,1175
1041,566,1607
1102,155,1257
368,168,536
539,453,992
864,423,1287
1094,112,1206
317,153,470
516,598,1114
1001,387,1388
1090,136,1226
337,142,479
501,674,1175
1074,484,1558
1076,112,1188
299,157,456
502,551,1053
936,822,1758
1082,95,1177
288,128,416
479,615,1094
1007,338,1345
1104,173,1277
388,159,547
532,545,1077
958,570,1528
1092,114,1206
317,119,436
480,425,905
826,484,1310
1069,112,1181
292,136,428
474,629,1103
1007,617,1624
1069,96,1165
276,136,412
474,573,1047
952,527,1479
1076,112,1188
299,131,430
476,533,1009
919,354,1273
1088,96,1184
295,126,421
483,640,1123
1037,692,1729
1078,152,1230
341,173,514
520,769,1289
1157,537,1694
1069,95,1164
275,119,394
457,648,1105
1027,484,1511
1086,108,1194
305,154,459
509,655,1164
1050,541,1591
1098,128,1226
337,164,501
531,484,1015
891,585,1476
1092,173,1265
376,191,567
552,591,1143
993,504,1497
1082,96,1178
289,133,422
484,425,909
816,398,1214
1092,173,1265
376,177,553
538,706,1244
1107,557,1664
1092,131,1223
334,163,497
524,578,1102
979,561,1540
1092,153,1245
356,180,536
541,579,1120
980,387,1367
1069,135,1204
315,151,466
489,420,909
798,380,1178
1076,112,1188
343,128,471
473,578,1051
963,466,1429
1088,136,1224
335,150,485
507,630,1137
1028,484,1512
1082,96,1178
289,138,427
489,463,952
854,496,1350
1088,173,1261
372,190,562
547,432,979
829,478,1307
1069,112,1181
292,137,429
475,661,1136
1040,468,1508
1090,169,1259
370,185,555
544,570,1114
969,574,1543
1072,112,1184
295,131,426
472,618,1090
999,477,1476
1094,152,1246
357,176,533
539,717,1256
1121,578,1699
1082,96,1178
289,127,416
478,600,1078
992,358,1350
1074,96,1170
281,116,397
459,522,981
905,484,1389
1082,96,1178
289,118,407
469,556,1025
947,576,1523
1092,169,1261
372,187,559
548,568,1116
969,556,1525
1069,112,1181
292,129,421
467,591,1058
969,608,1577
1098,128,1226
337,178,515
545,645,1190
1053,388,1441
1082,116,1198
309,148,457
499,628,1127
1020,544,1564
1098,116,1214
325,147,472
514,618,1132
1025,410,1435
1069,112,1181
292,144,436
482,484,966
863,473,1336
1094,96,1190
301,125,426
488,411,899
814,388,1202
1086,151,1237
348,179,527
534,579,1113
974,845,1819
1098,189,1287
398,199,597
566,768,1334
1175,496,1671
1074,132,1206
317,158,475
501,715,1216
1099,634,1733
1069,112,1181
292,140,432
478,594,1072
973,516,1489
1076,112,1188
299,132,431
477,834,1311
1219,760,1979
1082,112,1194
305,159,464
510,624,1134
1015,670,1685
1074,128,1202
313,156,469
499,642,1141
1025,531,1556
1082,131,1213
324,152,476
503,625,1128
1016,676,1692
1088,96,1184
295,116,411
473,753,1226
1151,571,1722
1086,131,1217
328,141,469
496,547,1043
942,475,1417
1092,131,1223
334,143,477
504,711,1215
1112,812,1924
1086,114,1200
311,123,434
478,526,1004
921,470,1391
1082,96,1178
289,121,410
472,351,823
742,322,1064
1090,126,1216
327,123,450
482,452,934
851,477,1328
1140,169,1309
376,197,573
606,590,1196
995,607,1602
1126,96,1222
333,116,449
511,581,1092
1016,642,1658
1116,112,1228
295,135,430
476,526,1002
951,487,1438
1126,96,1222
333,114,447
509,586,1095
1022,519,1541
1120,112,1232
343,129,472
518,792,1310
1222,573,1795
1116,112,1228
339,154,493
539,580,1119
1005,549,1554
1113,112,1225
336,134,470
516,391,907
813,342,1155
1116,95,1211
322,127,449
512,628,1140
1054,546,1600
1126,95,1221
332,132,464
527,451,978
886,459,1345
1130,153,1283
394,176,570
575,398,973
793,381,1174
1134,114,1248
359,123,482
526,537,1063
980,483,1463
1072,155,1227
338,203,541
544,694,1238
1076,453,1529
1113,95,1208
319,125,444
463,673,1136
1096,493,1589
1118,96,1214
325,113,438
500,477,977
904,423,1327
1130,131,1261
372,133,505
532,503,1035
898,595,1493
1130,152,1282
393,182,575
581,642,1223
1082,466,1548
1069,112,1181
336,137,473
519,581,1100
1003,492,1495
1130,152,1282
393,169,562
568,522,1090
961,406,1367
1120,112,1232
343,134,477
523,577,1100
1006,493,1499
1130,130,1260
371,155,526
554,527,1081
966,502,1468
1113,96,1209
320,132,452
514,571,1085
949,568,1517
1113,95,1208
319,120,439
502,383,885
805,333,1138
1076,112,1188
343,146,489
535,547,1082
933,464,1397
1148,114,1262
373,134,507
507,569,1076
1026,583,1609
1136,136,1272
383,148,531
553,631,1184
1077,484,1561
1138,136,1274
341,154,495
561,714,1275
1162,568,1730
1122,189,1311
422,204,626
595,644,1239
1032,585,1617
1126,95,1221
332,129,461
480,461,941
896,437,1333
1102,189,1291
446,219,665
634,636,1270
1048,424,1472
1128,128,1256
367,179,546
576,528,1104
921,504,1425
1148,189,1337
448,204,652
621,843,1464
1301,603,1904
1126,114,1240
351,173,524
524,620,1144
1011,532,1543
1120,132,1252
363,161,524
550,642,1192
1071,469,1540
1124,112,1236
347,156,503
505,695,1200
1128,743,1871
1118,96,1214
325,130,455
517,535,1052
918,492,1410
1082,95,1177
332,130,462
525,604,1129
1040,525,1565
1126,78,1204
271,93,364
444,548,992
983,606,1589
1120,112,1232
343,122,465
511,540,1051
969,463,1432
1120,130,1250
361,150,511
539,547,1086
976,506,1482
1082,95,1177
288,133,421
528,581,1109
1016,516,1532
1113,95,1208
319,123,442
505,388,893
810,337,1147
1136,153,1289
400,154,554
559,500,1059
945,566,1511
1136,169,1305
416,194,610
555,580,1135
1025,570,1595
1082,134,1216
371,172,543
523,420,943
855,384,1239
1086,131,1217
372,149,521
548,593,1141
1033,503,1536
1118,112,1230
341,138,479
525,702,1227
1086,619,1705
1088,153,1241
396,168,564
569,519,1088
960,524,1484
1113,112,1225
336,140,476
522,545,1067
968,465,1433
1113,95,1208
275,137,412
519,590,1109
1012,609,1621
1113,95,1208
319,127,446
509,390,899
812,370,1182
1096,96,1192
347,113,460
522,549,1071
998,526,1524
1094,136,1230
385,145,530
508,571,1079
975,498,1473
1113,96,1209
276,131,407
513,643,1156
1021,683,1704
1142,96,1238
349,121,470
488,445,933
896,519,1415
1069,95,1164
275,119,394
501,592,1093
1015,319,1334
1126,116,1242
353,153,506
548,617,1165
1052,496,1548
1072,155,1227
382,173,555
558,721,1279
1102,944,2046
1076,112,1188
343,137,480
482,547,1029
932,571,1503
1142,131,1273
340,145,485
556,506,1062
957,493,1450
1144,173,1317
428,188,616
557,694,1251
1148,593,1741
1106,153,1259
414,156,570
575,632,1207
1048,547,1595
1142,112,1254
365,145,510
512,729,1241
1180,750,1930
1118,112,1230
341,137,478
524,481,1005
908,513,1421
1113,112,1225
292,152,444
534,596,1130
1018,613,1631
1136,173,1309
420,191,611
596,539,1135
984,585,1569
1118,112,1230
341,137,478
524,522,1046
949,484,1433
1134,153,1287
398,186,584
589,482,1071
925,561,1486
1130,152,1282
393,181,574
580,743,1323
1182,533,1715
1126,112,1238
349,145,494
540,455,995
890,479,1369
1126,108,1234
345,138,483
533,508,1041
943,483,1426
1148,96,1244
355,125,480
542,622,1164
1080,412,1492
1120,132,1252
363,164,527
553,730,1283
1160,515,1675
1126,79,1205
316,111,427
506,665,1171
1101,523,1624
1113,95,1208
319,128,447
510,506,1016
928,468,1396
1113,95,1208
319,127,446
509,600,1109
1022,600,1622
1113,95,1208
319,123,442
505,415,920
837,375,1212
1113,112,1225
336,139,475
521,481,1002
904,476,1380
1134,169,1303
414,216,630
619,1053,1672
1496,980,2476
1113,112,1225
336,156,492
538,607,1145
1030,365,1395
1134,153,1287
398,188,586
591,541,1132
984,531,1515
1136,153,1289
400,180,580
585,606,1191
1051,390,1441
1126,95,1221
332,126,458
521,510,1031
945,490,1435
1130,131,1261
372,153,525
552,467,1019
906,531,1437
1116,78,1194
305,102,407
487,543,1030
968,494,1462
1118,112,1230
341,134,475
521,555,1076
983,492,1475
1126,96,1222
333,107,440
502,555,1057
991,344,1335
1113,95,1208
319,126,445
508,620,1128
1042,360,1402
1132,95,1227
338,128,466
529,548,1077
990,484,1474
1116,173,1289
400,209,609
594,561,1155
986,833,1819
1124,112,1236
347,147,494
540,625,1165
1058,459,1517
1142,128,1270
381,155,536
566,680,1246
1132,717,1849
1118,153,1271
382,172,554
559,729,1288
1156,792,1948
1126,96,1222
333,109,442
504,702,1206
1138,495,1633
1113,95,1208
319,126,445
508,612,1120
1035,465,1500
1126,79,1205
316,110,426
505,471,976
906,460,1366
1148,112,1260
371,137,508
554,386,940
843,403,1246
1126,152,1278
389,186,575
581,525,1106
960,525,1485
1130,114,1244
355,122,477
521,429,950
868,470,1338
1134,118,1252
363,129,492
532,560,1092
1004,499,1503
1126,78,1204
315,101,416
496,592,1088
1028,517,1545
1113,114,1227
338,117,455
499,588,1087
1010,605,1615
1126,96,1222
333,120,453
515,491,1006
926,487,1413
1136,136,1272
383,144,527
549,576,1125
1022,499,1521
1113,96,1209
320,114,434
496,576,1072
998,569,1567
1113,112,1225
336,143,479
525,565,1090
987,481,1468
1118,112,1230
341,142,483
529,655,1184
1083,435,1518
1113,112,1225
336,145,481
527,569,1096
992,481,1473
1113,112,1225
336,134,470
516,657,1173
1080,477,1557
1136,185,1321
432,222,654
627,721,1348
1166,791,1957
1126,96,1222
333,124,457
519,418,937
853,383,1236
1138,152,1290
401,178,579
585,446,1031
893,436,1329
1118,155,1273
384,174,558
561,646,1207
1073,572,1645
1134,155,1289
400,176,576
579,537,1116
980,599,1579
1130,114,1244
355,117,472
516,533,1049
972,481,1453
1130,173,1303
414,186,600
585,587,1172
1026,661,1687
1142,132,1274
385,154,539
565,716,1281
1168,454,1622
1116,112,1228
339,132,471
517,679,1196
1104,488,1592
1132,136,1268
379,132,511
533,541,1074
983,480,1463
1132,96,1228
339,103,442
504,448,952
889,479,1368
1126,79,1205
316,103,419
498,358,856
793,307,1100
1138,96,1234
345,120,465
527,644,1171
1092,425,1517
1126,96,1222
333,117,450
512,569,1081
1004,511,1515
1126,96,1222
333,123,456
518,355,873
790,306,1096
1142,128,1270
381,150,531
561,530,1091
982,627,1609
1126,155,1281
392,177,569
572,705,1277
1140,628,1768
1113,96,1209
320,124,444
506,638,1144
1060,673,1733
1132,130,1262
373,146,519
547,557,1104
999,484,1483
1120,112,1232
343,130,473
519,616,1135
1045,532,1577
1128,74,1202
313,102,415
499,452,951
889,484,1373
1148,167,1315
426,190,616
607,577,1184
1034,544,1578
1118,112,1230
341,133,474
520,604,1124
1032,517,1549
1130,169,1299
410,201,611
600,595,1195
1035,495,1530
1142,189,1331
442,216,658
627,584,1211
1035,607,1642
1126,116,1242
353,170,523
565,414,979
849,388,1237
1134,153,1287
398,182,580
585,710,1295
1154,483,1637
1126,131,1257
368,132,500
527,619,1146
1054,684,1738
1126,96,1222
333,129,462
524,633,1157
1068,710,1778
1126,95,1221
332,134,466
529,637,1166
1072,349,1421
1116,96,1212
323,123,446
508,477,985
902,432,1334
1126,114,1240
351,184,535
579,705,1284
1141,525,1666
1132,131,1263
374,136,510
537,434,971
875,480,1355
1113,95,1208
319,133,452
515,583,1098
1005,589,1594
1130,114,1244
355,131,486
530,690,1220
1130,473,1603
1120,112,1232
343,134,477
523,744,1267
1173,538,1711
1113,95,1208
319,127,446
509,408,917
830,365,1195
1113,152,1265
376,177,553
559,655,1214
1078,360,1438
1126,96,1222
333,117,450
512,463,975
899,498,1397
1136,136,1272
383,164,547
569,793,1362
1238,1014,2252
1126,96,1222
333,117,450
512,402,914
837,388,1225
1126,96,1222
333,133,466
528,624,1152
1059,474,1533
1113,96,1209
320,108,428
490,360,850
782,337,1119
1120,189,1309
420,216,636
605,609,1214
1039,531,1570
1120,96,1216
327,111,438
500,546,1046
975,481,1456
1132,116,1248
359,152,511
553,491,1044
932,478,1410
1126,118,1244
355,141,496
536,643,1179
1078,786,1864
1122,112,1234
345,150,495
541,413,954
844,393,1237
1113,112,1225
336,136,472
518,616,1134
1038,622,1660
1126,96,1222
333,118,451
513,523,1036
958,487,1445
1142,189,1331
442,201,643
612,525,1137
977,611,1588
1126,135,1261
372,155,527
550,674,1224
1110,608,1718
1120,132,1252
363,148,511
537,652,1189
1082,563,1645
1120,173,1293
404,195,599
584,791,1375
1221,555,1776
1130,191,1321
432,205,637
604,725,1329
1164,792,1956
1136,95,1231
342,143,485
548,559,1107
1005,492,1497
1118,112,1230
341,142,483
529,662,1191
1090,447,1537
1126,96,1222
333,139,472
534,560,1094
995,487,1482
1113,112,1225
336,147,483
529,703,1232
1126,486,1612
1132,114,1246
357,143,500
544,412,956
853,416,1269
1136,136,1272
383,166,549
571,511,1082
956,517,1473
1138,96,1234
345,124,469
531,523,1054
970,817,1787
1142,128,1270
381,157,538
568,490,1058
941,584,1525
1136,96,1232
343,107,450
512,428,940
873,492,1365
1113,95,1208
319,116,435
498,421,919
843,330,1173
1134,96,1230
341,131,472
534,549,1083
992,522,1514
1130,169,1299
410,187,597
586,561,1147
1000,536,1536
1116,155,1271
382,175,557
560,655,1215
1080,625,1705
1134,136,1270
381,153,534
556,420,976
863,480,1343
1126,96,1222
333,109,442
504,628,1132
1064,584,1648
1150,96,1246
357,113,470
532,459,991
918,486,1404
1118,132,1250
361,149,510
536,734,1270
1162,453,1615
1113,130,1243
354,156,510
538,638,1176
1061,424,1485
1113,152,1265
376,172,548
554,582,1136
1004,465,1469
1113,95,1208
319,125,444
507,595,1102
1017,615,1632
1136,153,1289
400,173,573
578,707,1285
1153,576,1729
1126,96,1222
333,133,466
528,618,1146
1053,344,1397
1144,96,1240
351,133,484
546,415,961
868,402,1270
1116,173,1289
400,196,596
581,691,1272
1116,528,1644
1116,132,1248
359,156,515
541,719,1260
1145,516,1661
1142,169,1311
422,166,588
577,689,1266
1140,601,1741
1120,112,1232
343,135,478
524,716,1240
1146,632,1778
1130,96,1226
337,114,451
513,570,1083
1010,499,1509
1120,112,1232
343,139,482
528,456,984
885,431,1316
1120,112,1232
343,159,502
548,546,1094
975,485,1460
1120,173,1293
404,208,612
597,645,1242
1074,831,1905
