prompt_tokens,completion_tokens,total_tokens
1186,152,1338
449,189,638
644,909,1553
1405,827,2232
1163,136,1299
410,171,581
603,709,1312
1181,460,1641
1176,153,1329
440,189,629
634,893,1527
1378,805,2183
1168,152,1320
431,174,605
611,791,1402
1268,740,2008
1194,189,1383
494,236,730
699,838,1537
1342,574,1916
1170,136,1306
417,150,567
589,1001,1590
1481,909,2390
1172,155,1327
438,180,618
621,860,1481
1341,800,2141
1163,173,1336
447,218,665
650,542,1192
1015,457,1472
1180,114,1294
405,178,583
627,1024,1651
1514,861,2375
1174,152,1326
437,174,611
617,811,1428
1295,496,1791
1194,169,1363
474,202,676
665,959,1624
1463,868,2331
1168,130,1298
409,156,565
593,760,1353
1237,698,1935
1198,169,1367
478,204,682
671,613,1284
1120,708,1828
1194,169,1363
474,214,688
677,905,1582
1408,844,2252
1204,169,1373
484,219,703
692,744,1436
1258,616,1874
1163,131,1294
405,169,574
601,663,1264
1135,638,1773
1163,79,1242
353,99,452
531,449,980
921,442,1363
1172,153,1325
436,173,609
614,710,1324
1192,635,1827
1165,95,1260
371,120,491
554,680,1234
1154,446,1600
1168,189,1357
468,201,669
638,755,1393
1233,503,1736
1188,189,1377
488,247,735
704,973,1677
1471,899,2370
1192,131,1323
434,156,590
617,912,1529
1413,848,2261
1188,114,1302
413,131,544
588,907,1495
1404,836,2240
1165,112,1277
388,151,539
585,693,1278
1167,529,1696
1178,130,1308
419,157,576
604,797,1401
1285,467,1752
1168,130,1298
409,160,569
597,892,1489
1369,678,2047
1200,130,1330
441,179,620
648,669,1317
1179,534,1713
1192,169,1361
472,186,658
647,954,1601
1456,873,2329
1172,189,1361
472,216,688
657,764,1421
1246,503,1749
1170,114,1284
395,96,491
535,633,1168
1112,647,1759
1186,136,1322
433,173,606
628,789,1417
1285,514,1799
1172,155,1327
438,166,604
607,737,1344
1218,1306,2524
1186,151,1337
448,170,618
625,698,1323
1193,834,2027
1167,79,1246
357,108,465
544,852,1396
1328,945,2273
1194,169,1363
474,193,667
656,628,1284
1131,582,1713
1170,136,1306
417,158,575
597,627,1224
1106,514,1620
1186,173,1359
470,196,666
651,1009,1660
1505,817,2322
1165,95,1260
371,140,511
574,783,1357
1258,445,1703
1174,189,1363
474,210,684
653,727,1380
1210,677,1887
1174,96,1270
381,120,501
563,699,1262
1182,690,1872
1168,189,1357
468,214,682
651,636,1287
1114,498,1612
1180,96,1276
387,114,501
563,880,1443
1370,800,2170
1180,96,1276
387,113,500
562,518,1080
1007,522,1529
1167,112,1279
390,134,524
570,633,1203
1110,472,1582
1163,136,1299
410,140,550
572,436,1008
908,379,1287
1170,116,1286
397,122,519
561,579,1140
1058,520,1578
1163,136,1299
410,151,561
583,755,1338
1228,439,1667
1202,114,1316
427,128,555
599,498,1097
1009,509,1518
1184,112,1296
407,167,574
620,887,1507
1380,823,2203
1180,189,1369
480,223,703
672,760,1432
1250,690,1940
1176,152,1328
439,173,612
618,800,1418
1286,501,1787
1186,136,1322
433,214,647
669,806,1475
1302,489,1791
1180,96,1276
387,122,509
571,720,1291
1209,472,1681
1167,96,1263
374,107,481
543,741,1284
1218,443,1661
1202,152,1354
465,216,681
687,855,1542
1367,540,1907
1184,189,1373
484,226,710
679,1012,1691
1505,1133,2638
1178,114,1292
403,185,588
632,755,1387
1242,470,1712
1178,130,1308
419,156,575
603,742,1345
1230,469,1699
1182,79,1261
372,106,478
557,481,1038
972,477,1449
1196,152,1348
459,191,650
656,660,1316
1165,697,1862
1178,130,1308
419,165,584
612,647,1259
1134,650,1784
1192,189,1381
492,222,714
683,933,1616
1435,850,2285
1172,136,1308
419,171,590
612,788,1400
1269,716,1985
1167,96,1263
374,117,491
553,693,1246
1170,465,1635
1163,136,1299
410,153,563
585,518,1103
990,497,1487
1167,96,1263
374,110,484
546,676,1222
1152,629,1781
1184,95,1279
390,128,518
581,594,1175
1087,566,1653
1176,153,1329
440,171,611
616,810,1426
1295,950,2245
1176,189,1365
476,210,686
655,919,1574
1405,879,2284
1170,136,1306
417,159,576
598,819,1417
1299,611,1910
1172,189,1361
472,217,689
658,730,1388
1211,566,1777
1192,169,1361
472,195,667
656,536,1192
1037,508,1545
1198,169,1367
478,210,688
677,935,1612
1442,864,2306
1190,95,1285
396,127,523
586,787,1373
1286,795,2081
1176,153,1329
440,192,632
637,1002,1639
1488,942,2430
1163,173,1336
447,213,660
645,608,1253
1080,583,1663
1168,189,1357
468,208,676
645,805,1450
1283,481,1764
1178,153,1331
442,166,608
613,735,1348
1223,469,1692
1188,114,1302
413,110,523
567,893,1460
1390,830,2220
1167,96,1263
374,130,504
566,776,1342
1253,816,2069
1165,112,1277
388,143,531
577,497,1074
971,443,1414
1196,167,1363
474,205,679
670,940,1610
1446,858,2304
1188,136,1324
435,174,609
631,910,1541
1408,828,2236
1168,169,1337
448,271,719
708,856,1564
1333,1291,2624
1174,169,1343
454,195,649
638,752,1390
1236,476,1712
1165,130,1295
406,145,551
579,891,1470
1366,793,2159
1194,169,1363
474,194,668
657,891,1548
1395,547,1942
1165,153,1318
429,162,591
596,724,1320
1199,444,1643
1172,153,1325
436,193,629
634,747,1381
1228,1230,2458
1168,130,1298
409,155,564
592,738,1330
1216,738,1954
1200,189,1389
500,213,713
682,714,1396
1224,590,1814
1186,96,1282
393,131,524
586,751,1337
1246,515,1761
1184,185,1369
480,215,695
668,777,1445
1270,764,2034
1200,153,1353
464,179,643
648,971,1619
1480,1574,3054
1200,112,1312
423,138,561
607,577,1184
1086,1226,2312
1167,96,1263
374,124,498
560,894,1454
1371,814,2185
1178,130,1308
419,149,568
596,1178,1774
1665,774,2439
1170,153,1323
434,180,614
619,832,1451
1311,663,1974
1169,152,1321
432,181,613
619,900,1519
1379,814,2193
1180,96,1276
387,144,531
593,481,1074
970,472,1442
1194,169,1363
474,211,685
674,462,1136
965,452,1417
1210,169,1379
490,215,705
694,776,1470
1296,624,1920
1167,96,1263
374,106,480
542,485,1027
961,459,1420
1192,173,1365
476,185,661
646,663,1309
1164,706,1870
1194,152,1346
457,174,631
637,928,1565
1432,843,2275
1178,96,1274
385,111,496
558,658,1216
1145,657,1802
1172,189,1361
472,196,668
637,782,1419
1263,692,1955
1165,95,1260
371,128,499
562,641,1203
1115,545,1660
1170,173,1343
454,185,639
624,839,1463
1319,554,1873
1198,163,1361
472,188,660
655,692,1347
1199,713,1912
1178,112,1290
401,146,547
593,979,1572
1467,873,2340
1172,153,1325
436,180,616
621,769,1390
1251,726,1977
1182,95,1277
388,133,521
584,731,1315
1223,495,1718
1170,136,1306
417,146,563
585,959,1544
1439,813,2252
1194,169,1363
474,212,686
675,926,1601
1430,860,2290
1204,173,1377
488,182,670
655,809,1464
1323,773,2096
1178,130,1308
419,170,589
617,890,1507
1378,797,2175
1200,173,1373
484,210,694
679,716,1395
1225,737,1962
1190,96,1286
397,133,530
592,534,1126
1034,527,1561
1188,114,1302
413,122,535
579,907,1486
1404,837,2241
1194,152,1346
457,196,653
659,927,1586
1430,852,2282
1172,189,1361
472,225,697
666,928,1594
1410,689,2099
1167,79,1246
357,106,463
542,453,995
929,454,1383
1172,169,1341
452,202,654
643,852,1495
1333,1471,2804
1194,189,1383
494,232,726
695,669,1364
1173,526,1699
1174,189,1363
474,218,692
661,755,1416
1238,705,1943
1172,155,1327
438,166,604
607,857,1464
1339,795,2134
1163,128,1291
402,157,559
589,743,1332
1216,441,1657
1204,153,1357
468,198,666
671,685,1356
1198,726,1924
1182,169,1351
462,179,641
630,909,1539
1400,828,2228
1206,96,1302
413,111,524
586,499,1085
1014,547,1561
1198,173,1371
482,183,665
650,525,1175
1032,524,1556
1198,173,1371
482,190,672
657,777,1434
1284,535,1819
1165,79,1244
355,103,458
537,896,1433
1371,809,2180
1192,189,1381
492,231,723
692,1076,1768
1578,1030,2608
1165,130,1295
406,149,555
583,751,1334
1226,451,1677
1167,96,1263
374,115,489
551,863,1414
1339,779,2118
1190,152,1342
453,189,642
648,550,1198
1049,510,1559
1170,147,1317
428,171,599
610,598,1208
1077,593,1670
1204,153,1357
468,171,639
644,747,1391
1260,728,1988
1196,169,1365
476,208,684
673,701,1374
1206,553,1759
1174,136,1310
421,135,556
578,821,1399
1305,497,1802
1200,96,1296
407,124,531
593,592,1185
1101,624,1725
1194,189,1383
494,233,727
696,958,1654
1462,872,2334
1194,112,1306
417,147,564
610,514,1124
1017,506,1523
1172,155,1327
438,164,602
605,768,1373
1250,632,1882
1165,189,1354
465,226,691
660,641,1301
1116,559,1675
1165,112,1277
388,155,543
589,491,1080
965,442,1407
1180,96,1276
387,113,500
562,967,1529
1457,888,2345
1196,136,1332
443,156,599
621,694,1315
1199,713,1912
1196,189,1385
496,215,711
680,1044,1724
1550,973,2523
1178,112,1290
401,140,541
587,666,1253
1154,467,1621
1170,189,1359
470,200,670
639,744,1383
1223,490,1713
1196,96,1292
403,128,531
593,923,1516
1429,862,2291
1192,147,1339
450,171,621
632,661,1293
1162,695,1857
1188,152,1340
451,168,619
625,459,1084
956,446,1402
1198,173,1371
482,187,669
654,641,1295
1148,644,1792
1194,152,1346
457,174,631
637,921,1558
1425,840,2265
1170,152,1322
433,187,620
626,742,1368
1221,625,1846
1170,95,1265
376,119,495
558,978,1536
1457,913,2370
1168,189,1357
468,195,663
632,651,1283
1128,643,1771
1178,153,1331
442,175,617
622,723,1345
1211,636,1847
1184,173,1357
468,172,640
625,574,1199
1067,603,1670
1176,153,1329
440,195,635
640,615,1255
1100,578,1678
1182,118,1300
411,136,547
587,661,1248
1152,638,1790
1165,169,1334
445,196,641
630,731,1361
1206,441,1647
1184,114,1298
409,122,531
575,759,1334
1253,489,1742
1190,153,1343
454,159,613
618,673,1291
1172,831,2003
1178,112,1290
401,147,548
594,904,1498
1392,852,2244
1196,130,1326
437,166,603
631,925,1556
1430,860,2290
1180,96,1276
387,113,500
562,725,1287
1215,472,1687
1190,173,1363
474,177,651
636,913,1549
1413,850,2263
1202,112,1314
425,139,564
610,693,1303
1205,588,1793
1163,112,1275
386,154,540
586,475,1061
947,439,1386
1184,131,1315
426,163,589
616,609,1225
1102,611,1713
1165,96,1261
372,130,502
564,677,1241
1151,628,1779
1194,189,1383
494,236,730
699,1002,1701
1506,871,2377
1178,95,1273
384,132,516
579,752,1331
1240,480,1720
1163,114,1277
388,153,541
585,1090,1675
1562,1021,2583
1194,131,1325
436,164,600
627,576,1203
1079,598,1677
1178,96,1274
385,111,496
558,781,1339
1269,466,1735
1182,79,1261
372,121,493
572,488,1060
979,479,1458
1194,189,1383
494,228,722
691,960,1651
1463,884,2347
1172,155,1327
438,193,631
634,1023,1657
1504,976,2480
1165,153,1318
429,193,622
627,708,1335
1183,464,1647
1188,114,1302
413,121,534
578,448,1026
945,426,1371
1165,112,1277
388,150,538
584,501,1085
975,443,1418
1196,167,1363
474,201,675
666,971,1637
1476,871,2347
1172,189,1361
472,222,694
663,744,1407
1225,672,1897
1182,96,1278
389,127,516
578,545,1123
1036,516,1552
1172,155,1327
438,167,605
608,725,1333
1206,1170,2376
1167,112,1279
390,147,537
583,597,1180
1073,471,1544
1178,96,1274
385,109,494
556,666,1222
1153,631,1784
1169,96,1265
376,123,499
561,744,1305
1222,453,1675
1180,169,1349
460,203,663
652,551,1203
1040,470,1510
1163,136,1299
410,162,572
594,807,1401
1280,450,1730
1200,155,1355
466,170,636
639,779,1418
1289,542,1831
1196,152,1348
459,205,664
670,928,1598
1434,858,2292
1182,136,1318
429,157,586
608,852,1460
1344,783,2127
1192,152,1344
455,190,645
651,689,1340
1190,865,2055
1180,153,1333
444,244,688
693,603,1296
1092,508,1600
1196,167,1363
474,189,663
654,705,1359
1211,580,1791
1165,79,1244
355,101,456
535,555,1090
1029,537,1566
1196,96,1292
403,115,518
580,674,1254
1179,1246,2425
1167,96,1263
374,122,496
558,735,1293
1212,451,1663
1184,116,1300
411,143,554
596,655,1251
1149,605,1754
1172,189,1361
472,197,669
638,771,1409
1252,672,1924
1167,112,1279
390,141,531
577,687,1264
1164,734,1898
1176,169,1345
456,175,631
620,672,1292
1158,571,1729
1202,96,1298
409,128,537
599,622,1221
1134,526,1660
1178,95,1273
384,128,512
575,716,1291
1203,465,1668
1182,118,1300
411,132,543
583,769,1352
1260,875,2135
1184,189,1373
484,216,700
669,888,1557
1382,815,2197
1198,173,1371
482,179,661
646,658,1304
1166,541,1707
1172,155,1327
438,165,603
606,752,1358
1234,629,1863
1169,152,1321
432,171,603
609,804,1413
1283,450,1733
1186,153,1339
450,147,597
602,884,1486
1380,820,2200
1194,155,1349
460,157,617
620,729,1349
1233,528,1761
1178,130,1308
419,166,585
613,795,1408
1283,471,1754
1190,153,1343
454,184,638
643,987,1630
1486,907,2393
1182,79,1261
372,109,481
560,482,1042
973,478,1451
1168,189,1357
468,219,687
656,604,1260
1082,481,1563
1182,79,1261
372,107,479
558,436,994
927,411,1338
1172,135,1307
418,152,570
593,672,1265
1153,612,1765
1172,136,1308
419,160,579
601,1004,1605
1486,930,2416
1194,169,1363
474,169,643
632,750,1382
1253,790,2043
1190,153,1343
454,187,641
646,758,1404
1258,842,2100
1170,189,1359
470,207,677
646,1197,1843
1677,1136,2813
1184,132,1316
427,173,600
626,702,1328
1195,690,1885
1194,112,1306
417,147,564
610,759,1369
1262,853,2115
1163,136,1299
410,166,576
598,899,1497
1371,984,2355
1204,173,1377
488,205,693
678,699,1377
1213,563,1776
1165,130,1295
406,157,563
591,718,1309
1193,449,1642
1165,130,1295
406,184,590
618,846,1464
1321,541,1862
1172,169,1341
452,202,654
643,705,1348
1186,673,1859
1178,112,1290
401,145,546
592,700,1292
1188,476,1664
1200,112,1312
423,161,584
630,689,1319
1199,557,1756
1165,112,1277
388,138,526
572,632,1204
1106,554,1660
1184,169,1353
464,188,652
641,924,1565
1418,835,2253
1184,95,1279
390,140,530
593,741,1334
1234,476,1710
1184,156,1340
451,161,612
614,774,1388
1267,903,2170
1204,173,1377
488,203,691
676,833,1509
1347,550,1897
1170,152,1322
433,180,613
619,751,1370
1230,1221,2451
1180,96,1276
387,136,523
585,719,1304
1208,764,1972
1182,96,1278
389,119,508
570,694,1264
1186,475,1661
1174,189,1363
474,209,683
652,885,1537
1369,638,2007
1174,96,1270
381,118,499
561,601,1162
1084,558,1642
1196,79,1275
386,106,492
571,559,1130
1065,452,1517
1194,169,1363
474,205,679
668,918,1586
1422,844,2266
1178,131,1309
420,181,601
628,509,1137
996,491,1487
