prompt_tokens,completion_tokens,total_tokens
1082,78,1160
271,104,375
455,396,851
788,320,1108
1098,98,1196
307,109,416
476,453,929
860,507,1367
1088,169,1257
368,170,538
527,513,1040
910,501,1411
1078,112,1190
301,131,432
478,413,891
800,362,1162
1082,96,1178
289,126,415
477,301,778
692,283,975
1090,153,1243
354,159,513
518,383,901
782,382,1164
1076,131,1207
318,144,462
489,556,1045
942,306,1248
1086,147,1233
344,167,511
522,508,1030
904,319,1223
1069,112,1181
292,143,435
481,608,1089
987,526,1513
1069,95,1164
275,128,403
466,318,784
697,265,962
1069,96,1165
276,116,392
454,254,708
633,215,848
1074,78,1152
263,100,363
443,297,740
681,272,953
1080,96,1176
287,125,412
474,381,855
770,379,1149
1080,96,1176
287,119,406
468,364,832
753,358,1111
1069,112,1181
292,133,425
471,438,909
817,340,1157
1076,153,1229
340,172,512
517,631,1148
1017,436,1453
1088,112,1200
311,135,446
492,451,943
849,284,1133
1084,135,1219
330,156,486
509,345,854
738,301,1039
1082,136,1218
329,146,475
497,401,898
792,366,1158
1088,78,1166
277,95,372
452,326,778
723,274,997
1078,169,1247
358,191,549
538,404,942
792,337,1129
1088,153,1241
352,169,521
526,483,1009
881,271,1152
1072,131,1203
314,150,464
491,461,952
842,411,1253
1069,112,1181
292,141,433
479,299,778
678,224,902
1088,153,1241
352,159,511
516,486,1002
883,520,1403
1086,78,1164
275,98,373
453,362,815
757,379,1136
1080,79,1159
270,108,378
457,377,834
766,350,1116
1080,78,1158
269,100,369
449,402,851
791,312,1103
1088,153,1241
352,174,526
531,453,984
850,302,1152
1072,112,1184
295,127,422
468,306,774
687,254,941
1080,96,1176
287,121,408
470,387,857
776,359,1135
1072,74,1146
257,98,355
439,437,876
818,383,1201
1074,96,1170
281,120,401
463,427,890
810,410,1220
1080,96,1176
287,115,402
464,391,855
780,344,1124
1094,96,1190
301,121,422
484,383,867
786,393,1179
1069,112,1181
292,137,429
475,395,870
773,361,1134
1069,112,1181
292,136,428
474,356,830
735,271,1006
1080,96,1176
287,121,408
470,348,818
737,350,1087
1069,95,1164
275,122,397
460,312,772
691,300,991
1074,131,1205
316,151,467
494,360,854
