prompt_tokens,completion_tokens,total_tokens
1007,151,1158
269,165,434
441,901,1342
1218,833,2051
1001,174,1175
286,167,453
437,1049,1486
1360,959,2319
1003,169,1172
283,192,475
464,1396,1860
1708,1318,3026
1003,169,1172
283,181,464
453,920,1373
1233,932,2165
1007,153,1160
271,165,436
441,946,1387
1263,1004,2267
1009,169,1178
289,208,497
486,922,1408
1240,1077,2317
1005,185,1190
301,189,490
463,961,1424
1276,898,2174
1003,169,1172
283,171,454
443,1090,1533
1403,1032,2435
1009,169,1178
289,211,500
489,836,1325
1155,773,1928
1003,169,1172
283,171,454
443,1093,1536
1406,1035,2441
1005,169,1174
285,164,449
438,1180,1618
1495,1201,2696
1003,153,1156
267,164,431
436,955,1391
1268,994,2262
1005,169,1174
285,177,462
451,924,1375
1239,934,2173
1007,169,1176
287,162,449
438,921,1359
1237,1022,2259
1001,169,1170
281,157,438
427,1422,1849
1733,1434,3167
1003,169,1172
283,181,464
453,1177,1630
1490,1118,2608
999,185,1184
295,175,470
443,1601,2044
1910,1753,3663
1001,169,1170
281,185,466
455,1059,1514
1370,1423,2793
1005,185,1190
301,186,487
460,774,1234
1089,1207,2296
1001,152,1153
264,154,418
424,1106,1530
1417,1080,2497
997,169,1166
277,219,496
485,1145,1630
1452,1094,2546
1007,151,1158
269,157,426
433,613,1046
930,908,1838
1003,169,1172
283,180,463
452,1369,1821
1682,1388,3070
1009,169,1178
289,206,495
484,655,1139
973,669,1642
1009,189,1198
309,187,496
465,1068,1533
1387,1223,2610
1011,174,1185
296,188,484
468,825,1293
1146,738,1884
1005,169,1174
285,178,463
452,953,1405
1268,890,2158
1009,135,1144
255,127,382
405,589,994
908,686,1594
1005,153,1158
269,173,442
447,922,1369
1237,896,2133
1001,169,1170
281,157,438
427,1362,1789
1673,1305,2978
1001,169,1170
281,196,477
466,1274,1740
1585,1213,2798
1003,169,1172
283,204,487
476,968,1444
1280,1027,2307
1009,169,1178
289,170,459
448,1008,1456
1326,1076,2402
999,152,1151
262,141,403
409,1028,1437
1337,965,2302
1001,169,1170
281,164,445
434,995,1429
1306,976,2282
1001,152,1153
264,153,417
423,968,1391
1278,905,2183
1001,147,1148
259,134,393
404,935,1339
1246,967,2213
1009,169,1178
289,178,467
456,537,993
856,1497,2353
1007,169,1176
287,181,468
457,1240,1697
1557,1265,2822
1009,169,1178
289,180,469
458,1457,1915
1776,1464,3240
1007,153,1160
271,156,427
432,1148,1580
1465,1148,2613
1003,169,1172
283,170,453
442,1398,1840
1711,1378,3089
1007,189,1196
307,183,490
459,947,1406
1263,1027,2290
1009,153,1162
273,156,429
434,991,1425
1309,1001,2310
1001,152,1153
264,200,464
470,572,1042
882,883,1765
1005,152,1157
268,166,434
440,1142,1582
1457,1184,2641
1003,169,1172
283,174,457
446,678,1124
991,657,1648
1001,169,1170
281,160,441
430,1117,1547
1427,1075,2502
1007,151,1158
269,157,426
433,915,1348
1231,854,2085
1001,169,1170
281,168,449
438,906,1344
1216,966,2182
1003,169,1172
283,162,445
434,1170,1604
1483,1282,2765
1001,152,1153
264,144,408
414,1274,1688
1584,1215,2799
1007,169,1176
287,159,446
435,1152,1587
1469,1220,2689
1001,169,1170
281,182,463
452,1536,1988
1847,1803,3650
1007,153,1160
271,146,417
422,860,1282
1177,783,1960
1009,169,1178
289,176,465
454,925,1379
1244,850,2094
1005,152,1157
268,177,445
451,1051,1502
1366,1009,2375
1003,169,1172
283,185,468
457,1571,2028
1884,1659,3543
1003,169,1172
283,169,452
441,1061,1502
1374,1078,2452
1005,185,1190
301,194,495
468,613,1081
928,595,1523
1003,169,1172
283,173,456
445,1377,1822
1689,1319,3008
1005,167,1172
283,175,458
449,1202,1651
1516,1128,2644
999,169,1168
279,170,449
438,1058,1496
1367,1044,2411
1009,169,1178
289,176,465
454,559,1013
877,792,1669
999,169,1168
279,152,431
420,884,1304
1193,928,2121
999,169,1168
279,190,469
458,1410,1868
1719,1351,3070
1005,152,1157
268,144,412
418,933,1351
1248,1379,2627
1001,185,1186
297,181,478
451,1177,1628
1488,1115,2603
997,185,1182
293,239,532
505,660,1165
966,634,1600
1005,169,1174
285,167,452
441,855,1296
1170,788,1958
1011,152,1163
274,151,425
431,1163,1594
1484,1146,2630
1009,185,1194
305,235,540
513,1054,1567
1372,1382,2754
1005,185,1190
301,186,487
460,690,1150
1005,1274,2279
1001,169,1170
281,161,442
431,1123,1554
1434,1055,2489
1009,169,1178
289,181,470
459,914,1373
1233,848,2081
1007,153,1160
271,160,431
436,771,1207
1087,710,1797
1003,153,1156
267,149,416
421,999,1420
1311,944,2255
1003,169,1172
283,192,475
464,715,1179
1028,695,1723
1005,185,1190
301,196,497
470,1041,1511
1356,1062,2418
1005,185,1190
301,180,481
454,973,1427
1288,908,2196
1007,135,1142
253,133,386
409,559,968
876,566,1442
1007,153,1160
271,175,446
451,1128,1579
1445,1064,2509
1003,207,1210
321,224,545
496,610,1106
922,805,1727
999,169,1168
279,192,471
460,801,1261
1110,732,1842
1003,169,1172
283,178,461
450,847,1297
1160,790,1950
1003,169,1172
283,165,448
437,902,1339
1215,847,2062
997,185,1182
293,193,486
459,1064,1523
1371,1982,3353
997,169,1166
277,174,451
440,1215,1655
1522,1200,2722
1001,169,1170
281,167,448
437,782,1219
1093,744,1837
1001,169,1170
281,175,456
445,1197,1642
1508,1212,2720
1015,169,1184
295,177,472
461,3210,3671
1015,169,1184
295,174,469
458,781,1239
1105,837,1942
1009,169,1178
289,183,472
461,778,1239
1096,725,1821
1007,176,1183
294,171,465
447,596,1043
913,1171,2084
1007,153,1160
271,146,417
422,674,1096
990,1345,2335
1007,153,1160
271,154,425
430,579,1009
896,1057,1953
1005,185,1190
301,212,513
486,1229,1715
1543,1283,2826
1005,174,1179
290,181,471
455,1265,1720
1580,1207,2787
1009,169,1178
289,176,465
454,967,1421
1286,950,2236
1005,185,1190
301,184,485
458,994,1452
1309,1046,2355
1005,185,1190
301,183,484
457,921,1378
1236,908,2144
999,152,1151
262,163,425
431,1377,1808
1686,1340,3026
1011,169,1180
291,165,456
445,874,1319
1195,805,2000
1001,169,1170
281,170,451
440,1098,1538
1409,1035,2444
1005,169,1174
285,190,475
464,1256,1720
1571,1198,2769
1003,169,1172
283,170,453
442,962,1404
1275,1362,2637
1007,153,1160
271,153,424
429,811,1240
1127,1316,2443
1005,185,1190
301,189,490
463,1384,1847
1699,1653,3352
1005,153,1158
269,153,422
427,779,1206
1094,712,1806
1005,185,1190
301,180,481
454,1111,1565
1426,1064,2490
1007,152,1159
270,149,419
425,822,1247
1139,1219,2358
1003,169,1172
283,164,447
436,925,1361
1238,988,2226
1003,169,1172
283,195,478
467,906,1373
1219,873,2092
1003,185,1188
299,182,481
454,1257,1711
1570,1204,2774
1009,185,1194
305,173,478
451,922,1373
1241,1032,2273
1005,169,1174
285,167,452
441,938,1379
1253,876,2129
1013,180,1193
304,195,499
477,866,1343
1189,845,2034
1009,169,1178
289,182,471
460,1244,1704
1563,1251,2814
1005,167,1172
283,171,454
445,634,1079
948,614,1562
999,169,1168
279,178,457
446,1351,1797
1659,1311,2970
1007,156,1163
274,166,440
442,645,1087
962,561,1523
1007,153,1160
271,154,425
430,844,1274
1161,846,2007
1007,153,1160
271,162,433
438,810,1248
1126,1233,2359
1007,158,1165
276,147,423
423,878,1301
1195,808,2003
1003,169,1172
283,175,458
447,1175,1622
1488,1113,2601
1007,174,1181
292,163,455
439,956,1395
1273,1007,2280
1009,169,1178
289,166,455
444,1312,1756
1631,2527,4158
1009,169,1178
289,166,455
444,931,1375
1250,966,2216
1005,185,1190
301,191,492
465,856,1321
1171,1035,2206
1007,153,1160
271,157,428
433,791,1224
1107,1168,2275
997,169,1166
277,166,443
432,1060,1492
1367,1051,2418
1003,169,1172
283,161,444
433,871,1304
1184,891,2075
1009,169,1178
289,170,459
448,952,1400
1271,1071,2342
1005,151,1156
267,152,419
426,809,1235
1124,782,1906
1001,152,1153
264,144,408
414,1089,1503
1400,1285,2685
1007,153,1160
271,147,418
423,609,1032
926,1239,2165
1001,186,1187
298,172,470
442,774,1216
1084,1107,2191
997,169,1166
277,192,469
458,982,1440
1289,918,2207
1007,169,1176
287,172,459
448,611,1059
928,572,1500
1003,169,1172
283,176,459
448,1042,1490
1354,973,2327
1003,169,1172
283,182,465
454,1134,1588
1447,1146,2593
1013,158,1171
282,159,441
441,851,1292
1174,1309,2483
1003,169,1172
283,184,467
456,1052,1508
1364,1123,2487
1003,153,1156
267,148,415
420,785,1205
1098,883,1981
1005,185,1190
301,183,484
457,905,1362
1220,1068,2288
1005,185,1190
301,208,509
482,1061,1543
1376,1077,2453
1001,169,1170
281,177,458
447,1104,1551
1415,1171,2586
1009,169,1178
289,182,471
460,1223,1683
1542,1231,2773
1001,158,1159
270,166,436
436,836,1272
1146,1050,2196
1001,152,1153
264,159,423
429,1179,1608
1490,1431,2921
1005,169,1174
285,164,449
438,1034,1472
1349,1156,2505
1003,169,1172
283,190,473
462,550,1012
863,938,1801
1011,152,1163
274,173,447
453,856,1309
1177,791,1968
1007,151,1158
269,154,423
430,945,1375
1262,1087,2349
1005,167,1172
283,181,464
455,754,1209
1069,1474,2543
1007,174,1181
292,169,461
445,656,1101
973,909,1882
1001,169,1170
281,163,444
433,942,1375
1253,1824,3077
1009,169,1178
289,165,454
443,1149,1592
1467,1203,2670
1001,202,1203
314,189,503
459,961,1420
1272,1041,2313
1003,153,1156
267,156,423
428,758,1186
1071,709,1780
1007,158,1165
276,168,444
444,552,996
869,1071,1940
1003,169,1172
283,189,472
461,637,1098
949,586,1535
995,172,1167
278,171,449
435,994,1429
1299,970,2269
1007,151,1158
269,141,410
417,812,1229
1129,868,1997
1005,185,1190
301,190,491
464,633,1097
948,1085,2033
1003,169,1172
283,168,451
440,1221,1661
1534,1281,2815
1005,169,1174
285,194,479
468,1437,1905
1752,1362,3114
1011,185,1196
307,209,516
489,757,1246
1078,1563,2641
1007,151,1158
269,143,412
419,1442,1861
1759,1392,3151
1003,169,1172
283,190,473
462,974,1436
1286,997,2283
999,169,1168
279,161,440
429,1339,1768
1648,1313,2961
1003,169,1172
283,169,452
441,1323,1764
1636,1282,2918
999,169,1168
279,172,451
440,543,983
851,1015,1866
1001,207,1208
319,187,506
457,1363,1820
1674,1286,2960
1003,169,1172
283,166,449
438,952,1390
1265,1230,2495
999,169,1168
279,163,442
431,1049,1480
1358,998,2356
1005,169,1174
285,163,448
437,1437,1874
1752,1359,3111
1005,169,1174
285,165,450
439,1100,1539
1415,1056,2471
1005,169,1174
285,163,448
437,1259,1696
1574,1197,2771
1011,185,1196
307,188,495
468,914,1382
1235,854,2089
1005,169,1174
285,165,450
439,1044,1483
1359,999,2358
1009,170,1179
290,162,452
440,553,993
871,954,1825
999,169,1168
279,185,464
453,948,1401
1256,854,2110
1009,169,1178
289,161,450
439,1074,1513
1393,1316,2709
1005,185,1190
301,185,486
459,1113,1572
1427,1203,2630
997,153,1150
261,162,423
428,1029,1457
1336,1004,2340
1011,169,1180
291,161,452
441,734,1175
