prompt_tokens,completion_tokens,total_tokens
969,96,1065
176,117,293
355,585,940
864,541,1405
1006,96,1102
213,108,321
383,480,863
795,915,1710
987,110,1097
208,115,323
371,651,1022
947,657,1604
980,145,1125
236,155,391
404,663,1067
953,649,1602
974,79,1053
164,89,253
332,594,926
878,611,1489
993,114,1107
218,121,339
383,546,929
849,1265,2114
1007,96,1103
214,104,318
380,830,1210
1146,1086,2232
990,110,1100
211,120,331
379,598,977
898,1088,1986
974,57,1031
142,71,213
314,631,945
915,682,1597
979,96,1075
186,110,296
358,531,889
820,1127,1947
976,79,1055
166,83,249
328,485,813
771,683,1454
1013,79,1092
203,89,292
371,475,846
798,1035,1833
995,96,1091
202,110,312
374,533,907
838,691,1529
991,79,1070
181,85,266
345,563,908
864,1097,1961
977,110,1087
198,129,327
375,656,1031
943,737,1680
1003,96,1099
210,104,314
376,571,947
884,812,1696
1010,79,1089
200,81,281
360,612,972
932,1029,1961
995,96,1091
202,104,306
368,507,875
812,1117,1929
991,79,1070
181,85,266
345,539,884
840,779,1619
980,57,1037
1003,96,1099
210,102,312
374,583,957
896,689,1585
1010,79,1089
200,81,281
360,591,951
911,798,1709
995,96,1091
202,104,306
368,434,802
739,500,1239
991,79,1070
181,86,267
346,487,833
788,662,1450
980,96,1076
187,113,300
362,625,987
914,702,1616
975,96,1071
182,110,292
354,653,1007
938,610,1548
984,96,1080
191,107,298
360,534,894
828,553,1381
989,96,1085
196,108,304
366,647,1013
946,928,1874
985,110,1095
206,122,328
376,649,1025
944,958,1902
1006,96,1102
213,113,326
388,466,854
782,1228,2010
1011,79,1090
201,88,289
368,463,831
784,919,1703
993,114,1107
218,122,340
384,513,897
816,867,1683
976,79,1055
166,84,250
329,536,865
821,616,1437
1007,110,1117
228,120,348
396,605,1001
922,745,1667
989,79,1068
179,86,265
344,508,852
807,759,1566
992,79,1071
182,83,265
344,598,942
900,826,1726
995,96,1091
202,102,304
366,569,935
874,919,1793
969,96,1065
176,103,279
341,621,962
900,590,1490
999,96,1095
206,93,299
361,559,920
868,1357,2225
976,79,1055
166,87,253
332,562,894
848,598,1446
1007,96,1103
214,100,314
376,639,1015
956,1560,2516
986,96,1082
193,102,295
357,659,1016
955,672,1627
1003,96,1099
210,93,303
365,543,908
856,1033,1889
971,145,1116
227,192,419
432,558,990
838,482,1320
970,79,1049
160,83,243
322,531,853
811,568,1379
994,79,1073
184,82,266
345,394,739
698,606,1304
994,96,1090
201,106,307
369,549,918
853,742,1595
974,79,1053
164,84,248
327,563,890
847,577,1424
978,96,1074
185,104,289
351,510,861
797,522,1319
1012,96,1108
219,96,315
377,660,1037
982,1284,2266
993,79,1072
183,82,265
344,588,932
891,1149,2040
982,79,1061
172,84,256
335,505,840
797,488,1285
982,79,1061
172,91,263
342,517,859
809,540,1349
990,79,1069
180,82,262
341,579,920
879,1078,1957
1004,96,1100
211,105,316
378,536,914
850,1045,1895
972,96,1068
179,108,287
349,731,1080
1013,779,1792
989,79,1068
179,83,262
341,515,856
814,940,1754
979,79,1058
169,91,260
339,655,994
944,705,1649
973,96,1069
180,106,286
348,682,1030
965,721,1686
988,96,1084
195,107,302
364,508,872
806,702,1508
1007,96,1103
214,103,317
379,682,1061
999,839,1838
982,79,1061
172,84,256
335,529,864
821,950,1771
1023,96,1119
230,110,340
402,484,886
817,1016,1833
1018,96,1114
225,93,318
380,583,963
910,1649,2559
999,96,1095
206,110,316
378,460,838
769,628,1397
990,79,1069
180,86,266
345,564,909
863,603,1466
1004,114,1118
229,113,342
386,622,1008
936,1200,2136
1011,110,1121
232,122,354
402,812,1214
1133,825,1958
988,79,1067
178,84,262
341,530,871
828,953,1781
985,79,1064
175,83,258
337,512,849
807,542,1349
994,79,1073
184,82,266
345,667,1012
971,1028,1999
988,145,1133
244,146,390
403,510,913
808,697,1505
1015,114,1129
240,110,350
394,564,958
889,665,1554
974,96,1070
181,105,286
348,597,945
881,610,1491
1009,96,1105
216,105,321
383,651,1034
969,953,1922
998,110,1108
219,112,331
379,545,924
853,658,1511
1009,79,1088
199,93,292
371,467,838
786,1187,1973
986,96,1082
193,107,300
362,521,883
817,917,1734
995,79,1074
185,85,270
349,607,956
912,675,1587
1014,96,1110
221,93,314
376,565,941
889,1104,1993
977,110,1087
198,122,320
368,657,1025
944,630,1574
1002,110,1112
223,116,339
387,585,972
896,700,1596
973,96,1069
180,110,290
352,553,905
835,562,1397
1001,79,1080
191,82,273
352,561,913
872,1080,1952
1005,96,1101
212,104,316
378,524,902
839,1140,1979
1013,57,1070
181,66,247
348,371,719
694,990,1684
1011,88,1099
210,100,310
380,488,868
809,665,1474
974,96,1070
181,110,291
1013,96,1109
220,105,325
387,547,934
870,692,1562
1011,110,1121
232,116,348
396,635,1031
955,716,1671
974,79,1053
164,84,248
327,728,1055
1012,785,1797
990,79,1069
180,83,263
342,581,923
881,782,1663
975,110,1085
196,128,324
372,677,1049
961,636,1597
992,79,1071
182,87,269
348,583,931
885,640,1525
1009,96,1105
216,102,318
380,535,915
854,1357,2211
1004,79,1083
194,83,277
356,573,929
886,1149,2035
972,96,1068
179,110,289
351,521,872
803,491,1294
1007,96,1103
214,102,316
378,488,866
805,775,1580
1014,96,1110
221,93,314
376,589,965
913,1327,2240
1001,110,1111
222,120,342
390,531,921
842,574,1416
977,110,1087
198,117,315
363,522,885
808,498,1306
999,96,1095
206,104,310
372,574,946
883,663,1546
994,96,1090
201,93,294
356,592,948
896,1322,2218
1000,110,1110
221,120,341
389,588,977
898,1034,1932
1003,96,1099
210,104,314
376,389,765
702,747,1449
994,79,1073
184,84,268
347,402,749
706,959,1665
970,79,1049
160,84,244
323,573,896
853,526,1379
973,96,1069
180,110,290
352,717,1069
999,738,1737
976,79,1055
166,89,255
334,522,856
807,533,1340
1008,96,1104
215,94,309
371,562,933
880,983,1863
1014,96,1110
221,104,325
387,557,944
880,1116,1996
992,79,1071
182,86,268
347,549,896
851,813,1664
1002,96,1098
209,103,312
374,564,938
876,1068,1944
1011,110,1121
232,126,358
406,566,972
887,743,1630
1008,88,1096
207,96,303
373,626,999
944,688,1632
991,114,1105
216,113,329
373,622,995
923,666,1589
998,127,1125
236,150,386
417,634,1051
942,762,1704
988,110,1098
209,115,324
