prompt_tokens,completion_tokens,total_tokens
1198,169,1367
478,228,706
695,543,1238
917,775,1692
1374,136,1510
621,184,805
827,568,1395
1118,782,1900
1384,229,1613
724,397,1121
1050,809,1859
1369,1510,2879
1190,152,1342
453,211,664
670,564,1234
930,632,1562
1194,136,1330
441,186,627
649,710,1359
1079,1748,2827
1207,96,1303
414,155,569
631,593,1224
975,698,1673
1111,187,1298
409,330,739
710,667,1377
954,1061,2015
1145,136,1281
392,182,574
596,386,982
706,493,1199
1906,136,2042
1153,175,1328
1350,663,2013
1744,714,2458
2181,136,2317
1428,222,1650
1672,636,2308
1993,979,2972
1281,185,1466
577,367,944
917,630,1547
1086,972,2058
1816,169,1985
1096,191,1287
1276,700,1976
1692,1679,3371
1121,128,1249
360,233,593
623,610,1233
907,842,1749
1140,152,1292
403,285,688
694,881,1575
1197,2486,3683
1252,152,1404
515,226,741
747,576,1323
1004,557,1561
1146,130,1276
387,159,546
574,511,1085
833,638,1471
1158,130,1288
399,163,562
590,581,1171
914,524,1438
1552,196,1748
859,301,1160
1122,630,1752
1358,1324,2682
1194,152,1346
457,190,647
653,766,1419
1116,136,1252
363,207,570
592,353,945
644,320,964
1723,169,1892
1003,205,1208
1197,670,1867
1569,903,2472
1196,169,1365
476,211,687
676,1068,1744
1440,1259,2699
1262,136,1398
509,132,641
663,583,1246
1021,1420,2441
1306,170,1476
587,200,787
775,704,1479
1186,794,1980
1419,136,1555
666,130,796
818,520,1338
1115,571,1686
1655,122,1777
888,288,1176
1212,623,1835
1454,736,2190
1171,79,1250
361,88,449
528,562,1090
909,698,1607
1186,136,1322
433,192,625
647,682,1329
1044,617,1661
1330,152,1482
593,217,810
816,459,1275
965,490,1455
1780,187,1967
1078,193,1271
1242,648,1890
1604,887,2491
1316,185,1501
612,371,983
956,875,1831
1367,1807,3174
1193,136,1329
440,194,634
656,588,1244
957,751,1708
1385,185,1570
681,237,918
891,485,1376
1046,541,1587
1398,152,1550
661,241,902
908,921,1829
1495,1021,2516
1155,136,1291
402,281,683
705,513,1218
844,617,1461
1252,96,1348
459,112,571
633,758,1391
1186,624,1810
1256,152,1408
519,226,745
751,661,1412
1093,1859,2952
1428,146,1574
685,236,921
933,702,1635
1306,741,2047
1182,130,1312
423,168,591
619,482,1101
840,464,1304
1161,136,1297
408,147,555
577,559,1136
896,988,1884
1175,79,1254
365,78,443
522,464,986
815,499,1314
1592,189,1781
892,303,1195
1164,1448,2612
2216,1338,3554
1701,153,1854
965,209,1174
1179,881,2060
1758,1379,3137
1182,130,1312
423,141,564
592,658,1250
1015,928,1943
1368,187,1555
666,312,978
949,763,1712
1307,890,2197
1665,152,1817
928,305,1233
1239,861,2100
1702,1788,3490
1391,185,1576
687,221,908
881,540,1421
1107,483,1590
1646,169,1815
926,194,1120
1109,753,1862
1575,1304,2879
1594,185,1779
890,294,1184
1157,674,1831
1444,1464,2908
1119,153,1272
383,217,600
605,542,1147
836,594,1430
1277,185,1462
573,313,886
859,648,1507
1100,815,1915
1665,153,1818
929,167,1096
1101,850,1951
1690,790,2480
1479,185,1664
775,201,976
949,991,1940
1646,978,2624
1501,185,1686
797,260,1057
1030,861,1891
1538,831,2369
1149,136,1285
396,151,547
569,526,1095
851,782,1633
1238,152,1390
501,308,809
815,800,1615
1214,1367,2581
1222,79,1301
412,95,507
586,518,1104
916,467,1383
1557,136,1693
804,134,938
960,591,1551
1324,1153,2477
1149,185,1334
445,281,726
699,634,1333
959,643,1602
1134,152,1286
397,222,619
625,787,1412
1097,1042,2139
1388,169,1557
668,230,898
887,844,1731
1408,1294,2702
1248,152,1400
511,216,727
733,671,1404
1095,659,1754
1999,136,2135
1246,155,1401
1423,900,2323
2075,819,2894
1859,136,1995
1106,159,1265
1287,751,2038
1786,1680,3466
1224,130,1354
465,165,630
658,385,1043
785,488,1273
1301,185,1486
597,262,859
832,906,1738
1383,1780,3163
1463,136,1599
710,217,927
949,691,1640
1329,848,2177
1175,130,1305
416,163,579
607,629,1236
980,872,1852
2206,185,2391
1502,230,1732
1705,666,2371
2047,1128,3175
1300,185,1485
596,357,953
926,766,1692
1242,1581,2823
1268,136,1404
