prompt_tokens,completion_tokens,total_tokens
1052,137,1189
1052,191,1243
353,240,593
560,751,1311
989,976,1965
1047,138,1185
295,159,454
474,622,1096
855,815,1670
1070,109,1179
289,129,418
467,635,1102
891,581,1472
1049,137,1186
296,123,419
440,756,1196
992,718,1710
1071,138,1209
319,198,517
537,671,1208
929,934,1863
1054,109,1163
273,115,388
437,499,936
739,762,1501
1080,158,1238
348,224,572
572,468,1040
734,588,1322
1069,140,1209
319,270,589
607,507,1114
762,490,1252
1054,155,1209
319,162,481
484,1079,1563
1320,1148,2468
1068,167,1235
345,169,514
505,1150,1655
1405,1227,2632
1074,113,1187
297,151,448
493,410,903
670,634,1304
1052,160,1212
322,145,467
465,540,1005
778,487,1265
1072,202,1274
384,239,623
579,675,1254
933,1171,2104
1064,155,1219
329,195,524
527,574,1101
824,761,1585
1048,138,1186
296,146,442
462,590,1052
824,929,1753
1040,109,1149
259,160,419
468,601,1069
827,687,1514
1068,140,1208
318,156,474
492,819,1311
1073,863,1936
1038,137,1175
285,174,459
480,641,1121
865,641,1506
1046,191,1237
347,229,576
543,909,1452
1141,1168,2309
1085,113,1198
308,177,485
530,668,1198
940,903,1843
1074,163,1237
347,231,578
573,778,1351
1038,754,1792
1067,109,1176
286,113,399
448,661,1109
915,812,1727
1060,142,1202
312,198,510
526,806,1332
1052,859,1911
1064,109,1173
283,144,427
476,629,1105
880,840,1720
1068,113,1181
291,174,465
510,579,1089
833,767,1600
1064,166,1230
340,174,514
506,698,1204
948,812,1760
1057,138,1195
305,143,448
468,607,1075
851,1043,1894
1063,138,1201
311,180,491
511,637,1148
886,759,1645
1069,166,1235
345,142,487
479,632,1111
887,1068,1955
1059,148,1207
317,156,473
483,634,1117
879,592,1471
1064,160,1224
334,217,551
549,782,1331
1032,885,1917
1062,138,1200
310,188,498
518,559,1077
807,609,1416
1060,109,1169
279,146,425
474,590,1064
837,817,1654
1074,113,1187
297,119,416
461,679,1140
940,702,1642
1054,173,1227
337,232,569
554,706,1260
946,938,1884
1046,138,1184
294,167,461
481,701,1182
933,786,1719
1068,191,1259
369,202,571
538,883,1421
1138,873,2011
1074,184,1258
368,215,583
557,904,1461
1164,881,2045
1085,113,1198
308,161,469
514,660,1174
932,964,1896
1069,113,1182
292,163,455
500,445,945
700,645,1345
1066,188,1254
364,213,577
547,742,1289
994,1127,2121
1053,138,1191
301,174,475
495,606,1101
846,792,1638
1079,105,1184
294,147,441
494,658,1152
923,888,1811
1038,138,1176
286,169,455
475,630,1105
854,738,1592
1080,158,1238
348,247,595
595,712,1307
978,979,1957
1060,169,1229
339,187,526
515,737,1252
983,1512,2495
1059,178,1237
347,238,585
565,663,1228
908,955,1863
1069,142,1211
321,153,474
490,597,1087
852,889,1741
1046,138,1184
294,168,462
482,573,1055
805,801,1606
1062,127,1189
299,148,447
478,571,1049
820,833,1653
1070,109,1179
289,131,420
469,549,1018
806,1003,1809
1068,215,1283
393,285,678
621,853,1474
1107,1047,2154
1060,161,1221
331,195,526
523,604,1127
850,983,1833
1077,210,1287
397,232,629
577,815,1392
1078,1230,2308
1051,156,1207
317,157,474
476,602,1078
839,895,1734
1059,161,1220
330,241,571
568,505,1073
750,519,1269
1050,156,1206
316,163,479
481,602,1083
839,883,1722
1045,124,1169
279,189,468
502,657,1159
889,812,1701
1067,170,1237
347,196,543
531,623,1154
876,812,1688
1060,188,1248
358,185,543
513,710,1223
956,1269,2225
1058,113,1171
281,171,452
497,536,1033
780,545,1325
1058,156,1214
324,163,487
489,611,1100
855,790,1645
1071,164,1235
345,156,501
495,1036,1531
1294,965,2259
1070,113,1183
293,121,414
459,551,1010
807,724,1531
1058,149,1207
317,192,509
518,870,1388
1114,1006,2120
1053,167,1220
330,185,515
506,785,1291
1053,202,1255
365,238,603
559,609,1168
