prompt_tokens,completion_tokens,total_tokens
857,129,986
857,143,1000
857,161,1018
857,173,1030
857,186,1043
217,196,413
203,222,425
247,184,431
235,204,439
260,226,486
419,394,813
407,433,840
449,375,824
427,327,754
445,486,931
625,306,931
606,280,886
558,291,849
664,340,1004
717,420,1137
432,327,759
443,332,775
458,351,809
492,405,897
572,474,1046
857,148,1005
857,157,1014
857,161,1018
857,161,1018
857,170,1027
222,209,431
235,200,435
244,209,453
231,238,469
235,228,463
432,330,762
451,322,773
423,385,808
432,347,779
461,393,854
553,315,868
561,371,932
578,268,846
616,302,918
624,352,976
420,304,724
467,350,817
454,355,809
523,414,937
504,403,907
857,132,989
857,138,995
857,155,1012
857,167,1024
857,186,1043
212,192,404
206,210,416
229,189,418
241,216,457
260,255,515
412,301,713
433,403,836
439,403,842
415,462,877
478,393,871
532,343,875
634,397,1031
624,336,960
634,370,1004
693,538,1231
495,386,881
488,401,889
549,454,1003
522,420,942
690,589,1279
857,135,992
857,143,1000
857,148,1005
857,186,1043
857,186,1043
209,149,358
217,167,384
222,170,392
260,227,487
260,232,492
372,310,682
390,339,729
393,346,739
455,301,756
450,346,796
541,232,773
532,229,761
577,310,887
570,362,932
384,265,649
577,386,963
381,267,648
462,355,817
514,409,923
538,452,990
857,132,989
857,153,1010
857,161,1018
857,161,1018
857,186,1043
206,166,372
235,192,427
235,205,440
227,218,445
260,241,501
389,429,818
415,365,780
464,294,758
428,373,801
441,407,848
525,259,784
596,278,874
604,304,908
660,420,1080
638,467,1105
411,290,701
430,325,755
456,348,804
572,455,1027
619,533,1152
857,138,995
857,157,1014
857,161,1018
857,186,1043
857,186,1043
212,200,412
235,197,432
231,226,457
260,222,482
260,243,503
449,291,740
420,331,751
423,448,871
466,398,864
445,441,886
522,253,775
562,289,851
629,303,932
405,288,693
672,421,1093
441,347,788
455,346,801
679,275,954
573,470,1043
427,319,746
857,157,1014
857,151,1008
857,160,1017
857,186,1043
857,186,1043
234,198,432
225,214,439
231,213,444
260,222,482
260,292,552
437,328,765
445,276,721
421,395,816
436,393,829
515,407,922
559,288,847
626,242,868
507,343,850
624,349,973
638,331,969
394,278,672
440,335,775
495,389,884
501,392,893
483,386,869
857,148,1005
857,148,1005
857,157,1014
857,161,1018
857,161,1018
222,179,401
222,205,427
235,206,441
235,219,454
231,273,504
442,392,834
402,473,875
429,416,845
428,495,923
496,474,970
623,260,883
647,249,896
704,439,1143
412,302,714
401,287,688
591,483,1074
705,410,1115
726,600,1326
562,453,1015
752,673,1425
857,148,1005
857,153,1010
857,161,1018
857,170,1027
857,186,1043
235,182,417
222,216,438
244,195,439
260,215,475
227,261,488
418,355,773
438,344,782
439,407,846
405,451,856
484,406,890
575,300,875
586,341,927
638,342,980
682,390,1072
637,487,1124
452,346,798
493,387,880
494,388,882
542,443,985
639,533,1172
857,133,990
857,161,1018
857,161,1018
857,167,1024
857,170,1027
207,150,357
235,172,407
235,204,439
244,205,449
241,213,454
373,337,710
395,347,742
427,386,813
428,427,855
436,428,864
568,208,776
659,161,820
578,307,885
617,240,857
658,313,971
360,237,597
313,197,510
392,290,682
459,357,816
465,350,815
857,129,986
857,138,995
857,151,1008
857,145,1002
857,161,1018
203,185,388
219,174,393
212,191,403
225,180,405
235,174,409
397,317,714
414,365,779
397,355,752
408,434,842
403,455,858
548,234,782
586,248,834
596,264,860
686,312,998
386,270,656
665,393,1058
400,289,689
416,312,728
464,366,830
545,441,986
857,148,1005
857,161,1018
857,161,1018
857,167,1024
235,200,435
235,197,432
222,221,443
222,225,447
241,217,458
420,304,724
448,368,816
423,385,808
444,423,867
440,410,850
616,350,966
535,453,988
599,395,994
654,365,1019
641,421,1062
502,405,907
547,444,991
517,429,946
605,520,1125
573,487,1060
857,149,1006
857,156,1013
857,167,1024
857,161,1018
857,163,1020
223,181,404
235,196,431
241,198,439
230,201,431
237,247,484
421,302,723
419,310,729
424,341,765
404,431,835
470,403,873
533,211,744
541,244,785
572,237,809
363,260,623
662,429,1091
396,289,685
634,421,1055
389,289,678
581,488,1069
573,474,1047
857,129,986
857,135,992
857,151,1008
857,148,1005
857,186,1043
209,202,411
203,221,424
225,201,426
260,221,481
222,294,516
444,377,821
425,394,819
424,452,876
517,424,941
444,494,938
625,333,958
608,348,956
683,404,1087
655,416,1071
725,418,1143
485,387,872
556,469,1025
570,474,1044
500,404,904
568,476,1044
857,161,1018
857,157,1014
235,192,427
231,211,442
857,161,1018
434,374,808
235,204,439
857,145,1002
415,322,737
219,206,425
235,207,442
605,390,995
427,333,760
553,316,869
429,281,710
430,352,782
564,259,823
542,442,984
411,303,714
583,403,986
468,379,847
555,451,1006
512,201,713
353,230,583
857,148,1005
857,161,1018
857,161,1018
857,170,1027
857,161,1018
222,208,430
235,201,436
235,189,424
244,211,455
235,195,430
424,264,688
412,324,736
418,283,701
434,346,780
431,394,825
495,232,727
555,287,842
