prompt_tokens,completion_tokens,total_tokens
919,148,1067
917,163,1080
915,162,1077
915,162,1077
919,163,1082
284,212,496
294,194,488
294,223,517
297,259,556
299,258,557
493,467,960
486,492,978
464,527,991
532,451,983
792,448,1240
763,475,1238
823,588,1411
751,644,1395
531,462,993
662,510,1172
685,533,1218
798,635,1433
858,731,1589
760,592,1352
804,641,1445
911,128,1039
914,159,1073
918,159,1077
916,163,1079
916,162,1078
256,215,471
290,261,551
296,264,560
295,250,545
294,285,579
481,457,938
530,485,1015
558,487,1045
521,565,1086
535,584,1119
749,468,1217
786,464,1250
780,504,1284
862,643,1505
881,678,1559
674,505,1179
677,517,1194
713,546,1259
889,723,1612
854,725,1579
917,148,1065
928,159,1087
910,162,1072
915,162,1077
922,168,1090
282,207,489
294,200,494
289,227,516
307,240,547
304,300,604
470,448,918
517,403,920
492,498,990
479,502,981
583,468,1051
744,464,1208
706,493,1199
789,488,1277
800,481,1281
674,510,1184
777,675,1452
710,558,1268
693,531,1224
693,524,1217
898,775,1673
917,128,1045
915,148,1063
921,143,1064
916,159,1075
920,143,1063
262,184,446
280,212,492
280,217,497
281,264,545
292,273,565
456,417,873
482,490,972
540,442,982
492,465,957
544,382,926
715,432,1147
744,427,1171
786,554,1340
766,613,1379
679,635,1314
643,476,1119
764,650,1414
828,685,1513
846,718,1564
644,472,1116
918,128,1046
917,148,1065
914,148,1062
916,163,1079
919,159,1078
263,197,460
282,203,485
279,206,485
296,246,542
295,300,595
470,470,940
517,440,957
475,482,957
475,554,1029
574,498,1072
769,519,1288
849,534,1383
737,606,1343
780,664,1444
798,575,1373
732,590,1322
743,584,1327
789,623,1412
876,743,1619
817,638,1455
914,128,1042
914,128,1042
915,128,1043
918,147,1065
917,148,1065
260,161,421
259,174,433
259,163,422
282,211,493
282,235,517
431,443,874
443,399,842
432,424,856
508,425,933
483,538,1021
694,394,1088
719,485,1204
724,492,1216
739,704,1443
836,631,1467
603,461,1064
705,557,1262
694,553,1247
914,803,1717
843,682,1525
911,159,1070
913,162,1075
917,154,1071
919,148,1067
284,181,465
292,214,506
288,245,533
914,148,1062
287,283,570
279,241,520
455,473,928
549,414,963
517,485,1002
482,577,1059
706,292,998
510,617,1127
783,471,1254
773,604,1377
498,321,819
871,647,1518
683,514,1197
818,658,1476
912,968,1880
855,699,1554
1177,1041,2218
917,163,1080
931,148,1079
913,143,1056
930,177,1107
928,159,1087
296,208,504
304,236,540
324,272,596
297,255,552
273,288,561
519,428,947
557,470,1027
556,447,1003
527,490,1017
494,805,1299
781,372,1153
737,473,1210
788,562,1350
741,544,1285
597,405,1002
696,540,1236
1117,738,1855
774,611,1385
752,611,1363
964,774,1738
911,128,1039
919,148,1067
918,148,1066
918,159,1077
928,177,1105
256,209,465
283,211,494
294,249,543
322,300,622
284,220,504
484,416,900
475,465,940
522,494,1016
583,453,1036
494,472,966
715,583,1298
793,532,1325
757,354,1111
772,690,1462
762,777,1539
560,403,963
796,671,1467
745,575,1320
904,772,1676
1000,819,1819
920,137,1057
909,159,1068
928,159,1087
914,162,1076
274,190,464
293,227,520
285,226,511
928,143,1071
304,264,568
465,481,946
496,461,957
490,464,954
547,394,941
754,502,1256
756,507,1263
782,703,1485
288,263,551
706,579,1285
546,477,1023
918,802,1720
786,532,1318
703,580,1283
716,564,1280
755,598,1353
803,662,1465
919,128,1047
931,148,1079
922,152,1074
915,162,1077
916,162,1078
296,195,491
295,207,502
291,242,533
264,162,426
294,201,495
436,418,854
519,549,1068
481,566,1047
478,694,1172
878,486,1364
471,530,1001
718,586,1304
991,593,1584
826,595,1421
800,628,1428
852,521,1373
804,643,1447
712,524,1236
805,643,1448
738,576,1314
909,143,1052
921,154,1075
920,159,1079
910,148,1058
919,177,1096
275,193,468
269,266,535
296,252,548
292,291,583
313,252,565
458,536,994
527,487,1014
567,490,1057
526,465,991
