prompt_tokens,completion_tokens,total_tokens
932,93,1025
929,162,1091
941,143,1084
949,173,1122
927,154,1081
242,144,386
301,160,461
298,190,488
308,228,536
339,243,582
431,418,849
456,487,943
472,404,876
512,559,1071
547,407,954
593,398,991
612,552,1164
690,624,1314
618,574,1192
750,861,1611
953,173,1126
938,143,1081
929,143,1072
944,173,1117
943,110,1053
298,197,495
289,189,478
334,247,581
343,266,609
270,174,444
490,324,814
473,424,897
472,332,804
546,566,1112
574,571,1145
615,520,1135
537,379,916
772,851,1623
524,485,1009
786,717,1503
949,110,1059
947,143,1090
928,154,1082
943,157,1100
931,173,1104
276,141,417
307,209,516
299,181,480
321,219,540
317,231,548
511,305,816
505,393,898
464,450,914
529,417,946
586,375,961
640,600,1240
445,535,980
622,622,1244
514,336,850
746,384,1130
921,126,1047
923,143,1066
927,126,1053
947,173,1120
958,157,1115
270,143,413
283,202,485
332,210,542
264,197,461
337,250,587
480,340,820
425,302,727
552,399,951
525,315,840
473,398,871
523,526,1049
491,406,897
581,427,1008
608,515,1123
746,655,1401
929,157,1086
950,177,1127
950,157,1107
949,150,1099
937,187,1124
316,213,529
344,226,570
324,218,542
341,241,582
303,196,499
523,474,997
517,672,1189
531,552,1083
533,474,1007
480,423,903
686,887,1573
883,785,1668
614,669,1283
673,731,1404
764,743,1507
938,110,1048
942,134,1076
930,173,1103
936,140,1076
929,126,1055
265,154,419
320,219,539
272,170,442
293,209,502
293,234,527
500,396,896
504,352,856
447,517,964
531,427,958
454,517,971
717,305,1022
594,524,1118
631,689,1320
544,584,1128
708,569,1277
929,143,1072
937,143,1080
938,127,1065
933,171,1104
947,188,1135
282,162,444
289,194,483
297,188,485
352,223,575
321,252,573
478,335,813
480,418,898
525,446,971
455,414,869
526,399,925
617,323,940
540,700,1240
614,552,1166
655,816,1471
895,879,1774
944,120,1064
958,143,1101
927,112,1039
943,157,1100
944,157,1101
281,185,466
318,162,480
256,192,448
317,220,537
318,199,517
518,444,962
484,569,1053
498,396,894
474,382,856
475,392,867
602,474,1076
612,666,1278
775,504,1279
571,523,1094
649,762,1411
922,113,1035
935,129,1064
939,143,1082
951,157,1108
252,167,419
281,175,456
310,204,514
325,200,525
299,178,477
444,445,889
465,343,808
509,373,882
506,427,933
472,367,839
540,500,1040
629,652,1281
585,640,1225
568,413,981
640,733,1373
927,112,1039
937,144,1081
945,173,1118
947,145,1092
256,162,418
335,211,546
309,215,524
934,143,1077
298,227,525
294,207,501
444,361,805
511,506,1017
519,361,880
517,434,951
496,462,958
550,366,916
643,451,1094
713,539,1252
658,596,1254
560,552,1112
953,120,1073
945,188,1133
937,157,1094
938,157,1095
311,195,506
290,160,450
350,207,557
928,112,1040
312,225,537
257,160,417
487,376,863
468,385,853
507,397,904
518,506,1024
443,335,778
575,452,1027
600,553,1153
525,497,1022
706,745,1451
604,612,1216
934,143,1077
941,173,1114
930,126,1056
273,157,430
924,122,1046
944,143,1087
331,221,552
304,181,485
294,197,491
263,142,405
517,415,932
486,323,809
442,718,1160
421,326,747
480,530,1010
519,471,990
910,480,1390
512,334,846
618,573,1191
736,523,1259
933,112,1045
933,112,1045
941,110,1051
